https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DGB,Volume USDT,tradecount
1663545600000,2022-09-19 00:00:00,DGB/USDT,0.00922000,0.00932000,0.00919000,0.00919000,2108088.90000000,19478.03561100,126
1663542000000,2022-09-18 23:00:00,DGB/USDT,0.00920000,0.00927000,0.00917000,0.00921000,3555664.80000000,32818.36214900,142
1663538400000,2022-09-18 22:00:00,DGB/USDT,0.00922000,0.00922000,0.00906000,0.00920000,5639364.70000000,51481.17412900,264
1663534800000,2022-09-18 21:00:00,DGB/USDT,0.00957000,0.00957000,0.00913000,0.00924000,16721340.90000000,155515.61752000,1123
1663531200000,2022-09-18 20:00:00,DGB/USDT,0.00962000,0.00965000,0.00954000,0.00958000,7985846.50000000,76673.72264500,221
1663527600000,2022-09-18 19:00:00,DGB/USDT,0.00960000,0.00965000,0.00959000,0.00963000,2793952.10000000,26898.69526900,140
1663524000000,2022-09-18 18:00:00,DGB/USDT,0.00961000,0.00965000,0.00957000,0.00961000,4867804.80000000,46793.19922200,257
1663520400000,2022-09-18 17:00:00,DGB/USDT,0.00971000,0.00972000,0.00960000,0.00961000,9375006.60000000,90424.45821700,400
1663516800000,2022-09-18 16:00:00,DGB/USDT,0.00978000,0.00981000,0.00963000,0.00971000,16217817.80000000,157342.98883800,671
1663513200000,2022-09-18 15:00:00,DGB/USDT,0.00975000,0.00982000,0.00975000,0.00977000,2629061.40000000,25734.25746500,162
1663509600000,2022-09-18 14:00:00,DGB/USDT,0.00985000,0.00986000,0.00974000,0.00975000,8130231.10000000,79674.27810200,405
1663506000000,2022-09-18 13:00:00,DGB/USDT,0.00990000,0.00990000,0.00985000,0.00988000,2013576.30000000,19882.83497100,146
1663502400000,2022-09-18 12:00:00,DGB/USDT,0.00987000,0.00990000,0.00979000,0.00989000,3971778.30000000,39062.42932400,254
1663498800000,2022-09-18 11:00:00,DGB/USDT,0.00986000,0.00990000,0.00985000,0.00987000,2448973.90000000,24198.37999200,139
1663495200000,2022-09-18 10:00:00,DGB/USDT,0.00980000,0.00994000,0.00979000,0.00985000,5732611.10000000,56562.37191600,457
1663491600000,2022-09-18 09:00:00,DGB/USDT,0.01002000,0.01005000,0.00978000,0.00981000,7303246.90000000,72533.51257400,509
1663488000000,2022-09-18 08:00:00,DGB/USDT,0.01001000,0.01003000,0.00998000,0.01003000,3189051.30000000,31930.07653400,385
1663484400000,2022-09-18 07:00:00,DGB/USDT,0.01001000,0.01005000,0.01000000,0.01002000,2418812.50000000,24246.57768100,255
1663480800000,2022-09-18 06:00:00,DGB/USDT,0.01001000,0.01003000,0.00999000,0.01001000,770769.70000000,7720.41010500,108
1663477200000,2022-09-18 05:00:00,DGB/USDT,0.00998000,0.01003000,0.00997000,0.01001000,853839.40000000,8546.08697800,136
1663473600000,2022-09-18 04:00:00,DGB/USDT,0.00994000,0.00999000,0.00994000,0.00998000,999279.40000000,9961.09524700,104
