https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume EUR,tradecount
1663545600000,2022-09-19 00:00:00,ETH/EUR,1332.66000000,1338.14000000,1330.01000000,1331.98000000,516.57230000,688809.02233900,1657
1663459200000,2022-09-18 00:00:00,ETH/EUR,1468.30000000,1469.40000000,1325.31000000,1332.52000000,35159.37100000,49397317.03502800,79866
1663372800000,2022-09-17 00:00:00,ETH/EUR,1433.71000000,1476.16000000,1408.64000000,1468.27000000,30114.85930000,43497030.62007000,70031
1663286400000,2022-09-16 00:00:00,ETH/EUR,1476.49000000,1487.07000000,1406.24000000,1433.87000000,46302.35580000,67364930.34447900,120820
1663200000000,2022-09-15 00:00:00,ETH/EUR,1642.00000000,1660.39000000,1455.00000000,1475.97000000,56370.27600000,88289604.80051000,172818
1663113600000,2022-09-14 00:00:00,ETH/EUR,1579.29000000,1650.90000000,1558.49000000,1641.97000000,43137.73080000,69120808.12475200,114735
1663027200000,2022-09-13 00:00:00,ETH/EUR,1694.97000000,1731.21000000,1567.33000000,1579.29000000,51187.08430000,84173095.12338600,132828
1662940800000,2022-09-12 00:00:00,ETH/EUR,1752.73000000,1765.89000000,1672.42000000,1694.97000000,42817.44920000,73375292.25668500,106201
1662854400000,2022-09-11 00:00:00,ETH/EUR,1763.77000000,1778.75000000,1705.02000000,1752.71000000,32296.97090000,56603968.55714000,75725
1662768000000,2022-09-10 00:00:00,ETH/EUR,1707.86000000,1778.64000000,1695.53000000,1763.61000000,33169.35480000,57096667.05612100,78710
1662681600000,2022-09-09 00:00:00,ETH/EUR,1635.09000000,1738.17000000,1624.37000000,1707.58000000,31811.60380000,53953325.70476300,96421
1662595200000,2022-09-08 00:00:00,ETH/EUR,1632.18000000,1663.59000000,1598.44000000,1635.11000000,19395.82020000,31656485.05196300,70376
1662508800000,2022-09-07 00:00:00,ETH/EUR,1577.06000000,1657.39000000,1509.08000000,1632.22000000,22068.24310000,34571016.13326700,75123
1662422400000,2022-09-06 00:00:00,ETH/EUR,1626.98000000,1700.29000000,1572.48000000,1575.98000000,24585.83040000,40446250.64859000,82146
1662336000000,2022-09-05 00:00:00,ETH/EUR,1592.15000000,1640.00000000,1568.36000000,1626.99000000,14885.79110000,23742382.61719300,51090
1662249600000,2022-09-04 00:00:00,ETH/EUR,1565.87000000,1592.67000000,1549.82000000,1591.76000000,10100.81770000,15866863.27902400,35435
1662163200000,2022-09-03 00:00:00,ETH/EUR,1584.19000000,1592.20000000,1542.29000000,1566.02000000,10197.39380000,15950191.77795700,37197
1662076800000,2022-09-02 00:00:00,ETH/EUR,1592.55000000,1648.46000000,1555.83000000,1584.13000000,18583.13930000,29793166.57331400,61346
1661990400000,2022-09-01 00:00:00,ETH/EUR,1549.54000000,1606.11000000,1523.71000000,1592.69000000,19075.47960000,29754734.39082500,65763
1661904000000,2022-08-31 00:00:00,ETH/EUR,1522.33000000,1613.53000000,1522.28000000,1549.45000000,22770.15090000,35830957.77349700,71575
1661817600000,2022-08-30 00:00:00,ETH/EUR,1551.96000000,1602.33000000,1472.52000000,1521.86000000,25046.04410000,38775389.92306000,74802
1661731200000,2022-08-29 00:00:00,ETH/EUR,1439.15000000,1561.63000000,1433.23000000,1551.72000000,20710.28900000,30923448.05043200,66921
1661644800000,2022-08-28 00:00:00,ETH/EUR,1499.54000000,1518.99000000,1435.46000000,1439.28000000,16278.89880000,24241544.93812200,56774
1661558400000,2022-08-27 00:00:00,ETH/EUR,1517.29000000,1528.52000000,1455.74000000,1499.38000000,24105.72020000,36104459.48004400,71029
1661472000000,2022-08-26 00:00:00,ETH/EUR,1700.54000000,1701.00000000,1493.70000000,1517.36000000,32031.10950000,52048098.59424000,93948
1661385600000,2022-08-25 00:00:00,ETH/EUR,1663.17000000,1723.71000000,1661.18000000,1700.46000000,19817.66680000,33728379.32526700,54858
1661299200000,2022-08-24 00:00:00,ETH/EUR,1671.91000000,1700.00000000,1615.43000000,1663.17000000,22787.74980000,37809004.50917600,65511
1661212800000,2022-08-23 00:00:00,ETH/EUR,1634.34000000,1680.00000000,1576.98000000,1671.34000000,27752.71610000,45303647.07786200,72632
1661126400000,2022-08-22 00:00:00,ETH/EUR,1615.42000000,1638.65000000,1530.04000000,1634.43000000,30650.28180000,48395931.61248600,82550
1661040000000,2022-08-21 00:00:00,ETH/EUR,1571.78000000,1644.21000000,1559.09000000,1615.36000000,21538.84760000,34592184.05200700,65585
1660953600000,2022-08-20 00:00:00,ETH/EUR,1603.89000000,1655.01000000,1519.92000000,1571.69000000,23688.36760000,38016292.97741400,68900
1660867200000,2022-08-19 00:00:00,ETH/EUR,1830.60000000,1832.66000000,1598.21000000,1604.28000000,36382.58410000,62450666.68897900,94602
1660780800000,2022-08-18 00:00:00,ETH/EUR,1803.85000000,1863.08000000,1790.01000000,1831.25000000,19868.87210000,36415121.33689800,52159
1660694400000,2022-08-17 00:00:00,ETH/EUR,1846.15000000,1924.03000000,1791.39000000,1803.51000000,29560.13980000,54488907.54600100,72374
1660608000000,2022-08-16 00:00:00,ETH/EUR,1868.54000000,1890.90000000,1824.90000000,1846.09000000,24092.13090000,44687912.00063300,61258
1660521600000,2022-08-15 00:00:00,ETH/EUR,1889.97000000,1963.45000000,1833.73000000,1869.77000000,29950.78020000,56382647.65060200,77036
1660435200000,2022-08-14 00:00:00,ETH/EUR,1935.44000000,1978.67000000,1861.00000000,1889.82000000,21980.92240000,42235011.66166400,54738
1660348800000,2022-08-13 00:00:00,ETH/EUR,1909.75000000,1966.83000000,1897.83000000,1935.25000000,23072.52530000,44654476.03720200,61037
1660262400000,2022-08-12 00:00:00,ETH/EUR,1826.00000000,1915.19000000,1801.64000000,1909.67000000,45037.05680000,83043495.96115100,80582
1660176000000,2022-08-11 00:00:00,ETH/EUR,1802.40000000,1879.36000000,1799.01000000,1825.90000000,62546.20470000,114929986.41764900,104729
1660089600000,2022-08-10 00:00:00,ETH/EUR,1670.80000000,1833.00000000,1625.01000000,1802.59000000,31051.84960000,53738857.97471700,79436
1660003200000,2022-08-09 00:00:00,ETH/EUR,1744.83000000,1757.98000000,1634.52000000,1670.67000000,24634.88790000,41636997.09036300,61298
1659916800000,2022-08-08 00:00:00,ETH/EUR,1672.76000000,1783.00000000,1666.28000000,1745.24000000,22763.09280000,39434980.31042400,56812
1659830400000,2022-08-07 00:00:00,ETH/EUR,1661.20000000,1701.62000000,1640.00000000,1672.70000000,16797.96140000,27988513.40362500,41386
1659744000000,2022-08-06 00:00:00,ETH/EUR,1707.35000000,1719.08000000,1655.79000000,1661.20000000,15652.31560000,26419059.75609200,40907
1659657600000,2022-08-05 00:00:00,ETH/EUR,1573.40000000,1711.52000000,1571.21000000,1706.90000000,27595.83610000,45411919.86706300,67810
1659571200000,2022-08-04 00:00:00,ETH/EUR,1595.05000000,1636.73000000,1548.11000000,1573.78000000,28944.96200000,46028253.99117700,70877
1659484800000,2022-08-03 00:00:00,ETH/EUR,1606.52000000,1655.70000000,1567.14000000,1594.98000000,28601.45800000,46248335.18561300,71073
1659398400000,2022-08-02 00:00:00,ETH/EUR,1589.99000000,1647.00000000,1523.64000000,1606.45000000,28763.49480000,45400006.70495900,74233
1659312000000,2022-08-01 00:00:00,ETH/EUR,1646.11000000,1667.31000000,1566.17000000,1590.22000000,24934.23780000,40459238.66853000,65617
1659225600000,2022-07-31 00:00:00,ETH/EUR,1663.50000000,1716.21000000,1633.59000000,1646.61000000,18883.20070000,31552817.70915000,50145
1659139200000,2022-07-30 00:00:00,ETH/EUR,1685.27000000,1708.00000000,1640.10000000,1663.40000000,22025.73420000,36892042.96243300,60768
1659052800000,2022-07-29 00:00:00,ETH/EUR,1692.59000000,1727.00000000,1628.57000000,1684.46000000,37739.11410000,63339258.45689200,93877
1658966400000,2022-07-28 00:00:00,ETH/EUR,1602.76000000,1750.80000000,1570.01000000,1692.33000000,42985.93320000,70572617.68091500,106774
1658880000000,2022-07-27 00:00:00,ETH/EUR,1431.65000000,1610.36000000,1401.43000000,1602.45000000,37318.93310000,55755782.52850000,88567
1658793600000,2022-07-26 00:00:00,ETH/EUR,1410.42000000,1436.03000000,1342.00000000,1431.26000000,31874.25050000,44042719.44433700,74599
1658707200000,2022-07-25 00:00:00,ETH/EUR,1566.76000000,1578.74000000,1406.11000000,1410.36000000,39594.43210000,58885565.79662500,93773
1658620800000,2022-07-24 00:00:00,ETH/EUR,1518.39000000,1629.59000000,1516.13000000,1567.04000000,26978.80810000,42262771.68758800,68421
1658534400000,2022-07-23 00:00:00,ETH/EUR,1506.17000000,1565.06000000,1459.26000000,1518.30000000,24981.16550000,37741826.30932100,66961
1658448000000,2022-07-22 00:00:00,ETH/EUR,1542.21000000,1620.47000000,1486.00000000,1505.88000000,39657.92230000,61934615.75469600,98177
1658361600000,2022-07-21 00:00:00,ETH/EUR,1493.61000000,1570.39000000,1433.86000000,1542.47000000,42906.40770000,63976562.93184100,106601
1658275200000,2022-07-20 00:00:00,ETH/EUR,1508.23000000,1585.64000000,1461.35000000,1494.22000000,43171.77190000,66025408.22293000,106682
1658188800000,2022-07-19 00:00:00,ETH/EUR,1558.46000000,1605.66000000,1470.00000000,1508.52000000,49516.85830000,74936628.80932600,118150
