https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XLM,Volume BTC,tradecount
1663545600000,2022-09-19 00:00:00,XLM/BTC,0.00000551,0.00000554,0.00000550,0.00000553,170875.00000000,0.94346477,119
1663542000000,2022-09-18 23:00:00,XLM/BTC,0.00000554,0.00000557,0.00000550,0.00000552,701346.00000000,3.88382943,424
1663538400000,2022-09-18 22:00:00,XLM/BTC,0.00000562,0.00000563,0.00000550,0.00000555,1663681.00000000,9.26464073,972
1663534800000,2022-09-18 21:00:00,XLM/BTC,0.00000577,0.00000578,0.00000562,0.00000562,2388033.00000000,13.58803521,1064
1663531200000,2022-09-18 20:00:00,XLM/BTC,0.00000580,0.00000583,0.00000577,0.00000577,1160919.00000000,6.74686695,500
1663527600000,2022-09-18 19:00:00,XLM/BTC,0.00000582,0.00000585,0.00000579,0.00000580,1373045.00000000,7.99414459,521
1663524000000,2022-09-18 18:00:00,XLM/BTC,0.00000574,0.00000584,0.00000573,0.00000583,1116761.00000000,6.45891734,809
1663520400000,2022-09-18 17:00:00,XLM/BTC,0.00000571,0.00000575,0.00000567,0.00000574,910447.00000000,5.20226628,532
1663516800000,2022-09-18 16:00:00,XLM/BTC,0.00000567,0.00000571,0.00000564,0.00000570,856255.00000000,4.84983320,405
1663513200000,2022-09-18 15:00:00,XLM/BTC,0.00000564,0.00000569,0.00000564,0.00000567,438335.00000000,2.48506870,299
1663509600000,2022-09-18 14:00:00,XLM/BTC,0.00000563,0.00000565,0.00000561,0.00000564,330907.00000000,1.86171682,300
1663506000000,2022-09-18 13:00:00,XLM/BTC,0.00000562,0.00000565,0.00000561,0.00000563,423779.00000000,2.38561535,369
1663502400000,2022-09-18 12:00:00,XLM/BTC,0.00000563,0.00000564,0.00000559,0.00000562,670795.00000000,3.77001548,402
1663498800000,2022-09-18 11:00:00,XLM/BTC,0.00000562,0.00000566,0.00000561,0.00000562,519219.00000000,2.93108023,342
1663495200000,2022-09-18 10:00:00,XLM/BTC,0.00000568,0.00000571,0.00000562,0.00000563,1122840.00000000,6.36104262,568
1663491600000,2022-09-18 09:00:00,XLM/BTC,0.00000569,0.00000577,0.00000567,0.00000569,2551789.00000000,14.59532133,939
1663488000000,2022-09-18 08:00:00,XLM/BTC,0.00000569,0.00000574,0.00000567,0.00000569,1223655.00000000,6.97101591,754
1663484400000,2022-09-18 07:00:00,XLM/BTC,0.00000555,0.00000570,0.00000553,0.00000569,3134246.00000000,17.66947904,1163
1663480800000,2022-09-18 06:00:00,XLM/BTC,0.00000554,0.00000555,0.00000552,0.00000555,226204.00000000,1.25176581,222
1663477200000,2022-09-18 05:00:00,XLM/BTC,0.00000553,0.00000555,0.00000551,0.00000554,110371.00000000,0.61058339,240
1663473600000,2022-09-18 04:00:00,XLM/BTC,0.00000554,0.00000556,0.00000551,0.00000552,210316.00000000,1.16440387,257
1663470000000,2022-09-18 03:00:00,XLM/BTC,0.00000555,0.00000556,0.00000553,0.00000554,204295.00000000,1.13377452,209
1663466400000,2022-09-18 02:00:00,XLM/BTC,0.00000559,0.00000560,0.00000555,0.00000556,443841.00000000,2.47049350,308
1663462800000,2022-09-18 01:00:00,XLM/BTC,0.00000558,0.00000562,0.00000557,0.00000559,660827.00000000,3.69620362,331
1663459200000,2022-09-18 00:00:00,XLM/BTC,0.00000564,0.00000566,0.00000558,0.00000559,654462.00000000,3.67703417,382
1663455600000,2022-09-17 23:00:00,XLM/BTC,0.00000564,0.00000566,0.00000563,0.00000564,284971.00000000,1.60781736,225
1663452000000,2022-09-17 22:00:00,XLM/BTC,0.00000565,0.00000565,0.00000563,0.00000564,219131.00000000,1.23741345,213
1663448400000,2022-09-17 21:00:00,XLM/BTC,0.00000559,0.00000571,0.00000558,0.00000565,856058.00000000,4.84759003,765
1663444800000,2022-09-17 20:00:00,XLM/BTC,0.00000561,0.00000563,0.00000558,0.00000559,228491.00000000,1.27868079,237
1663441200000,2022-09-17 19:00:00,XLM/BTC,0.00000562,0.00000564,0.00000557,0.00000560,730903.00000000,4.09740477,364
1663437600000,2022-09-17 18:00:00,XLM/BTC,0.00000559,0.00000562,0.00000558,0.00000562,881801.00000000,4.94530988,343
