https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume EUT,Volume BTC
1663545600000,2022-09-19 00:00:00,BTC/EUT,19388,19488,19388,19488,2271.39519264,0.11655353
1663459200000,2022-09-18 00:00:00,BTC/EUT,20092,20092,19370,19388,137362.79597484,7.08493893
1663372800000,2022-09-17 00:00:00,BTC/EUT,19775,20188,19738,20081,702368.96718035,34.97679235
1663286400000,2022-09-16 00:00:00,BTC/EUT,19732,19949,19383,19772,195894.33952819998,9.90766435
1663200000000,2022-09-15 00:00:00,BTC/EUT,20283,20424,19646,19732,339044.24369452003,17.18245711
1663113600000,2022-09-14 00:00:00,BTC/EUT,20242,20553,19712,20283,149911.07452884,7.39097148
1663027200000,2022-09-13 00:00:00,BTC/EUT,22126,22416,19998,20241,480124.26400419,23.72038259
1662940800000,2022-09-12 00:00:00,BTC/EUT,21686,22223,21459,22125,102385.02828750001,4.6275719
1662854400000,2022-09-11 00:00:00,BTC/EUT,21498,21661,21195,21661,217391.70606698,10.03608818
1662768000000,2022-09-10 00:00:00,BTC/EUT,21200,21600,20967,21498,799172.26168812,37.174260939999996
1662681600000,2022-09-09 00:00:00,BTC/EUT,19334,21323,19288,21153,1200218.94520638,56.73989246
1662595200000,2022-09-08 00:00:00,BTC/EUT,19303,19486,19108,19334,53597.60672294,2.77219441
1662508800000,2022-09-07 00:00:00,BTC/EUT,19003,19470,18813,19275,44458.593195,2.3065418
1662422400000,2022-09-06 00:00:00,BTC/EUT,19938,20267,18918,18994,60939.29239396,3.20834434
1662336000000,2022-09-05 00:00:00,BTC/EUT,20198,20220,19811,19953,68067.42017481,3.41138777
1662249600000,2022-09-04 00:00:00,BTC/EUT,19944,20210,19734,20193,135164.22080259002,6.69361763
1662163200000,2022-09-03 00:00:00,BTC/EUT,20070,20152,19751,19925,31594.012489999997,1.5856468
1662076800000,2022-09-02 00:00:00,BTC/EUT,20256,20413,19888,20070,88405.6570074,4.40486582
1661990400000,2022-09-01 00:00:00,BTC/EUT,19986,20279,19739,20257,139805.61497925,6.90159525
1661904000000,2022-08-31 00:00:00,BTC/EUT,19767,20451,19767,19985,186615.70736934998,9.33778871
1661817600000,2022-08-30 00:00:00,BTC/EUT,20297,20571,19571,19765,88255.71506955,4.46525247
1661731200000,2022-08-29 00:00:00,BTC/EUT,19690,20483,19690,20297,117443.87428908,5.78626764
1661644800000,2022-08-28 00:00:00,BTC/EUT,20113,20238,19690,19706,30928.0615411,1.56947435
1661558400000,2022-08-27 00:00:00,BTC/EUT,20326,20440,19928,20113,34195.6298315,1.7001755
1661472000000,2022-08-26 00:00:00,BTC/EUT,21668,21786,20240,20335,206317.74134754998,10.14594253
1661385600000,2022-08-25 00:00:00,BTC/EUT,21445,21823,21398,21668,22427.8230888,1.0350666
1661299200000,2022-08-24 00:00:00,BTC/EUT,21630,21946,21301,21447,51617.51406144,2.40674752
1661212800000,2022-08-23 00:00:00,BTC/EUT,21538,21720,21113,21624,63935.64922896,2.95669854
1661126400000,2022-08-22 00:00:00,BTC/EUT,21474,21632,20917,21538,54958.78770184,2.55171268
1661040000000,2022-08-21 00:00:00,BTC/EUT,21078,21654,21030,21477,48711.44806362,2.26807506
1660953600000,2022-08-20 00:00:00,BTC/EUT,20760,21291,20741,21078,36080.77300434,1.71177403
1660867200000,2022-08-19 00:00:00,BTC/EUT,23026,23026,20746,20746,169879.3730425,8.18853625
1660780800000,2022-08-18 00:00:00,BTC/EUT,22969,23245,22929,23023,16244.00934156,0.70555572
1660694400000,2022-08-17 00:00:00,BTC/EUT,23459,24043,22827,22936,95836.1195592,4.1784147
1660608000000,2022-08-16 00:00:00,BTC/EUT,23750,23887,23285,23475,28870.4015085,1.22983606
