https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume JPY,Volume ETH
1663545600000,2022-09-19 00:00:00,ETH/JPY,190529.99999952,193440.00000003,190169.99999929,192139.99999962,25880861.928317014,134.69793863
1663542000000,2022-09-18 23:00:00,ETH/JPY,191879.8727776,193746.2365606,189859.9999998,190469.99999948,106978978.08134864,561.65788881
1663538400000,2022-09-18 22:00:00,ETH/JPY,190590.00000066,192089.99999981,189740.00000019,191879.8727776,74631079.75125518,388.9468899
1663534800000,2022-09-18 21:00:00,ETH/JPY,195990.616758,196110.0000006,189469.99999952,190719.99999987,74320009.65158455,389.68125866
1663531200000,2022-09-18 20:00:00,ETH/JPY,197301.9261724,197319.99999975,195689.99999998,196269.99999982,6281517.142400439,32.00446906
1663527600000,2022-09-18 19:00:00,ETH/JPY,196320.69544226,198259.5249063,195715.4771799,197619.99999933,39772900.06783016,201.25948825
1663524000000,2022-09-18 18:00:00,ETH/JPY,197120.0000005,198249.99999958,195469.99999963,196615.8849756,34300558.663648404,174.45466661
1663520400000,2022-09-18 17:00:00,ETH/JPY,199635.43649947,199819.99999969,196215.690528,196940.00000029,29713524.987843554,150.87602817
1663516800000,2022-09-18 16:00:00,ETH/JPY,202519.99999931,203590.973376,198373.990416,199546.024944,144457753.14327404,723.93200107
1663513200000,2022-09-18 15:00:00,ETH/JPY,203080.00000063,203850.0000003,201875.800896,202539.99999956,14031353.329420118,69.27694939
1663509600000,2022-09-18 14:00:00,ETH/JPY,205149.99999949,205149.99999949,201718.03059534,203139.99999996,14119037.52821942,69.50397523
1663506000000,2022-09-18 13:00:00,ETH/JPY,205670.00000031,205670.00000031,204640.00000023,205169.99999974,1400923.6200396246,6.82811142
1663502400000,2022-09-18 12:00:00,ETH/JPY,205119.65746773,205749.99999988,204037.28687426,205720.645872,1755878.8172450452,8.53525814
1663498800000,2022-09-18 11:00:00,ETH/JPY,204577.197552,205179.99999987,204577.197552,204939.99999971,3083274.319442837,15.04476588
1663495200000,2022-09-18 10:00:00,ETH/JPY,203548.094064,206439.99999998,202700.00000015,204760.0000003,10833149.432928672,52.90657078
1663491600000,2022-09-18 09:00:00,ETH/JPY,208170.00000028,208520.00000039,203549.99999939,203559.99999952,15846852.018610632,77.8485558
1663488000000,2022-09-18 08:00:00,ETH/JPY,207869.99999936,208579.99999971,207716.60084579,208060.19436796,2649775.8888479746,12.73562152
1663484400000,2022-09-18 07:00:00,ETH/JPY,208040.00000007,208390.00000018,207730.00000046,207869.99999936,1251889.4586393456,6.02246336
1663480800000,2022-09-18 06:00:00,ETH/JPY,208520.00000039,208679.3184,207437.39371077,207869.99999936,7430483.173086223,35.74581793
