https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ALPHA,Volume EUR
1663545600,2022-09-19 00:00:00,ALPHA/EUR,0.10475,0.10475,0.10475,0.10475,0.00000000,0.0
1663459200,2022-09-18 00:00:00,ALPHA/EUR,0.11506,0.11506,0.10325,0.10475,6169.88343784,646.29529011374
1663372800,2022-09-17 00:00:00,ALPHA/EUR,0.11252,0.11252,0.11252,0.11252,190.00000000,21.3788
1663286400,2022-09-16 00:00:00,ALPHA/EUR,0.11061,0.11100,0.11060,0.11100,1148.92328159,127.53048425649
1663200000,2022-09-15 00:00:00,ALPHA/EUR,0.11240,0.11960,0.11240,0.11960,9865.10282406,1179.8662977575761
1663113600,2022-09-14 00:00:00,ALPHA/EUR,0.11583,0.11850,0.11060,0.11850,21373.44874360,2532.7536761166
1663027200,2022-09-13 00:00:00,ALPHA/EUR,0.12470,0.12841,0.11871,0.12138,4293.61123154,521.1585312843251
1662940800,2022-09-12 00:00:00,ALPHA/EUR,0.12738,0.12759,0.12543,0.12631,2420.94004593,305.7889372014183
1662854400,2022-09-11 00:00:00,ALPHA/EUR,0.12852,0.12903,0.12500,0.12754,13525.27803953,1725.013961161656
1662768000,2022-09-10 00:00:00,ALPHA/EUR,0.12803,0.12803,0.12564,0.12717,5361.91777887,681.8750839388979
1662681600,2022-09-09 00:00:00,ALPHA/EUR,0.12006,0.12991,0.11986,0.12776,22887.01282545,2924.0447585794923
1662595200,2022-09-08 00:00:00,ALPHA/EUR,0.11792,0.11792,0.11515,0.11683,6700.55858292,782.8262592425436
1662508800,2022-09-07 00:00:00,ALPHA/EUR,0.11347,0.11830,0.11043,0.11788,77080.59743185,9086.260825266478
1662422400,2022-09-06 00:00:00,ALPHA/EUR,0.12244,0.12732,0.10998,0.11457,78541.62741741,8998.514253212663
1662336000,2022-09-05 00:00:00,ALPHA/EUR,0.12090,0.12091,0.11794,0.11794,36356.93090850,4287.93643134849
1662249600,2022-09-04 00:00:00,ALPHA/EUR,0.12635,0.12635,0.11911,0.11980,12264.24166385,1469.25615132923
1662163200,2022-09-03 00:00:00,ALPHA/EUR,0.12190,0.12634,0.11837,0.11837,8933.68281450,1057.480034752365
1662076800,2022-09-02 00:00:00,ALPHA/EUR,0.12326,0.12635,0.12203,0.12635,17297.33595762,2185.518398245287
1661990400,2022-09-01 00:00:00,ALPHA/EUR,0.12635,0.12635,0.11968,0.12036,1416.76217654,170.5214955683544
1661904000,2022-08-31 00:00:00,ALPHA/EUR,0.12330,0.12635,0.12097,0.12149,29505.45404298,3584.61761168164
1661817600,2022-08-30 00:00:00,ALPHA/EUR,0.12634,0.12636,0.11689,0.12096,18031.60964028,2181.1035020882687
1661731200,2022-08-29 00:00:00,ALPHA/EUR,0.12158,0.12378,0.12158,0.12378,7156.10212778,885.7823213766084
1661644800,2022-08-28 00:00:00,ALPHA/EUR,0.12109,0.12109,0.12109,0.12109,673.45775868,81.5489999985612
1661558400,2022-08-27 00:00:00,ALPHA/EUR,0.12500,0.12500,0.11879,0.12058,23422.87729830,2824.330544629014
1661472000,2022-08-26 00:00:00,ALPHA/EUR,0.13308,0.13907,0.12000,0.12000,17297.80249141,2075.7362989691997
1661385600,2022-08-25 00:00:00,ALPHA/EUR,0.13495,0.13495,0.13495,0.13495,0.00000000,0.0
1661299200,2022-08-24 00:00:00,ALPHA/EUR,0.12969,0.13495,0.12969,0.13495,5176.49377097,698.5678343924014
1661212800,2022-08-23 00:00:00,ALPHA/EUR,0.12675,0.13379,0.12675,0.13137,4103.54723288,539.0829999834455
1661126400,2022-08-22 00:00:00,ALPHA/EUR,0.12769,0.12769,0.12000,0.12673,26458.63372827,3353.1026523836576
1661040000,2022-08-21 00:00:00,ALPHA/EUR,0.12885,0.13908,0.12715,0.13908,16843.75715538,2342.6297451702508
1660953600,2022-08-20 00:00:00,ALPHA/EUR,0.12886,0.12886,0.12364,0.12364,261.38360216,32.3174685710624
1660867200,2022-08-19 00:00:00,ALPHA/EUR,0.13550,0.13550,0.12084,0.12416,29432.48872694,3654.3378003368703
1660780800,2022-08-18 00:00:00,ALPHA/EUR,0.14277,0.14960,0.13550,0.14421,6673.45621880,962.3791213131481
1660694400,2022-08-17 00:00:00,ALPHA/EUR,0.15353,0.15798,0.14000,0.14000,27704.31429062,3878.6040006868006
1660608000,2022-08-16 00:00:00,ALPHA/EUR,0.15797,0.15798,0.14776,0.14815,9065.82251089,1343.1016049883535
1660521600,2022-08-15 00:00:00,ALPHA/EUR,0.15177,0.15799,0.15126,0.15798,3025.73550217,478.00569463281664
1660435200,2022-08-14 00:00:00,ALPHA/EUR,0.15487,0.16049,0.14963,0.15035,30326.00453526,4559.514781876342
1660348800,2022-08-13 00:00:00,ALPHA/EUR,0.16447,0.16448,0.15424,0.15800,23692.51675430,3743.4176471794
1660262400,2022-08-12 00:00:00,ALPHA/EUR,0.16000,0.16529,0.15000,0.16449,34634.71235178,5697.063834744292
1660176000,2022-08-11 00:00:00,ALPHA/EUR,0.16187,0.17723,0.15628,0.17697,30371.36568025,5374.820584433843
1660089600,2022-08-10 00:00:00,ALPHA/EUR,0.15594,0.16246,0.15594,0.15935,17891.19715965,2850.9622673902277
1660003200,2022-08-09 00:00:00,ALPHA/EUR,0.17295,0.17295,0.15000,0.15902,26925.55642958,4281.701983431812
1659916800,2022-08-08 00:00:00,ALPHA/EUR,0.17303,0.17303,0.17001,0.17237,17015.74422073,2933.0038313272303
1659830400,2022-08-07 00:00:00,ALPHA/EUR,0.17028,0.17614,0.16709,0.17456,16086.35924343,2808.034869533141
1659744000,2022-08-06 00:00:00,ALPHA/EUR,0.17120,0.18070,0.17120,0.17397,997.33807154,173.5069043058138
1659657600,2022-08-05 00:00:00,ALPHA/EUR,0.16271,0.17043,0.16242,0.16348,8224.25298955,1344.5008787316337
1659571200,2022-08-04 00:00:00,ALPHA/EUR,0.16797,0.16918,0.16268,0.16331,11087.95707689,1810.7742702269059
1659484800,2022-08-03 00:00:00,ALPHA/EUR,0.15570,0.17120,0.15570,0.16802,24539.04475969,4123.050300523114
1659398400,2022-08-02 00:00:00,ALPHA/EUR,0.15043,0.16200,0.14866,0.16156,29843.43634260,4821.505575510457
1659312000,2022-08-01 00:00:00,ALPHA/EUR,0.15427,0.17423,0.15427,0.15793,47453.51696195,7494.333933800763
1659225600,2022-07-31 00:00:00,ALPHA/EUR,0.15325,0.15801,0.15270,0.15270,23554.38523443,3596.754625297461
1659139200,2022-07-30 00:00:00,ALPHA/EUR,0.15692,0.15692,0.15692,0.15692,462.64285280,72.597916461376
1659052800,2022-07-29 00:00:00,ALPHA/EUR,0.14000,0.16201,0.14000,0.16201,76727.46259267,12430.616214638465
1658966400,2022-07-28 00:00:00,ALPHA/EUR,0.12650,0.14000,0.11823,0.13537,12609.31849293,1706.923444387934
1658880000,2022-07-27 00:00:00,ALPHA/EUR,0.12000,0.12000,0.12000,0.12000,0.42783334,0.0513400008
1658793600,2022-07-26 00:00:00,ALPHA/EUR,0.12000,0.13749,0.11500,0.11500,10034.76898430,1153.9984331945002
1658707200,2022-07-25 00:00:00,ALPHA/EUR,0.12516,0.13750,0.12178,0.12178,22552.72244999,2746.4705399597824
1658620800,2022-07-24 00:00:00,ALPHA/EUR,0.13428,0.13428,0.13361,0.13361,1877.60036165,250.8661843200565
1658534400,2022-07-23 00:00:00,ALPHA/EUR,0.12874,0.12874,0.12788,0.12789,21517.60122522,2751.886020693386
