https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LINK,Volume BTC
1663545600,2022-09-19 00:00:00,LINK/BTC,0.00038699,0.00038699,0.00038699,0.00038699,0.00000000,0.0
1663542000,2022-09-18 23:00:00,LINK/BTC,0.00038699,0.00038699,0.00038699,0.00038699,1.98464000,0.0007680358335999999
1663538400,2022-09-18 22:00:00,LINK/BTC,0.00038690,0.00038700,0.00038690,0.00038700,6.32796500,0.0024489224549999996
1663534800,2022-09-18 21:00:00,LINK/BTC,0.00039391,0.00039502,0.00038435,0.00038484,383.97546000,0.1477691160264
1663531200,2022-09-18 20:00:00,LINK/BTC,0.00039677,0.00039677,0.00039677,0.00039677,21.69395000,0.008607508541500001
1663527600,2022-09-18 19:00:00,LINK/BTC,0.00039829,0.00039989,0.00039754,0.00039989,213.52398892,0.0853861079292188
1663524000,2022-09-18 18:00:00,LINK/BTC,0.00039612,0.00039903,0.00039612,0.00039903,451.57425100,0.18019167337653
1663520400,2022-09-18 17:00:00,LINK/BTC,0.00039316,0.00039682,0.00039316,0.00039682,23.38181586,0.009278372169565199
1663516800,2022-09-18 16:00:00,LINK/BTC,0.00039682,0.00039682,0.00039473,0.00039506,153.93395000,0.060813146287
1663513200,2022-09-18 15:00:00,LINK/BTC,0.00039751,0.00039751,0.00039751,0.00039751,24.10376000,0.009581485637600001
1663509600,2022-09-18 14:00:00,LINK/BTC,0.00040002,0.00040002,0.00039729,0.00039729,31.91801100,0.012680706590190001
1663506000,2022-09-18 13:00:00,LINK/BTC,0.00039700,0.00039700,0.00039680,0.00039680,39.67176000,0.015741754368
1663502400,2022-09-18 12:00:00,LINK/BTC,0.00039778,0.00039778,0.00039778,0.00039778,1.25382500,0.0004987465084999999
1663498800,2022-09-18 11:00:00,LINK/BTC,0.00039532,0.00039532,0.00039532,0.00039532,0.00000000,0.0
1663495200,2022-09-18 10:00:00,LINK/BTC,0.00039532,0.00039553,0.00039532,0.00039532,285.86808000,0.11300936938560001
1663491600,2022-09-18 09:00:00,LINK/BTC,0.00039433,0.00039433,0.00039433,0.00039433,2.12480300,0.0008378735669899999
1663488000,2022-09-18 08:00:00,LINK/BTC,0.00040032,0.00040032,0.00040032,0.00040032,0.00000000,0.0
1663484400,2022-09-18 07:00:00,LINK/BTC,0.00040158,0.00040158,0.00040032,0.00040032,261.40020400,0.10464372966527999
1663480800,2022-09-18 06:00:00,LINK/BTC,0.00040158,0.00040158,0.00040158,0.00040158,13.66050000,0.00548578359
1663477200,2022-09-18 05:00:00,LINK/BTC,0.00039917,0.00040020,0.00039917,0.00040020,160.58943996,0.064267893871992
1663473600,2022-09-18 04:00:00,LINK/BTC,0.00040017,0.00040140,0.00039188,0.00040022,2308.27681907,0.9238185485281953
1663470000,2022-09-18 03:00:00,LINK/BTC,0.00039829,0.00039829,0.00039821,0.00039821,187.35143000,0.07460521294030001
1663466400,2022-09-18 02:00:00,LINK/BTC,0.00039993,0.00039993,0.00039987,0.00039987,312.64857000,0.1250187836859
1663462800,2022-09-18 01:00:00,LINK/BTC,0.00039976,0.00040160,0.00039976,0.00040055,964.71231914,0.386415519431527
1663459200,2022-09-18 00:00:00,LINK/BTC,0.00040601,0.00040601,0.00039788,0.00039788,19.24390781,0.0076567660394427995
1663455600,2022-09-17 23:00:00,LINK/BTC,0.00040353,0.00040353,0.00040353,0.00040353,6.50000000,0.002622945
1663452000,2022-09-17 22:00:00,LINK/BTC,0.00039656,0.00039717,0.00039656,0.00039717,58.48768126,0.023229552366034203
1663448400,2022-09-17 21:00:00,LINK/BTC,0.00040064,0.00040064,0.00040064,0.00040064,0.94212000,0.0003774509568
1663444800,2022-09-17 20:00:00,LINK/BTC,0.00040149,0.00040149,0.00040149,0.00040149,5.85088047,0.0023490699999002998
1663441200,2022-09-17 19:00:00,LINK/BTC,0.00039932,0.00040108,0.00039932,0.00040108,735.89983600,0.29515470622288004
1663437600,2022-09-17 18:00:00,LINK/BTC,0.00039740,0.00039740,0.00039740,0.00039740,8.27164733,0.003287152648942
1663434000,2022-09-17 17:00:00,LINK/BTC,0.00039726,0.00039891,0.00039726,0.00039778,55.38074600,0.02202935314388
1663430400,2022-09-17 16:00:00,LINK/BTC,0.00039512,0.00039732,0.00039509,0.00039732,81.94707900,0.03255921342828
1663426800,2022-09-17 15:00:00,LINK/BTC,0.00039544,0.00039544,0.00039524,0.00039524,127.26045300,0.05029842144372
1663423200,2022-09-17 14:00:00,LINK/BTC,0.00039480,0.00039748,0.00039480,0.00039706,46.29088800,0.01838025998928
1663419600,2022-09-17 13:00:00,LINK/BTC,0.00039500,0.00039567,0.00039449,0.00039449,63.25297500,0.024952666107749998
1663416000,2022-09-17 12:00:00,LINK/BTC,0.00039788,0.00039875,0.00039788,0.00039875,4.79226100,0.0019109140737500001
1663412400,2022-09-17 11:00:00,LINK/BTC,0.00039619,0.00039619,0.00039619,0.00039619,2.23577100,0.0008857901124900001
1663408800,2022-09-17 10:00:00,LINK/BTC,0.00039965,0.00039965,0.00039965,0.00039965,0.00000000,0.0
1663405200,2022-09-17 09:00:00,LINK/BTC,0.00039965,0.00039965,0.00039965,0.00039965,1.03258100,0.00041267099664999996
1663401600,2022-09-17 08:00:00,LINK/BTC,0.00040324,0.00040324,0.00039969,0.00039980,215.73338789,0.086250208478422
1663398000,2022-09-17 07:00:00,LINK/BTC,0.00040262,0.00040457,0.00040262,0.00040457,63.66813500,0.02575821737695
1663394400,2022-09-17 06:00:00,LINK/BTC,0.00040160,0.00040363,0.00040035,0.00040363,550.67773579,0.2222700544969177
1663390800,2022-09-17 05:00:00,LINK/BTC,0.00039500,0.00040000,0.00039500,0.00040000,111.76554500,0.044706218000000006
1663387200,2022-09-17 04:00:00,LINK/BTC,0.00039350,0.00039350,0.00039350,0.00039350,0.00000171,6.72885e-10
1663383600,2022-09-17 03:00:00,LINK/BTC,0.00039085,0.00039193,0.00039085,0.00039193,180.20532151,0.07062787165941431
1663380000,2022-09-17 02:00:00,LINK/BTC,0.00039148,0.00039195,0.00039093,0.00039093,645.37997858,0.25229839502627943
1663376400,2022-09-17 01:00:00,LINK/BTC,0.00038486,0.00038486,0.00038486,0.00038486,64.99823000,0.025015218797800002
1663372800,2022-09-17 00:00:00,LINK/BTC,0.00038852,0.00038852,0.00038852,0.00038852,129.87989502,0.0504609368131704
1663369200,2022-09-16 23:00:00,LINK/BTC,0.00038477,0.00038477,0.00038477,0.00038477,0.00000000,0.0
1663365600,2022-09-16 22:00:00,LINK/BTC,0.00038504,0.00038504,0.00038477,0.00038477,3.78475000,0.0014562582574999998
1663362000,2022-09-16 21:00:00,LINK/BTC,0.00038453,0.00038453,0.00038453,0.00038453,0.00000000,0.0
1663358400,2022-09-16 20:00:00,LINK/BTC,0.00038600,0.00038600,0.00038453,0.00038453,1052.45094430,0.404698961611679
1663354800,2022-09-16 19:00:00,LINK/BTC,0.00038957,0.00038957,0.00038957,0.00038957,0.00000000,0.0
1663351200,2022-09-16 18:00:00,LINK/BTC,0.00038910,0.00038959,0.00038910,0.00038957,124.46803000,0.0484890104471
1663347600,2022-09-16 17:00:00,LINK/BTC,0.00039247,0.00039260,0.00039111,0.00039111,97.65439505,0.038193610448005504
1663344000,2022-09-16 16:00:00,LINK/BTC,0.00039346,0.00039350,0.00038906,0.00038906,502.48917643,0.1954984389818558
1663340400,2022-09-16 15:00:00,LINK/BTC,0.00039178,0.00039238,0.00039178,0.00039210,346.49607000,0.135861109047
1663336800,2022-09-16 14:00:00,LINK/BTC,0.00039109,0.00039215,0.00039109,0.00039178,1344.66869943,0.5268143030626854
1663333200,2022-09-16 13:00:00,LINK/BTC,0.00038821,0.00039109,0.00038536,0.00039109,2943.76783498,1.1512781625823283
1663329600,2022-09-16 12:00:00,LINK/BTC,0.00039042,0.00039109,0.00038922,0.00039109,404.27732280,0.158108818173852
1663326000,2022-09-16 11:00:00,LINK/BTC,0.00038767,0.00039012,0.00038724,0.00039000,76.34070800,0.029772876120000003
1663322400,2022-09-16 10:00:00,LINK/BTC,0.00038359,0.00038727,0.00038359,0.00038727,619.20220400,0.23979843754308003
1663318800,2022-09-16 09:00:00,LINK/BTC,0.00038094,0.00038569,0.00038094,0.00038409,233.17946700,0.08956190148003
1663315200,2022-09-16 08:00:00,LINK/BTC,0.00038693,0.00038988,0.00038239,0.00038244,339.35231500,0.1297818993486
1663311600,2022-09-16 07:00:00,LINK/BTC,0.00038269,0.00038602,0.00038258,0.00038602,558.16384500,0.2154624074469
1663308000,2022-09-16 06:00:00,LINK/BTC,0.00038152,0.00038152,0.00038152,0.00038152,0.00000000,0.0
1663304400,2022-09-16 05:00:00,LINK/BTC,0.00038149,0.00038152,0.00038149,0.00038152,44.01000000,0.0167906952
1663300800,2022-09-16 04:00:00,LINK/BTC,0.00038000,0.00038000,0.00038000,0.00038000,2362.26000000,0.8976588000000001
1663297200,2022-09-16 03:00:00,LINK/BTC,0.00037933,0.00038250,0.00037932,0.00038250,43.42825000,0.016611305625
1663293600,2022-09-16 02:00:00,LINK/BTC,0.00037942,0.00038102,0.00037752,0.00038075,105.37809000,0.0401227077675
1663290000,2022-09-16 01:00:00,LINK/BTC,0.00038392,0.00038392,0.00038311,0.00038331,35.96047000,0.0137840077557
1663286400,2022-09-16 00:00:00,LINK/BTC,0.00038450,0.00038450,0.00038450,0.00038450,8.25130000,0.0031726248500000003
1663282800,2022-09-15 23:00:00,LINK/BTC,0.00037956,0.00038068,0.00037956,0.00038068,55.83000000,0.0212533644
1663279200,2022-09-15 22:00:00,LINK/BTC,0.00038038,0.00038126,0.00037653,0.00038092,3104.97665844,1.1827477087329648
1663275600,2022-09-15 21:00:00,LINK/BTC,0.00038000,0.00038128,0.00038000,0.00038128,251.21997000,0.0957851501616
1663272000,2022-09-15 20:00:00,LINK/BTC,0.00037143,0.00037143,0.00037123,0.00037123,192.41913207,0.07143175439834609
1663268400,2022-09-15 19:00:00,LINK/BTC,0.00036696,0.00036696,0.00036696,0.00036696,0.00000000,0.0
1663264800,2022-09-15 18:00:00,LINK/BTC,0.00036696,0.00036696,0.00036696,0.00036696,0.00000000,0.0
1663261200,2022-09-15 17:00:00,LINK/BTC,0.00036696,0.00036696,0.00036696,0.00036696,54.97978000,0.0201753800688
1663257600,2022-09-15 16:00:00,LINK/BTC,0.00035924,0.00035924,0.00035924,0.00035924,0.00000000,0.0
1663254000,2022-09-15 15:00:00,LINK/BTC,0.00035825,0.00035924,0.00035825,0.00035924,44.33770000,0.015927875347999998
1663250400,2022-09-15 14:00:00,LINK/BTC,0.00036349,0.00036404,0.00036349,0.00036404,40.90943000,0.0148926688972
1663246800,2022-09-15 13:00:00,LINK/BTC,0.00036349,0.00036349,0.00036349,0.00036349,41.26702000,0.0150001490998
1663243200,2022-09-15 12:00:00,LINK/BTC,0.00036287,0.00036287,0.00036287,0.00036287,0.00000000,0.0
1663239600,2022-09-15 11:00:00,LINK/BTC,0.00036287,0.00036287,0.00036287,0.00036287,0.00000000,0.0
1663236000,2022-09-15 10:00:00,LINK/BTC,0.00036287,0.00036287,0.00036287,0.00036287,5.00000000,0.00181435
1663232400,2022-09-15 09:00:00,LINK/BTC,0.00036118,0.00036118,0.00036118,0.00036118,0.00000000,0.0
1663228800,2022-09-15 08:00:00,LINK/BTC,0.00036118,0.00036118,0.00036118,0.00036118,0.00000000,0.0
1663225200,2022-09-15 07:00:00,LINK/BTC,0.00036118,0.00036118,0.00036118,0.00036118,0.00000000,0.0
