https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LINK,Volume ETH
1660176000,2022-08-11 00:00:00,LINK/ETH,0.00499722,0.00499722,0.00499722,0.00499722,0.00000000,0.0
1660172400,2022-08-10 23:00:00,LINK/ETH,0.00499722,0.00499722,0.00499722,0.00499722,0.00000000,0.0
1660168800,2022-08-10 22:00:00,LINK/ETH,0.00499722,0.00499722,0.00499722,0.00499722,0.00000000,0.0
1660165200,2022-08-10 21:00:00,LINK/ETH,0.00499722,0.00499722,0.00499722,0.00499722,0.00000000,0.0
1660161600,2022-08-10 20:00:00,LINK/ETH,0.00499722,0.00499722,0.00499722,0.00499722,0.00000000,0.0
1660158000,2022-08-10 19:00:00,LINK/ETH,0.00499722,0.00499722,0.00499722,0.00499722,6.77865500,0.0338744303391
1660154400,2022-08-10 18:00:00,LINK/ETH,0.00505100,0.00505100,0.00505100,0.00505100,2.70189508,0.013647272049079999
1660150800,2022-08-10 17:00:00,LINK/ETH,0.00490728,0.00490728,0.00490728,0.00490728,0.00000000,0.0
1660147200,2022-08-10 16:00:00,LINK/ETH,0.00490728,0.00490728,0.00490728,0.00490728,0.00000000,0.0
1660143600,2022-08-10 15:00:00,LINK/ETH,0.00490728,0.00490728,0.00490728,0.00490728,0.00000000,0.0
1660140000,2022-08-10 14:00:00,LINK/ETH,0.00490728,0.00490728,0.00490728,0.00490728,0.00000000,0.0
1660136400,2022-08-10 13:00:00,LINK/ETH,0.00490728,0.00490728,0.00490728,0.00490728,2.92641910,0.014360757921048
1660132800,2022-08-10 12:00:00,LINK/ETH,0.00504329,0.00504329,0.00504329,0.00504329,0.00000000,0.0
1660129200,2022-08-10 11:00:00,LINK/ETH,0.00504329,0.00504329,0.00504329,0.00504329,0.00000000,0.0
1660125600,2022-08-10 10:00:00,LINK/ETH,0.00504329,0.00504329,0.00504329,0.00504329,0.00000000,0.0
1660122000,2022-08-10 09:00:00,LINK/ETH,0.00504329,0.00504329,0.00504329,0.00504329,0.68875900,0.00347361137711
1660118400,2022-08-10 08:00:00,LINK/ETH,0.00499857,0.00499857,0.00499857,0.00499857,0.00000000,0.0
1660114800,2022-08-10 07:00:00,LINK/ETH,0.00499857,0.00499857,0.00499857,0.00499857,0.00000000,0.0
1660111200,2022-08-10 06:00:00,LINK/ETH,0.00499857,0.00499857,0.00499857,0.00499857,0.00000000,0.0
1660107600,2022-08-10 05:00:00,LINK/ETH,0.00499858,0.00499858,0.00499857,0.00499857,13.91349900,0.06954759869643
1660104000,2022-08-10 04:00:00,LINK/ETH,0.00530000,0.00530000,0.00530000,0.00530000,0.00000000,0.0
1660100400,2022-08-10 03:00:00,LINK/ETH,0.00530000,0.00530000,0.00530000,0.00530000,0.00000000,0.0
1660096800,2022-08-10 02:00:00,LINK/ETH,0.00530000,0.00530000,0.00530000,0.00530000,0.00000000,0.0
1660093200,2022-08-10 01:00:00,LINK/ETH,0.00513022,0.00530000,0.00513022,0.00530000,19.59291772,0.103842463916
1660089600,2022-08-10 00:00:00,LINK/ETH,0.00501108,0.00502357,0.00501108,0.00502357,8.03638334,0.0403713342553238
1660086000,2022-08-09 23:00:00,LINK/ETH,0.00512023,0.00512023,0.00512023,0.00512023,0.00000000,0.0
1660082400,2022-08-09 22:00:00,LINK/ETH,0.00512023,0.00512023,0.00512023,0.00512023,0.00000000,0.0
1660078800,2022-08-09 21:00:00,LINK/ETH,0.00512023,0.00512023,0.00512023,0.00512023,2.72908212,0.013973528143287601
1660075200,2022-08-09 20:00:00,LINK/ETH,0.00522365,0.00522365,0.00522365,0.00522365,0.00000000,0.0
1660071600,2022-08-09 19:00:00,LINK/ETH,0.00522365,0.00522365,0.00522365,0.00522365,0.00000000,0.0
1660068000,2022-08-09 18:00:00,LINK/ETH,0.00522365,0.00522365,0.00522365,0.00522365,17.26326743,0.09017726691071949
