https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USDC,Volume USDT
1663545600,2022-09-19 00:00:00,USDC/USDT,1.00004,1.00004,1.00004,1.00004,0.00000,0.0
1663459200,2022-09-18 00:00:00,USDC/USDT,1.00007,1.00007,1.00004,1.00004,121.93918,121.9440575672
1663372800,2022-09-17 00:00:00,USDC/USDT,0.99994,0.99994,0.99992,0.99992,3857.75924,3857.4506192608
1663286400,2022-09-16 00:00:00,USDC/USDT,0.99854,1.00019,0.99100,1.00015,10599.21663,10600.806512494502
1663200000,2022-09-15 00:00:00,USDC/USDT,0.99964,1.00010,0.99856,1.00010,2089.72590,2089.93487259
1663113600,2022-09-14 00:00:00,USDC/USDT,1.00006,1.00009,0.99968,0.99968,19144.82362,19138.6972764416
1663027200,2022-09-13 00:00:00,USDC/USDT,0.99972,1.00000,0.99850,0.99996,18607.60462,18606.860315815196
1662940800,2022-09-12 00:00:00,USDC/USDT,0.99964,0.99987,0.99960,0.99985,22307.20529,22303.8592092065
1662854400,2022-09-11 00:00:00,USDC/USDT,0.99978,0.99983,0.99963,0.99968,2765.41630,2764.531366784
1662768000,2022-09-10 00:00:00,USDC/USDT,0.99966,0.99984,0.99954,0.99984,4940.87223,4940.0816904431995
1662681600,2022-09-09 00:00:00,USDC/USDT,0.99997,0.99997,0.99963,0.99970,37089.12012,37077.993383964
1662595200,2022-09-08 00:00:00,USDC/USDT,1.00014,1.00020,0.99984,0.99988,29595.94866,29592.397146160798
1662508800,2022-09-07 00:00:00,USDC/USDT,0.99992,1.00014,0.99962,0.99991,53524.53633,53519.719121730304
1662422400,2022-09-06 00:00:00,USDC/USDT,1.00002,1.00028,0.99982,1.00003,65681.31942,65683.2898595826
1662336000,2022-09-05 00:00:00,USDC/USDT,1.00026,1.00026,0.99985,0.99998,7649.64231,7649.4893171538
1662249600,2022-09-04 00:00:00,USDC/USDT,1.00036,1.00036,1.00036,1.00036,209.16339,209.23868882039997
1662163200,2022-09-03 00:00:00,USDC/USDT,0.99889,0.99895,0.99889,0.99895,134.29787,134.1568572365
1662076800,2022-09-02 00:00:00,USDC/USDT,0.99937,0.99937,0.99937,0.99937,0.00000,0.0
1661990400,2022-09-01 00:00:00,USDC/USDT,0.99935,0.99937,0.99935,0.99937,5600.00000,5596.472
1661904000,2022-08-31 00:00:00,USDC/USDT,0.99966,1.00009,0.99953,1.00009,672.92445,672.9850132004999
1661817600,2022-08-30 00:00:00,USDC/USDT,1.00019,1.00400,0.99916,1.00371,42137.98437,42294.3162920127
1661731200,2022-08-29 00:00:00,USDC/USDT,0.99965,0.99965,0.99895,0.99895,14938.48191,14922.796503994501
1661644800,2022-08-28 00:00:00,USDC/USDT,1.00023,1.00023,1.00023,1.00023,0.00000,0.0
1661558400,2022-08-27 00:00:00,USDC/USDT,1.00023,1.00023,1.00023,1.00023,0.00000,0.0
1661472000,2022-08-26 00:00:00,USDC/USDT,1.00051,1.00055,0.99884,1.00023,5384.23135,5385.4697232105
1661385600,2022-08-25 00:00:00,USDC/USDT,1.00009,1.00055,0.99893,0.99893,90864.30685,90767.0820416705
1661299200,2022-08-24 00:00:00,USDC/USDT,1.00046,1.00046,0.99889,1.00009,10326.62765,10327.5570464885
1661212800,2022-08-23 00:00:00,USDC/USDT,1.00089,1.00089,0.99907,0.99907,386.34375,385.98445031250003
1661126400,2022-08-22 00:00:00,USDC/USDT,0.99904,1.00059,0.99900,1.00013,3436.26986,3436.7165750818
1661040000,2022-08-21 00:00:00,USDC/USDT,0.99993,0.99997,0.99100,0.99993,26211.74270,26209.907878011
1660953600,2022-08-20 00:00:00,USDC/USDT,0.99893,0.99992,0.99763,0.99992,24303.08318,24301.138933345603
1660867200,2022-08-19 00:00:00,USDC/USDT,0.99939,1.00255,0.99895,0.99944,546718.07255,546411.910429372
1660780800,2022-08-18 00:00:00,USDC/USDT,1.00106,1.00106,0.99952,1.00056,72.15466,72.1950666096
1660694400,2022-08-17 00:00:00,USDC/USDT,0.99968,1.00090,0.99911,1.00090,2923.94266,2926.574208394
1660608000,2022-08-16 00:00:00,USDC/USDT,1.00014,1.00105,0.99871,0.99945,11402.71460,11396.443106969999
1660521600,2022-08-15 00:00:00,USDC/USDT,0.99953,1.00014,0.99869,0.99869,1752.02810,1749.732943189
1660435200,2022-08-14 00:00:00,USDC/USDT,0.99866,1.00014,0.99866,1.00014,316.51622,316.56053227079997
1660348800,2022-08-13 00:00:00,USDC/USDT,0.99860,0.99860,0.99860,0.99860,0.00000,0.0
1660262400,2022-08-12 00:00:00,USDC/USDT,0.99860,0.99860,0.99843,0.99860,1218.60891,1216.902857526
1660176000,2022-08-11 00:00:00,USDC/USDT,0.99365,1.00028,0.99365,0.99911,5284.49861,5279.7954062371
1660089600,2022-08-10 00:00:00,USDC/USDT,0.99870,1.00000,0.99863,0.99863,18557.35215,18531.9285775545
1660003200,2022-08-09 00:00:00,USDC/USDT,0.99837,0.99985,0.99784,0.99870,24338.42358,24306.783629346
1659916800,2022-08-08 00:00:00,USDC/USDT,0.99895,0.99944,0.99814,0.99929,17963.03797,17950.2842130413
1659830400,2022-08-07 00:00:00,USDC/USDT,1.00034,1.00034,0.99895,0.99895,1098.51097,1097.3575334815
1659744000,2022-08-06 00:00:00,USDC/USDT,0.99886,0.99886,0.99886,0.99886,152.00000,151.82672
1659657600,2022-08-05 00:00:00,USDC/USDT,0.99839,0.99839,0.99839,0.99839,620.40812,619.4092629268
1659571200,2022-08-04 00:00:00,USDC/USDT,1.00027,1.00027,0.99873,0.99883,3008.17395,3004.6543864785
1659484800,2022-08-03 00:00:00,USDC/USDT,1.00041,1.00042,0.99814,1.00031,25084.49411,25092.2703031741
1659398400,2022-08-02 00:00:00,USDC/USDT,1.00006,1.00022,0.99895,0.99895,5500.18328,5494.408087556
1659312000,2022-08-01 00:00:00,USDC/USDT,0.99888,0.99913,0.99882,0.99913,2400.00000,2397.912
1659225600,2022-07-31 00:00:00,USDC/USDT,0.99902,0.99902,0.99873,0.99873,1080.00000,1078.6284
1659139200,2022-07-30 00:00:00,USDC/USDT,0.99970,0.99979,0.99967,0.99967,326.38278,326.2750736826
1659052800,2022-07-29 00:00:00,USDC/USDT,1.00041,1.00041,0.99846,1.00024,11390.54158,11393.275309979199
1658966400,2022-07-28 00:00:00,USDC/USDT,1.00074,1.00074,0.99653,0.99925,106551.12357,106471.21022732249
1658880000,2022-07-27 00:00:00,USDC/USDT,1.00039,1.00083,0.99927,0.99976,1089.06100,1088.79962536
1658793600,2022-07-26 00:00:00,USDC/USDT,1.00039,1.00039,1.00039,1.00039,521.13630,521.339543157
1658707200,2022-07-25 00:00:00,USDC/USDT,1.00039,1.00039,1.00039,1.00039,0.00000,0.0
1658620800,2022-07-24 00:00:00,USDC/USDT,1.00039,1.00039,1.00039,1.00039,1180.94872,1181.4092900008
1658534400,2022-07-23 00:00:00,USDC/USDT,1.00024,1.00038,1.00024,1.00038,9038.55180,9041.986449684
1658448000,2022-07-22 00:00:00,USDC/USDT,1.00022,1.00040,0.99827,0.99872,38814.04223,38764.3602559456
1658361600,2022-07-21 00:00:00,USDC/USDT,1.00041,1.01000,0.99968,0.99968,55830.56217,55812.6963901056
1658275200,2022-07-20 00:00:00,USDC/USDT,0.99909,1.00029,0.99909,1.00029,3973.41423,3974.5665201266993
1658188800,2022-07-19 00:00:00,USDC/USDT,1.00035,1.00094,0.99896,0.99976,58381.83008,58367.8184407808
1658102400,2022-07-18 00:00:00,USDC/USDT,0.99926,0.99926,0.99926,0.99926,0.00000,0.0
1658016000,2022-07-17 00:00:00,USDC/USDT,0.99966,1.00066,0.99926,0.99926,8698.06560,8691.629031456001
1657929600,2022-07-16 00:00:00,USDC/USDT,0.99980,1.00076,0.99947,0.99947,2988.84050,2987.2564145349997
1657843200,2022-07-15 00:00:00,USDC/USDT,0.99987,1.00112,0.99962,1.00112,14388.70306,14404.8184074272
1657756800,2022-07-14 00:00:00,USDC/USDT,1.00114,1.00150,1.00100,1.00100,301068.83518,301369.90401517996
1657670400,2022-07-13 00:00:00,USDC/USDT,1.00000,1.00181,0.99989,1.00090,31335.56087,31363.762874783
1657584000,2022-07-12 00:00:00,USDC/USDT,1.00212,1.00212,0.99994,0.99994,1253.81314,1253.7379112116
1657497600,2022-07-11 00:00:00,USDC/USDT,1.00135,1.00700,1.00024,1.00024,40602.78246,40612.5271277904
1657411200,2022-07-10 00:00:00,USDC/USDT,1.00032,1.00114,0.99402,0.99402,44435.22187,44169.499243217404
1657324800,2022-07-09 00:00:00,USDC/USDT,1.00161,1.00167,1.00055,1.00055,2031.16260,2032.2797394300003
1657238400,2022-07-08 00:00:00,USDC/USDT,1.00084,1.00146,0.99955,0.99981,31926.24217,31920.1761839877
1657152000,2022-07-07 00:00:00,USDC/USDT,1.00000,1.00211,0.99950,0.99992,50178.83091,50174.8166035272
1657065600,2022-07-06 00:00:00,USDC/USDT,1.00184,1.00212,1.00184,1.00212,936.48541,938.4707590691999
1656979200,2022-07-05 00:00:00,USDC/USDT,1.00043,1.00180,1.00015,1.00096,23605.38417,23628.045338803204
1656892800,2022-07-04 00:00:00,USDC/USDT,1.00030,1.00030,1.00016,1.00016,2469.95203,2470.3472223248
1656806400,2022-07-03 00:00:00,USDC/USDT,1.00236,1.00236,1.00236,1.00236,334.85351,335.6437642836
1656720000,2022-07-02 00:00:00,USDC/USDT,1.00197,1.00771,1.00176,1.00237,76217.20623,76397.8410087651
1656633600,2022-07-01 00:00:00,USDC/USDT,1.00034,1.00190,1.00011,1.00040,4558.53035,4560.35376214
1656547200,2022-06-30 00:00:00,USDC/USDT,1.00199,1.00200,1.00138,1.00138,3056.30213,3060.5198269394
1656460800,2022-06-29 00:00:00,USDC/USDT,1.00198,1.00198,1.00078,1.00124,6645.54681,6653.787288044399
1656374400,2022-06-28 00:00:00,USDC/USDT,1.00189,1.00189,0.99492,1.00122,45086.56583,45141.5714403126
1656288000,2022-06-27 00:00:00,USDC/USDT,0.99981,1.00145,0.99438,1.00145,141456.67329,141661.7854662705
1656201600,2022-06-26 00:00:00,USDC/USDT,1.00000,1.00000,1.00000,1.00000,51.23583,51.23583
1656115200,2022-06-25 00:00:00,USDC/USDT,1.00185,1.00185,1.00185,1.00185,0.00000,0.0
1656028800,2022-06-24 00:00:00,USDC/USDT,1.00137,1.00185,1.00137,1.00185,5046.44678,5055.782706543
1655942400,2022-06-23 00:00:00,USDC/USDT,0.99999,1.00125,0.99852,1.00040,116859.18644,116905.930114576
1655856000,2022-06-22 00:00:00,USDC/USDT,1.00196,1.00210,0.99855,1.00210,107253.31341,107478.545368161
1655769600,2022-06-21 00:00:00,USDC/USDT,1.00099,1.00300,0.99984,1.00189,499105.64330,500048.952965837
1655683200,2022-06-20 00:00:00,USDC/USDT,1.00100,1.02901,0.99850,1.00099,901873.41063,902766.2653065238
1655596800,2022-06-19 00:00:00,USDC/USDT,1.00117,1.00146,1.00116,1.00146,11775.24715,11792.439010839
1655510400,2022-06-18 00:00:00,USDC/USDT,1.00012,1.00230,1.00009,1.00100,6800.51422,6807.314734219999
1655424000,2022-06-17 00:00:00,USDC/USDT,1.00200,1.00200,0.99990,0.99990,14540.60367,14539.149609633001
1655337600,2022-06-16 00:00:00,USDC/USDT,0.99989,1.00021,0.99989,1.00021,1114.90422,1115.1383498861999
1655251200,2022-06-15 00:00:00,USDC/USDT,1.00212,1.00519,1.00049,1.00220,30441.82582,30508.797836804
1655164800,2022-06-14 00:00:00,USDC/USDT,1.00238,1.00256,1.00024,1.00024,13522.08753,13525.332831007201
1655078400,2022-06-13 00:00:00,USDC/USDT,1.00019,1.00288,0.99687,1.00243,553618.95316,554964.2472161788
1654992000,2022-06-12 00:00:00,USDC/USDT,1.00027,1.00221,1.00009,1.00066,11101.50564,11108.8326337224
1654905600,2022-06-11 00:00:00,USDC/USDT,0.99999,1.00173,0.99993,1.00173,37754.06437,37819.3789013601
1654819200,2022-06-10 00:00:00,USDC/USDT,0.99979,1.00094,0.99441,1.00000,53804.08298,53804.08298
1654732800,2022-06-09 00:00:00,USDC/USDT,1.00052,1.00068,0.99980,0.99980,5452.57499,5451.484475002
1654646400,2022-06-08 00:00:00,USDC/USDT,0.99976,0.99976,0.99970,0.99970,4765.74301,4764.313287097
1654560000,2022-06-07 00:00:00,USDC/USDT,1.00000,1.00066,0.99977,1.00034,44772.05661,44787.2791092474
1654473600,2022-06-06 00:00:00,USDC/USDT,1.00197,1.00198,1.00197,1.00198,1332.89706,1335.5361961788
1654387200,2022-06-05 00:00:00,USDC/USDT,1.00030,1.00030,1.00030,1.00030,0.00000,0.0
1654300800,2022-06-04 00:00:00,USDC/USDT,1.00030,1.00030,1.00030,1.00030,0.00000,0.0
1654214400,2022-06-03 00:00:00,USDC/USDT,0.99975,1.00031,0.99849,1.00030,66905.01672,66925.08822501599
1654128000,2022-06-02 00:00:00,USDC/USDT,1.00025,1.00057,0.99946,1.00037,18415.67972,18422.4935214964
1654041600,2022-06-01 00:00:00,USDC/USDT,1.00004,1.00164,0.99978,1.00078,6600.65679,6605.8053022962
1653955200,2022-05-31 00:00:00,USDC/USDT,1.00003,1.00003,1.00002,1.00002,241.00000,241.00481999999997
