https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume ADA
1663545600000,2022-09-19 00:00:00,ADA/BTC,2.302e-05,2.312e-05,2.289e-05,2.304e-05,0.996304893998976,43242.39991315
1663459200000,2022-09-18 00:00:00,ADA/BTC,2.418e-05,2.442e-05,2.283e-05,2.3e-05,19.63343371706616,853627.55291592
1663372800000,2022-09-17 00:00:00,ADA/BTC,2.397e-05,2.435e-05,2.369e-05,2.418e-05,20.71423002655071,856667.9084595
1663286400000,2022-09-16 00:00:00,ADA/BTC,2.367e-05,2.399e-05,2.322e-05,2.394e-05,20.604689188583396,860680.41723406
1663200000000,2022-09-15 00:00:00,ADA/BTC,2.365e-05,2.38e-05,2.324e-05,2.364e-05,20.089932580433963,849827.94333477
1663113600000,2022-09-14 00:00:00,ADA/BTC,2.307e-05,2.417e-05,2.307e-05,2.376e-05,16.691658406860096,702510.8757096
1663027200000,2022-09-13 00:00:00,ADA/BTC,2.241e-05,2.327e-05,2.199e-05,2.298e-05,18.102232318284763,787738.56911596
1662940800000,2022-09-12 00:00:00,ADA/BTC,2.334e-05,2.34e-05,2.241e-05,2.241e-05,18.812925121671533,839487.95723657
1662854400000,2022-09-11 00:00:00,ADA/BTC,2.361e-05,2.402e-05,2.328e-05,2.333e-05,19.46862058344009,834488.66624261
1662768000000,2022-09-10 00:00:00,ADA/BTC,2.348e-05,2.459e-05,2.331e-05,2.359e-05,19.943036604167055,845402.14515333
1662681600000,2022-09-09 00:00:00,ADA/BTC,2.48e-05,2.515e-05,2.295e-05,2.351e-05,20.185909604716617,858609.51104707
1662595200000,2022-09-08 00:00:00,ADA/BTC,2.48e-05,2.486e-05,2.43e-05,2.48e-05,21.023281376875506,847712.95874498
1662508800000,2022-09-07 00:00:00,ADA/BTC,2.459e-05,2.498e-05,2.431e-05,2.481e-05,21.08816704716245,849986.57989369
1662422400000,2022-09-06 00:00:00,ADA/BTC,2.518e-05,2.583e-05,2.436e-05,2.458e-05,20.930771803312794,851536.6884993
1662336000000,2022-09-05 00:00:00,ADA/BTC,2.516e-05,2.529e-05,2.453e-05,2.515e-05,20.736398688708487,824508.89418324
1662249600000,2022-09-04 00:00:00,ADA/BTC,2.42e-05,2.581e-05,2.399e-05,2.518e-05,21.50702470244624,854131.24314719
1662163200000,2022-09-03 00:00:00,ADA/BTC,2.273e-05,2.452e-05,2.273e-05,2.421e-05,20.563724796892043,849389.70660438
1662076800000,2022-09-02 00:00:00,ADA/BTC,2.271e-05,2.302e-05,2.259e-05,2.275e-05,19.189889738808652,843511.63687071
1661990400000,2022-09-01 00:00:00,ADA/BTC,2.227e-05,2.306e-05,2.21e-05,2.272e-05,19.41254139044155,854425.23725535
1661904000000,2022-08-31 00:00:00,ADA/BTC,2.284e-05,2.29e-05,2.227e-05,2.227e-05,17.982015016622814,807454.64825428
1661817600000,2022-08-30 00:00:00,ADA/BTC,2.221e-05,2.286e-05,2.209e-05,2.286e-05,19.47273801878153,851825.81009543
1661731200000,2022-08-29 00:00:00,ADA/BTC,2.195e-05,2.227e-05,2.17e-05,2.215e-05,18.907348049447194,853604.87807888
1661644800000,2022-08-28 00:00:00,ADA/BTC,2.246e-05,2.256e-05,2.179e-05,2.19e-05,18.60023257640895,849325.6884205
1661558400000,2022-08-27 00:00:00,ADA/BTC,2.132e-05,2.248e-05,2.115e-05,2.243e-05,19.6262568064638,875000.30345358
1661472000000,2022-08-26 00:00:00,ADA/BTC,2.152e-05,2.253e-05,2.111e-05,2.131e-05,18.512326144995264,868715.44556524
1661385600000,2022-08-25 00:00:00,ADA/BTC,2.141e-05,2.184e-05,2.134e-05,2.153e-05,18.47149197148038,857942.033046
1661299200000,2022-08-24 00:00:00,ADA/BTC,2.165e-05,2.167e-05,2.129e-05,2.143e-05,18.242267245878242,851249.05487066
1661212800000,2022-08-23 00:00:00,ADA/BTC,2.156e-05,2.173e-05,2.122e-05,2.161e-05,17.943348854132218,830326.18482796
