https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USDT,Volume ETC
1663545600000,2022-09-19 00:00:00,ETC/USDT,29.480596,30.017923,29.480596,30.016677,1000.7960531269514,33.34133399
1663459200000,2022-09-18 00:00:00,ETC/USDT,34.40572,34.40572,29.30236,29.51116,50997.07725522951,1728.06074906
1663372800000,2022-09-17 00:00:00,ETC/USDT,34.132502,34.829962,33.500148,34.423938,21614.97846310897,627.9054553
1663286400000,2022-09-16 00:00:00,ETC/USDT,35.790817,36.011872,32.938685,34.071873,46189.490977522,1355.64871874
1663200000000,2022-09-15 00:00:00,ETC/USDT,39.138613,39.647738,35.336448,35.687938,115073.5367762555,3224.43781359
1663113600000,2022-09-14 00:00:00,ETC/USDT,35.31,39.666593,35.31,39.193136,51342.22147498228,1309.97992799
1663027200000,2022-09-13 00:00:00,ETC/USDT,38.419337,38.9,34.739911,35.332911,40626.46717851894,1149.81941846
1662940800000,2022-09-12 00:00:00,ETC/USDT,38.530994,40.4,37.235249,38.443458,51585.677892716485,1341.85842212
1662854400000,2022-09-11 00:00:00,ETC/USDT,39.308037,39.441952,37.724278,38.482795,26339.128878745913,684.4390819
1662768000000,2022-09-10 00:00:00,ETC/USDT,39.126397,40.299601,38.016772,39.32736,27890.572145600698,709.19004341
1662681600000,2022-09-09 00:00:00,ETC/USDT,37.150638,39.926137,36.649361,39.146308,51056.71162935886,1304.25356152
1662595200000,2022-09-08 00:00:00,ETC/USDT,37.409023,37.672614,35.488927,37.105266,31411.177083349157,846.54229627
1662508800000,2022-09-07 00:00:00,ETC/USDT,34.5121,37.926473,33.210605,37.281859,56761.562734371175,1522.49818697
1662422400000,2022-09-06 00:00:00,ETC/USDT,39.658229,42.0,34.34,34.41041,114522.90510613256,3328.14706672
1662336000000,2022-09-05 00:00:00,ETC/USDT,32.415365,39.907949,31.663142,39.620171,49844.27924306177,1258.05310742
1662249600000,2022-09-04 00:00:00,ETC/USDT,32.24908,32.46696,31.634514,32.428022,11678.495840276524,360.13592936
1662163200000,2022-09-03 00:00:00,ETC/USDT,32.406643,32.636859,32.025338,32.218234,10680.583056489533,331.50740219
1662076800000,2022-09-02 00:00:00,ETC/USDT,32.93651,33.771902,32.0,32.451622,15615.69630495386,481.19925423
1661990400000,2022-09-01 00:00:00,ETC/USDT,32.389483,32.913013,31.116852,32.891203,13431.726497616826,408.36835605
1661904000000,2022-08-31 00:00:00,ETC/USDT,32.336356,33.670345,32.056011,32.364055,14521.101181717355,448.67990682
1661817600000,2022-08-30 00:00:00,ETC/USDT,33.471703,34.258386,31.443484,32.318639,13740.34988078117,425.15249113
1661731200000,2022-08-29 00:00:00,ETC/USDT,30.920207,33.690724,30.472057,33.508416,49618.569322712945,1480.77931594
1661644800000,2022-08-28 00:00:00,ETC/USDT,32.951168,33.362186,30.644071,30.835784,26614.703455293446,863.11097053
1661558400000,2022-08-27 00:00:00,ETC/USDT,33.87051,34.377186,32.1,32.994166,33921.75161407105,1028.11362512
1661472000000,2022-08-26 00:00:00,ETC/USDT,37.095289,38.133225,33.608952,33.927074,67068.27599341005,1976.83643433
1661385600000,2022-08-25 00:00:00,ETC/USDT,35.303253,37.93193,35.253567,37.117699,45466.46995625765,1224.92695348
1661299200000,2022-08-24 00:00:00,ETC/USDT,34.367043,36.685011,33.0,35.298764,17407.45521098395,493.14630991
1661212800000,2022-08-23 00:00:00,ETC/USDT,33.993979,34.572852,32.377719,34.28438,34974.71050764934,1020.13542341
1661126400000,2022-08-22 00:00:00,ETC/USDT,33.707518,33.769422,33.163888,33.239026,417.14977630000004,12.55
1661040000000,2022-08-21 00:00:00,ETC/USDT,32.775012,34.180274,32.163359,33.609668,16152.203682325315,480.58206592
1660953600000,2022-08-20 00:00:00,ETC/USDT,32.977417,34.558822,31.344136,32.815369,31441.55843545853,958.13514806
1660867200000,2022-08-19 00:00:00,ETC/USDT,39.492086,39.673304,32.584818,32.950096,37868.62734477295,1149.27214005
1660780800000,2022-08-18 00:00:00,ETC/USDT,40.254391,41.880336,39.15,39.615778,30708.929742844943,775.16916979
1660694400000,2022-08-17 00:00:00,ETC/USDT,39.87087,42.5,38.912778,40.324089,25354.162292339763,628.75970471
1660608000000,2022-08-16 00:00:00,ETC/USDT,41.885894,42.256491,39.487128,39.91864,15946.892649502095,399.48486846
1660521600000,2022-08-15 00:00:00,ETC/USDT,41.635273,43.433074,40.324838,41.863402,40841.98202180171,975.60112343
1660435200000,2022-08-14 00:00:00,ETC/USDT,43.513066,44.304631,40.485952,41.58767,54127.18380259914,1301.51998904
1660348800000,2022-08-13 00:00:00,ETC/USDT,43.360083,45.622751,42.89155,43.52971,40241.074508498335,924.45078335
1660262400000,2022-08-12 00:00:00,ETC/USDT,42.18019,43.779966,41.114269,43.356483,33291.181101829105,767.8478234
1660176000000,2022-08-11 00:00:00,ETC/USDT,38.831816,44.234949,38.3,42.163227,103345.8943827902,2451.090719
1660089600000,2022-08-10 00:00:00,ETC/USDT,36.790653,39.373389,36.384314,38.763367,52098.022510021,1344.00147722
1660003200000,2022-08-09 00:00:00,ETC/USDT,38.03197,38.192404,37.603666,37.664861,834.0654545191328,22.14439221
1659916800000,2022-08-08 00:00:00,ETC/USDT,37.715541,39.569336,36.918993,37.973856,27922.341140043536,735.30434044
1659830400000,2022-08-07 00:00:00,ETC/USDT,37.800656,38.516117,36.712619,37.698306,12412.801989695547,329.26683734
1659744000000,2022-08-06 00:00:00,ETC/USDT,38.294657,39.385957,37.32918,37.837853,42299.43187489876,1117.91310873
1659657600000,2022-08-05 00:00:00,ETC/USDT,34.80979,38.521958,34.707921,38.274655,55637.95721760339,1453.65013003
1659571200000,2022-08-04 00:00:00,ETC/USDT,35.905325,37.036685,34.147538,34.764066,23794.47671780196,684.45609089
1659484800000,2022-08-03 00:00:00,ETC/USDT,36.5431,38.525986,35.301232,35.953988,18524.32050335537,515.22297063
1659398400000,2022-08-02 00:00:00,ETC/USDT,34.800483,38.660868,32.219036,36.54063,41715.5927338673,1141.62215413
1659312000000,2022-08-01 00:00:00,ETC/USDT,36.217453,40.918484,33.756603,34.986863,56212.68976517146,1606.67990626
1659225600000,2022-07-31 00:00:00,ETC/USDT,39.322311,41.400566,36.0,36.387789,49421.45756725615,1358.18797804
1659139200000,2022-07-30 00:00:00,ETC/USDT,40.414237,41.723525,38.340531,39.26433,39952.47654195895,1017.52599731
1659052800000,2022-07-29 00:00:00,ETC/USDT,40.862555,50.0,37.701449,40.398023,62937.01545034645,1557.92315506
1658966400000,2022-07-28 00:00:00,ETC/USDT,32.880072,42.1,32.063044,40.705566,150381.9718334728,3694.38351093
1658880000000,2022-07-27 00:00:00,ETC/USDT,25.738191,33.314251,24.935287,32.846292,64366.03171620573,1959.61333219
1658793600000,2022-07-26 00:00:00,ETC/USDT,23.763417,25.709731,23.0,25.349444,11655.269780664614,459.78404026
1658707200000,2022-07-25 00:00:00,ETC/USDT,25.546642,27.0,23.239158,23.239158,14318.51171859473,616.13728512
1658620800000,2022-07-24 00:00:00,ETC/USDT,25.583689,26.595237,25.326134,25.544111,13271.108327257789,519.53690333
1658534400000,2022-07-23 00:00:00,ETC/USDT,24.883109,28.0,24.644126,25.54965,16195.385305925121,633.87894965
1658448000000,2022-07-22 00:00:00,ETC/USDT,26.235591,26.857238,24.154559,24.8441,14589.109355843955,587.22631755
1658361600000,2022-07-21 00:00:00,ETC/USDT,23.324759,26.3,22.210267,26.240191,30421.994125786394,1159.36633715
1658275200000,2022-07-20 00:00:00,ETC/USDT,25.36339,25.971743,23.148527,23.298719,22705.410824652165,974.53472977
1658188800000,2022-07-19 00:00:00,ETC/USDT,25.321467,27.817195,24.258225,25.271591,22463.766554753354,888.89403737
1658102400000,2022-07-18 00:00:00,ETC/USDT,19.246427,25.605883,19.246427,25.326597,37309.20563741734,1473.12351665
1658016000000,2022-07-17 00:00:00,ETC/USDT,17.283006,20.5205,16.844777,19.251026,18773.126738745046,975.17538747
1657929600000,2022-07-16 00:00:00,ETC/USDT,15.073604,17.440122,14.68,17.225109,8144.006385679605,472.79853995
1657843200000,2022-07-15 00:00:00,ETC/USDT,14.707171,15.320867,14.57,15.042021,7157.346351410104,475.82345161
1657756800000,2022-07-14 00:00:00,ETC/USDT,14.403223,14.75,13.94851,14.706913,7792.919015809042,529.88135687
1657670400000,2022-07-13 00:00:00,ETC/USDT,13.847958,14.407316,13.462649,14.397695,12169.029041346383,845.20675298
1657584000000,2022-07-12 00:00:00,ETC/USDT,14.157148,14.382859,13.811555,13.845238,9513.290951907837,687.11646213
1657497600000,2022-07-11 00:00:00,ETC/USDT,15.083517,15.112407,14.126498,14.200255,9827.99303228199,692.09975682
1657411200000,2022-07-10 00:00:00,ETC/USDT,15.846146,15.846146,15.011088,15.128916,10394.611778182154,687.06917126
1657324800000,2022-07-09 00:00:00,ETC/USDT,15.602203,15.990208,15.594818,15.836863,9722.742474450763,613.93108436
1657238400000,2022-07-08 00:00:00,ETC/USDT,15.876588,16.351618,15.406482,15.580158,9734.183313880509,624.78078296
1657152000000,2022-07-07 00:00:00,ETC/USDT,15.229844,15.99276,15.071991,15.897916,3187.626482084399,200.50593311
1657065600000,2022-07-06 00:00:00,ETC/USDT,14.919202,15.335865,14.735697,15.202876,3174.0201997181207,208.77761548
1656979200000,2022-07-05 00:00:00,ETC/USDT,15.413192,15.478944,14.445373,14.954697,4811.8529584445705,321.76198277
1656892800000,2022-07-04 00:00:00,ETC/USDT,14.794719,15.42077,14.410071,15.385533,2718.053174151066,176.66291926
1656806400000,2022-07-03 00:00:00,ETC/USDT,14.753276,14.950852,13.0,14.804913,8633.457063830108,583.14811197
1656720000000,2022-07-02 00:00:00,ETC/USDT,14.607405,14.913282,14.313819,14.748409,1589.5043257183838,107.77463018
1656633600000,2022-07-01 00:00:00,ETC/USDT,14.735653,15.799716,14.224939,14.625782,861.695793933001,58.91622027
1656547200000,2022-06-30 00:00:00,ETC/USDT,15.200911,15.359166,13.996503,15.359166,10469.357936705861,681.6358347
1656460800000,2022-06-29 00:00:00,ETC/USDT,15.444008,15.68452,14.961686,15.192875,4988.241920724397,328.32771419
1656374400000,2022-06-28 00:00:00,ETC/USDT,16.639324,16.639324,16.371769,16.545535,26.34859886669465,1.59248999
1656288000000,2022-06-27 00:00:00,ETC/USDT,17.0,17.481647,16.2,16.542722,2113.1214748489997,127.73722939
1656201600000,2022-06-26 00:00:00,ETC/USDT,16.516528,17.84,16.125396,16.661227,1731.5766556632634,103.92851953
1656115200000,2022-06-25 00:00:00,ETC/USDT,16.439866,16.676447,15.823715,16.573901,1924.144518522221,116.09484807
1656028800000,2022-06-24 00:00:00,ETC/USDT,16.184524,16.761259,15.873455,16.386838,2455.666315362946,149.85601953
1655942400000,2022-06-23 00:00:00,ETC/USDT,15.414401,16.7,15.262246,15.89288,633.7814708564104,39.87832733
