https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume UAH,Volume ETH
1663545600000,2022-09-19 00:00:00,ETH/UAH,53789.8779,54625.0269,53789.8779,54126.8422,2017819.7610330915,37.27946577
1663459200000,2022-09-18 00:00:00,ETH/UAH,59107.9284,59107.9284,53143.1,53925.0104,38999455.025032915,723.21645811
1663372800000,2022-09-17 00:00:00,ETH/UAH,57523.8846,59399.5939,56938.3376,59190.1854,44214827.137532406,746.99592236
1663286400000,2022-09-16 00:00:00,ETH/UAH,58820.6811,59252.3324,56810.5224,57541.0541,42417835.641324535,737.17515789
1663200000000,2022-09-15 00:00:00,ETH/UAH,65357.0,65946.7182,58452.4289,58761.2462,43550407.207408175,741.14165413
1663113600000,2022-09-14 00:00:00,ETH/UAH,63821.0916,65524.0737,62702.7753,65169.0804,39570168.06728835,607.19236522
1663027200000,2022-09-13 00:00:00,ETH/UAH,68112.2302,69425.1886,62351.3072,63228.1942,41715456.793501034,659.7603699
1662940800000,2022-09-12 00:00:00,ETH/UAH,69943.0252,70342.8151,67235.0372,68113.759,50579854.07311979,742.57910319
1662854400000,2022-09-11 00:00:00,ETH/UAH,70747.2621,70900.0,68765.5796,70016.3578,51821003.41487447,740.12709377
1662768000000,2022-09-10 00:00:00,ETH/UAH,69051.1368,71204.2905,68233.0613,70744.9663,51857991.74584214,733.02730156
1662681600000,2022-09-09 00:00:00,ETH/UAH,65826.2653,69999.9996,65679.6155,69140.2399,51396540.521356195,743.36653439
1662595200000,2022-09-08 00:00:00,ETH/UAH,65792.7572,66650.0,64181.4062,65828.9502,43101702.73891837,654.75300165
1662508800000,2022-09-07 00:00:00,ETH/UAH,63023.8,66689.5847,60641.5,65773.2373,47398130.57250017,720.62943103
1662422400000,2022-09-06 00:00:00,ETH/UAH,64159.0682,67325.2436,63064.5005,63219.1281,46736167.99905662,739.272581
1662336000000,2022-09-05 00:00:00,ETH/UAH,62597.3175,64400.0,61488.1166,64286.9749,45565472.53714397,708.78234056
1662249600000,2022-09-04 00:00:00,ETH/UAH,61387.2199,62611.3781,60628.8552,62524.1157,45099093.68322648,721.30718169
1662163200000,2022-09-03 00:00:00,ETH/UAH,61490.6886,61893.1822,60159.2289,61443.2454,46305104.533539765,753.62400264
1662076800000,2022-09-02 00:00:00,ETH/UAH,62169.4595,63937.3972,60000.0006,61489.736,43893352.15261849,713.83217766
1661990400000,2022-09-01 00:00:00,ETH/UAH,60887.5305,62332.4039,59339.4358,62004.2593,44515751.18829079,717.94666513
1661904000000,2022-08-31 00:00:00,ETH/UAH,60147.9267,63735.5646,59844.019,60445.0892,44331279.23045321,733.41407577
1661817600000,2022-08-30 00:00:00,ETH/UAH,61462.6829,63264.9089,57996.2032,60004.1185,44763310.46974031,746.00396754
1661731200000,2022-08-29 00:00:00,ETH/UAH,56451.6565,62007.2996,56451.6565,61597.804,45633419.68038399,740.8286776
1661644800000,2022-08-28 00:00:00,ETH/UAH,58801.0726,59758.6179,56215.9222,56215.9222,41674189.9249369,741.32360182
1661558400000,2022-08-27 00:00:00,ETH/UAH,60343.822,60849.0787,57172.4937,59139.7769,44024759.81770361,744.41876729
1661472000000,2022-08-26 00:00:00,ETH/UAH,67392.9797,67392.9797,59910.5316,60318.6635,44165287.29511423,732.19936803
1661385600000,2022-08-25 00:00:00,ETH/UAH,65843.9683,68222.2222,65843.9683,67389.5875,47075469.74582537,698.55702479
1661299200000,2022-08-24 00:00:00,ETH/UAH,66288.2108,67124.7968,63855.3359,65918.9637,47158828.84015134,715.40610157
1661212800000,2022-08-23 00:00:00,ETH/UAH,64880.3825,66626.0999,62222.6409,65622.5328,48553275.01775109,739.88724522
1661126400000,2022-08-22 00:00:00,ETH/UAH,64117.3268,64938.4681,63638.0872,64149.04,2559533.866192,39.8998
1661040000000,2022-08-21 00:00:00,ETH/UAH,63288.7539,65397.0,62000.0031,64681.7653,47065898.59717661,727.65327877
1660953600000,2022-08-20 00:00:00,ETH/UAH,65214.1643,66546.0245,61888.0,63120.6727,47294054.745954186,749.26411147
1660867200000,2022-08-19 00:00:00,ETH/UAH,73680.7926,73869.5052,65032.7958,65133.1776,48993715.35078888,752.20827781
1660780800000,2022-08-18 00:00:00,ETH/UAH,73140.009,74636.9898,72721.0,73731.0175,53312804.33179683,723.07159374
1660694400000,2022-08-17 00:00:00,ETH/UAH,73954.5634,76500.0,72200,73238.8487,53276161.02411667,727.43034564
1660608000000,2022-08-16 00:00:00,ETH/UAH,74818.7713,75788.9,73080.2097,74085.5889,54709216.08438807,738.45962348
1660521600000,2022-08-15 00:00:00,ETH/UAH,75719.6637,78391.3872,73216.5347,74806.0483,55692151.544609174,744.48728158
1660435200000,2022-08-14 00:00:00,ETH/UAH,77215.5521,78899.9999,74645.5987,75684.2144,56195974.03656592,742.50587764
1660348800000,2022-08-13 00:00:00,ETH/UAH,76300.2412,78138.9374,75768.4802,77406.367,58084125.312258355,750.37916858
1660262400000,2022-08-12 00:00:00,ETH/UAH,73521.7246,76417.5459,72200.0003,76284.9541,56279635.12182127,737.75537766
1660176000000,2022-08-11 00:00:00,ETH/UAH,71438.6945,74850.8,71317.232,73429.446,50700436.23570084,690.46464324
1660089600000,2022-08-10 00:00:00,ETH/UAH,67110.1742,72500.0,66048.0004,71568.8416,44743811.082879215,625.18562663
1660003200000,2022-08-09 00:00:00,ETH/UAH,70094.6678,70193.7795,69174.5762,69494.522,2989160.9253338,43.0129
1659916800000,2022-08-08 00:00:00,ETH/UAH,66405.3262,70500.0,66119.455,70062.3549,51804137.29531293,739.40045791
1659830400000,2022-08-07 00:00:00,ETH/UAH,66603.8076,67430.9936,65126.0015,66375.8392,49350690.92220239,743.50383388
1659744000000,2022-08-06 00:00:00,ETH/UAH,67594.4211,68851.2,65555.002,66133.3863,50175133.049916044,758.69596065
1659657600000,2022-08-05 00:00:00,ETH/UAH,62682.9105,67706.4356,62633.2793,67516.5044,51279066.73217195,759.50417143
1659571200000,2022-08-04 00:00:00,ETH/UAH,64052.8766,65485.214,61771.5989,62693.2505,45269203.40947793,722.07459413
1659484800000,2022-08-03 00:00:00,ETH/UAH,64986.7132,66021.2197,61600.0,63541.6993,48624230.248272695,765.23339451
1659398400000,2022-08-02 00:00:00,ETH/UAH,64095.7113,65776.0,61500.0,64954.8086,48890222.95302721,752.68057911
1659312000000,2022-08-01 00:00:00,ETH/UAH,65817.8927,66994.6843,62600.0,63835.9675,48653831.398896635,762.16956215
1659225600000,2022-07-31 00:00:00,ETH/UAH,67967.5727,68844.1169,65500.0001,65864.8147,50155261.68895528,761.4879343
1659139200000,2022-07-30 00:00:00,ETH/UAH,70515.8849,70605.6786,67000.0,67651.5703,49063388.73227347,725.23650988
1659052800000,2022-07-29 00:00:00,ETH/UAH,68076.7553,71560.5519,65960.366,70786.3952,52359746.765016094,739.68658267
1658966400000,2022-07-28 00:00:00,ETH/UAH,64339.3993,70108.2955,63065.8665,67905.5044,50928341.18285252,749.98840864
1658880000000,2022-07-27 00:00:00,ETH/UAH,56746.064,64850.0,55300.4779,64401.8782,48261540.67309646,749.38095009
1658793600000,2022-07-26 00:00:00,ETH/UAH,56576.1473,57047.1616,53500.0688,56706.4031,42471853.337171435,748.9780874
1658707200000,2022-07-25 00:00:00,ETH/UAH,63504.4953,63713.9805,56376.8434,56376.8434,40960058.18819871,726.540468
1658620800000,2022-07-24 00:00:00,ETH/UAH,61403.8501,65628.5582,61157.8621,63170.5057,46498839.42058124,736.0846475
1658534400000,2022-07-23 00:00:00,ETH/UAH,61124.101,63362.499,59363.9215,61406.624,47142776.12241337,767.71483354
1658448000000,2022-07-22 00:00:00,ETH/UAH,61261.6436,66100.0,59983.4465,61056.577,45291356.00714555,741.79323887
1658361600000,2022-07-21 00:00:00,ETH/UAH,56210.0543,61918.6568,53730.0083,61055.2146,45153199.664096385,739.54698153
1658275200000,2022-07-20 00:00:00,ETH/UAH,57534.719,59144.7425,54938.8952,56069.5184,42878516.9057697,764.73845557
1658188800000,2022-07-19 00:00:00,ETH/UAH,57358.1227,59208.4331,55000.0068,56741.1851,41941646.72574106,739.17466919
1658102400000,2022-07-18 00:00:00,ETH/UAH,49061.7098,58358.9,48931.2642,57645.564,44690858.249115445,775.26968509
1658016000000,2022-07-17 00:00:00,ETH/UAH,49421.4285,50348.7184,48248.0035,48745.7162,35578988.87626943,729.8895503
1657929600000,2022-07-16 00:00:00,ETH/UAH,45355.4803,51377.7734,43383.2,49567.557,36829449.91210876,743.01523297
1657843200000,2022-07-15 00:00:00,ETH/UAH,44112.4112,46782.5991,43693.0448,45325.0163,34960973.62316846,771.33946057
1657756800000,2022-07-14 00:00:00,ETH/UAH,41817.7109,44890.7335,40417.5167,44110.5461,33172553.6747405,752.03226003
1657670400000,2022-07-13 00:00:00,ETH/UAH,38477.3397,41916.77,37429.3726,41853.7585,31226114.06780486,746.07670104
1657584000000,2022-07-12 00:00:00,ETH/UAH,39571.4007,40098.814,38383,38821.8413,28542872.791928943,735.22717718
