https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume ZRX
1663549200000,2022-09-19 01:00:00,ZRX/BTC,1.393e-05,1.396e-05,1.378e-05,1.395e-05,0.02331045,1671.0
1663545600000,2022-09-19 00:00:00,ZRX/BTC,1.372e-05,1.398e-05,1.368e-05,1.387e-05,0.06337203,4569.0
1663542000000,2022-09-18 23:00:00,ZRX/BTC,1.378e-05,1.385e-05,1.368e-05,1.374e-05,0.07375632,5368.0
1663538400000,2022-09-18 22:00:00,ZRX/BTC,1.382e-05,1.383e-05,1.367e-05,1.38e-05,0.0659502,4779.0
1663534800000,2022-09-18 21:00:00,ZRX/BTC,1.415e-05,1.419e-05,1.374e-05,1.381e-05,0.0768731440201136,5566.48399856
1663531200000,2022-09-18 20:00:00,ZRX/BTC,1.425e-05,1.433e-05,1.415e-05,1.416e-05,0.08037216,5676.0
1663527600000,2022-09-18 19:00:00,ZRX/BTC,1.431e-05,1.434e-05,1.422e-05,1.424e-05,0.06556096,4604.0
1663524000000,2022-09-18 18:00:00,ZRX/BTC,1.425e-05,1.432e-05,1.424e-05,1.428e-05,0.07444164,5213.0
1663520400000,2022-09-18 17:00:00,ZRX/BTC,1.437e-05,1.439e-05,1.423e-05,1.424e-05,0.07652576,5374.0
1663516800000,2022-09-18 16:00:00,ZRX/BTC,1.438e-05,1.444e-05,1.427e-05,1.435e-05,0.07999730474373751,5574.72506925
1663513200000,2022-09-18 15:00:00,ZRX/BTC,1.433e-05,1.441e-05,1.433e-05,1.439e-05,0.06852517999999999,4762.0
1663509600000,2022-09-18 14:00:00,ZRX/BTC,1.436e-05,1.439e-05,1.425e-05,1.438e-05,0.06921094,4813.0
1663506000000,2022-09-18 13:00:00,ZRX/BTC,1.439e-05,1.44e-05,1.432e-05,1.438e-05,0.08522194188713059,5926.42154987
1663502400000,2022-09-18 12:00:00,ZRX/BTC,1.444e-05,1.444e-05,1.435e-05,1.439e-05,0.0717890340337293,4988.81403987
1663498800000,2022-09-18 11:00:00,ZRX/BTC,1.442e-05,1.446e-05,1.441e-05,1.444e-05,0.06669836,4619.0
1663495200000,2022-09-18 10:00:00,ZRX/BTC,1.428e-05,1.444e-05,1.428e-05,1.44e-05,0.075701059279776,5257.01800554
1663491600000,2022-09-18 09:00:00,ZRX/BTC,1.442e-05,1.457e-05,1.428e-05,1.432e-05,0.07953328,5554.0
1663488000000,2022-09-18 08:00:00,ZRX/BTC,1.441e-05,1.445e-05,1.44e-05,1.441e-05,0.0773817,5370.0
1663484400000,2022-09-18 07:00:00,ZRX/BTC,1.44e-05,1.445e-05,1.439e-05,1.441e-05,0.08609974999999999,5975.0
1663480800000,2022-09-18 06:00:00,ZRX/BTC,1.441e-05,1.445e-05,1.44e-05,1.44e-05,0.0783648,5442.0
1663477200000,2022-09-18 05:00:00,ZRX/BTC,1.441e-05,1.445e-05,1.438e-05,1.439e-05,0.08926117,6203.0
1663473600000,2022-09-18 04:00:00,ZRX/BTC,1.44e-05,1.443e-05,1.437e-05,1.44e-05,0.0661392,4593.0
1663470000000,2022-09-18 03:00:00,ZRX/BTC,1.446e-05,1.448e-05,1.437e-05,1.44e-05,0.06615359999999999,4594.0
1663466400000,2022-09-18 02:00:00,ZRX/BTC,1.449e-05,1.451e-05,1.442e-05,1.443e-05,0.08551218000000001,5926.0
1663462800000,2022-09-18 01:00:00,ZRX/BTC,1.446e-05,1.45e-05,1.441e-05,1.445e-05,0.09006685,6233.0
1663459200000,2022-09-18 00:00:00,ZRX/BTC,1.453e-05,1.454e-05,1.442e-05,1.445e-05,0.07765430000000001,5374.0
1663455600000,2022-09-17 23:00:00,ZRX/BTC,1.448e-05,1.452e-05,1.446e-05,1.449e-05,0.07759395,5355.0
