https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BVOL,Volume BTC
1652832000000.0,2022-05-18 00:00:00,BVOL/BTC,0.0178,0.0178,0.0178,0.0178,0.0,0.0
1652828400000.0,2022-05-17 23:00:00,BVOL/BTC,0.01845,0.01865,0.0178,0.0178,0.014924719101123593,0.00026566
1652824800000.0,2022-05-17 22:00:00,BVOL/BTC,0.01815,0.01845,0.01815,0.01845,0.00019891598915989158,3.67e-06
1652821200000.0,2022-05-17 21:00:00,BVOL/BTC,0.0186,0.0186,0.01805,0.01815,0.010841322314049587,0.00019677
1652817600000.0,2022-05-17 20:00:00,BVOL/BTC,0.0185,0.0186,0.0185,0.0186,0.0006000000000000001,1.116e-05
1652814000000.0,2022-05-17 19:00:00,BVOL/BTC,0.01875,0.01875,0.0184,0.0185,0.002411081081081081,4.4605e-05
1652810400000.0,2022-05-17 18:00:00,BVOL/BTC,0.0185,0.019,0.0185,0.01875,0.0071336,0.000133755
1652806800000.0,2022-05-17 17:00:00,BVOL/BTC,0.0185,0.0185,0.0185,0.0185,0.0,0.0
1652803200000.0,2022-05-17 16:00:00,BVOL/BTC,0.01865,0.01865,0.0185,0.0185,0.0001,1.85e-06
1652799600000.0,2022-05-17 15:00:00,BVOL/BTC,0.01845,0.01885,0.01845,0.01865,0.016167024128686328,0.000301515
1652796000000.0,2022-05-17 14:00:00,BVOL/BTC,0.0183,0.01845,0.0183,0.01845,0.0017997289972899726,3.3205e-05
1652792400000.0,2022-05-17 13:00:00,BVOL/BTC,0.0183,0.0183,0.0183,0.0183,0.0,0.0
1652788800000.0,2022-05-17 12:00:00,BVOL/BTC,0.0184,0.0184,0.0183,0.0183,0.0001,1.83e-06
1652785200000.0,2022-05-17 11:00:00,BVOL/BTC,0.0184,0.0184,0.0184,0.0184,0.0,0.0
1652781600000.0,2022-05-17 10:00:00,BVOL/BTC,0.0186,0.0186,0.0184,0.0184,0.0001,1.84e-06
1652778000000.0,2022-05-17 09:00:00,BVOL/BTC,0.0183,0.0186,0.0183,0.0186,0.004495698924731183,8.362e-05
1652774400000.0,2022-05-17 08:00:00,BVOL/BTC,0.01875,0.01875,0.01805,0.0183,0.010821311475409837,0.00019803
1652770800000.0,2022-05-17 07:00:00,BVOL/BTC,0.0189,0.0189,0.01875,0.01875,0.003108,5.8275e-05
1652767200000.0,2022-05-17 06:00:00,BVOL/BTC,0.01875,0.0189,0.01875,0.0189,0.0017,3.213e-05
1652763600000.0,2022-05-17 05:00:00,BVOL/BTC,0.0188,0.0188,0.01825,0.01875,0.0030314666666666668,5.684e-05
1652760000000.0,2022-05-17 04:00:00,BVOL/BTC,0.0188,0.0188,0.0188,0.0188,0.0018999999999999998,3.572e-05
1652756400000.0,2022-05-17 03:00:00,BVOL/BTC,0.01915,0.01915,0.0188,0.0188,0.015106382978723404,0.000284
1652752800000.0,2022-05-17 02:00:00,BVOL/BTC,0.01925,0.01925,0.01915,0.01915,9.999999999999999e-05,1.915e-06
1652749200000.0,2022-05-17 01:00:00,BVOL/BTC,0.01875,0.0194,0.01875,0.01925,0.0028142857142857145,5.4175e-05
1652745600000.0,2022-05-17 00:00:00,BVOL/BTC,0.01905,0.01905,0.0186,0.01875,0.0043704,8.1945e-05
1652742000000.0,2022-05-16 23:00:00,BVOL/BTC,0.01905,0.01905,0.01905,0.01905,0.0,0.0
1652738400000.0,2022-05-16 22:00:00,BVOL/BTC,0.0187,0.0192,0.01855,0.01905,0.0055301837270341206,0.00010535
1652734800000.0,2022-05-16 21:00:00,BVOL/BTC,0.01925,0.01925,0.01855,0.0187,0.008400534759358287,0.00015709
1652731200000.0,2022-05-16 20:00:00,BVOL/BTC,0.0194,0.0194,0.01925,0.01925,0.00010000000000000002,1.925e-06
1652727600000.0,2022-05-16 19:00:00,BVOL/BTC,0.0194,0.0194,0.0194,0.0194,0.0,0.0
1652724000000.0,2022-05-16 18:00:00,BVOL/BTC,0.0194,0.0194,0.0194,0.0194,0.0,0.0
1652720400000.0,2022-05-16 17:00:00,BVOL/BTC,0.0195,0.0195,0.0194,0.0194,0.0001,1.94e-06
1652716800000.0,2022-05-16 16:00:00,BVOL/BTC,0.019,0.0195,0.019,0.0195,0.0029576923076923074,5.7675e-05
1652713200000.0,2022-05-16 15:00:00,BVOL/BTC,0.0189,0.019,0.0189,0.019,0.0001,1.9e-06
1652709600000.0,2022-05-16 14:00:00,BVOL/BTC,0.01875,0.0189,0.0187,0.0189,0.0007939153439153439,1.5005e-05
