https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CUSDTHALF,Volume USD
1655769600000.0,2022-06-21 00:00:00,CUSDTHALF/USD,5205.5,5205.5,5198.75,5198.75,0.0,0.0
1655683200000.0,2022-06-20 00:00:00,CUSDTHALF/USD,5198.75,5208.5,5198.75,5205.5,0.0,0.0
1655596800000.0,2022-06-19 00:00:00,CUSDTHALF/USD,5198.75,5214.75,5198.75,5198.75,0.0,0.0
1655510400000.0,2022-06-18 00:00:00,CUSDTHALF/USD,5200.0,5219.25,5198.75,5198.75,0.0,0.0
1655424000000.0,2022-06-17 00:00:00,CUSDTHALF/USD,5225.5,5225.75,5198.75,5200.0,0.0,0.0
1655337600000.0,2022-06-16 00:00:00,CUSDTHALF/USD,5200.5,5227.75,5198.75,5225.5,0.0,0.0
1655251200000.0,2022-06-15 00:00:00,CUSDTHALF/USD,5220.5,5225.5,5198.75,5200.5,0.0,0.0
1655164800000.0,2022-06-14 00:00:00,CUSDTHALF/USD,5219.75,5220.5,5198.75,5220.5,0.0,0.0
1655078400000.0,2022-06-13 00:00:00,CUSDTHALF/USD,5212.5,5226.5,5198.75,5219.75,0.0,0.0
1654992000000.0,2022-06-12 00:00:00,CUSDTHALF/USD,5210.5,5227.75,5198.75,5212.5,0.0,0.0
1654905600000.0,2022-06-11 00:00:00,CUSDTHALF/USD,5206.25,5224.75,5198.75,5210.5,0.0,0.0
1654819200000.0,2022-06-10 00:00:00,CUSDTHALF/USD,5203.25,5221.0,5198.75,5206.25,0.0,0.0
1654732800000.0,2022-06-09 00:00:00,CUSDTHALF/USD,5198.75,5218.0,5198.75,5218.0,0.0,0.0
1654646400000.0,2022-06-08 00:00:00,CUSDTHALF/USD,5198.75,5211.75,5198.75,5198.75,0.0,0.0
1654560000000.0,2022-06-07 00:00:00,CUSDTHALF/USD,5198.75,5213.5,5198.75,5198.75,0.0,0.0
1654473600000.0,2022-06-06 00:00:00,CUSDTHALF/USD,5198.75,5210.0,5198.75,5198.75,0.0,0.0
1654387200000.0,2022-06-05 00:00:00,CUSDTHALF/USD,5198.75,5206.0,5198.75,5198.75,0.0,0.0
1654300800000.0,2022-06-04 00:00:00,CUSDTHALF/USD,5198.75,5207.25,5198.75,5198.75,0.0,0.0
