https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume EOSBULL,Volume USDT
1663545600000.0,2022-09-19 00:00:00,EOSBULL/USDT,2.7e-07,2.7e-07,2.7e-07,2.7e-07,0.0,0.0
1663542000000.0,2022-09-18 23:00:00,EOSBULL/USDT,2.7e-07,2.7e-07,2.7e-07,2.7e-07,0.0,0.0
1663538400000.0,2022-09-18 22:00:00,EOSBULL/USDT,2.7e-07,2.7e-07,2.6e-07,2.7e-07,6121000000.0,1652.67
1663534800000.0,2022-09-18 21:00:00,EOSBULL/USDT,3.4e-07,3.4e-07,2.6e-07,2.7e-07,24927777777.77778,6730.5
1663531200000.0,2022-09-18 20:00:00,EOSBULL/USDT,3.4e-07,3.4e-07,3.4e-07,3.4e-07,0.0,0.0
1663527600000.0,2022-09-18 19:00:00,EOSBULL/USDT,3.4e-07,3.5e-07,3.4e-07,3.4e-07,0.0,0.0
1663524000000.0,2022-09-18 18:00:00,EOSBULL/USDT,3.4e-07,3.5e-07,3.4e-07,3.4e-07,113379411.7647059,38.549
1663520400000.0,2022-09-18 17:00:00,EOSBULL/USDT,3.6e-07,3.6e-07,3.4e-07,3.4e-07,6692323529.411765,2275.39
1663516800000.0,2022-09-18 16:00:00,EOSBULL/USDT,3.9e-07,3.9e-07,3.5e-07,3.6e-07,6492272222.222222,2337.218
1663513200000.0,2022-09-18 15:00:00,EOSBULL/USDT,3.9e-07,4e-07,3.9e-07,3.9e-07,0.0,0.0
1663509600000.0,2022-09-18 14:00:00,EOSBULL/USDT,4e-07,4e-07,3.9e-07,3.9e-07,0.0,0.0
1663506000000.0,2022-09-18 13:00:00,EOSBULL/USDT,4e-07,4e-07,4e-07,4e-07,0.0,0.0
1663502400000.0,2022-09-18 12:00:00,EOSBULL/USDT,4e-07,4e-07,4e-07,4e-07,0.0,0.0
1663498800000.0,2022-09-18 11:00:00,EOSBULL/USDT,3.9e-07,4e-07,3.9e-07,4e-07,7200000.0,2.88
1663495200000.0,2022-09-18 10:00:00,EOSBULL/USDT,4e-07,4e-07,3.9e-07,3.9e-07,7199999.999999999,2.808
1663491600000.0,2022-09-18 09:00:00,EOSBULL/USDT,4.1e-07,4.2e-07,4e-07,4e-07,0.0,0.0
1663488000000.0,2022-09-18 08:00:00,EOSBULL/USDT,4.1e-07,4.1e-07,4.1e-07,4.1e-07,0.0,0.0
1663484400000.0,2022-09-18 07:00:00,EOSBULL/USDT,4.2e-07,4.2e-07,4.1e-07,4.1e-07,25400000.0,10.414
1663480800000.0,2022-09-18 06:00:00,EOSBULL/USDT,4.2e-07,4.2e-07,4.2e-07,4.2e-07,0.0,0.0
1663477200000.0,2022-09-18 05:00:00,EOSBULL/USDT,4.2e-07,4.2e-07,4.2e-07,4.2e-07,0.0,0.0
1663473600000.0,2022-09-18 04:00:00,EOSBULL/USDT,4.2e-07,4.2e-07,4.2e-07,4.2e-07,0.0,0.0
1663470000000.0,2022-09-18 03:00:00,EOSBULL/USDT,4.2e-07,4.2e-07,4.2e-07,4.2e-07,0.0,0.0
1663466400000.0,2022-09-18 02:00:00,EOSBULL/USDT,4.2e-07,4.2e-07,4.2e-07,4.2e-07,0.0,0.0
1663462800000.0,2022-09-18 01:00:00,EOSBULL/USDT,4.2e-07,4.2e-07,4.1e-07,4.2e-07,0.0,0.0
1663459200000.0,2022-09-18 00:00:00,EOSBULL/USDT,4.3e-07,4.3e-07,4.2e-07,4.2e-07,0.0,0.0
1663455600000.0,2022-09-17 23:00:00,EOSBULL/USDT,4.3e-07,4.3e-07,4.3e-07,4.3e-07,0.0,0.0
1663452000000.0,2022-09-17 22:00:00,EOSBULL/USDT,4.4e-07,4.4e-07,4.3e-07,4.3e-07,0.0,0.0
1663448400000.0,2022-09-17 21:00:00,EOSBULL/USDT,4.3e-07,4.4e-07,4.3e-07,4.4e-07,0.0,0.0
1663444800000.0,2022-09-17 20:00:00,EOSBULL/USDT,4.2e-07,4.3e-07,4.2e-07,4.3e-07,0.0,0.0
