https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume FRONT,Volume USDT
1663545600000.0,2022-09-19 00:00:00,FRONT/USDT,0.21675,0.2187,0.21625,0.2187,4397.660722450846,961.7684
1663542000000.0,2022-09-18 23:00:00,FRONT/USDT,0.21675,0.2168,0.21675,0.21675,0.0,0.0
1663538400000.0,2022-09-18 22:00:00,FRONT/USDT,0.22015,0.22015,0.21675,0.21675,584.8692041522492,126.7704
1663534800000.0,2022-09-18 21:00:00,FRONT/USDT,0.2274,0.2274,0.22015,0.22015,4327.45627980922,952.6895
1663531200000.0,2022-09-18 20:00:00,FRONT/USDT,0.231,0.231,0.2274,0.2274,3874.525065963061,881.067
1663527600000.0,2022-09-18 19:00:00,FRONT/USDT,0.2269,0.2315,0.2269,0.231,536.599567099567,123.9545
1663524000000.0,2022-09-18 18:00:00,FRONT/USDT,0.2269,0.2301,0.2269,0.2269,254.2216835610401,57.6829
1663520400000.0,2022-09-18 17:00:00,FRONT/USDT,0.22865,0.23165,0.2263,0.2269,2756.6718818862932,625.48885
1663516800000.0,2022-09-18 16:00:00,FRONT/USDT,0.22995,0.22995,0.2255,0.22865,2123.389678547999,485.51305
1663513200000.0,2022-09-18 15:00:00,FRONT/USDT,0.2303,0.2303,0.22995,0.22995,0.0,0.0
1663509600000.0,2022-09-18 14:00:00,FRONT/USDT,0.23195,0.2332,0.22975,0.2303,557.6087711680417,128.4173
1663506000000.0,2022-09-18 13:00:00,FRONT/USDT,0.23195,0.23195,0.23195,0.23195,0.0,0.0
1663502400000.0,2022-09-18 12:00:00,FRONT/USDT,0.2315,0.23195,0.2305,0.23195,99.0,22.96305
1663498800000.0,2022-09-18 11:00:00,FRONT/USDT,0.2303,0.2315,0.22965,0.2315,74.0,17.131
1663495200000.0,2022-09-18 10:00:00,FRONT/USDT,0.232,0.232,0.2303,0.2303,45.11072514112028,10.389
1663491600000.0,2022-09-18 09:00:00,FRONT/USDT,0.238,0.2407,0.232,0.232,177.50387931034481,41.1809
1663488000000.0,2022-09-18 08:00:00,FRONT/USDT,0.2354,0.2383,0.2354,0.238,644.7361344537816,153.4472
1663484400000.0,2022-09-18 07:00:00,FRONT/USDT,0.2352,0.2354,0.2352,0.2354,0.0,0.0
1663480800000.0,2022-09-18 06:00:00,FRONT/USDT,0.23845,0.23905,0.2352,0.2352,57.31186224489796,13.47975
1663477200000.0,2022-09-18 05:00:00,FRONT/USDT,0.24,0.24045,0.23835,0.23845,70.58712518347662,16.8315
1663473600000.0,2022-09-18 04:00:00,FRONT/USDT,0.23755,0.24,0.23755,0.24,194.92499999999998,46.782
1663470000000.0,2022-09-18 03:00:00,FRONT/USDT,0.23755,0.23755,0.23755,0.23755,0.0,0.0
1663466400000.0,2022-09-18 02:00:00,FRONT/USDT,0.23755,0.23755,0.23755,0.23755,0.0,0.0
1663462800000.0,2022-09-18 01:00:00,FRONT/USDT,0.2371,0.23755,0.2371,0.23755,90.99999999999999,21.61705
1663459200000.0,2022-09-18 00:00:00,FRONT/USDT,0.2388,0.2388,0.2366,0.2371,15.0,3.5565
1663455600000.0,2022-09-17 23:00:00,FRONT/USDT,0.24,0.24,0.2388,0.2388,116.10573701842546,27.72605
1663452000000.0,2022-09-17 22:00:00,FRONT/USDT,0.24,0.24,0.24,0.24,0.0,0.0
1663448400000.0,2022-09-17 21:00:00,FRONT/USDT,0.24,0.2403,0.24,0.24,0.0,0.0
1663444800000.0,2022-09-17 20:00:00,FRONT/USDT,0.2373,0.241,0.2371,0.24,1348.5166666666667,323.644
1663441200000.0,2022-09-17 19:00:00,FRONT/USDT,0.2381,0.2381,0.23725,0.2373,753.8563000421407,178.8901
1663437600000.0,2022-09-17 18:00:00,FRONT/USDT,0.2406,0.24075,0.2371,0.2381,451.09260814783704,107.40515
1663434000000.0,2022-09-17 17:00:00,FRONT/USDT,0.2371,0.2406,0.2371,0.2406,780.5193266832918,187.79295
1663430400000.0,2022-09-17 16:00:00,FRONT/USDT,0.23895,0.23895,0.23695,0.2371,67.01096583719949,15.8883
1663426800000.0,2022-09-17 15:00:00,FRONT/USDT,0.2366,0.2425,0.2344,0.23895,732.3370998116761,174.99195
1663423200000.0,2022-09-17 14:00:00,FRONT/USDT,0.236,0.2523,0.232,0.2366,3065.4691462383767,725.29
1663419600000.0,2022-09-17 13:00:00,FRONT/USDT,0.232,0.2406,0.23195,0.236,1691.0182203389832,399.0803
1663416000000.0,2022-09-17 12:00:00,FRONT/USDT,0.2329,0.23625,0.2286,0.232,3396.1995689655173,787.9183
1663412400000.0,2022-09-17 11:00:00,FRONT/USDT,0.22885,0.2329,0.2269,0.2329,1420.0448690425076,330.72845
1663408800000.0,2022-09-17 10:00:00,FRONT/USDT,0.22395,0.236,0.22395,0.22885,2816.0965698055497,644.4637
1663405200000.0,2022-09-17 09:00:00,FRONT/USDT,0.2196,0.22395,0.21945,0.22395,1602.2685867381113,358.82805
1663401600000.0,2022-09-17 08:00:00,FRONT/USDT,0.21945,0.2196,0.21945,0.2196,0.0,0.0
1663398000000.0,2022-09-17 07:00:00,FRONT/USDT,0.21925,0.21945,0.21925,0.21945,0.0,0.0
1663394400000.0,2022-09-17 06:00:00,FRONT/USDT,0.2215,0.2215,0.21925,0.21925,278.2852907639681,61.01405
1663390800000.0,2022-09-17 05:00:00,FRONT/USDT,0.21975,0.2215,0.21975,0.2215,156.9085778781038,34.75525
1663387200000.0,2022-09-17 04:00:00,FRONT/USDT,0.21975,0.21975,0.21975,0.21975,0.0,0.0
1663383600000.0,2022-09-17 03:00:00,FRONT/USDT,0.2189,0.21975,0.2189,0.21975,100.0,21.975
1663380000000.0,2022-09-17 02:00:00,FRONT/USDT,0.2189,0.2189,0.2189,0.2189,0.0,0.0
1663376400000.0,2022-09-17 01:00:00,FRONT/USDT,0.21855,0.2189,0.21855,0.2189,0.0,0.0
1663372800000.0,2022-09-17 00:00:00,FRONT/USDT,0.2185,0.21855,0.21735,0.21855,0.0,0.0
1663369200000.0,2022-09-16 23:00:00,FRONT/USDT,0.219,0.2192,0.21755,0.2185,0.0,0.0
1663365600000.0,2022-09-16 22:00:00,FRONT/USDT,0.2175,0.219,0.2175,0.219,0.0,0.0
1663362000000.0,2022-09-16 21:00:00,FRONT/USDT,0.2182,0.22005,0.2172,0.2175,227.0744827586207,49.3887
1663358400000.0,2022-09-16 20:00:00,FRONT/USDT,0.21675,0.21955,0.21675,0.2182,637.7518331805683,139.15745
1663354800000.0,2022-09-16 19:00:00,FRONT/USDT,0.21675,0.21675,0.21675,0.21675,0.0,0.0
1663351200000.0,2022-09-16 18:00:00,FRONT/USDT,0.21675,0.21675,0.21675,0.21675,0.0,0.0
1663347600000.0,2022-09-16 17:00:00,FRONT/USDT,0.2196,0.2196,0.21595,0.21675,15.000000000000002,3.25125
1663344000000.0,2022-09-16 16:00:00,FRONT/USDT,0.2177,0.2196,0.21765,0.2196,0.0,0.0
1663340400000.0,2022-09-16 15:00:00,FRONT/USDT,0.21465,0.2196,0.21465,0.2177,920.9076711070279,200.4816
1663336800000.0,2022-09-16 14:00:00,FRONT/USDT,0.2114,0.2157,0.211,0.21465,434.68600046587466,93.30535
1663333200000.0,2022-09-16 13:00:00,FRONT/USDT,0.2163,0.21675,0.211,0.2114,549.5901135288552,116.18335
1663329600000.0,2022-09-16 12:00:00,FRONT/USDT,0.21845,0.21845,0.2163,0.2163,15.03120665742025,3.25125
1663326000000.0,2022-09-16 11:00:00,FRONT/USDT,0.21845,0.2185,0.21845,0.21845,3.0,0.65535
1663322400000.0,2022-09-16 10:00:00,FRONT/USDT,0.2176,0.21845,0.21675,0.21845,12.0,2.6214
1663318800000.0,2022-09-16 09:00:00,FRONT/USDT,0.21675,0.21765,0.21675,0.2176,0.0,0.0
1663315200000.0,2022-09-16 08:00:00,FRONT/USDT,0.2178,0.21805,0.21655,0.21675,15.000000000000002,3.25125
1663311600000.0,2022-09-16 07:00:00,FRONT/USDT,0.21825,0.21845,0.2178,0.2178,0.0,0.0
1663308000000.0,2022-09-16 06:00:00,FRONT/USDT,0.2183,0.21845,0.21825,0.21825,0.0,0.0
1663304400000.0,2022-09-16 05:00:00,FRONT/USDT,0.21845,0.21845,0.2183,0.2183,0.0,0.0
