https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume HNT,Volume USDT
1663545600000.0,2022-09-19 00:00:00,HNT/USDT,3.9652,4.028,3.9652,4.028,34.894957795431985,140.55689
1663542000000.0,2022-09-18 23:00:00,HNT/USDT,3.9996,4.0118,3.9652,3.9652,19.333024815898316,76.65931
1663538400000.0,2022-09-18 22:00:00,HNT/USDT,4.0255,4.0255,3.9656,3.9996,12.033038303830383,48.12734
1663534800000.0,2022-09-18 21:00:00,HNT/USDT,4.1928,4.2143,3.6788,4.0255,781.206086200472,3144.7451
1663531200000.0,2022-09-18 20:00:00,HNT/USDT,4.2185,4.2308,4.1846,4.1928,0.8006391909940851,3.35692
1663527600000.0,2022-09-18 19:00:00,HNT/USDT,4.2029,4.2308,4.1985,4.2185,0.4011662913357829,1.69232
1663524000000.0,2022-09-18 18:00:00,HNT/USDT,4.1846,4.252,4.1789,4.2029,18.16927359680221,76.36364
1663520400000.0,2022-09-18 17:00:00,HNT/USDT,4.1523,4.2113,4.1456,4.1846,24.953575013143436,104.42073
1663516800000.0,2022-09-18 16:00:00,HNT/USDT,4.3464,4.3696,4.0921,4.1523,328.42430219396476,1363.71623
1663513200000.0,2022-09-18 15:00:00,HNT/USDT,4.3762,4.3853,4.3464,4.3464,0.4,1.73856
1663509600000.0,2022-09-18 14:00:00,HNT/USDT,4.4486,4.4486,4.3464,4.3762,48.05839312645674,210.31314
1663506000000.0,2022-09-18 13:00:00,HNT/USDT,4.494,4.5016,4.4422,4.4487,0.4012048463596107,1.78484
1663502400000.0,2022-09-18 12:00:00,HNT/USDT,4.5311,4.5311,4.439,4.494,1.696762349799733,7.62525
1663498800000.0,2022-09-18 11:00:00,HNT/USDT,4.4336,4.5311,4.4336,4.5311,24.696610094678995,111.90281
1663495200000.0,2022-09-18 10:00:00,HNT/USDT,4.3914,4.4495,4.3464,4.4336,243.99878202814864,1081.793
1663491600000.0,2022-09-18 09:00:00,HNT/USDT,4.4433,4.4852,4.3757,4.3914,540.5179874299768,2373.63069
1663488000000.0,2022-09-18 08:00:00,HNT/USDT,4.4063,4.449,4.3846,4.4433,23.2978912069858,103.51952
1663484400000.0,2022-09-18 07:00:00,HNT/USDT,4.3712,4.429,4.3643,4.4063,100.98466513855162,444.96873
1663480800000.0,2022-09-18 06:00:00,HNT/USDT,4.3368,4.3785,4.3344,4.3712,220.41227580527087,963.46614
1663477200000.0,2022-09-18 05:00:00,HNT/USDT,4.356,4.356,4.3249,4.3368,38.44592326139089,166.73228
1663473600000.0,2022-09-18 04:00:00,HNT/USDT,4.3181,4.3683,4.3008,4.356,195.00611340679524,849.44663
1663470000000.0,2022-09-18 03:00:00,HNT/USDT,4.327,4.327,4.2778,4.3181,518.4812764873438,2238.854
1663466400000.0,2022-09-18 02:00:00,HNT/USDT,4.3587,4.3775,4.3101,4.327,2.2070533857175874,9.54992
1663462800000.0,2022-09-18 01:00:00,HNT/USDT,4.3782,4.3947,4.3442,4.3587,149.0830637575424,649.80835
1663459200000.0,2022-09-18 00:00:00,HNT/USDT,4.407,4.4076,4.3002,4.3782,10.145123566762598,44.41738
1663455600000.0,2022-09-17 23:00:00,HNT/USDT,4.4033,4.4253,4.3817,4.407,36.75613796233265,161.9843
1663452000000.0,2022-09-17 22:00:00,HNT/USDT,4.3646,4.4034,4.3602,4.4033,1.7911793427656533,7.8871
1663448400000.0,2022-09-17 21:00:00,HNT/USDT,4.3672,4.3904,4.3473,4.3646,2.2015327865096457,9.60881
1663444800000.0,2022-09-17 20:00:00,HNT/USDT,4.3454,4.3672,4.3162,4.3672,2.683797398790987,11.72068
1663441200000.0,2022-09-17 19:00:00,HNT/USDT,4.4064,4.4064,4.3091,4.3454,26.66661987388963,115.87713
1663437600000.0,2022-09-17 18:00:00,HNT/USDT,4.4135,4.4374,4.3776,4.4064,36.60767973856209,161.30808
1663434000000.0,2022-09-17 17:00:00,HNT/USDT,4.4039,4.4424,4.3763,4.4135,1122.9117095275858,4955.97083
1663430400000.0,2022-09-17 16:00:00,HNT/USDT,4.4279,4.4289,4.3662,4.4039,474.2839301528191,2088.699
1663426800000.0,2022-09-17 15:00:00,HNT/USDT,4.4318,4.5406,4.4158,4.4279,2110.484039838298,9345.01228
1663423200000.0,2022-09-17 14:00:00,HNT/USDT,4.309,4.4318,4.2812,4.4318,23.018780179610992,102.01463
