https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LUA,Volume USDT
1663545600000.0,2022-09-19 00:00:00,LUA/USDT,0.0135,0.0135,0.0135,0.0135,0.0,0.0
1663459200000.0,2022-09-18 00:00:00,LUA/USDT,0.0135,0.0135,0.0135,0.0135,686.7,9.27045
1663372800000.0,2022-09-17 00:00:00,LUA/USDT,0.0135,0.0135,0.0135,0.0135,0.0,0.0
1663286400000.0,2022-09-16 00:00:00,LUA/USDT,0.0135,0.0135,0.0135,0.0135,0.0,0.0
1663200000000.0,2022-09-15 00:00:00,LUA/USDT,0.01375,0.01375,0.013,0.0135,12067.414814814814,162.9101
1663113600000.0,2022-09-14 00:00:00,LUA/USDT,0.01375,0.01375,0.01325,0.01375,16338.067272727272,224.648425
1663027200000.0,2022-09-13 00:00:00,LUA/USDT,0.01375,0.01375,0.013,0.01375,145001.70909090908,1993.7735
1662940800000.0,2022-09-12 00:00:00,LUA/USDT,0.01375,0.01425,0.01375,0.01375,22502.65090909091,309.41145
1662854400000.0,2022-09-11 00:00:00,LUA/USDT,0.01375,0.01425,0.01375,0.01375,4081.6781818181817,56.123075
1662768000000.0,2022-09-10 00:00:00,LUA/USDT,0.0135,0.014,0.0135,0.01375,30834.847272727275,423.97915
1662681600000.0,2022-09-09 00:00:00,LUA/USDT,0.013,0.014,0.013,0.0135,123671.59444444445,1669.566525
1662595200000.0,2022-09-08 00:00:00,LUA/USDT,0.0135,0.0135,0.013,0.013,30.448076923076922,0.395825
1662508800000.0,2022-09-07 00:00:00,LUA/USDT,0.01325,0.0135,0.01275,0.0135,28828.975925925926,389.191175
1662422400000.0,2022-09-06 00:00:00,LUA/USDT,0.0135,0.014,0.01325,0.01325,73801.34150943397,977.867775
1662336000000.0,2022-09-05 00:00:00,LUA/USDT,0.014,0.014,0.0135,0.0135,20387.566666666666,275.23215
1662249600000.0,2022-09-04 00:00:00,LUA/USDT,0.0135,0.014,0.013,0.014,28787.09464285714,403.019325
1662163200000.0,2022-09-03 00:00:00,LUA/USDT,0.01375,0.014,0.013,0.0135,7253.22962962963,97.9186
1662076800000.0,2022-09-02 00:00:00,LUA/USDT,0.014,0.014,0.0135,0.01375,71562.86363636363,983.989375
1661990400000.0,2022-09-01 00:00:00,LUA/USDT,0.01375,0.01425,0.01325,0.014,21259.851785714283,297.637925
1661904000000.0,2022-08-31 00:00:00,LUA/USDT,0.01375,0.01425,0.01325,0.01375,21968.734545454547,302.0701
1661817600000.0,2022-08-30 00:00:00,LUA/USDT,0.013,0.01525,0.013,0.01375,362823.9909090909,4988.829875
1661731200000.0,2022-08-29 00:00:00,LUA/USDT,0.013,0.01325,0.013,0.013,572.1153846153846,7.4375
1661644800000.0,2022-08-28 00:00:00,LUA/USDT,0.013,0.01325,0.013,0.013,31.130769230769232,0.4047
1661558400000.0,2022-08-27 00:00:00,LUA/USDT,0.01325,0.01325,0.013,0.013,1487.3076923076924,19.335
1661472000000.0,2022-08-26 00:00:00,LUA/USDT,0.01375,0.01375,0.01325,0.01325,8520.003773584906,112.89005
1661385600000.0,2022-08-25 00:00:00,LUA/USDT,0.01325,0.015,0.01175,0.01375,7964.376363636364,109.510175
1661299200000.0,2022-08-24 00:00:00,LUA/USDT,0.01375,0.014,0.013,0.01325,72762.74339622642,964.10635
1661212800000.0,2022-08-23 00:00:00,LUA/USDT,0.01375,0.01375,0.01325,0.01375,13710.085454545455,188.513675
1661126400000.0,2022-08-22 00:00:00,LUA/USDT,0.0135,0.01375,0.013,0.01375,2916.3999999999996,40.1005
1661040000000.0,2022-08-21 00:00:00,LUA/USDT,0.01325,0.014,0.013,0.0135,214415.0925925926,2894.60375
1660953600000.0,2022-08-20 00:00:00,LUA/USDT,0.01325,0.01325,0.013,0.01325,2179.5943396226417,28.879625
