https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SRM,Volume USDT
1663545600000.0,2022-09-19 00:00:00,SRM/USDT,0.748,0.749,0.74,0.749,12776.417890520695,9569.537
1663542000000.0,2022-09-18 23:00:00,SRM/USDT,0.75,0.755,0.746,0.748,10688.363636363636,7994.896
1663538400000.0,2022-09-18 22:00:00,SRM/USDT,0.75,0.75,0.74,0.75,13265.980000000001,9949.485
1663534800000.0,2022-09-18 21:00:00,SRM/USDT,0.768,0.768,0.742,0.75,40387.94133333333,30290.956
1663531200000.0,2022-09-18 20:00:00,SRM/USDT,0.776,0.777,0.767,0.768,3379.359375,2595.348
1663527600000.0,2022-09-18 19:00:00,SRM/USDT,0.775,0.778,0.773,0.776,66.06572164948454,51.267
1663524000000.0,2022-09-18 18:00:00,SRM/USDT,0.773,0.777,0.771,0.775,1303.6890322580646,1010.359
1663520400000.0,2022-09-18 17:00:00,SRM/USDT,0.778,0.778,0.771,0.773,17642.01293661061,13637.276
1663516800000.0,2022-09-18 16:00:00,SRM/USDT,0.785,0.787,0.774,0.778,16246.02442159383,12639.407
1663513200000.0,2022-09-18 15:00:00,SRM/USDT,0.783,0.787,0.783,0.785,3402.4777070063697,2670.945
1663509600000.0,2022-09-18 14:00:00,SRM/USDT,0.791,0.791,0.78,0.783,11920.289910600255,9333.587
1663506000000.0,2022-09-18 13:00:00,SRM/USDT,0.792,0.793,0.791,0.791,5.005056890012642,3.959
1663502400000.0,2022-09-18 12:00:00,SRM/USDT,0.79,0.792,0.787,0.792,76.72222222222223,60.764
1663498800000.0,2022-09-18 11:00:00,SRM/USDT,0.791,0.791,0.789,0.79,17.981012658227847,14.205
1663495200000.0,2022-09-18 10:00:00,SRM/USDT,0.785,0.794,0.782,0.791,8514.134007585335,6734.68
1663491600000.0,2022-09-18 09:00:00,SRM/USDT,0.808,0.809,0.784,0.785,12525.345222929936,9832.396
1663488000000.0,2022-09-18 08:00:00,SRM/USDT,0.805,0.809,0.805,0.808,676.9504950495049,546.976
1663484400000.0,2022-09-18 07:00:00,SRM/USDT,0.808,0.808,0.805,0.805,3.0,2.415
1663480800000.0,2022-09-18 06:00:00,SRM/USDT,0.801,0.808,0.801,0.808,12824.738861386137,10362.389
1663477200000.0,2022-09-18 05:00:00,SRM/USDT,0.798,0.801,0.798,0.801,14.0,11.214
1663473600000.0,2022-09-18 04:00:00,SRM/USDT,0.798,0.799,0.797,0.798,1258.1604010025062,1004.012
1663470000000.0,2022-09-18 03:00:00,SRM/USDT,0.801,0.801,0.796,0.798,3350.0363408521303,2673.329
1663466400000.0,2022-09-18 02:00:00,SRM/USDT,0.799,0.801,0.799,0.801,27.982521847690386,22.414
1663462800000.0,2022-09-18 01:00:00,SRM/USDT,0.8,0.802,0.799,0.799,447.0738423028786,357.212
1663459200000.0,2022-09-18 00:00:00,SRM/USDT,0.806,0.806,0.799,0.8,2726.7087500000002,2181.367
1663455600000.0,2022-09-17 23:00:00,SRM/USDT,0.799,0.806,0.799,0.806,2571.1650124069474,2072.359
1663452000000.0,2022-09-17 22:00:00,SRM/USDT,0.8,0.801,0.798,0.799,1627.0362953692113,1300.002
1663448400000.0,2022-09-17 21:00:00,SRM/USDT,0.8,0.802,0.8,0.8,674.49875,539.599
1663444800000.0,2022-09-17 20:00:00,SRM/USDT,0.792,0.801,0.792,0.8,15618.70625,12494.965
1663441200000.0,2022-09-17 19:00:00,SRM/USDT,0.795,0.796,0.792,0.792,270.2664141414141,214.051
