https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ALBT,Volume USDT
1663459200,2022-09-18 00:00:00,ALBT/USDT,0.04372,0.04375,0.04323,0.04323,61201.6105,2657.323530957
1663372800,2022-09-17 00:00:00,ALBT/USDT,0.04302,0.04542,0.0426,0.04347,3248324.7304,142853.925808772
1663286400,2022-09-16 00:00:00,ALBT/USDT,0.04203,0.04499,0.042,0.04265,2905113.7672,125950.3502222
1663200000,2022-09-15 00:00:00,ALBT/USDT,0.04484,0.04611,0.042,0.04202,2909676.5943,126886.038504817
1663113600,2022-09-14 00:00:00,ALBT/USDT,0.0461,0.04704,0.04301,0.04484,2769981.6956,124962.710248798
1663027200,2022-09-13 00:00:00,ALBT/USDT,0.05179,0.05228,0.0455,0.04612,3680355.2989,178102.411757067
1662940800,2022-09-12 00:00:00,ALBT/USDT,0.04832,0.05699,0.04701,0.05179,7422237.3782,385266.584545587
1662854400,2022-09-11 00:00:00,ALBT/USDT,0.04603,0.04918,0.04555,0.04831,2912464.1256,138397.803257341
1662768000,2022-09-10 00:00:00,ALBT/USDT,0.04532,0.04689,0.04417,0.04573,2551424.2169,114273.598922999
1662681600,2022-09-09 00:00:00,ALBT/USDT,0.04418,0.04677,0.04396,0.04532,2518444.8161,113545.867306604
1662595200,2022-09-08 00:00:00,ALBT/USDT,0.04479,0.04542,0.04201,0.04398,2052930.7645,89211.188503976
1662508800,2022-09-07 00:00:00,ALBT/USDT,0.03893,0.04597,0.03789,0.04444,4730165.9799,196438.186198512
1662422400,2022-09-06 00:00:00,ALBT/USDT,0.04047,0.045,0.03768,0.03893,4726092.1119,191779.201768727
1662336000,2022-09-05 00:00:00,ALBT/USDT,0.04094,0.04153,0.03801,0.04045,5269799.9971,208913.72480195
1662249600,2022-09-04 00:00:00,ALBT/USDT,0.04112,0.04152,0.04022,0.04066,2640877.9666,108029.699402564
1662163200,2022-09-03 00:00:00,ALBT/USDT,0.04385,0.0444,0.04,0.04107,3808367.2589,159805.562467778
1662076800,2022-09-02 00:00:00,ALBT/USDT,0.04534,0.0455,0.0435,0.04388,1876775.6044,83126.506994896
1661990400,2022-09-01 00:00:00,ALBT/USDT,0.04471,0.04601,0.043,0.04543,3119263.068,138557.369640745
1661904000,2022-08-31 00:00:00,ALBT/USDT,0.04588,0.04741,0.0447,0.04471,2296223.4835,105642.823062885
1661817600,2022-08-30 00:00:00,ALBT/USDT,0.04706,0.0488,0.04511,0.04588,1967011.5947,92248.015259659
1661731200,2022-08-29 00:00:00,ALBT/USDT,0.04695,0.04867,0.04577,0.04701,2306947.81,108536.618484935
1661644800,2022-08-28 00:00:00,ALBT/USDT,0.04831,0.04879,0.04674,0.04674,2051193.7085,97754.354751628
1661558400,2022-08-27 00:00:00,ALBT/USDT,0.04777,0.049,0.04635,0.0483,2295420.3489,108996.535726325
1661472000,2022-08-26 00:00:00,ALBT/USDT,0.0513,0.055,0.0475,0.04806,3726948.2225,186347.707135333
1661385600,2022-08-25 00:00:00,ALBT/USDT,0.04937,0.05249,0.04919,0.05101,2254725.4506,114046.053870324
1661299200,2022-08-24 00:00:00,ALBT/USDT,0.05027,0.05094,0.04882,0.04936,2226820.0189,110371.452542866
1661212800,2022-08-23 00:00:00,ALBT/USDT,0.05015,0.05199,0.04908,0.0503,2398467.8323,120138.564470472
1661126400,2022-08-22 00:00:00,ALBT/USDT,0.0521,0.05231,0.04881,0.05016,2507911.0617,125261.741364087
1661040000,2022-08-21 00:00:00,ALBT/USDT,0.05039,0.0543,0.05,0.0521,2301617.7269,118685.285863125
1660953600,2022-08-20 00:00:00,ALBT/USDT,0.04953,0.052,0.04821,0.05016,2995871.3189,150960.662219089
1660867200,2022-08-19 00:00:00,ALBT/USDT,0.05364,0.05422,0.04914,0.04915,3365590.2403,172224.056781359
1660780800,2022-08-18 00:00:00,ALBT/USDT,0.05408,0.05599,0.05321,0.05375,2366475.3755,128191.333762848
1660694400,2022-08-17 00:00:00,ALBT/USDT,0.0564,0.05892,0.05351,0.05437,2992258.3126,167149.054039387
1660608000,2022-08-16 00:00:00,ALBT/USDT,0.05983,0.06109,0.05523,0.05606,3447201.9652,199101.736985145
1660521600,2022-08-15 00:00:00,ALBT/USDT,0.05958,0.063,0.05741,0.0596,3029153.4386,180803.678591953
1660435200,2022-08-14 00:00:00,ALBT/USDT,0.05833,0.065,0.05781,0.05932,5213391.2092,320109.752700524
1660348800,2022-08-13 00:00:00,ALBT/USDT,0.05949,0.06041,0.05743,0.05808,2277569.8621,134082.893933418
1660262400,2022-08-12 00:00:00,ALBT/USDT,0.05591,0.063,0.0557,0.05949,5915819.9278,348437.373099662
1660176000,2022-08-11 00:00:00,ALBT/USDT,0.05844,0.06061,0.05571,0.05635,4299682.1868,249810.192754617
1660089600,2022-08-10 00:00:00,ALBT/USDT,0.0568,0.06,0.05346,0.05844,5045769.3664,284878.332056544
1660003200,2022-08-09 00:00:00,ALBT/USDT,0.0599,0.06299,0.05571,0.05714,5151618.1631,300789.120289181
1659916800,2022-08-08 00:00:00,ALBT/USDT,0.06242,0.06499,0.05901,0.0599,4312876.1561,266542.180522416
1659830400,2022-08-07 00:00:00,ALBT/USDT,0.05902,0.0663,0.05721,0.06245,6418379.6388,405256.950100226
1659744000,2022-08-06 00:00:00,ALBT/USDT,0.05728,0.066,0.05505,0.05903,8201745.6869,488457.481192336
1659657600,2022-08-05 00:00:00,ALBT/USDT,0.05286,0.0586,0.05266,0.05727,6344627.5794,352139.800375465
1659571200,2022-08-04 00:00:00,ALBT/USDT,0.05047,0.05467,0.05047,0.05321,6246810.9556,330544.825506708
1659484800,2022-08-03 00:00:00,ALBT/USDT,0.05135,0.055,0.05006,0.05043,2827415.3362,148004.569052079
1659398400,2022-08-02 00:00:00,ALBT/USDT,0.04896,0.05534,0.04854,0.05135,3442596.4889,176623.743316634
1659312000,2022-08-01 00:00:00,ALBT/USDT,0.04953,0.05991,0.047,0.04901,4807433.7576,245590.823475599
1659225600,2022-07-31 00:00:00,ALBT/USDT,0.05201,0.05499,0.04901,0.04932,2243732.6404,115636.416632426
1659139200,2022-07-30 00:00:00,ALBT/USDT,0.05523,0.05699,0.05151,0.05201,2798141.6641,149646.152723606
1659052800,2022-07-29 00:00:00,ALBT/USDT,0.05336,0.059,0.05159,0.05561,3245516.9619,177566.211853725
1658966400,2022-07-28 00:00:00,ALBT/USDT,0.05125,0.05439,0.05008,0.05333,2194451.8097,114891.142929458
1658880000,2022-07-27 00:00:00,ALBT/USDT,0.04993,0.05299,0.04818,0.05115,2471368.9202,124692.826520329
1658793600,2022-07-26 00:00:00,ALBT/USDT,0.05243,0.05289,0.04672,0.05019,3620371.7097,178335.831380657
1658707200,2022-07-25 00:00:00,ALBT/USDT,0.05442,0.05639,0.05106,0.05243,2268469.7495,121743.996448623
1658620800,2022-07-24 00:00:00,ALBT/USDT,0.05503,0.05799,0.05293,0.05436,1899641.152,104639.729035126
1658534400,2022-07-23 00:00:00,ALBT/USDT,0.05047,0.05705,0.05034,0.0555,2785879.2416,145561.566006778
