https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ANT,Volume USDT
1663459200,2022-09-18 00:00:00,ANT/USDT,1.7499,1.7523,1.7359,1.741,528.55815408,920.903331699345
1663372800,2022-09-17 00:00:00,ANT/USDT,1.7197,1.7546,1.7005,1.7519,18026.78791321,31093.442016997616
1663286400,2022-09-16 00:00:00,ANT/USDT,1.6531,1.743,1.6366,1.722,32287.93629767,54715.475502794398
1663200000,2022-09-15 00:00:00,ANT/USDT,1.7587,1.7627,1.6388,1.6594,95769.03651009,162978.922296711797
1663113600,2022-09-14 00:00:00,ANT/USDT,1.731,1.7952,1.7057,1.7625,71671.23228486,125343.066702750234
1663027200,2022-09-13 00:00:00,ANT/USDT,1.9264,1.9472,1.7201,1.7347,72823.36569423,133041.320647388126
1662940800,2022-09-12 00:00:00,ANT/USDT,1.9603,2.0776,1.8773,1.9282,46654.28441903,92702.562217256605
1662854400,2022-09-11 00:00:00,ANT/USDT,1.9652,2.0242,1.923,1.9617,45703.22772643,90595.742253554739
1662768000,2022-09-10 00:00:00,ANT/USDT,2.0523,2.0528,1.9315,1.9637,34009.62783836,67266.09191925803
1662681600,2022-09-09 00:00:00,ANT/USDT,1.8204,2.125,1.8204,2.0445,84409.88952485,164906.196409180808
1662595200,2022-09-08 00:00:00,ANT/USDT,1.8482,1.857,1.7652,1.8199,57735.90235826,104409.149226526397
1662508800,2022-09-07 00:00:00,ANT/USDT,1.9125,1.9688,1.8371,1.8463,59971.92022202,114253.405661834964
1662422400,2022-09-06 00:00:00,ANT/USDT,1.9311,1.9699,1.751,1.9114,56936.27053834,105719.87538887803
1662336000,2022-09-05 00:00:00,ANT/USDT,1.8686,1.947,1.7846,1.9319,20170.20421627,37368.985890267614
1662249600,2022-09-04 00:00:00,ANT/USDT,1.8451,1.8685,1.7568,1.8677,21035.27824079,38251.601870662478
1662163200,2022-09-03 00:00:00,ANT/USDT,1.7693,1.8729,1.7485,1.8438,61543.82023234,111583.58042046526
1662076800,2022-09-02 00:00:00,ANT/USDT,1.7344,1.7879,1.6842,1.7697,36538.13601641,63821.341398876038
1661990400,2022-09-01 00:00:00,ANT/USDT,1.6583,1.7475,1.6305,1.7352,60848.67319755,103919.98943588866
1661904000,2022-08-31 00:00:00,ANT/USDT,1.5904,1.6815,1.5904,1.6593,29674.78946848,48738.476267012834
1661817600,2022-08-30 00:00:00,ANT/USDT,1.6589,1.665,1.5347,1.5833,14224.88610784,22902.397385529411
1661731200,2022-08-29 00:00:00,ANT/USDT,1.5173,1.6638,1.4863,1.6594,16211.73535129,25500.660304746346
1661644800,2022-08-28 00:00:00,ANT/USDT,1.5892,1.6071,1.5066,1.5115,12827.38093109,20113.317647810267
1661558400,2022-08-27 00:00:00,ANT/USDT,1.5359,1.5998,1.5235,1.5898,40244.88062382,62832.848142349166
1661472000,2022-08-26 00:00:00,ANT/USDT,1.7557,1.7843,1.5214,1.5344,73207.86685575,120990.759649039083
1661385600,2022-08-25 00:00:00,ANT/USDT,1.6784,1.7832,1.6695,1.7554,74079.1661369,128626.092655455812
1661299200,2022-08-24 00:00:00,ANT/USDT,1.7284,1.7569,1.678,1.6819,100183.46977599,171464.700772568516
1661212800,2022-08-23 00:00:00,ANT/USDT,1.654,2.99,1.6517,1.7271,961101.24711549,1846611.044019961394
1661126400,2022-08-22 00:00:00,ANT/USDT,1.6473,1.6536,1.5317,1.653,24904.59893928,39730.654522112882
1661040000,2022-08-21 00:00:00,ANT/USDT,1.5942,1.671,1.5904,1.6486,13308.08071215,21850.588161443744
1660953600,2022-08-20 00:00:00,ANT/USDT,1.6478,1.6718,1.5435,1.5947,53921.67115024,87669.037147512126
1660867200,2022-08-19 00:00:00,ANT/USDT,1.7584,1.78,1.5546,1.6477,80276.99477712,131620.461615542297
1660780800,2022-08-18 00:00:00,ANT/USDT,1.8671,1.9279,1.756,1.7584,30012.17380577,54618.155560999037
1660694400,2022-08-17 00:00:00,ANT/USDT,1.9905,2.0556,1.8552,1.8618,36042.82034657,69882.331735071248
1660608000,2022-08-16 00:00:00,ANT/USDT,2.0026,2.0309,1.9531,1.993,22975.86125315,45691.166644918303
1660521600,2022-08-15 00:00:00,ANT/USDT,2.0066,2.0681,1.9541,2.0053,45070.65201514,90017.417609264179
1660435200,2022-08-14 00:00:00,ANT/USDT,2.0939,2.1292,1.9885,2.0086,64355.26427306,132339.888162041376
1660348800,2022-08-13 00:00:00,ANT/USDT,2.185,2.2142,2.08,2.096,40608.61479485,87713.698035817036
1660262400,2022-08-12 00:00:00,ANT/USDT,2.1728,2.1847,2.1032,2.1834,54558.65008734,117298.374846975705
1660176000,2022-08-11 00:00:00,ANT/USDT,2.2406,2.2608,2.1621,2.1716,79866.58332651,176076.462765903274
1660089600,2022-08-10 00:00:00,ANT/USDT,2.1143,2.365,2.0678,2.2406,143860.53976635,319850.451820256345
1660003200,2022-08-09 00:00:00,ANT/USDT,2.1041,2.3045,2.0318,2.1133,169240.63692281,363768.499003859305
1659916800,2022-08-08 00:00:00,ANT/USDT,2.0826,2.1493,2.0713,2.1039,36150.72311923,76420.664911002935
1659830400,2022-08-07 00:00:00,ANT/USDT,2.0191,2.1383,1.9726,2.0827,30676.98009111,62858.689412637701
1659744000,2022-08-06 00:00:00,ANT/USDT,2.0347,2.0736,2.0073,2.0147,42615.71386672,86660.343126124624
1659657600,2022-08-05 00:00:00,ANT/USDT,1.9667,2.0671,1.9464,2.032,58988.57577553,118396.664904687573
1659571200,2022-08-04 00:00:00,ANT/USDT,1.9254,2.018,1.9077,1.967,70775.14361317,138314.64857853591
1659484800,2022-08-03 00:00:00,ANT/USDT,1.9521,2.0177,1.8963,1.9284,108917.85133289,215208.90965132617
1659398400,2022-08-02 00:00:00,ANT/USDT,2.031,2.046,1.8523,1.9535,162561.71709807,316518.564067062794
1659312000,2022-08-01 00:00:00,ANT/USDT,1.9534,2.2241,1.9469,2.033,236795.93552016,495872.030647954147
1659225600,2022-07-31 00:00:00,ANT/USDT,1.9685,2.1165,1.9342,1.956,60224.09016044,122332.743342994463
1659139200,2022-07-30 00:00:00,ANT/USDT,1.9969,2.1029,1.9462,1.9695,72644.64739055,147014.006222015125
1659052800,2022-07-29 00:00:00,ANT/USDT,1.8915,2.276,1.8709,1.9906,192530.36627563,397434.661253749668
