https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ARPA,Volume USDT
1663462800,2022-09-18 01:00:00,ARPA/USDT,0.035726,0.035726,0.035726,0.035726,29.0677,1.0384726502
1663459200,2022-09-18 00:00:00,ARPA/USDT,0.035924,0.035924,0.035692,0.035727,55828.55864381,1997.15741259253044
1663455600,2022-09-17 23:00:00,ARPA/USDT,0.035936,0.035956,0.035863,0.035916,4222.20643049,151.80920318589088
1663452000,2022-09-17 22:00:00,ARPA/USDT,0.035755,0.035899,0.035755,0.035834,47101.92943584,1689.14251314783659
1663448400,2022-09-17 21:00:00,ARPA/USDT,0.035836,0.035838,0.035688,0.035689,21261.66703447,760.9989559644418
1663444800,2022-09-17 20:00:00,ARPA/USDT,0.035665,0.035665,0.035665,0.035665,56.0739,1.9998756435
1663441200,2022-09-17 19:00:00,ARPA/USDT,0.035625,0.035626,0.035625,0.035626,376.034,13.3962513619
1663437600,2022-09-17 18:00:00,ARPA/USDT,0.035817,0.035817,0.035759,0.035759,5885.06940594,210.44590450015298
1663434000,2022-09-17 17:00:00,ARPA/USDT,0.035875,0.035894,0.035707,0.035741,253841.54455103,9068.64530288774876
1663430400,2022-09-17 16:00:00,ARPA/USDT,0.035763,0.035897,0.0357,0.035785,17487.81426179,626.18735506416257
1663426800,2022-09-17 15:00:00,ARPA/USDT,0.035719,0.035751,0.03562,0.035751,9918.04387416,353.74614340325771
1663423200,2022-09-17 14:00:00,ARPA/USDT,0.035725,0.03596,0.035725,0.03578,902522.8399,32422.4897421223
1663419600,2022-09-17 13:00:00,ARPA/USDT,0.035546,0.035724,0.035546,0.03565,6478.80274006,230.96466054110344
1663416000,2022-09-17 12:00:00,ARPA/USDT,0.035461,0.035562,0.035454,0.035562,3524.6996,125.1997915706
1663412400,2022-09-17 11:00:00,ARPA/USDT,0.035412,0.035546,0.035412,0.035467,18966.62932732,672.57103405512288
1663408800,2022-09-17 10:00:00,ARPA/USDT,0.035363,0.035422,0.035252,0.035252,14682.0648,519.160136258
1663405200,2022-09-17 09:00:00,ARPA/USDT,0.035454,0.035526,0.035438,0.035444,8679.1417705,307.626846247583
1663401600,2022-09-17 08:00:00,ARPA/USDT,0.035479,0.035523,0.035398,0.035486,3805.23230876,134.70804356221855
1663398000,2022-09-17 07:00:00,ARPA/USDT,0.035373,0.035479,0.035373,0.035479,21959.65516442,777.32259973991816
