https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ATOM3S,Volume USDT
1663459200,2022-09-18 00:00:00,ATOM3S/USDT,0.0164,0.0183,0.0164,0.0183,1941092.9361,34104.31356978
1663372800,2022-09-17 00:00:00,ATOM3S/USDT,0.0158,0.0176,0.0148,0.0163,36315888.88915491,589281.221204606596
1663286400,2022-09-16 00:00:00,ATOM3S/USDT,0.0249,0.0268,0.0154,0.0159,49057735.18834509,998811.731754018633
1663200000,2022-09-15 00:00:00,ATOM3S/USDT,0.0312,0.0357,0.0211,0.0249,30275706.76688927,801485.287309161706
1663113600,2022-09-14 00:00:00,ATOM3S/USDT,0.0309,0.0348,0.028,0.0311,11326867.2819,347981.02036862
1663027200,2022-09-13 00:00:00,ATOM3S/USDT,0.024,0.0323,0.021,0.0311,24073524.0609,631968.91464797
1662940800,2022-09-12 00:00:00,ATOM3S/USDT,0.0231,0.0263,0.0198,0.0238,27334950.11085765,634687.974968472425
1662854400,2022-09-11 00:00:00,ATOM3S/USDT,0.0218,0.0249,0.0208,0.0232,17692159.45052702,406498.406974507672
1662768000,2022-09-10 00:00:00,ATOM3S/USDT,0.0217,0.0239,0.0205,0.0221,25826320.1277,576662.76700374
1662681600,2022-09-09 00:00:00,ATOM3S/USDT,0.0456,0.0468,0.0194,0.022,50799109.14947544,1267458.604341412488
1662595200,2022-09-08 00:00:00,ATOM3S/USDT,0.0584,0.0624,0.0438,0.0455,14321553.8898,730935.56319678
1662508800,2022-09-07 00:00:00,ATOM3S/USDT,0.0814,0.0857,0.0529,0.0583,6318642.26767739,431712.233769043491
1662422400,2022-09-06 00:00:00,ATOM3S/USDT,0.0677,0.0814,0.0624,0.0814,5250756.8693,385249.78404011
1662336000,2022-09-05 00:00:00,ATOM3S/USDT,0.0625,0.0702,0.0573,0.0678,3142162.2643,206290.73173116
1662249600,2022-09-04 00:00:00,ATOM3S/USDT,0.0686,0.0721,0.0624,0.0627,2230629.1866,147950.28717927
1662163200,2022-09-03 00:00:00,ATOM3S/USDT,0.0687,0.0761,0.0646,0.0684,3303381.5159,236617.33682261
1662076800,2022-09-02 00:00:00,ATOM3S/USDT,0.0669,0.0733,0.062,0.0687,5071712.66690297,348101.884121497603
