https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BICO,Volume USDT
1663459200,2022-09-18 00:00:00,BICO/USDT,0.4817,0.4818,0.4777,0.4789,1689.87013313,810.470056305714
1663372800,2022-09-17 00:00:00,BICO/USDT,0.4714,0.489,0.4703,0.4815,46254.09597532,22113.712519563405
1663286400,2022-09-16 00:00:00,BICO/USDT,0.456,0.5018,0.4543,0.469,103559.31246603,49429.643410113111
1663200000,2022-09-15 00:00:00,BICO/USDT,0.4857,0.4857,0.4552,0.4569,92692.32174712,43508.715931132061
1663113600,2022-09-14 00:00:00,BICO/USDT,0.4873,0.497,0.4761,0.486,71447.56096769,34770.874547592416
1663027200,2022-09-13 00:00:00,BICO/USDT,0.5138,0.5168,0.4855,0.4876,103134.06311522,51341.338918757688
1662940800,2022-09-12 00:00:00,BICO/USDT,0.5138,0.5299,0.5069,0.5131,85318.25825974,44353.032226189734
1662854400,2022-09-11 00:00:00,BICO/USDT,0.5276,0.5279,0.5069,0.5152,56999.07705851,29454.819775758857
1662768000,2022-09-10 00:00:00,BICO/USDT,0.5345,0.5357,0.5177,0.525,81690.59698729,42923.384848310424
1662681600,2022-09-09 00:00:00,BICO/USDT,0.5075,0.5409,0.506,0.5341,201432.5995426,104592.428260804694
1662595200,2022-09-08 00:00:00,BICO/USDT,0.5037,0.5101,0.493,0.5075,132344.55217493,66795.659490477717
1662508800,2022-09-07 00:00:00,BICO/USDT,0.5095,0.5103,0.4844,0.5031,81546.12229053,40553.501620610933
1662422400,2022-09-06 00:00:00,BICO/USDT,0.5179,0.5276,0.4971,0.508,118397.25400181,60730.074024816426
1662336000,2022-09-05 00:00:00,BICO/USDT,0.506,0.5462,0.497,0.5171,186116.60071652,95941.756134646105
1662249600,2022-09-04 00:00:00,BICO/USDT,0.502,0.5117,0.4976,0.5057,33038.03476646,16649.108418504142
1662163200,2022-09-03 00:00:00,BICO/USDT,0.4988,0.521,0.4984,0.502,62736.28905558,31896.257516205353
1662076800,2022-09-02 00:00:00,BICO/USDT,0.5022,0.5188,0.4924,0.4973,45521.95366632,22942.025636114386
1661990400,2022-09-01 00:00:00,BICO/USDT,0.5063,0.5102,0.49,0.5023,139165.54405038,69196.366389124008
1661904000,2022-08-31 00:00:00,BICO/USDT,0.5107,0.5259,0.5,0.5063,83930.6812241,42818.461039668622
