https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BMON,Volume USDT
1663459200,2022-09-18 00:00:00,BMON/USDT,0.01614,0.01622,0.016,0.01611,42622.7297,685.1087414
1663372800,2022-09-17 00:00:00,BMON/USDT,0.0158,0.01695,0.01539,0.01611,1439113.0841,23513.394972886
1663286400,2022-09-16 00:00:00,BMON/USDT,0.01537,0.0168,0.0152,0.01584,1952636.5188,30673.621391195
1663200000,2022-09-15 00:00:00,BMON/USDT,0.01527,0.0169,0.01502,0.01539,4637574.6144,73716.979651743
1663113600,2022-09-14 00:00:00,BMON/USDT,0.01537,0.01562,0.01483,0.01507,420944.972,6408.060360834
1663027200,2022-09-13 00:00:00,BMON/USDT,0.01603,0.01649,0.0152,0.01539,1196792.4277,18791.191949258
1662940800,2022-09-12 00:00:00,BMON/USDT,0.01628,0.01711,0.01602,0.01603,727167.108,12022.512600615
1662854400,2022-09-11 00:00:00,BMON/USDT,0.01632,0.0167,0.01592,0.01628,546901.8776,8973.1801855
1662768000,2022-09-10 00:00:00,BMON/USDT,0.01663,0.01695,0.0159,0.01632,1716733.685,27934.301543336
1662681600,2022-09-09 00:00:00,BMON/USDT,0.01617,0.044,0.01611,0.01663,20382008.1377,486288.055224769
1662595200,2022-09-08 00:00:00,BMON/USDT,0.01602,0.0168,0.0157,0.01602,664027.2773,10750.523252236
1662508800,2022-09-07 00:00:00,BMON/USDT,0.0156,0.01634,0.01511,0.01617,302505.4139,4728.740521399
1662422400,2022-09-06 00:00:00,BMON/USDT,0.01624,0.01678,0.01532,0.0156,461455.6657,7375.935083187
1662336000,2022-09-05 00:00:00,BMON/USDT,0.0164,0.01671,0.0159,0.01624,400879.2486,6567.514061399
1662249600,2022-09-04 00:00:00,BMON/USDT,0.01621,0.017,0.01572,0.01637,1605138.3247,26310.86111034
1662163200,2022-09-03 00:00:00,BMON/USDT,0.01671,0.01699,0.01459,0.0162,950522.9406,15261.62659379
1662076800,2022-09-02 00:00:00,BMON/USDT,0.01671,0.0171,0.0165,0.01659,199269.9117,3329.947462887
1661990400,2022-09-01 00:00:00,BMON/USDT,0.01663,0.0169,0.01656,0.01685,323618.8023,5393.914509145
1661904000,2022-08-31 00:00:00,BMON/USDT,0.01657,0.0179,0.0165,0.0166,1066892.0913,18109.895888315
1661817600,2022-08-30 00:00:00,BMON/USDT,0.0173,0.01749,0.0164,0.01641,383324.938,6414.961413145
1661731200,2022-08-29 00:00:00,BMON/USDT,0.01669,0.01731,0.0164,0.01716,367000.0557,6189.767486075
1661644800,2022-08-28 00:00:00,BMON/USDT,0.01617,0.0176,0.01593,0.0167,2414695.0011,40663.232744465
1661558400,2022-08-27 00:00:00,BMON/USDT,0.01623,0.01748,0.0155,0.01619,1817458.3073,29194.487369702
1661472000,2022-08-26 00:00:00,BMON/USDT,0.0178,0.01788,0.01624,0.01624,333209.4562,5684.296364111
