https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume PAX
1655078400,2022-06-13 00:00:00,BTC/PAX,26625.6,26723.7,26453.2,26504.2,0.04667016,1237.833007204
1654992000,2022-06-12 00:00:00,BTC/PAX,28379.3,28379.3,26735.8,26825.2,3.1181917,86375.294603714
1654905600,2022-06-11 00:00:00,BTC/PAX,29153.7,29274.5,28151.3,28410.8,0.84461198,24450.522408024
1654819200,2022-06-10 00:00:00,BTC/PAX,30033.8,30183,28917.3,29060.1,3.80063441,111222.600031806
1654732800,2022-06-09 00:00:00,BTC/PAX,30136.6,30644.5,29950.6,29950.6,2.64147888,79531.790341567
1654646400,2022-06-08 00:00:00,BTC/PAX,31169.8,31263.3,29858.5,30137.4,0.93322712,28287.999974823
1654560000,2022-06-07 00:00:00,BTC/PAX,31294.7,31545.8,29209.1,31107.6,1.06230437,32132.455667886
1654473600,2022-06-06 00:00:00,BTC/PAX,29877.9,31707,29877.9,31343.8,0.8190119,25712.469784503
1654387200,2022-06-05 00:00:00,BTC/PAX,29814.2,30128.2,29532,29891.5,0.18442181,5505.741404423
1654300800,2022-06-04 00:00:00,BTC/PAX,29709.5,29918.1,29473.1,29749.2,0.11017579,3270.543861507
1654214400,2022-06-03 00:00:00,BTC/PAX,30400.6,30644.5,29297.1,29620.7,0.33960379,10103.835089111
1654128000,2022-06-02 00:00:00,BTC/PAX,29739.4,30613.9,29591.1,30400.8,0.25899285,7759.361091602
1654041600,2022-06-01 00:00:00,BTC/PAX,31735.7,31926.4,29355.6,29769.1,0.75870223,22994.140116617
1653955200,2022-05-31 00:00:00,BTC/PAX,31666.2,32337,31232.2,31767.4,0.70919461,22426.47599364
1653868800,2022-05-30 00:00:00,BTC/PAX,29277.9,32092.8,29277.9,31730.7,0.43791689,13521.971181564
1653782400,2022-05-29 00:00:00,BTC/PAX,28891.4,29594.7,28802.6,29417.4,0.10611745,3112.15558527
1653696000,2022-05-28 00:00:00,BTC/PAX,28699.4,29051.5,28539.7,29022.1,0.15392577,4416.248003401
1653609600,2022-05-27 00:00:00,BTC/PAX,29228.5,29253,28278.6,28585.9,0.73330476,21128.001724382
1653523200,2022-05-26 00:00:00,BTC/PAX,29617.1,29859.2,28046.4,29219.8,0.77916359,22483.950832327
1653436800,2022-05-25 00:00:00,BTC/PAX,29543.6,30209.1,29441.7,29759.5,0.32971795,9792.669031344
1653350400,2022-05-24 00:00:00,BTC/PAX,29220.8,29798.4,28825.9,29601.3,0.33975893,9935.964465895
1653264000,2022-05-23 00:00:00,BTC/PAX,30219.7,32066.9,29052.6,29091.1,2.79161376,84782.069958843
1653177600,2022-05-22 00:00:00,BTC/PAX,29438.1,30311.6,29307.1,30305.6,0.38720146,11569.702664456
1653091200,2022-05-21 00:00:00,BTC/PAX,29307.9,29530.6,29119.4,29401.3,0.12175074,3578.51549754
1653004800,2022-05-20 00:00:00,BTC/PAX,30245,30483.1,28795.2,29190,0.33633959,10069.854564501
1652918400,2022-05-19 00:00:00,BTC/PAX,28766.6,30446.3,28713,30267.8,1.68918905,49664.91041984
1652832000,2022-05-18 00:00:00,BTC/PAX,30388.4,30584.2,28635.4,28714.2,0.59515743,17560.100959846
1652745600,2022-05-17 00:00:00,BTC/PAX,30102.3,30687.2,29575.6,30470.4,0.30272582,9143.439433641
1652659200,2022-05-16 00:00:00,BTC/PAX,31231.8,31231.8,29271.9,30006.2,0.24949585,7442.547430736
1652572800,2022-05-15 00:00:00,BTC/PAX,29922.7,31318.4,29452.9,31318.4,0.41148729,12461.523411747
1652486400,2022-05-14 00:00:00,BTC/PAX,29584.2,30137.7,28649.5,30026.4,0.68273091,20105.56898098
