https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume TUSD
1663459200,2022-09-18 00:00:00,BTC/TUSD,20059.8,20059.8,19993.5,19997.4,0.00023884,4.776039357
1663455600,2022-09-17 23:00:00,BTC/TUSD,20110.7,20128.3,20101.4,20106.2,0.04008139,806.170446337
1663452000,2022-09-17 22:00:00,BTC/TUSD,20051.6,20131,20051.6,20131,0.01717709,345.74928292
1663448400,2022-09-17 21:00:00,BTC/TUSD,20055.7,20081,19920.4,20012.6,0.10886794,2178.87155467
1663444800,2022-09-17 20:00:00,BTC/TUSD,20015.3,20073.9,20015.3,20046.1,0.02344116,469.941803506
1663441200,2022-09-17 19:00:00,BTC/TUSD,20067.3,20067.3,19979.9,19979.9,0.14842726,2966.50332195
1663437600,2022-09-17 18:00:00,BTC/TUSD,20081,20101.2,20031.4,20081,0.14347321,2876.080693579
1663434000,2022-09-17 17:00:00,BTC/TUSD,20123.6,20167.9,20032.6,20034,0.04442364,893.061946572
1663430400,2022-09-17 16:00:00,BTC/TUSD,19953,20198.6,19953,20102.5,0.61866906,12469.014786081
1663426800,2022-09-17 15:00:00,BTC/TUSD,19900,19985.1,19892,19985,0.11094367,2211.075132696
1663423200,2022-09-17 14:00:00,BTC/TUSD,19900,19924.1,19887.5,19892,0.02928396,582.570797542
1663419600,2022-09-17 13:00:00,BTC/TUSD,19869.2,19881.3,19858.9,19881.3,0.04225477,839.359391831
1663416000,2022-09-17 12:00:00,BTC/TUSD,19778.1,19830.8,19778.1,19830.7,0.03638351,720.553555206
1663412400,2022-09-17 11:00:00,BTC/TUSD,19834.2,19852.3,19789.8,19789.8,0.01625826,321.883908862
1663408800,2022-09-17 10:00:00,BTC/TUSD,19823.2,19858.7,19811.4,19834.2,0.03961181,785.976807398
1663405200,2022-09-17 09:00:00,BTC/TUSD,19900,19900,19847.6,19854.3,0.05680242,1128.678841961
1663401600,2022-09-17 08:00:00,BTC/TUSD,19849.9,19894.2,19845.6,19878.3,0.20393017,4047.707504986
1663398000,2022-09-17 07:00:00,BTC/TUSD,19818.7,19859.2,19807.4,19820.8,0.02115677,419.79588228
1663394400,2022-09-17 06:00:00,BTC/TUSD,19846.6,19846.6,19838.7,19838.7,0.01090021,216.298158713
1663390800,2022-09-17 05:00:00,BTC/TUSD,19870.3,19882.1,19841.9,19841.9,0.01033604,205.186666854
1663387200,2022-09-17 04:00:00,BTC/TUSD,19870.4,19924.7,19870.4,19917.1,0.00167198,33.258309925
1663383600,2022-09-17 03:00:00,BTC/TUSD,19881,19881,19870.3,19870.3,0.00452491,89.95803976
1663380000,2022-09-17 02:00:00,BTC/TUSD,19980.8,19980.8,19862.8,19881,0.03364821,670.626330317
1663376400,2022-09-17 01:00:00,BTC/TUSD,19978.9,20015.9,19963.9,19981,0.00426226,85.310012847
1663372800,2022-09-17 00:00:00,BTC/TUSD,19794.4,20038.2,19794.4,19932.3,0.13006344,2598.321739065
1663369200,2022-09-16 23:00:00,BTC/TUSD,19694.5,19761.4,19678,19761.4,0.59551646,11740.728477244
1663365600,2022-09-16 22:00:00,BTC/TUSD,19716.7,19761.4,19714.1,19714.1,0.01303854,257.142241935
1663362000,2022-09-16 21:00:00,BTC/TUSD,19700.8,19791.4,19695.6,19747.7,0.18187226,3597.643589049
1663358400,2022-09-16 20:00:00,BTC/TUSD,19670.3,19715.9,19654.8,19711.6,0.10057176,1978.300356442
1663354800,2022-09-16 19:00:00,BTC/TUSD,19590.1,19636.7,19553.5,19636.7,0.00573053,112.202918626
1663351200,2022-09-16 18:00:00,BTC/TUSD,19457.2,19565.4,19389.8,19543,0.23620412,4608.051459447
1663347600,2022-09-16 17:00:00,BTC/TUSD,19505.9,19506,19377.8,19451.3,0.26581089,5173.100107635
1663344000,2022-09-16 16:00:00,BTC/TUSD,19587.8,19627.5,19514.4,19544.1,0.20866539,4088.993022292
