https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT
1663462800,2022-09-18 01:00:00,BTC/USDT,19982.8,19996.2,19974.8,19992.9,8.86142065,177100.672962313
1663459200,2022-09-18 00:00:00,BTC/USDT,20112.5,20114.1,19958,19982.7,262.31497225,5247313.424425029
1663455600,2022-09-17 23:00:00,BTC/USDT,20126.4,20145.5,20093.1,20112.5,133.56797204,2687268.065189862
1663452000,2022-09-17 22:00:00,BTC/USDT,20037.2,20137.1,20024.5,20126.4,207.40883133,4168739.142903424
1663448400,2022-09-17 21:00:00,BTC/USDT,20079.9,20093,19939.3,20037.2,241.78521938,4841460.394046681
1663444800,2022-09-17 20:00:00,BTC/USDT,20007.9,20088,19984,20079.9,187.92949869,3767573.056466124
1663441200,2022-09-17 19:00:00,BTC/USDT,20068.7,20074.7,19980.3,20007.8,160.33860324,3208704.897283928
1663437600,2022-09-17 18:00:00,BTC/USDT,20080.1,20100,20023.9,20068.7,188.97461172,3791934.638790124
1663434000,2022-09-17 17:00:00,BTC/USDT,20130.9,20179,20039.8,20080.1,231.39837757,4650575.806007142
1663430400,2022-09-17 16:00:00,BTC/USDT,19962.6,20181.9,19940,20129.6,510.32974902,10258262.799691674
1663426800,2022-09-17 15:00:00,BTC/USDT,19921.7,20023.6,19879.4,19962.5,188.26594056,3756161.132384228
1663423200,2022-09-17 14:00:00,BTC/USDT,19899.6,19954.6,19876.4,19921.6,183.41046729,3652819.708529263
1663419600,2022-09-17 13:00:00,BTC/USDT,19857.3,19904.9,19846.1,19899.7,146.44770681,2910446.570751926
1663416000,2022-09-17 12:00:00,BTC/USDT,19805.8,19872,19750,19856.5,151.61167647,3005464.319435039
1663412400,2022-09-17 11:00:00,BTC/USDT,19862.9,19872.2,19804.4,19808.1,117.54091912,2332166.971930487
1663408800,2022-09-17 10:00:00,BTC/USDT,19877.1,19899.5,19811.9,19863,108.56267382,2156066.817846793
1663405200,2022-09-17 09:00:00,BTC/USDT,19877.9,19914.9,19860.9,19877.1,93.56567685,1860219.095664433
1663401600,2022-09-17 08:00:00,BTC/USDT,19844.8,19892.8,19844.8,19877.8,93.71657518,1862574.459116908
1663398000,2022-09-17 07:00:00,BTC/USDT,19839.7,19862.9,19800,19844.8,117.97234674,2339543.063261001
1663394400,2022-09-17 06:00:00,BTC/USDT,19857.9,19873.7,19784.2,19839.7,126.19424161,2503427.580628384
1663390800,2022-09-17 05:00:00,BTC/USDT,19937,19937,19817.2,19857.9,203.75137073,4046562.088513303
1663387200,2022-09-17 04:00:00,BTC/USDT,19883.6,19985,19877.3,19937,189.01980929,3768312.882250428
1663383600,2022-09-17 03:00:00,BTC/USDT,19909.6,19921.9,19877.2,19883.5,96.32550903,1916544.386811462
