https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BURGER,Volume USDT
1663462800,2022-09-18 01:00:00,BURGER/USDT,1.0382,1.0395,1.0375,1.0395,695.091,722.02527431
1663459200,2022-09-18 00:00:00,BURGER/USDT,1.0473,1.0473,1.039,1.039,3160.8721,3293.61358286
1663455600,2022-09-17 23:00:00,BURGER/USDT,1.0444,1.048,1.0434,1.048,2765.2807,2892.88396626
1663452000,2022-09-17 22:00:00,BURGER/USDT,1.0449,1.0464,1.0449,1.0461,276.13826149,288.843789994689
1663448400,2022-09-17 21:00:00,BURGER/USDT,1.0432,1.0445,1.0416,1.0445,106.8733,111.34155345
1663444800,2022-09-17 20:00:00,BURGER/USDT,1.0418,1.0437,1.0404,1.0437,693.54844159,722.645978289165
1663441200,2022-09-17 19:00:00,BURGER/USDT,1.045,1.045,1.0398,1.0423,2660.0792,2770.79644329
1663437600,2022-09-17 18:00:00,BURGER/USDT,1.0444,1.0474,1.043,1.045,2630.67770946,2752.117589536731
1663434000,2022-09-17 17:00:00,BURGER/USDT,1.0538,1.054,1.0428,1.0438,3338.9138,3496.12923702
1663430400,2022-09-17 16:00:00,BURGER/USDT,1.0514,1.0576,1.051,1.0538,4263.29336452,4499.742969558916
1663426800,2022-09-17 15:00:00,BURGER/USDT,1.046,1.0513,1.0444,1.0512,4331.60855657,4535.055110174868
1663423200,2022-09-17 14:00:00,BURGER/USDT,1.0482,1.0482,1.0452,1.0469,508.95465716,532.916358165112
1663419600,2022-09-17 13:00:00,BURGER/USDT,1.0447,1.0489,1.0447,1.0452,1093.20797325,1144.391403133484
1663416000,2022-09-17 12:00:00,BURGER/USDT,1.0497,1.0497,1.0364,1.0451,647.27,673.2346559
1663412400,2022-09-17 11:00:00,BURGER/USDT,1.0488,1.0692,1.0451,1.0494,5468.58930492,5774.530154594646
1663408800,2022-09-17 10:00:00,BURGER/USDT,1.0369,1.048,1.0369,1.048,8488.96335502,8836.8665332059
1663405200,2022-09-17 09:00:00,BURGER/USDT,1.022,1.0366,1.022,1.035,1861.6636,1910.38119012
1663401600,2022-09-17 08:00:00,BURGER/USDT,1.0262,1.0269,1.021,1.0215,1172.03752481,1198.532392719364
1663398000,2022-09-17 07:00:00,BURGER/USDT,1.0325,1.0325,1.0267,1.0267,828.8873,853.50307406
1663394400,2022-09-17 06:00:00,BURGER/USDT,1.0375,1.0382,1.0319,1.034,2809.7617,2908.11805291
1663390800,2022-09-17 05:00:00,BURGER/USDT,1.0375,1.0375,1.0285,1.0366,857.7558,884.26884682
1663387200,2022-09-17 04:00:00,BURGER/USDT,1.042,1.042,1.0381,1.0406,1009.9696,1050.44016095
1663383600,2022-09-17 03:00:00,BURGER/USDT,1.0418,1.0422,1.0367,1.0391,1006.5303,1047.52963489
1663380000,2022-09-17 02:00:00,BURGER/USDT,1.0288,1.0451,1.0262,1.0433,1685.2257,1746.14503454
1663376400,2022-09-17 01:00:00,BURGER/USDT,1.0357,1.0374,1.029,1.03,1233.53096022,1271.471946213062
1663372800,2022-09-17 00:00:00,BURGER/USDT,1.0175,1.0352,1.0174,1.0331,2659.5084,2718.18296723
1663369200,2022-09-16 23:00:00,BURGER/USDT,1.0119,1.014,1.0119,1.0133,205.16571128,207.90172728792
1663365600,2022-09-16 22:00:00,BURGER/USDT,1.0171,1.0171,1.012,1.0131,2131.32332823,2160.784787022733
1663362000,2022-09-16 21:00:00,BURGER/USDT,1.0146,1.0229,1.0146,1.0229,1674.9378,1708.76946704
1663358400,2022-09-16 20:00:00,BURGER/USDT,1.0074,1.0144,1.0074,1.0127,2874.27636587,2908.304718406482
1663354800,2022-09-16 19:00:00,BURGER/USDT,1.0126,1.015,1.0061,1.0061,223.02422167,224.91719801505
1663351200,2022-09-16 18:00:00,BURGER/USDT,0.9963,1.0147,0.995,1.0128,2594.3662768,2595.997027507198
1663347600,2022-09-16 17:00:00,BURGER/USDT,1.0155,1.0155,0.9918,0.9939,15450.22571843,15509.3890400262
