https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CAKE,Volume USDT
1663462800,2022-09-18 01:00:00,CAKE/USDT,4.322,4.334,4.32,4.334,1268.635,5492.3997329
1663459200,2022-09-18 00:00:00,CAKE/USDT,4.371,4.374,4.317,4.321,1663.87393794,7210.92708057889
1663455600,2022-09-17 23:00:00,CAKE/USDT,4.366,4.375,4.361,4.37,439.88904285,1921.65224256875
1663452000,2022-09-17 22:00:00,CAKE/USDT,4.341,4.364,4.341,4.364,456.35356428,1988.18386324995
1663448400,2022-09-17 21:00:00,CAKE/USDT,4.343,4.349,4.33,4.343,902.17997454,3915.97724807446
1663444800,2022-09-17 20:00:00,CAKE/USDT,4.318,4.346,4.318,4.339,1293.6212108,5606.18594709344
1663441200,2022-09-17 19:00:00,CAKE/USDT,4.327,4.327,4.312,4.316,1127.36481319,4868.82050314552
1663437600,2022-09-17 18:00:00,CAKE/USDT,4.326,4.335,4.321,4.329,674.52170924,2919.86599356526
1663434000,2022-09-17 17:00:00,CAKE/USDT,4.337,4.343,4.318,4.326,5120.14708155,22144.92812195044
1663430400,2022-09-17 16:00:00,CAKE/USDT,4.338,4.362,4.332,4.336,4615.7544468,20060.33405755112
1663426800,2022-09-17 15:00:00,CAKE/USDT,4.335,4.34,4.32,4.337,2915.44869215,12624.4713891787
1663423200,2022-09-17 14:00:00,CAKE/USDT,4.307,4.334,4.303,4.334,2007.96988021,8665.77674975981
1663419600,2022-09-17 13:00:00,CAKE/USDT,4.296,4.306,4.293,4.306,2191.83424142,9427.95889703194
1663416000,2022-09-17 12:00:00,CAKE/USDT,4.3,4.309,4.292,4.298,3574.873146,15373.25617853311
1663412400,2022-09-17 11:00:00,CAKE/USDT,4.327,4.329,4.243,4.301,12231.78997404,52612.64920116732
1663408800,2022-09-17 10:00:00,CAKE/USDT,4.31,4.325,4.3,4.324,2898.32630305,12507.37508373928
1663405200,2022-09-17 09:00:00,CAKE/USDT,4.305,4.313,4.3,4.309,2548.45478078,10970.20602567721
1663401600,2022-09-17 08:00:00,CAKE/USDT,4.275,4.308,4.275,4.305,1437.32826341,6159.81247258503
1663398000,2022-09-17 07:00:00,CAKE/USDT,4.258,4.276,4.245,4.274,1196.64056854,5095.78083742583
1663394400,2022-09-17 06:00:00,CAKE/USDT,4.256,4.274,4.24,4.247,1458.36106592,6197.09296494768
1663390800,2022-09-17 05:00:00,CAKE/USDT,4.238,4.255,4.222,4.255,2955.12021449,12543.85397753704
1663387200,2022-09-17 04:00:00,CAKE/USDT,4.214,4.236,4.209,4.235,468.94449898,1979.8669493166
1663383600,2022-09-17 03:00:00,CAKE/USDT,4.208,4.213,4.205,4.209,271.59161937,1142.95049004098
1663380000,2022-09-17 02:00:00,CAKE/USDT,4.221,4.221,4.196,4.207,1186.05305811,4985.84652418113
1663376400,2022-09-17 01:00:00,CAKE/USDT,4.212,4.219,4.201,4.211,605.81729043,2551.10821548611
1663372800,2022-09-17 00:00:00,CAKE/USDT,4.172,4.22,4.172,4.209,1281.48892473,5388.90290304716
1663369200,2022-09-16 23:00:00,CAKE/USDT,4.166,4.174,4.152,4.172,869.92044421,3621.0932591025
1663365600,2022-09-16 22:00:00,CAKE/USDT,4.152,4.166,4.147,4.163,1361.70590235,5663.80374190092
1663362000,2022-09-16 21:00:00,CAKE/USDT,4.178,4.178,4.147,4.157,5785.10305438,24061.62346806356
1663358400,2022-09-16 20:00:00,CAKE/USDT,4.134,4.178,4.131,4.175,903.02052672,3763.78992855095
1663354800,2022-09-16 19:00:00,CAKE/USDT,4.138,4.139,4.125,4.131,1658.77477318,6849.61415016881
1663351200,2022-09-16 18:00:00,CAKE/USDT,4.122,4.146,4.109,4.138,2252.64741829,9302.14410920073
1663347600,2022-09-16 17:00:00,CAKE/USDT,4.14,4.142,4.103,4.121,4144.56120241,17088.00807396337
1663344000,2022-09-16 16:00:00,CAKE/USDT,4.174,4.175,4.127,4.141,4627.79237484,19157.69110319103
1663340400,2022-09-16 15:00:00,CAKE/USDT,4.163,4.19,4.16,4.177,6498.28207343,27161.87341074942
1663336800,2022-09-16 14:00:00,CAKE/USDT,4.142,4.175,4.133,4.161,1927.43267124,7999.25035011354
1663333200,2022-09-16 13:00:00,CAKE/USDT,4.141,4.167,4.123,4.132,9575.64620037,39752.19079119042
1663329600,2022-09-16 12:00:00,CAKE/USDT,4.176,4.177,4.141,4.141,1992.85912545,8280.83488395842
1663326000,2022-09-16 11:00:00,CAKE/USDT,4.155,4.182,4.151,4.173,2409.28765839,10027.66682474231
1663322400,2022-09-16 10:00:00,CAKE/USDT,4.158,4.163,4.134,4.156,2799.38273114,11621.89706567017
1663318800,2022-09-16 09:00:00,CAKE/USDT,4.115,4.16,4.115,4.156,1402.77239556,5801.0428677472
1663315200,2022-09-16 08:00:00,CAKE/USDT,4.123,4.138,4.11,4.115,4260.95581027,17599.26606966672
1663311600,2022-09-16 07:00:00,CAKE/USDT,4.124,4.127,4.109,4.118,987.27538306,4064.54957038862
1663308000,2022-09-16 06:00:00,CAKE/USDT,4.132,4.149,4.113,4.12,2705.14885701,11166.41124892513
1663304400,2022-09-16 05:00:00,CAKE/USDT,4.131,4.148,4.127,4.132,2474.79161932,10240.69407073857
1663300800,2022-09-16 04:00:00,CAKE/USDT,4.119,4.142,4.116,4.13,4417.16708892,18213.18439236342
1663297200,2022-09-16 03:00:00,CAKE/USDT,4.093,4.134,4.081,4.134,5910.5292368,24350.10787736817
1663293600,2022-09-16 02:00:00,CAKE/USDT,4.124,4.168,4.084,4.093,5307.06689188,21862.64259637296
1663290000,2022-09-16 01:00:00,CAKE/USDT,4.14,4.143,4.106,4.125,3764.02682719,15544.08349836003
1663286400,2022-09-16 00:00:00,CAKE/USDT,4.056,4.149,4.016,4.14,14790.79495625,60285.83430504724
1663282800,2022-09-15 23:00:00,CAKE/USDT,4.059,4.061,4.041,4.059,598.96430662,2428.01309470176
1663279200,2022-09-15 22:00:00,CAKE/USDT,4.071,4.073,4.037,4.058,1849.95055323,7508.11837655886
1663275600,2022-09-15 21:00:00,CAKE/USDT,4.066,4.084,4.06,4.076,3162.25717834,12893.94002369556
1663272000,2022-09-15 20:00:00,CAKE/USDT,4.07,4.08,4.059,4.071,1566.5834843,6363.4700941927
1663268400,2022-09-15 19:00:00,CAKE/USDT,4.076,4.087,4.05,4.069,4327.43639438,17617.0287077912
1663264800,2022-09-15 18:00:00,CAKE/USDT,4.084,4.095,4.061,4.076,2003.42845727,8167.27582365403
1663261200,2022-09-15 17:00:00,CAKE/USDT,4.079,4.097,4.079,4.084,784.77033504,3208.47701216607
1663257600,2022-09-15 16:00:00,CAKE/USDT,4.062,4.087,4.05,4.08,2960.76029664,12035.47757106731
1663254000,2022-09-15 15:00:00,CAKE/USDT,4.046,4.075,4.016,4.065,5833.32785292,23611.94071741931
1663250400,2022-09-15 14:00:00,CAKE/USDT,4.128,4.16,4.045,4.045,14884.3080134,61520.55371900074
1663246800,2022-09-15 13:00:00,CAKE/USDT,4.151,4.175,4.106,4.128,3493.13678875,14437.36822861107
1663243200,2022-09-15 12:00:00,CAKE/USDT,4.067,4.168,4.064,4.152,5976.43573874,24681.85137746192
1663239600,2022-09-15 11:00:00,CAKE/USDT,4.057,4.069,4.047,4.067,427.79342837,1738.78119052675
1663236000,2022-09-15 10:00:00,CAKE/USDT,4.075,4.097,4.049,4.058,2806.23750586,11414.47706854159
1663232400,2022-09-15 09:00:00,CAKE/USDT,4.111,4.111,4.065,4.076,7349.393814,30044.77788489616
1663228800,2022-09-15 08:00:00,CAKE/USDT,4.145,4.145,4.103,4.11,1976.68042389,8148.58029314151
1663225200,2022-09-15 07:00:00,CAKE/USDT,4.119,4.183,4.119,4.148,4090.42019909,16965.6497508991
1663221600,2022-09-15 06:00:00,CAKE/USDT,4.109,4.133,4.059,4.12,7171.98965361,29313.61245187977
1663218000,2022-09-15 05:00:00,CAKE/USDT,4.099,4.109,4.064,4.109,5776.99115661,23592.42719012148
1663214400,2022-09-15 04:00:00,CAKE/USDT,4.097,4.101,4.073,4.098,2102.98336971,8596.51786063856
1663210800,2022-09-15 03:00:00,CAKE/USDT,4.106,4.106,4.065,4.094,7148.44481621,29152.39327621722
1663207200,2022-09-15 02:00:00,CAKE/USDT,4.139,4.139,4.084,4.105,5061.02805094,20779.59626193899
1663203600,2022-09-15 01:00:00,CAKE/USDT,4.155,4.155,4.115,4.14,790.01359266,3268.56151850712
1663200000,2022-09-15 00:00:00,CAKE/USDT,4.165,4.183,4.139,4.156,4874.38734454,20289.2575527455
1663196400,2022-09-14 23:00:00,CAKE/USDT,4.174,4.181,4.159,4.166,1097.90449463,4575.25755145488
1663192800,2022-09-14 22:00:00,CAKE/USDT,4.17,4.196,4.151,4.175,11002.06168758,45928.30379273216
1663189200,2022-09-14 21:00:00,CAKE/USDT,4.146,4.17,4.133,4.17,1241.18740968,5146.26424645086
1663185600,2022-09-14 20:00:00,CAKE/USDT,4.144,4.152,4.14,4.149,857.03614517,3550.19232839495
1663182000,2022-09-14 19:00:00,CAKE/USDT,4.139,4.15,4.127,4.146,5262.47781298,21776.92265130596
1663178400,2022-09-14 18:00:00,CAKE/USDT,4.163,4.166,4.102,4.137,3327.46070995,13762.7516179243
1663174800,2022-09-14 17:00:00,CAKE/USDT,4.166,4.19,4.16,4.165,694.53134793,2899.98022663793
1663171200,2022-09-14 16:00:00,CAKE/USDT,4.187,4.19,4.168,4.168,2296.10835059,9593.84759663183
1663167600,2022-09-14 15:00:00,CAKE/USDT,4.203,4.209,4.186,4.188,1285.84169954,5396.9687513588
1663164000,2022-09-14 14:00:00,CAKE/USDT,4.203,4.234,4.184,4.206,6456.93319883,27143.63633931867
1663160400,2022-09-14 13:00:00,CAKE/USDT,4.175,4.218,4.157,4.198,3412.09338007,14325.02455972172
1663156800,2022-09-14 12:00:00,CAKE/USDT,4.161,4.189,4.14,4.176,7518.8411,31365.9168697
1663153200,2022-09-14 11:00:00,CAKE/USDT,4.16,4.165,4.141,4.155,3841.55418648,15968.44222782145
1663149600,2022-09-14 10:00:00,CAKE/USDT,4.149,4.161,4.142,4.155,1468.23402356,6095.79403493728
1663146000,2022-09-14 09:00:00,CAKE/USDT,4.148,4.153,4.131,4.146,1703.62252,7057.56502482433
1663142400,2022-09-14 08:00:00,CAKE/USDT,4.15,4.15,4.1,4.148,10911.15512227,45062.21470193029
1663138800,2022-09-14 07:00:00,CAKE/USDT,4.15,4.167,4.131,4.144,1586.35254024,6582.23913938013
1663135200,2022-09-14 06:00:00,CAKE/USDT,4.169,4.189,4.149,4.149,3426.43077133,14292.39496011368
1663131600,2022-09-14 05:00:00,CAKE/USDT,4.172,4.19,4.166,4.166,1675.51922673,7001.74273785889
1663128000,2022-09-14 04:00:00,CAKE/USDT,4.178,4.182,4.154,4.172,1707.66070233,7114.34850658336
1663124400,2022-09-14 03:00:00,CAKE/USDT,4.181,4.201,4.168,4.173,1073.72073828,4495.84988535674
1663120800,2022-09-14 02:00:00,CAKE/USDT,4.158,4.184,4.154,4.178,1313.31515081,5478.90113964553
1663117200,2022-09-14 01:00:00,CAKE/USDT,4.145,4.157,4.138,4.157,679.13691685,2819.19035292249
1663113600,2022-09-14 00:00:00,CAKE/USDT,4.131,4.149,4.109,4.145,618.11560109,2552.03568628535
1663110000,2022-09-13 23:00:00,CAKE/USDT,4.14,4.14,4.116,4.134,1084.12519323,4469.93261565339
1663106400,2022-09-13 22:00:00,CAKE/USDT,4.143,4.153,4.123,4.14,555.35713322,2296.14364709066
1663102800,2022-09-13 21:00:00,CAKE/USDT,4.16,4.169,4.122,4.151,1320.35592684,5478.07063956853
1663099200,2022-09-13 20:00:00,CAKE/USDT,4.172,4.185,4.161,4.161,1725.09504554,7199.53320129288
1663095600,2022-09-13 19:00:00,CAKE/USDT,4.175,4.183,4.141,4.176,3786.33509163,15767.86945314926
1663092000,2022-09-13 18:00:00,CAKE/USDT,4.231,4.234,4.172,4.172,3303.0800538,13871.69013294089
1663088400,2022-09-13 17:00:00,CAKE/USDT,4.228,4.237,4.219,4.231,4069.43786462,17190.87802428217
1663084800,2022-09-13 16:00:00,CAKE/USDT,4.227,4.232,4.201,4.232,3557.28715078,14983.97039558317
1663081200,2022-09-13 15:00:00,CAKE/USDT,4.217,4.24,4.213,4.229,6980.371492,29487.98879624719
1663077600,2022-09-13 14:00:00,CAKE/USDT,4.218,4.261,4.197,4.216,7813.03151939,32949.3862877324
1663074000,2022-09-13 13:00:00,CAKE/USDT,4.227,4.234,4.173,4.22,8319.48756426,34972.38738381529
1663070400,2022-09-13 12:00:00,CAKE/USDT,4.417,4.454,4.208,4.236,32600.99564922,139940.2793705689
1663066800,2022-09-13 11:00:00,CAKE/USDT,4.411,4.449,4.407,4.412,6224.82738837,27556.25752367171
