https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CIRUS,Volume USDT
1663462800,2022-09-18 01:00:00,CIRUS/USDT,0.13981,0.13981,0.13969,0.13975,21068.3684,2944.093040741
1663459200,2022-09-18 00:00:00,CIRUS/USDT,0.13972,0.13995,0.13959,0.13978,75491.3472,10557.247111674
1663455600,2022-09-17 23:00:00,CIRUS/USDT,0.13967,0.14103,0.1396,0.13973,76007.2023,10668.168096116
1663452000,2022-09-17 22:00:00,CIRUS/USDT,0.13946,0.14005,0.13942,0.13964,103391.5694,14434.791229283
1663448400,2022-09-17 21:00:00,CIRUS/USDT,0.13975,0.14006,0.13946,0.13948,75661.7228,10557.820348475
1663444800,2022-09-17 20:00:00,CIRUS/USDT,0.13981,0.14006,0.13955,0.13974,80649.4953,11267.794679145
1663441200,2022-09-17 19:00:00,CIRUS/USDT,0.13949,0.14006,0.13918,0.13979,76694.2995,10708.301261499
1663437600,2022-09-17 18:00:00,CIRUS/USDT,0.13946,0.13959,0.139,0.1395,150010.533,20924.570642138
1663434000,2022-09-17 17:00:00,CIRUS/USDT,0.13932,0.14006,0.139,0.13945,73407.0645,10227.6582569
1663430400,2022-09-17 16:00:00,CIRUS/USDT,0.13951,0.14006,0.13869,0.13931,127416.5162,17780.301515702
1663426800,2022-09-17 15:00:00,CIRUS/USDT,0.1412,0.14121,0.13859,0.13948,154113.4846,21492.425186847
1663423200,2022-09-17 14:00:00,CIRUS/USDT,0.13805,0.14185,0.13803,0.14117,89464.723,12486.21462159
1663419600,2022-09-17 13:00:00,CIRUS/USDT,0.13756,0.13812,0.13742,0.13805,112000.6138,15444.43306247
1663416000,2022-09-17 12:00:00,CIRUS/USDT,0.13768,0.13799,0.13744,0.13759,116324.1008,16004.155298311
1663412400,2022-09-17 11:00:00,CIRUS/USDT,0.13761,0.13805,0.13707,0.13771,150448.5158,20724.51453159
1663408800,2022-09-17 10:00:00,CIRUS/USDT,0.13849,0.1385,0.13692,0.13763,74265.6485,10224.547348544
1663405200,2022-09-17 09:00:00,CIRUS/USDT,0.13841,0.13887,0.1383,0.13847,93960.9384,13004.166682556
