https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume COMB,Volume USDT
1663459200,2022-09-18 00:00:00,COMB/USDT,0.001843,0.00195,0.001672,0.001792,103107985.7304,183031.1289520368
1663372800,2022-09-17 00:00:00,COMB/USDT,0.000586,0.003554,0.000561,0.001843,2629380179.18595708,4546280.27375651840001
1663286400,2022-09-16 00:00:00,COMB/USDT,0.000628,0.000646,0.000562,0.000589,302532293.1042,177046.534381324
1663200000,2022-09-15 00:00:00,COMB/USDT,0.000603,0.001098,0.000593,0.00063,444340303.82660229,303970.10209095750146
1663113600,2022-09-14 00:00:00,COMB/USDT,0.000577,0.000608,0.000571,0.000606,263889277.8185,152539.9292141942
1663027200,2022-09-13 00:00:00,COMB/USDT,0.000624,0.00063,0.000573,0.000577,246517702.5215,147638.1508615066
1662940800,2022-09-12 00:00:00,COMB/USDT,0.000561,0.000645,0.000551,0.000623,299186514.9133,179182.0404168643
1662854400,2022-09-11 00:00:00,COMB/USDT,0.000607,0.000659,0.000544,0.000561,300365345.913,177493.4290700027
1662768000,2022-09-10 00:00:00,COMB/USDT,0.000586,0.000626,0.000565,0.000606,290541591.4577,171463.7124979092
1662681600,2022-09-09 00:00:00,COMB/USDT,0.000582,0.000696,0.000567,0.000589,301244678.7061,177361.0885711882
1662595200,2022-09-08 00:00:00,COMB/USDT,0.000536,0.000593,0.000521,0.000586,301646681.5689,160968.5586389767
1662508800,2022-09-07 00:00:00,COMB/USDT,0.000521,0.000672,0.000513,0.000535,372900414.2679,204645.7551994162
1662422400,2022-09-06 00:00:00,COMB/USDT,0.000535,0.000721,0.000497,0.000516,339265235.2026,189358.6922024526
1662336000,2022-09-05 00:00:00,COMB/USDT,0.000551,0.000563,0.000502,0.000535,301387450.3596,157697.9745915473
1662249600,2022-09-04 00:00:00,COMB/USDT,0.00049,0.000576,0.000478,0.00055,315196066.7347,159137.6180797978
1662163200,2022-09-03 00:00:00,COMB/USDT,0.0005,0.000504,0.000489,0.000494,264690732.1326,131646.8922985695
1662076800,2022-09-02 00:00:00,COMB/USDT,0.000503,0.000517,0.000493,0.000503,333453032.1482,168698.3666365927
1661990400,2022-09-01 00:00:00,COMB/USDT,0.000513,0.000517,0.000495,0.000504,311738907.3729,157753.7698259896
1661904000,2022-08-31 00:00:00,COMB/USDT,0.000489,0.000523,0.000486,0.000511,301270116.294,152176.6942844503
1661817600,2022-08-30 00:00:00,COMB/USDT,0.00054,0.000546,0.000485,0.000489,294259743.5671,151349.4744274087
1661731200,2022-08-29 00:00:00,COMB/USDT,0.000546,0.000546,0.000487,0.000539,270253482.6487,137593.7673270881
1661644800,2022-08-28 00:00:00,COMB/USDT,0.000555,0.000582,0.000541,0.000545,272055324.245,151614.9032114144
1661558400,2022-08-27 00:00:00,COMB/USDT,0.000551,0.00056,0.000549,0.000558,265622126.3951,147682.6752934549
1661472000,2022-08-26 00:00:00,COMB/USDT,0.000563,0.000565,0.000543,0.000551,273289399.6784,152725.6244185254
1661385600,2022-08-25 00:00:00,COMB/USDT,0.000572,0.000573,0.000563,0.000564,290416299.399,165067.6363825759
1661299200,2022-08-24 00:00:00,COMB/USDT,0.000619,0.000619,0.000544,0.000569,270961438.1258,159586.3743833183
1661212800,2022-08-23 00:00:00,COMB/USDT,0.000624,0.000626,0.000617,0.000618,265998736.5953,165394.9253501963
1661126400,2022-08-22 00:00:00,COMB/USDT,0.000652,0.000653,0.000603,0.000624,232860075.2149,147811.575058994
1661040000,2022-08-21 00:00:00,COMB/USDT,0.000659,0.000665,0.000642,0.000653,246742809.3299,161169.3839094139
1660953600,2022-08-20 00:00:00,COMB/USDT,0.000669,0.000681,0.000658,0.00066,232142961.0065,155524.3537141902
1660867200,2022-08-19 00:00:00,COMB/USDT,0.000688,0.000704,0.000632,0.000673,239066931.5062,160085.7156226305
1660780800,2022-08-18 00:00:00,COMB/USDT,0.000694,0.000707,0.000683,0.000684,233550972.6172,162216.5714307608
1660694400,2022-08-17 00:00:00,COMB/USDT,0.000714,0.000729,0.000691,0.000691,207320889.4881,147416.5428484048
1660608000,2022-08-16 00:00:00,COMB/USDT,0.00072,0.000739,0.000701,0.000713,162611667.8842,117064.5335838818
