https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume COOHA,Volume USDT
1663462800,2022-09-18 01:00:00,COOHA/USDT,0.4742,0.4745,0.4733,0.4745,216.1144,102.44293983
1663459200,2022-09-18 00:00:00,COOHA/USDT,0.4733,0.4745,0.4724,0.4736,817.4862,387.43718022
1663455600,2022-09-17 23:00:00,COOHA/USDT,0.4743,0.4745,0.4716,0.4737,894.5899,423.91907947
1663452000,2022-09-17 22:00:00,COOHA/USDT,0.4732,0.4766,0.4715,0.4743,1010.4405,479.25522802
1663448400,2022-09-17 21:00:00,COOHA/USDT,0.4716,0.4914,0.4716,0.4724,2609.3263,1250.05210881
1663444800,2022-09-17 20:00:00,COOHA/USDT,0.4742,0.4749,0.4715,0.4726,1306.4526,617.33651274
1663441200,2022-09-17 19:00:00,COOHA/USDT,0.4715,0.475,0.4714,0.4741,1532.093,725.92682242
1663437600,2022-09-17 18:00:00,COOHA/USDT,0.4752,0.4752,0.4714,0.4724,1904.721,901.02383382
1663434000,2022-09-17 17:00:00,COOHA/USDT,0.474,0.4759,0.474,0.4752,1047.4658,497.1835352
1663430400,2022-09-17 16:00:00,COOHA/USDT,0.474,0.4759,0.472,0.4757,937.8247,445.16920343
1663426800,2022-09-17 15:00:00,COOHA/USDT,0.4715,0.4779,0.47,0.4719,1163.0759,548.99825301
1663423200,2022-09-17 14:00:00,COOHA/USDT,0.4705,0.4717,0.47,0.4715,1476.8715,695.14431887
1663419600,2022-09-17 13:00:00,COOHA/USDT,0.471,0.4717,0.47,0.4717,869.7814,409.83028629
1663416000,2022-09-17 12:00:00,COOHA/USDT,0.4717,0.4717,0.4701,0.471,849.48,400.24976103
1663412400,2022-09-17 11:00:00,COOHA/USDT,0.471,0.4717,0.47,0.4717,1024.3253,482.46940808
1663408800,2022-09-17 10:00:00,COOHA/USDT,0.4713,0.4717,0.47,0.4713,1006.1887,473.93587398
1663405200,2022-09-17 09:00:00,COOHA/USDT,0.4714,0.4726,0.4701,0.4701,1380.2446,650.22538066
1663401600,2022-09-17 08:00:00,COOHA/USDT,0.4751,0.4802,0.4701,0.4714,3613.7551,1707.34432894
1663398000,2022-09-17 07:00:00,COOHA/USDT,0.4779,0.4787,0.4731,0.475,1762.5168,841.05032943
1663394400,2022-09-17 06:00:00,COOHA/USDT,0.4778,0.4787,0.47,0.4779,2001.2484,952.79279437
1663390800,2022-09-17 05:00:00,COOHA/USDT,0.4811,0.4829,0.473,0.4779,3365.5531,1605.07013466
1663387200,2022-09-17 04:00:00,COOHA/USDT,0.4872,0.4878,0.479,0.4821,1388.5895,672.30258605
1663383600,2022-09-17 03:00:00,COOHA/USDT,0.4878,0.4881,0.48,0.4867,1755.1633,852.13212664
1663380000,2022-09-17 02:00:00,COOHA/USDT,0.4852,0.4878,0.484,0.487,1630.8973,792.99151224
1663376400,2022-09-17 01:00:00,COOHA/USDT,0.484,0.486,0.484,0.4858,906.9036,439.60754765
1663372800,2022-09-17 00:00:00,COOHA/USDT,0.484,0.486,0.484,0.4853,904.0234,438.23240037
1663369200,2022-09-16 23:00:00,COOHA/USDT,0.49,0.4906,0.4823,0.4855,1348.7829,654.53587001
