https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CRO,Volume USDT
1663462800,2022-09-18 01:00:00,CRO/USDT,0.1101,0.1103,0.1101,0.1103,11566.72195416,1274.515683398785
1663459200,2022-09-18 00:00:00,CRO/USDT,0.111,0.1114,0.1095,0.1101,1022109.74641131,112637.326821581937
1663455600,2022-09-17 23:00:00,CRO/USDT,0.1103,0.1112,0.1101,0.1112,151353.56858652,16763.720509600711
1663452000,2022-09-17 22:00:00,CRO/USDT,0.1095,0.1103,0.1093,0.1103,157571.03107415,17327.092882066834
1663448400,2022-09-17 21:00:00,CRO/USDT,0.1099,0.11,0.1093,0.1094,56260.50307737,6164.051686126539
1663444800,2022-09-17 20:00:00,CRO/USDT,0.1094,0.11,0.1093,0.11,133945.69363989,14687.125951350897
1663441200,2022-09-17 19:00:00,CRO/USDT,0.1099,0.1099,0.1093,0.1094,225570.89648224,24695.763894735069
1663437600,2022-09-17 18:00:00,CRO/USDT,0.1102,0.1102,0.1097,0.1099,170307.47851688,18723.471918882439
1663434000,2022-09-17 17:00:00,CRO/USDT,0.1106,0.1108,0.1099,0.1101,176845.28723854,19494.651333817587
1663430400,2022-09-17 16:00:00,CRO/USDT,0.1094,0.1107,0.1093,0.1105,304678.89907396,33600.46406952787
1663426800,2022-09-17 15:00:00,CRO/USDT,0.11,0.11,0.1093,0.1094,174130.35066192,19093.322524920963
1663423200,2022-09-17 14:00:00,CRO/USDT,0.1096,0.1101,0.1094,0.1099,307161.60999953,33717.707878046187
1663419600,2022-09-17 13:00:00,CRO/USDT,0.11,0.1103,0.1093,0.1095,312371.8611133,34280.826090466493
1663416000,2022-09-17 12:00:00,CRO/USDT,0.1072,0.1127,0.1072,0.11,8567953.92502232,939744.523877826022
1663412400,2022-09-17 11:00:00,CRO/USDT,0.1076,0.1077,0.107,0.1074,706686.78875143,75808.319223614051
1663408800,2022-09-17 10:00:00,CRO/USDT,0.1076,0.1091,0.1072,0.1075,850417.41424091,91997.030535325206
1663405200,2022-09-17 09:00:00,CRO/USDT,0.1076,0.1078,0.1074,0.1077,142914.73741291,15380.984318944768
1663401600,2022-09-17 08:00:00,CRO/USDT,0.1074,0.1076,0.1073,0.1074,136331.25323036,14647.525632614179
1663398000,2022-09-17 07:00:00,CRO/USDT,0.1072,0.1074,0.1071,0.1074,182537.88805215,19582.296579235934
1663394400,2022-09-17 06:00:00,CRO/USDT,0.1074,0.1075,0.107,0.1073,154553.26620022,16587.584917127012
1663390800,2022-09-17 05:00:00,CRO/USDT,0.1076,0.1082,0.1069,0.1074,224465.08146431,24128.577716351868
1663387200,2022-09-17 04:00:00,CRO/USDT,0.107,0.108,0.107,0.1076,331566.04820584,35688.970847236757
1663383600,2022-09-17 03:00:00,CRO/USDT,0.1071,0.1073,0.1069,0.107,88860.83543744,9517.698174504845
1663380000,2022-09-17 02:00:00,CRO/USDT,0.1075,0.1075,0.1066,0.1071,122365.59383417,13088.555998645881
1663376400,2022-09-17 01:00:00,CRO/USDT,0.1072,0.1077,0.1072,0.1075,60666.56774229,6521.864266547817
1663372800,2022-09-17 00:00:00,CRO/USDT,0.1063,0.1085,0.106,0.1073,1391433.16724851,149571.918280203305
1663369200,2022-09-16 23:00:00,CRO/USDT,0.1055,0.1063,0.1052,0.1063,134272.75386859,14181.238194985125
1663365600,2022-09-16 22:00:00,CRO/USDT,0.1057,0.1057,0.1053,0.1055,290594.80789726,30646.000035092747
1663362000,2022-09-16 21:00:00,CRO/USDT,0.1064,0.1068,0.1056,0.1056,219227.84287935,23296.847189254976
1663358400,2022-09-16 20:00:00,CRO/USDT,0.1051,0.1066,0.1051,0.1065,377835.19237873,40033.527575270484
1663354800,2022-09-16 19:00:00,CRO/USDT,0.1047,0.1052,0.1047,0.1051,122481.68619402,12845.338089504876
1663351200,2022-09-16 18:00:00,CRO/USDT,0.1044,0.1049,0.1039,0.1048,292351.89385937,30554.817208882262
1663347600,2022-09-16 17:00:00,CRO/USDT,0.1042,0.1054,0.1039,0.1044,281794.20887522,29465.092894257684
1663344000,2022-09-16 16:00:00,CRO/USDT,0.1058,0.1058,0.1037,0.1042,380758.02323981,39876.561157836016
1663340400,2022-09-16 15:00:00,CRO/USDT,0.1059,0.1063,0.1053,0.1058,115793.67939346,12243.467783284756
1663336800,2022-09-16 14:00:00,CRO/USDT,0.1043,0.1063,0.104,0.1058,463293.11589601,48790.681878419357
1663333200,2022-09-16 13:00:00,CRO/USDT,0.1064,0.1066,0.1039,0.1043,713018.33020546,74920.318941947094
1663329600,2022-09-16 12:00:00,CRO/USDT,0.1077,0.108,0.1063,0.1063,2119995.95530942,227452.679643512107
1663326000,2022-09-16 11:00:00,CRO/USDT,0.1062,0.1076,0.106,0.1075,441288.83929283,47179.635677738143
1663322400,2022-09-16 10:00:00,CRO/USDT,0.1055,0.1062,0.1052,0.1061,204014.91667112,21530.438945576577
1663318800,2022-09-16 09:00:00,CRO/USDT,0.1052,0.1056,0.1052,0.1055,119957.26244216,12646.197378193953
1663315200,2022-09-16 08:00:00,CRO/USDT,0.1059,0.1059,0.1049,0.1052,165807.42231071,17475.0686473465
1663311600,2022-09-16 07:00:00,CRO/USDT,0.1062,0.1063,0.1058,0.1058,67158.8838331,7113.211828376535
1663308000,2022-09-16 06:00:00,CRO/USDT,0.1061,0.1064,0.106,0.1061,149586.25455512,15878.399032376784
1663304400,2022-09-16 05:00:00,CRO/USDT,0.1066,0.1067,0.1062,0.1062,68890.51921496,7341.717753814424
1663300800,2022-09-16 04:00:00,CRO/USDT,0.106,0.1067,0.106,0.1066,265557.86055703,28278.203521972701
1663297200,2022-09-16 03:00:00,CRO/USDT,0.1059,0.106,0.1056,0.106,38006.54536863,4021.000014377917
1663293600,2022-09-16 02:00:00,CRO/USDT,0.1061,0.1062,0.1054,0.1058,108970.42811677,11518.734050228695
1663290000,2022-09-16 01:00:00,CRO/USDT,0.1063,0.1066,0.106,0.1061,65245.28096623,6938.059576148693
1663286400,2022-09-16 00:00:00,CRO/USDT,0.1058,0.1065,0.1049,0.1064,382507.0282934,40503.237743855441
1663282800,2022-09-15 23:00:00,CRO/USDT,0.1065,0.1065,0.1057,0.1058,90599.46092595,9593.892915273969
1663279200,2022-09-15 22:00:00,CRO/USDT,0.1069,0.1071,0.1058,0.1065,150204.75839454,16004.158896918107
1663275600,2022-09-15 21:00:00,CRO/USDT,0.1067,0.1074,0.1067,0.1071,94188.58784831,10086.990593656115
1663272000,2022-09-15 20:00:00,CRO/USDT,0.1066,0.1072,0.1066,0.107,354802.61244467,37974.894085902541
1663268400,2022-09-15 19:00:00,CRO/USDT,0.1072,0.1072,0.1063,0.1066,264658.85858007,28253.428769767506
1663264800,2022-09-15 18:00:00,CRO/USDT,0.1073,0.1078,0.107,0.107,102823.07609111,11026.082358834854
1663261200,2022-09-15 17:00:00,CRO/USDT,0.1075,0.108,0.1072,0.1075,232879.40653372,25039.833687421271
1663257600,2022-09-15 16:00:00,CRO/USDT,0.1064,0.1076,0.1057,0.1075,382850.82676609,40867.901286849349
1663254000,2022-09-15 15:00:00,CRO/USDT,0.1062,0.107,0.1048,0.1062,625917.16052393,66084.358857781265
1663250400,2022-09-15 14:00:00,CRO/USDT,0.1099,0.11,0.106,0.1061,1042277.46049212,111846.422322832971
