https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CRO,Volume USDT
1663459200,2022-09-18 00:00:00,CRO/USDT,0.111,0.1114,0.1095,0.1104,970939.58591131,107000.344970551937
1663372800,2022-09-17 00:00:00,CRO/USDT,0.1063,0.1127,0.106,0.1112,15130949.74630716,1650814.049107719234
1663286400,2022-09-16 00:00:00,CRO/USDT,0.1058,0.108,0.1037,0.1063,7588408.73161876,804730.474762253847
1663200000,2022-09-15 00:00:00,CRO/USDT,0.1118,0.112,0.1048,0.1058,11983355.79854135,1306672.4977207978
1663113600,2022-09-14 00:00:00,CRO/USDT,0.1102,0.1123,0.1079,0.1117,6339954.56443774,700043.373679552523
1663027200,2022-09-13 00:00:00,CRO/USDT,0.1218,0.1226,0.11,0.1104,7505395.96614627,866404.365994066979
1662940800,2022-09-12 00:00:00,CRO/USDT,0.1233,0.1253,0.1208,0.1216,4936378.7402256,607018.519174592256
1662854400,2022-09-11 00:00:00,CRO/USDT,0.1241,0.1244,0.1209,0.1233,3977765.46342586,488772.972100419472
1662768000,2022-09-10 00:00:00,CRO/USDT,0.1203,0.1255,0.1193,0.124,5427831.401639,661042.885545992202
1662681600,2022-09-09 00:00:00,CRO/USDT,0.1158,0.1223,0.1156,0.1202,8909771.62069449,1068471.426039853214
1662595200,2022-09-08 00:00:00,CRO/USDT,0.1135,0.116,0.1111,0.1157,5638136.20616281,639866.524319439944
1662508800,2022-09-07 00:00:00,CRO/USDT,0.1124,0.1149,0.1091,0.1135,7424974.2199111,826418.933333837888
1662422400,2022-09-06 00:00:00,CRO/USDT,0.1202,0.123,0.1121,0.1122,9508648.05207408,1123339.677704733605
1662336000,2022-09-05 00:00:00,CRO/USDT,0.1201,0.1207,0.1177,0.1201,3987771.94147776,475017.069457338436
1662249600,2022-09-04 00:00:00,CRO/USDT,0.1194,0.123,0.1154,0.1202,5725200.41786724,678227.928382501219
1662163200,2022-09-03 00:00:00,CRO/USDT,0.1198,0.1199,0.1178,0.1196,3174176.0371631,377969.902537410814
1662076800,2022-09-02 00:00:00,CRO/USDT,0.1219,0.1234,0.1189,0.1198,3552426.36132944,431638.268882174719
1661990400,2022-09-01 00:00:00,CRO/USDT,0.1221,0.1231,0.1167,0.1219,5575628.28796516,670627.68908984712
1661904000,2022-08-31 00:00:00,CRO/USDT,0.1213,0.125,0.121,0.1221,5079450.29484796,626043.476109136249
1661817600,2022-08-30 00:00:00,CRO/USDT,0.1227,0.1263,0.1183,0.1209,5686889.75004795,697410.300803834491
1661731200,2022-08-29 00:00:00,CRO/USDT,0.1178,0.1235,0.1171,0.123,4115101.35900311,495445.037458997142
1661644800,2022-08-28 00:00:00,CRO/USDT,0.1202,0.1225,0.1176,0.1177,4461568.66640468,537889.616262208936
1661558400,2022-08-27 00:00:00,CRO/USDT,0.1206,0.1218,0.1185,0.1201,4725263.76317729,568461.691077405483
1661472000,2022-08-26 00:00:00,CRO/USDT,0.1317,0.1321,0.1197,0.1205,7693591.74776033,976366.298630136551
1661385600,2022-08-25 00:00:00,CRO/USDT,0.1287,0.1335,0.1284,0.1317,6777397.4287334,890948.456591796996
1661299200,2022-08-24 00:00:00,CRO/USDT,0.1288,0.1314,0.126,0.1287,6555394.30044124,843306.796624441814
1661212800,2022-08-23 00:00:00,CRO/USDT,0.1282,0.1293,0.1249,0.1287,9463121.98037153,1209718.889316090899
1661126400,2022-08-22 00:00:00,CRO/USDT,0.1278,0.13,0.1216,0.1282,7823244.87732373,983048.279713056768
1661040000,2022-08-21 00:00:00,CRO/USDT,0.1249,0.1293,0.1237,0.1278,4139176.59353547,524812.416085189529
1660953600,2022-08-20 00:00:00,CRO/USDT,0.1223,0.1269,0.1213,0.1247,4157816.21425603,518447.084388509875
