https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DERO,Volume USDT
1663459200,2022-09-18 00:00:00,DERO/USDT,3.90499,3.91039,3.89889,3.91039,63.8768,249.457894522
1663372800,2022-09-17 00:00:00,DERO/USDT,3.82276,3.9451,3.7714,3.91419,5373.6042,20708.010108935
1663286400,2022-09-16 00:00:00,DERO/USDT,3.86933,3.93143,3.708,3.82276,15974.03,60777.787802365
1663200000,2022-09-15 00:00:00,DERO/USDT,3.93013,4.35168,3.802,3.87246,13801.059,54331.13671407
1663113600,2022-09-14 00:00:00,DERO/USDT,3.93884,4.04779,3.8,3.91467,8472.5839,33117.560390004
1663027200,2022-09-13 00:00:00,DERO/USDT,4.38563,4.4121,3.84968,3.95859,36720.6669,152616.269043057
1662940800,2022-09-12 00:00:00,DERO/USDT,4.35169,4.72452,4.27401,4.4121,27783.5498,122823.631403037
1662854400,2022-09-11 00:00:00,DERO/USDT,4.51142,4.64132,4.29999,4.3753,8757.6601,38528.516416844
1662768000,2022-09-10 00:00:00,DERO/USDT,3.82682,5.15,3.8042,4.54072,59023.6212,255964.844623909
1662681600,2022-09-09 00:00:00,DERO/USDT,3.62285,3.95894,3.60071,3.83288,19750.099,75564.96032975
1662595200,2022-09-08 00:00:00,DERO/USDT,3.55712,3.6571,3.48453,3.61001,6523.8794,23209.648056201
1662508800,2022-09-07 00:00:00,DERO/USDT,3.5204,3.60934,3.47,3.55392,5706.7201,20034.924814552
1662422400,2022-09-06 00:00:00,DERO/USDT,3.66074,3.77618,3.5,3.52676,12212.3348,44039.57917121
1662336000,2022-09-05 00:00:00,DERO/USDT,3.72533,3.7371,3.59979,3.66074,2796.2365,10299.162061081
1662249600,2022-09-04 00:00:00,DERO/USDT,3.64263,3.79403,3.55001,3.70119,4983.8965,18141.744115529
1662163200,2022-09-03 00:00:00,DERO/USDT,3.65822,3.65822,3.60226,3.63899,3289.4181,11927.603701634
1662076800,2022-09-02 00:00:00,DERO/USDT,3.78763,3.93347,3.65692,3.65922,6386.8846,23877.078117722
1661990400,2022-09-01 00:00:00,DERO/USDT,3.7225,3.81543,3.6,3.81543,6752.7607,24867.710214819
1661904000,2022-08-31 00:00:00,DERO/USDT,3.79409,3.89904,3.7117,3.7225,3526.1934,13386.227332112
1661817600,2022-08-30 00:00:00,DERO/USDT,3.86819,3.99552,3.7,3.78634,6444.684,24720.091890042
1661731200,2022-08-29 00:00:00,DERO/USDT,3.67999,4.18,3.65692,3.86819,7376.8131,27989.831177847
1661644800,2022-08-28 00:00:00,DERO/USDT,3.70963,3.86171,3.6238,3.68,5371.0783,20071.838035943
1661558400,2022-08-27 00:00:00,DERO/USDT,3.62001,3.89999,3.55366,3.71975,7627.1162,27929.337079859
1661472000,2022-08-26 00:00:00,DERO/USDT,3.96299,4.19889,3.62,3.62001,16761.363,65903.439877494
1661385600,2022-08-25 00:00:00,DERO/USDT,3.784,3.96619,3.75084,3.96619,2909.1554,11298.011871549
1661299200,2022-08-24 00:00:00,DERO/USDT,3.9168,3.94689,3.71903,3.78399,8353.0639,31903.234537381
1661212800,2022-08-23 00:00:00,DERO/USDT,3.68959,3.9475,3.60225,3.91763,6685.5174,25149.115841613
