https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DPET,Volume USDT
1663459200,2022-09-18 00:00:00,DPET/USDT,0.0938,0.0939,0.0934,0.0934,1195.4983,112.15810461
1663372800,2022-09-17 00:00:00,DPET/USDT,0.094,0.0942,0.0902,0.0942,77465.3903,7158.36114921
1663286400,2022-09-16 00:00:00,DPET/USDT,0.095,0.0951,0.09,0.0931,157045.7009,14504.46955306
1663200000,2022-09-15 00:00:00,DPET/USDT,0.0936,0.1001,0.0923,0.0957,419353.1654,40218.9753222
1663113600,2022-09-14 00:00:00,DPET/USDT,0.0976,0.1008,0.0923,0.0932,204871.753,19691.36122211
1663027200,2022-09-13 00:00:00,DPET/USDT,0.1015,0.1043,0.0939,0.0971,578947.5613,57647.59620777
1662940800,2022-09-12 00:00:00,DPET/USDT,0.1068,0.1092,0.0984,0.1008,636685.39,65653.24776044
1662854400,2022-09-11 00:00:00,DPET/USDT,0.106,0.115,0.099,0.1059,1074909.1406,114306.5224191
1662768000,2022-09-10 00:00:00,DPET/USDT,0.1016,0.1097,0.0983,0.1062,591188.4424,61338.59455151
1662681600,2022-09-09 00:00:00,DPET/USDT,0.1057,0.1086,0.0979,0.1024,859600.8288,89066.61442941
1662595200,2022-09-08 00:00:00,DPET/USDT,0.102,0.11,0.0984,0.1048,1191301.6389,124537.29475903
1662508800,2022-09-07 00:00:00,DPET/USDT,0.0951,0.1038,0.0909,0.102,1079141.9018,102221.02942055
1662422400,2022-09-06 00:00:00,DPET/USDT,0.1078,0.109,0.09,0.0945,1693472.4226,172471.77457801
1662336000,2022-09-05 00:00:00,DPET/USDT,0.1213,0.1497,0.1056,0.1069,4993262.66425874,625251.902298438972
1662249600,2022-09-04 00:00:00,DPET/USDT,0.0987,0.35,0.0959,0.1224,6735971.81410676,1138966.106769185408
1662163200,2022-09-03 00:00:00,DPET/USDT,0.0996,0.0996,0.0983,0.0984,15583.3178,1537.36140715
1662076800,2022-09-02 00:00:00,DPET/USDT,0.0948,0.0999,0.0942,0.0995,47423.4374,4668.3246139
1661990400,2022-09-01 00:00:00,DPET/USDT,0.0977,0.0998,0.093,0.0946,310552.2079,29687.76770226
1661904000,2022-08-31 00:00:00,DPET/USDT,0.0973,0.0998,0.0961,0.0979,292907.7103,28761.03126997
1661817600,2022-08-30 00:00:00,DPET/USDT,0.1021,0.1034,0.0951,0.0972,274661.3412,27866.94148507
1661731200,2022-08-29 00:00:00,DPET/USDT,0.1095,0.1111,0.1009,0.102,256365.5684,26671.71052077
1661644800,2022-08-28 00:00:00,DPET/USDT,0.1201,0.129,0.1094,0.1095,762790.0056,91511.94573402
1661558400,2022-08-27 00:00:00,DPET/USDT,0.1104,0.128,0.1101,0.1203,1034709.3089,122569.99218358
