https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume FRM,Volume USDT
1663459200,2022-09-18 00:00:00,FRM/USDT,0.02281,0.02342,0.02275,0.02301,72785.7617,1673.782966345
1663372800,2022-09-17 00:00:00,FRM/USDT,0.02186,0.02391,0.02183,0.02276,6371464.9401,142238.391146297
1663286400,2022-09-16 00:00:00,FRM/USDT,0.02304,0.0234,0.0217,0.02186,9193004.2764,206968.467871703
1663200000,2022-09-15 00:00:00,FRM/USDT,0.02424,0.0247,0.02254,0.02296,6812688.8579,160242.346202041
1663113600,2022-09-14 00:00:00,FRM/USDT,0.02459,0.0251,0.02333,0.02425,6005787.3962,146517.739956132
1663027200,2022-09-13 00:00:00,FRM/USDT,0.02569,0.0385,0.02457,0.02457,7414437.0669,193041.539567526
1662940800,2022-09-12 00:00:00,FRM/USDT,0.02574,0.02659,0.02531,0.02569,6188800.7339,159619.937003107
1662854400,2022-09-11 00:00:00,FRM/USDT,0.02587,0.02669,0.0255,0.02574,7209628.6838,185649.250630564
1662768000,2022-09-10 00:00:00,FRM/USDT,0.02704,0.02704,0.02523,0.02587,5410113.9226,141527.57787841
1662681600,2022-09-09 00:00:00,FRM/USDT,0.02677,0.02755,0.02668,0.02705,5217177.7717,140117.764676549
1662595200,2022-09-08 00:00:00,FRM/USDT,0.02544,0.02786,0.0249,0.0268,8050025.31,207951.888690239
1662508800,2022-09-07 00:00:00,FRM/USDT,0.02497,0.02581,0.02377,0.02544,5532257.1009,136231.018383865
1662422400,2022-09-06 00:00:00,FRM/USDT,0.02597,0.0261,0.02484,0.02501,3871817.688,99812.402186009
1662336000,2022-09-05 00:00:00,FRM/USDT,0.02678,0.02683,0.02529,0.02597,4850456.7816,127040.860810324
1662249600,2022-09-04 00:00:00,FRM/USDT,0.0263,0.02738,0.02612,0.02678,6191141.6332,165100.242862114
1662163200,2022-09-03 00:00:00,FRM/USDT,0.02562,0.02701,0.02558,0.0263,7219773.8516,188828.352069054
1662076800,2022-09-02 00:00:00,FRM/USDT,0.02517,0.0261,0.02509,0.02562,5159740.6579,131607.460108614
1661990400,2022-09-01 00:00:00,FRM/USDT,0.02593,0.02607,0.02309,0.02516,4956714.8022,122620.496165586
1661904000,2022-08-31 00:00:00,FRM/USDT,0.02729,0.02766,0.02569,0.02593,5377723.5651,143443.03396279
1661817600,2022-08-30 00:00:00,FRM/USDT,0.0283,0.02978,0.02721,0.02729,5896045.5782,166361.971323451
1661731200,2022-08-29 00:00:00,FRM/USDT,0.02795,0.03005,0.02693,0.02824,3889879.4635,108495.296836546
1661644800,2022-08-28 00:00:00,FRM/USDT,0.02589,0.03117,0.02564,0.02801,6992147.9242,187722.11851753
1661558400,2022-08-27 00:00:00,FRM/USDT,0.02715,0.02779,0.0254,0.02588,6031772.587,161104.693472894
1661472000,2022-08-26 00:00:00,FRM/USDT,0.03107,0.0319,0.02673,0.02744,4737183.9882,142477.066863308
1661385600,2022-08-25 00:00:00,FRM/USDT,0.03212,0.03273,0.03061,0.03109,4595235.0585,146220.999007033
1661299200,2022-08-24 00:00:00,FRM/USDT,0.03346,0.0336,0.03127,0.03212,6861192.5187,222500.438136263
1661212800,2022-08-23 00:00:00,FRM/USDT,0.03263,0.03419,0.03255,0.03346,2572231.025,85375.439614836
1661126400,2022-08-22 00:00:00,FRM/USDT,0.03423,0.0355,0.03182,0.03263,3999568.6829,131853.988858613
1661040000,2022-08-21 00:00:00,FRM/USDT,0.03327,0.03499,0.0318,0.03423,1726317.7705,57588.991414675
1660953600,2022-08-20 00:00:00,FRM/USDT,0.03014,0.0372,0.02985,0.03328,3814700.8158,123159.454879081
1660867200,2022-08-19 00:00:00,FRM/USDT,0.03352,0.03355,0.02984,0.03014,4124226.8112,128572.840192833
1660780800,2022-08-18 00:00:00,FRM/USDT,0.03344,0.03578,0.03278,0.03352,5155586.2029,172640.006307619
1660694400,2022-08-17 00:00:00,FRM/USDT,0.03197,0.03569,0.0315,0.03343,5447655.6634,179644.390787772
1660608000,2022-08-16 00:00:00,FRM/USDT,0.03278,0.03599,0.03185,0.03196,3653691.3123,121682.847603632
1660521600,2022-08-15 00:00:00,FRM/USDT,0.03285,0.03449,0.03221,0.03319,3345619.2475,110753.954021324
1660435200,2022-08-14 00:00:00,FRM/USDT,0.0376,0.043,0.0324,0.03285,6924629.0601,251919.977628778
1660348800,2022-08-13 00:00:00,FRM/USDT,0.03086,0.0657,0.0307,0.0375,19988915.5912,815311.608682355
1660262400,2022-08-12 00:00:00,FRM/USDT,0.0316,0.03162,0.02988,0.03086,4380664.6542,135318.615030642
1660176000,2022-08-11 00:00:00,FRM/USDT,0.0345,0.03506,0.03123,0.03161,4909491.805,163815.234409861
1660089600,2022-08-10 00:00:00,FRM/USDT,0.0319,0.03501,0.03103,0.03392,4885947.1612,158802.310052753
1660003200,2022-08-09 00:00:00,FRM/USDT,0.03404,0.03448,0.0318,0.03199,6119993.1191,202623.887367258
1659916800,2022-08-08 00:00:00,FRM/USDT,0.03181,0.0354,0.03053,0.03448,4865159.7781,157437.340212161
1659830400,2022-08-07 00:00:00,FRM/USDT,0.02992,0.03224,0.029,0.0318,3089027.3117,96870.744949095
1659744000,2022-08-06 00:00:00,FRM/USDT,0.02985,0.033,0.02874,0.02993,5080787.3342,150827.991190068
1659657600,2022-08-05 00:00:00,FRM/USDT,0.02705,0.03004,0.02622,0.02997,4921688.6683,135911.564785174
1659571200,2022-08-04 00:00:00,FRM/USDT,0.0288,0.0298,0.02604,0.02704,6901249.8283,194257.017454075
1659484800,2022-08-03 00:00:00,FRM/USDT,0.02693,0.041,0.02659,0.02816,6751277.7972,214461.195331423
1659398400,2022-08-02 00:00:00,FRM/USDT,0.02788,0.02819,0.02623,0.02696,3220901.3246,88783.87645028
1659312000,2022-08-01 00:00:00,FRM/USDT,0.02773,0.02947,0.02731,0.02815,5160018.4371,144714.252229442
