https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume FTT,Volume USDT
1663459200,2022-09-18 00:00:00,FTT/USDT,24.643,24.643,24.431,24.452,23.30330761,570.88988589222
1663372800,2022-09-17 00:00:00,FTT/USDT,24.086,24.655,24.053,24.646,1964.43176225,47758.61771771376
1663286400,2022-09-16 00:00:00,FTT/USDT,24.105,24.389,23.597,24.078,2143.17493494,51507.4536197665
1663200000,2022-09-15 00:00:00,FTT/USDT,25.491,25.588,23.944,24.088,8600.84627375,211224.91404861409
1663113600,2022-09-14 00:00:00,FTT/USDT,25.908,26.625,24.813,25.489,11380.32486834,292860.10304285676
1663027200,2022-09-13 00:00:00,FTT/USDT,28.476,29.192,25.831,25.911,34355.13781245,960224.5396099138
1662940800,2022-09-12 00:00:00,FTT/USDT,27.861,28.585,27.488,28.457,6956.34477717,195980.22588583217
1662854400,2022-09-11 00:00:00,FTT/USDT,27.709,27.952,27.283,27.861,4284.53141052,118269.46537960974
1662768000,2022-09-10 00:00:00,FTT/USDT,27.235,27.838,27.037,27.719,3218.4976497,88297.54174792675
1662681600,2022-09-09 00:00:00,FTT/USDT,26.052,27.882,26.041,27.244,6163.60081087,167757.865657731
1662595200,2022-09-08 00:00:00,FTT/USDT,26.019,26.246,25.609,26.029,5016.39561939,130079.22138864096
1662508800,2022-09-07 00:00:00,FTT/USDT,25.671,26.435,25.049,26.018,6626.36132586,171413.17816248049
1662422400,2022-09-06 00:00:00,FTT/USDT,26.643,27.141,25.357,25.651,3975.86809116,104806.95827777085
1662336000,2022-09-05 00:00:00,FTT/USDT,26.411,26.687,25.937,26.603,1906.23342509,50163.47904854425
1662249600,2022-09-04 00:00:00,FTT/USDT,26.205,26.459,25.903,26.398,2287.07291256,59929.96309709
1662163200,2022-09-03 00:00:00,FTT/USDT,26.305,26.398,25.954,26.179,3781.5631328,98736.43531046325
1662076800,2022-09-02 00:00:00,FTT/USDT,26.928,27.17,26.05,26.277,2801.65173097,74878.02847519061
1661990400,2022-09-01 00:00:00,FTT/USDT,26.736,26.982,26.136,26.918,2219.5270891,58799.28293945367
1661904000,2022-08-31 00:00:00,FTT/USDT,26.62,27.778,26.521,26.717,5784.74374567,157040.85290523886
1661817600,2022-08-30 00:00:00,FTT/USDT,27.372,27.708,26.076,26.54,3107.38899782,84109.51559177802
1661731200,2022-08-29 00:00:00,FTT/USDT,25.38,27.415,25.31,27.374,4748.45449359,125588.12041780843
1661644800,2022-08-28 00:00:00,FTT/USDT,25.837,26.059,25.162,25.337,3317.17662579,85081.85618631521
1661558400,2022-08-27 00:00:00,FTT/USDT,25.975,26.149,25.447,25.812,4430.74001102,114303.87153889372
1661472000,2022-08-26 00:00:00,FTT/USDT,27.95,28.124,25.75,25.987,9727.71666889,263104.95022369612
1661385600,2022-08-25 00:00:00,FTT/USDT,27.564,28.275,27.548,27.989,4134.14837589,115870.02551110546
1661299200,2022-08-24 00:00:00,FTT/USDT,27.811,28.032,27.236,27.534,1407.40781401,38919.5123104188
1661212800,2022-08-23 00:00:00,FTT/USDT,27.741,27.969,26.935,27.781,3415.6203558,94229.29848916023
1661126400,2022-08-22 00:00:00,FTT/USDT,27.73,27.761,26.521,27.738,4962.68010267,135011.66363408315
1661040000,2022-08-21 00:00:00,FTT/USDT,26.715,27.91,26.7,27.732,5200.99496124,142632.381071532
1660953600,2022-08-20 00:00:00,FTT/USDT,26.415,27.23,26.15,26.693,7115.0096716,190841.10280275916
1660867200,2022-08-19 00:00:00,FTT/USDT,29.952,29.952,26.389,26.407,18368.6481866,512646.0734095142
1660780800,2022-08-18 00:00:00,FTT/USDT,30.117,30.528,29.841,29.927,1730.12804496,52241.0383778074
1660694400,2022-08-17 00:00:00,FTT/USDT,30.693,31.473,29.972,30.084,4698.72941746,143747.56714766054
1660608000,2022-08-16 00:00:00,FTT/USDT,30.831,31.117,30.376,30.631,2614.4575806,80425.9139533938
1660521600,2022-08-15 00:00:00,FTT/USDT,30.849,31.865,30.221,30.797,5097.03582672,157302.57879335806
1660435200,2022-08-14 00:00:00,FTT/USDT,31.349,31.976,30.649,30.808,6026.35367562,188959.89568523389
1660348800,2022-08-13 00:00:00,FTT/USDT,31.234,31.869,31.118,31.334,7809.02445383,245531.48764476281
1660262400,2022-08-12 00:00:00,FTT/USDT,30.536,31.234,29.944,31.234,13495.99567192,412595.42115338184
1660176000,2022-08-11 00:00:00,FTT/USDT,31.38,32.6,30.355,30.536,10765.23940588,340478.45701602528
1660089600,2022-08-10 00:00:00,FTT/USDT,29.894,31.6,29.196,31.361,18402.59860926,565332.46705816752
1660003200,2022-08-09 00:00:00,FTT/USDT,31.511,31.6,29.425,29.839,14304.56626479,432840.11436674882
1659916800,2022-08-08 00:00:00,FTT/USDT,30.682,32.13,30.388,31.489,6589.7029061,207276.26192401876
1659830400,2022-08-07 00:00:00,FTT/USDT,30.428,31.048,30.115,30.652,4157.96317356,126922.80350851937
1659744000,2022-08-06 00:00:00,FTT/USDT,30.774,30.89,30.368,30.427,3101.27118933,95101.57720331618
1659657600,2022-08-05 00:00:00,FTT/USDT,29.169,30.772,29.091,30.762,9571.20161469,288629.3474703626
1659571200,2022-08-04 00:00:00,FTT/USDT,29.085,29.647,28.785,29.192,4739.94273335,138455.84498565617
1659484800,2022-08-03 00:00:00,FTT/USDT,29.438,29.994,28.742,29.133,5877.46109102,173149.73432488568
1659398400,2022-08-02 00:00:00,FTT/USDT,30.773,31,28.841,29.441,10361.22845892,308719.36747049352
1659312000,2022-08-01 00:00:00,FTT/USDT,30.392,30.941,29.819,30.757,9980.11247954,303980.23198250735
1659225600,2022-07-31 00:00:00,FTT/USDT,31.098,31.685,30.285,30.381,9211.33453679,285985.45724599065
1659139200,2022-07-30 00:00:00,FTT/USDT,31.112,32.422,30.784,31.09,11417.95745087,360458.49588727431
1659052800,2022-07-29 00:00:00,FTT/USDT,30.258,31.549,29.776,31.076,10691.84325828,327341.66605008831
1658966400,2022-07-28 00:00:00,FTT/USDT,29.441,30.707,28.595,30.232,15198.51331178,448187.83547734209
1658880000,2022-07-27 00:00:00,FTT/USDT,27.076,29.44,26.693,29.414,13030.03470252,359826.54777619743
1658793600,2022-07-26 00:00:00,FTT/USDT,27.027,27.096,25.929,27.096,12085.72354098,321760.70632002362
