https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume GALAX3S,Volume USDT
1663459200,2022-09-18 00:00:00,GALAX3S/USDT,1.2058,1.2512,1.2058,1.2459,1107.1451,1361.13293607
1663372800,2022-09-17 00:00:00,GALAX3S/USDT,1.3152,1.3152,1.1898,1.2097,12292.142,15495.95486109
1663286400,2022-09-16 00:00:00,GALAX3S/USDT,1.3829,1.4194,1.2929,1.3244,23345.1209,31603.90874186
1663200000,2022-09-15 00:00:00,GALAX3S/USDT,1.268,1.4138,1.268,1.3639,37020.5744,50097.63739356
1663113600,2022-09-14 00:00:00,GALAX3S/USDT,1.3266,1.365,1.2161,1.2497,41635.0913,53277.17852219
1663027200,2022-09-13 00:00:00,GALAX3S/USDT,1.1129,1.3567,1.078,1.3218,49650.3008,61495.55597457
1662940800,2022-09-12 00:00:00,GALAX3S/USDT,1.0603,1.1658,0.9927,1.109,46462.565,49786.02013851
1662854400,2022-09-11 00:00:00,GALAX3S/USDT,1.0517,1.1478,0.9597,1.0492,39945.692,42272.31110948
1662768000,2022-09-10 00:00:00,GALAX3S/USDT,1.0585,1.1066,0.983,1.0516,37753.1159,39937.36708796
1662681600,2022-09-09 00:00:00,GALAX3S/USDT,1.2832,1.2974,0.9804,1.0609,54890.8773,60588.81383426
1662595200,2022-09-08 00:00:00,GALAX3S/USDT,1.3141,1.4,1.267,1.2898,23417.2365,31235.29008233
1662508800,2022-09-07 00:00:00,GALAX3S/USDT,1.4597,1.5315,1.2416,1.3195,30204.9525997,42210.09997356237
1662422400,2022-09-06 00:00:00,GALAX3S/USDT,1.1775,1.4823,1.1205,1.4313,40842.76466438,53415.218617763098
1662336000,2022-09-05 00:00:00,GALAX3S/USDT,1.144,1.2701,1.1107,1.1811,15551.7104,18842.93088489
1662249600,2022-09-04 00:00:00,GALAX3S/USDT,1.2408,1.2627,1.1303,1.1449,19083.6525,22872.73729082
1662163200,2022-09-03 00:00:00,GALAX3S/USDT,1.2846,1.3083,1.233,1.2525,6352.7603,8021.37017088
1662076800,2022-09-02 00:00:00,GALAX3S/USDT,1.2271,1.3285,1.1557,1.281,31568.20265029,38656.987626659924
1661990400,2022-09-01 00:00:00,GALAX3S/USDT,1.2481,1.3587,1.2095,1.2225,40818.5903,52740.19038934
1661904000,2022-08-31 00:00:00,GALAX3S/USDT,1.2126,1.2547,1.1072,1.2332,14429.87752115,16784.787335855226
1661817600,2022-08-30 00:00:00,GALAX3S/USDT,1.1139,1.2948,1.0715,1.219,59199.45850938,70452.989393776858
1661731200,2022-08-29 00:00:00,GALAX3S/USDT,1.3377,1.3869,1.0975,1.0975,50381.17896825,61733.959429441978
1661644800,2022-08-28 00:00:00,GALAX3S/USDT,1.2457,1.35,1.1547,1.3211,46856.94413815,57484.805123121416
1661558400,2022-08-27 00:00:00,GALAX3S/USDT,1.3272,1.384,1.22,1.2421,76281.94300326,98302.570992706561
1661472000,2022-08-26 00:00:00,GALAX3S/USDT,1.0628,1.3939,1.0476,1.3249,120175.81831286,146489.377538960243
1661385600,2022-08-25 00:00:00,GALAX3S/USDT,1.0347,1.1036,0.9282,1.0526,74414.6516915,75814.909469815668
1661299200,2022-08-24 00:00:00,GALAX3S/USDT,1.0725,1.165,0.947,1.0474,69920.69443184,72559.313554475306
1661212800,2022-08-23 00:00:00,GALAX3S/USDT,1.1385,1.2793,1.0187,1.0793,67828.99853378,77029.61807802115
1661126400,2022-08-22 00:00:00,GALAX3S/USDT,1.1089,1.3081,1.1089,1.137,61579.81759814,75043.365452267764
1661040000,2022-08-21 00:00:00,GALAX3S/USDT,1.2291,1.2583,1.0501,1.1009,45332.96183723,51839.505290834542
1660953600,2022-08-20 00:00:00,GALAX3S/USDT,1.1848,1.3753,1.0898,1.2291,122491.55971361,152260.854442733037
1660867200,2022-08-19 00:00:00,GALAX3S/USDT,0.9494,1.2552,0.9261,1.1846,228395.01411674,258198.016151233138
1660780800,2022-08-18 00:00:00,GALAX3S/USDT,0.7499,0.995,0.7223,0.9447,93750.42077243,77428.564203378291
1660694400,2022-08-17 00:00:00,GALAX3S/USDT,0.5935,0.7744,0.547,0.7566,252762.6033622,166711.419942695011
1660608000,2022-08-16 00:00:00,GALAX3S/USDT,0.6622,0.7065,0.5182,0.5885,298608.11501648,176987.606938651033
1660521600,2022-08-15 00:00:00,GALAX3S/USDT,0.5827,0.6931,0.53,0.6622,487344.12089059,297221.325360670791
1660435200,2022-08-14 00:00:00,GALAX3S/USDT,0.6837,0.7254,0.5532,0.5827,468858.81725897,290061.524903975268
1660348800,2022-08-13 00:00:00,GALAX3S/USDT,0.7349,0.7413,0.6012,0.6849,402460.78687205,272404.645173616205
1660262400,2022-08-12 00:00:00,GALAX3S/USDT,0.8891,0.9458,0.7244,0.735,158219.05466102,130405.96282686256
1660176000,2022-08-11 00:00:00,GALAX3S/USDT,0.849,0.9155,0.7663,0.8981,123476.08489074,103115.874703546219
1660089600,2022-08-10 00:00:00,GALAX3S/USDT,1.028,1.0937,0.816,0.8478,192642.16274811,177890.96558476852
1660003200,2022-08-09 00:00:00,GALAX3S/USDT,0.9061,1.1029,0.8004,1.0144,159045.63621225,151301.930173028932
1659916800,2022-08-08 00:00:00,GALAX3S/USDT,0.981,0.9818,0.8113,0.9065,207601.47763222,186764.708827087932
1659830400,2022-08-07 00:00:00,GALAX3S/USDT,1.0142,1.0994,0.9339,0.9838,60878.76261044,60978.212294607863
1659744000,2022-08-06 00:00:00,GALAX3S/USDT,0.9687,1.0401,0.916,1.0108,201853.25337522,196793.867240539219
1659657600,2022-08-05 00:00:00,GALAX3S/USDT,1.0865,1.1082,0.9555,0.9664,371533.80712873,376189.185210718016
1659571200,2022-08-04 00:00:00,GALAX3S/USDT,1.1346,1.1797,0.94,1.0858,356387.46123616,381764.049113361217
1659484800,2022-08-03 00:00:00,GALAX3S/USDT,1.0755,1.1844,0.96,1.1317,365998.345708,391712.349557376642
1659398400,2022-08-02 00:00:00,GALAX3S/USDT,0.8644,1.12,0.8395,1.0673,725348.59392769,743897.780998480962
1659312000,2022-08-01 00:00:00,GALAX3S/USDT,1.385,1.4856,0.8113,0.8644,676585.01951471,743615.700240823653
1659225600,2022-07-31 00:00:00,GALAX3S/USDT,1.7973,1.8595,1.0681,1.3746,291842.03531577,381742.75181613501
1659139200,2022-07-30 00:00:00,GALAX3S/USDT,1.9052,1.9072,1.3388,1.7988,207727.4787545,339986.268903086641
1659052800,2022-07-29 00:00:00,GALAX3S/USDT,2.1215,2.1606,1.6267,1.9062,193207.69275723,362561.463697932639
1658966400,2022-07-28 00:00:00,GALAX3S/USDT,2.3535,2.6499,2.0516,2.1214,160172.98834151,379927.190862819512
1658880000,2022-07-27 00:00:00,GALAX3S/USDT,3.0801,3.2982,2.3576,2.3576,114021.42615964,326580.203049590993
1658793600,2022-07-26 00:00:00,GALAX3S/USDT,3.1,3.4113,3.0173,3.0525,106638.08321498,341364.159555308839
1658707200,2022-07-25 00:00:00,GALAX3S/USDT,2.3519,3.1039,2.2948,3.0996,150555.00199299,408865.888782761369
1658620800,2022-07-24 00:00:00,GALAX3S/USDT,2.2215,2.3813,2.1062,2.3487,84188.2646749,189178.961600533603
1658534400,2022-07-23 00:00:00,GALAX3S/USDT,2.4366,2.5561,2.0304,2.237,82043.34809486,189894.380269888399
1658448000,2022-07-22 00:00:00,GALAX3S/USDT,2.215,2.51,1.9621,2.4543,78601.79469057,173917.027438683686
1658361600,2022-07-21 00:00:00,GALAX3S/USDT,2.2842,2.5467,2.1451,2.2159,135186.9501324,318872.685177321965
