https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume GMT,Volume USDT
1663462800,2022-09-18 01:00:00,GMT/USDT,0.6858,0.6861,0.6798,0.6804,11959.43644176,8158.414993299008
1663459200,2022-09-18 00:00:00,GMT/USDT,0.6802,0.6893,0.6764,0.6858,225508.57002609,154644.844677821124
1663455600,2022-09-17 23:00:00,GMT/USDT,0.678,0.6808,0.6757,0.6787,135768.37583851,92162.590619447174
1663452000,2022-09-17 22:00:00,GMT/USDT,0.677,0.6778,0.6731,0.6778,51899.27773389,35032.96692281684
1663448400,2022-09-17 21:00:00,GMT/USDT,0.6768,0.682,0.6726,0.6768,73024.87334699,49429.872734310432
1663444800,2022-09-17 20:00:00,GMT/USDT,0.6695,0.677,0.6684,0.6763,61176.94134692,41093.824911624661
1663441200,2022-09-17 19:00:00,GMT/USDT,0.6675,0.6701,0.6659,0.6694,16703.52213581,11153.232808957479
1663437600,2022-09-17 18:00:00,GMT/USDT,0.671,0.6712,0.6664,0.6672,23356.77070329,15621.929988980309
1663434000,2022-09-17 17:00:00,GMT/USDT,0.669,0.6714,0.6675,0.671,79112.92771702,53000.155833659229
1663430400,2022-09-17 16:00:00,GMT/USDT,0.6665,0.6721,0.666,0.6704,104830.42321144,70220.448582632624
1663426800,2022-09-17 15:00:00,GMT/USDT,0.6643,0.6686,0.6629,0.6661,102160.77567782,67884.058725213615
1663423200,2022-09-17 14:00:00,GMT/USDT,0.662,0.6665,0.662,0.6641,132429.32945263,87975.299031285932
1663419600,2022-09-17 13:00:00,GMT/USDT,0.6618,0.6629,0.6601,0.662,10957.37689387,7248.738416876384
1663416000,2022-09-17 12:00:00,GMT/USDT,0.6592,0.6624,0.6588,0.6617,22642.88681396,14945.548129689346
1663412400,2022-09-17 11:00:00,GMT/USDT,0.6628,0.663,0.6592,0.6592,47721.74418083,31546.689562848435
1663408800,2022-09-17 10:00:00,GMT/USDT,0.6619,0.6652,0.6577,0.6625,112359.75337145,74362.51019992177
1663405200,2022-09-17 09:00:00,GMT/USDT,0.6619,0.6626,0.6598,0.662,51204.11001538,33862.430278950909
1663401600,2022-09-17 08:00:00,GMT/USDT,0.659,0.6628,0.6589,0.6626,98816.10615153,65231.738762570222
1663398000,2022-09-17 07:00:00,GMT/USDT,0.6574,0.6587,0.6563,0.6587,47216.33227711,31031.801663995188
1663394400,2022-09-17 06:00:00,GMT/USDT,0.6572,0.6587,0.6571,0.6577,25253.55714349,16605.163748013322
1663390800,2022-09-17 05:00:00,GMT/USDT,0.663,0.663,0.6553,0.6572,133790.58837362,88191.054648404724
1663387200,2022-09-17 04:00:00,GMT/USDT,0.6595,0.6688,0.6589,0.6636,317642.63530344,210971.739640910544
