https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume GMT,Volume USDT
1663459200,2022-09-18 00:00:00,GMT/USDT,0.6802,0.6893,0.6764,0.6869,220914.72959395,151491.885552946656
1663372800,2022-09-17 00:00:00,GMT/USDT,0.6525,0.682,0.6522,0.6787,1895433.80584124,1260324.972208449394
1663286400,2022-09-16 00:00:00,GMT/USDT,0.6671,0.6745,0.6355,0.652,2077548.44364978,1365572.564699732098
1663200000,2022-09-15 00:00:00,GMT/USDT,0.6754,0.6916,0.6431,0.667,3620109.42214533,2404828.243115389283
1663113600,2022-09-14 00:00:00,GMT/USDT,0.6616,0.695,0.64,0.6757,2452291.45109115,1628903.705829063153
1663027200,2022-09-13 00:00:00,GMT/USDT,0.7403,0.7548,0.6567,0.661,5138776.893633,3617606.921321870523
1662940800,2022-09-12 00:00:00,GMT/USDT,0.7362,0.7623,0.7148,0.7404,2737397.93187132,2031391.327827845753
1662854400,2022-09-11 00:00:00,GMT/USDT,0.7483,0.7763,0.7148,0.7362,3044967.69581149,2265597.078171343182
1662768000,2022-09-10 00:00:00,GMT/USDT,0.7834,0.7918,0.7302,0.7484,3084993.84005756,2340396.075114464216
1662681600,2022-09-09 00:00:00,GMT/USDT,0.6534,0.8196,0.6519,0.783,6970657.21483926,5157414.213142539447
1662595200,2022-09-08 00:00:00,GMT/USDT,0.6504,0.6586,0.6345,0.6534,2042065.03900163,1321502.983788824248
1662508800,2022-09-07 00:00:00,GMT/USDT,0.6314,0.6578,0.6186,0.6501,1867695.26784037,1188272.673416284121
1662422400,2022-09-06 00:00:00,GMT/USDT,0.693,0.7069,0.6266,0.6315,2671842.08629155,1789317.05873682423
1662336000,2022-09-05 00:00:00,GMT/USDT,0.7078,0.7132,0.6768,0.6915,1254882.9757092,864958.232543428454
1662249600,2022-09-04 00:00:00,GMT/USDT,0.6775,0.714,0.6765,0.7074,1967197.18894783,1368162.477555331886
1662163200,2022-09-03 00:00:00,GMT/USDT,0.6725,0.6806,0.6598,0.6776,962831.15951828,648296.07011446792
1662076800,2022-09-02 00:00:00,GMT/USDT,0.6837,0.7034,0.6645,0.6727,1562763.97389155,1066650.168532671097
1661990400,2022-09-01 00:00:00,GMT/USDT,0.6712,0.6858,0.6554,0.6826,1895692.67334255,1264490.67248888482
1661904000,2022-08-31 00:00:00,GMT/USDT,0.6572,0.6977,0.6572,0.672,2650526.51101586,1804000.596756010373
1661817600,2022-08-30 00:00:00,GMT/USDT,0.6805,0.697,0.6354,0.6566,2449291.97896876,1637066.057895168023
1661731200,2022-08-29 00:00:00,GMT/USDT,0.6461,0.6853,0.6317,0.6809,2246571.30384417,1475613.939580952696
1661644800,2022-08-28 00:00:00,GMT/USDT,0.6854,0.6966,0.6407,0.6462,1384344.80917917,937554.494104822211
1661558400,2022-08-27 00:00:00,GMT/USDT,0.7051,0.7109,0.6715,0.6848,2093715.95618918,1442575.721043434643
1661472000,2022-08-26 00:00:00,GMT/USDT,0.7907,0.7938,0.6962,0.7054,3338682.5900126,2523990.665372050795
1661385600,2022-08-25 00:00:00,GMT/USDT,0.7865,0.8094,0.7766,0.791,1607645.99992624,1276840.97737380121
1661299200,2022-08-24 00:00:00,GMT/USDT,0.7918,0.8171,0.769,0.7867,2050882.21324112,1629235.595509736639
1661212800,2022-08-23 00:00:00,GMT/USDT,0.7827,0.7962,0.7371,0.7906,2265962.3177744,1742411.12693063465
1661126400,2022-08-22 00:00:00,GMT/USDT,0.8043,0.8086,0.7547,0.7836,3420607.36007449,2664699.804465200794
1661040000,2022-08-21 00:00:00,GMT/USDT,0.7983,0.8235,0.7815,0.804,4188545.53371587,3378089.081066432997
1660953600,2022-08-20 00:00:00,GMT/USDT,0.7762,0.8162,0.7674,0.7981,5880523.19942911,4684606.159635150141
1660867200,2022-08-19 00:00:00,GMT/USDT,0.9167,0.9624,0.7381,0.7764,8348830.8492505,6852443.584450438385
1660780800,2022-08-18 00:00:00,GMT/USDT,0.9684,1.0022,0.8958,0.9155,3472983.2587973,3364839.980143223661
1660694400,2022-08-17 00:00:00,GMT/USDT,1.0717,1.1005,0.9593,0.9677,5846810.42937333,6003615.008601240538
1660608000,2022-08-16 00:00:00,GMT/USDT,1.0532,1.1216,1.0292,1.0723,7532935.23630595,8163170.567017276134
1660521600,2022-08-15 00:00:00,GMT/USDT,0.9811,1.1116,0.9713,1.0533,10256014.25750947,10655114.892793358861
1660435200,2022-08-14 00:00:00,GMT/USDT,0.9754,1.0226,0.9597,0.9803,5391343.82916266,5357539.128807758228
1660348800,2022-08-13 00:00:00,GMT/USDT,0.9827,1.0043,0.9665,0.9753,2983066.9558801,2929539.774575553841
1660262400,2022-08-12 00:00:00,GMT/USDT,0.9676,0.9849,0.9415,0.9827,2335668.09611643,2250612.883710305441
1660176000,2022-08-11 00:00:00,GMT/USDT,0.9817,1.0142,0.959,0.9674,4683844.91763184,4628311.35493590368
1660089600,2022-08-10 00:00:00,GMT/USDT,0.9499,0.9878,0.9152,0.9814,6457975.56669189,6164811.816078553721
1660003200,2022-08-09 00:00:00,GMT/USDT,0.9416,1.0582,0.9344,0.9498,8122684.41132135,8097131.07507972301
1659916800,2022-08-08 00:00:00,GMT/USDT,0.9304,0.9813,0.928,0.9432,2799862.89720451,2666887.088030707944
1659830400,2022-08-07 00:00:00,GMT/USDT,0.9245,0.9503,0.9096,0.9303,1668444.74350573,1553366.531547647272
1659744000,2022-08-06 00:00:00,GMT/USDT,0.9377,0.9515,0.9189,0.9246,1879809.70268363,1760993.06760919978
1659657600,2022-08-05 00:00:00,GMT/USDT,0.9072,0.9477,0.9054,0.9381,3013021.357129,2793936.128487863124
1659571200,2022-08-04 00:00:00,GMT/USDT,0.9043,0.9395,0.8926,0.9087,3220989.66000327,2955668.122065889593
1659484800,2022-08-03 00:00:00,GMT/USDT,0.9098,0.9488,0.8823,0.9044,3523870.19903372,3240775.591995508237
1659398400,2022-08-02 00:00:00,GMT/USDT,0.9519,0.97,0.8977,0.9095,3654283.37826089,3382572.398388958361
1659312000,2022-08-01 00:00:00,GMT/USDT,0.9568,1.0003,0.9227,0.9515,3907453.43208835,3763201.601887381581
1659225600,2022-07-31 00:00:00,GMT/USDT,0.9779,1.0223,0.9508,0.9585,4908189.93866445,4876867.235345366666
1659139200,2022-07-30 00:00:00,GMT/USDT,0.9791,1.057,0.9656,0.9779,7882424.71935827,7908116.201042309867
1659052800,2022-07-29 00:00:00,GMT/USDT,1.0115,1.0341,0.9568,0.979,6262839.71476144,6226919.39959638949
1658966400,2022-07-28 00:00:00,GMT/USDT,0.9669,1.047,0.9432,1.011,8458960.05038638,8392286.951567248241
1658880000,2022-07-27 00:00:00,GMT/USDT,0.8992,0.9711,0.876,0.9666,6614012.3176229,6047727.447878951396
1658793600,2022-07-26 00:00:00,GMT/USDT,0.9168,0.9173,0.8451,0.8989,4759469.10444532,4215172.862627639328
1658707200,2022-07-25 00:00:00,GMT/USDT,0.9703,0.9851,0.914,0.9167,5217122.65315633,4972526.025845476304
1658620800,2022-07-24 00:00:00,GMT/USDT,0.9455,1.0008,0.9452,0.9706,3956060.11102394,3863834.17705181548
1658534400,2022-07-23 00:00:00,GMT/USDT,0.9451,0.9661,0.9039,0.9446,4105976.8906316,3860761.345359036483
1658448000,2022-07-22 00:00:00,GMT/USDT,0.9939,1.0368,0.9284,0.9457,5616411.57967503,5575244.319240696522
1658361600,2022-07-21 00:00:00,GMT/USDT,0.9793,1.0088,0.9414,0.994,5329089.23667034,5198473.410949088038
1658275200,2022-07-20 00:00:00,GMT/USDT,1.054,1.0984,0.9643,0.9787,9270761.19655277,9726546.777207836594
1658188800,2022-07-19 00:00:00,GMT/USDT,1.1291,1.1673,1.0246,1.0538,13722017.36013038,14686544.510147325132
1658102400,2022-07-18 00:00:00,GMT/USDT,0.8982,1.1378,0.8963,1.129,17456952.76272736,18241397.031912610324
1658016000,2022-07-17 00:00:00,GMT/USDT,0.9321,0.9452,0.8935,0.898,7507546.26650177,6942169.280081931574
1657929600,2022-07-16 00:00:00,GMT/USDT,0.9188,0.9626,0.8839,0.9328,8901659.23273227,8215594.595248382911
1657843200,2022-07-15 00:00:00,GMT/USDT,0.9414,0.9567,0.913,0.9192,10007218.77685358,9375061.732624585091
1657756800,2022-07-14 00:00:00,GMT/USDT,0.8845,0.95,0.8734,0.9423,12036017.55098831,10908190.711180436609
1657670400,2022-07-13 00:00:00,GMT/USDT,0.8487,0.8887,0.8031,0.8846,13550645.49405402,11558990.324528472703
1657584000,2022-07-12 00:00:00,GMT/USDT,0.8317,0.8758,0.8281,0.8488,8677789.13012418,7384564.015077273941
1657497600,2022-07-11 00:00:00,GMT/USDT,0.9509,0.9513,0.8261,0.8316,9033028.20232392,7931778.25851321509
1657411200,2022-07-10 00:00:00,GMT/USDT,1.001,1.0099,0.9352,0.9506,5337872.40269164,5168398.357249561731
1657324800,2022-07-09 00:00:00,GMT/USDT,1.0035,1.0474,0.9882,1.0009,5644752.38824383,5745244.692680711152
1657238400,2022-07-08 00:00:00,GMT/USDT,1.0134,1.0474,0.9609,1.0047,8923093.06726318,8891046.386224668421
1657152000,2022-07-07 00:00:00,GMT/USDT,0.9645,1.0557,0.9436,1.0131,9490162.03921512,9429884.745952212227
1657065600,2022-07-06 00:00:00,GMT/USDT,0.9023,0.9872,0.8827,0.9645,13011264.36005259,12160049.05222777513
1656979200,2022-07-05 00:00:00,GMT/USDT,0.8897,0.9868,0.872,0.9033,15825028.34524557,14607958.457625930543
1656892800,2022-07-04 00:00:00,GMT/USDT,0.8113,0.8938,0.7915,0.8899,8084225.61218975,6671508.018980547032
1656806400,2022-07-03 00:00:00,GMT/USDT,0.8104,0.842,0.7901,0.8111,7385743.5151257,5996659.219204427
1656720000,2022-07-02 00:00:00,GMT/USDT,0.8288,0.839,0.7711,0.8096,11098611.53461319,8836852.116393903705
1656633600,2022-07-01 00:00:00,GMT/USDT,0.8449,0.8889,0.8036,0.829,13181262.69980577,11095343.828980965171
1656547200,2022-06-30 00:00:00,GMT/USDT,0.884,0.8864,0.7635,0.8445,13221028.10827409,10751409.061680107913
1656460800,2022-06-29 00:00:00,GMT/USDT,0.877,0.9231,0.8509,0.8838,10344815.71167599,9136071.010239961121
1656374400,2022-06-28 00:00:00,GMT/USDT,0.9903,1.0041,0.8713,0.8776,13425291.91525607,12725303.814096212804
1656288000,2022-06-27 00:00:00,GMT/USDT,0.9397,1.0185,0.9208,0.9907,11178831.09794568,10815542.439381059527
1656201600,2022-06-26 00:00:00,GMT/USDT,0.987,1.1113,0.9359,0.942,20161050.4319441,20950345.909924954529
1656115200,2022-06-25 00:00:00,GMT/USDT,0.8348,1.0045,0.8154,0.9868,11570627.78377375,10324725.383181388764
1656028800,2022-06-24 00:00:00,GMT/USDT,0.8158,0.8588,0.8013,0.8348,7682446.65146276,6355652.773350136662
1655942400,2022-06-23 00:00:00,GMT/USDT,0.7309,0.8229,0.7269,0.8159,8322559.24127426,6478820.536669413735
1655856000,2022-06-22 00:00:00,GMT/USDT,0.7669,0.8082,0.7289,0.7306,8991678.86400016,6934340.97991384049
1655769600,2022-06-21 00:00:00,GMT/USDT,0.7592,0.86,0.7438,0.7666,10770503.49906314,8720598.923192193107
1655683200,2022-06-20 00:00:00,GMT/USDT,0.7489,0.8311,0.7074,0.7594,13207627.63920642,10113175.63558766324
1655596800,2022-06-19 00:00:00,GMT/USDT,0.6008,0.7899,0.5851,0.7491,12655908.10916642,8280851.264393041791
1655510400,2022-06-18 00:00:00,GMT/USDT,0.6163,0.6288,0.5503,0.6006,12493932.17545624,7277535.691734806694
1655424000,2022-06-17 00:00:00,GMT/USDT,0.5945,0.6392,0.5854,0.6164,8136265.08883484,4994386.527714517687
1655337600,2022-06-16 00:00:00,GMT/USDT,0.6813,0.6968,0.5842,0.594,13182508.76987321,8341097.831032384939
1655251200,2022-06-15 00:00:00,GMT/USDT,0.635,0.6868,0.565,0.6812,17179386.22801131,10571347.330299040737
1655164800,2022-06-14 00:00:00,GMT/USDT,0.5923,0.7044,0.5625,0.635,14233310.71166553,9067546.884519597462
1655078400,2022-06-13 00:00:00,GMT/USDT,0.6641,0.6758,0.5347,0.5921,19317783.06340486,11440711.262013318036
1654992000,2022-06-12 00:00:00,GMT/USDT,0.799,0.8067,0.6627,0.6643,15000342.21254252,10761748.002597414779
1654905600,2022-06-11 00:00:00,GMT/USDT,0.908,0.9338,0.7725,0.7989,8146700.93796935,6832263.206185375686
1654819200,2022-06-10 00:00:00,GMT/USDT,0.9917,0.9974,0.8823,0.9079,6209680.36504881,5838903.998229255079
1654732800,2022-06-09 00:00:00,GMT/USDT,0.9683,1.0476,0.9517,0.992,6475764.76812632,6461068.770549401542
1654646400,2022-06-08 00:00:00,GMT/USDT,0.9573,1.0647,0.9336,0.9682,9805570.07776068,9771669.030939941198
