https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume GRT,Volume USDT
1663462800,2022-09-18 01:00:00,GRT/USDT,0.10816,0.10818,0.10804,0.10809,450.88380177,48.7652313904432
1663459200,2022-09-18 00:00:00,GRT/USDT,0.10906,0.10906,0.10774,0.10803,136416.50963453,14754.6791815849051
1663455600,2022-09-17 23:00:00,GRT/USDT,0.10847,0.10909,0.10842,0.10885,14675.43563101,1596.6445522772269
1663452000,2022-09-17 22:00:00,GRT/USDT,0.10788,0.1085,0.10788,0.1085,36878.39179481,3991.6005561435066
1663448400,2022-09-17 21:00:00,GRT/USDT,0.10817,0.10817,0.10761,0.10788,60415.69987114,6506.0884135863293
1663444800,2022-09-17 20:00:00,GRT/USDT,0.10783,0.10814,0.10776,0.10814,10364.19862839,1118.1609598373739
1663441200,2022-09-17 19:00:00,GRT/USDT,0.10815,0.10824,0.10756,0.1078,43388.54012323,4684.4922365985323
1663437600,2022-09-17 18:00:00,GRT/USDT,0.10849,0.10857,0.10808,0.1082,14442.93951328,1565.9018814908634
1663434000,2022-09-17 17:00:00,GRT/USDT,0.10879,0.10899,0.10819,0.10836,49201.56000858,5335.780846584083
1663430400,2022-09-17 16:00:00,GRT/USDT,0.10825,0.1089,0.10819,0.10863,112635.45501768,12243.1788966081277
1663426800,2022-09-17 15:00:00,GRT/USDT,0.10827,0.10846,0.10772,0.10818,30788.9274693,3323.7241025082277
1663423200,2022-09-17 14:00:00,GRT/USDT,0.10794,0.10851,0.10794,0.10829,109764.20713482,11890.307706312413
1663419600,2022-09-17 13:00:00,GRT/USDT,0.1074,0.108,0.1074,0.10788,98574.54747646,10622.9076519686638
1663416000,2022-09-17 12:00:00,GRT/USDT,0.10744,0.10752,0.10694,0.10742,32857.56202141,3521.0357750556197
1663412400,2022-09-17 11:00:00,GRT/USDT,0.10735,0.10767,0.10713,0.10753,12132.08897923,1304.1329922139477
1663408800,2022-09-17 10:00:00,GRT/USDT,0.10736,0.10779,0.10702,0.10733,46200.73289308,4971.5517470059974
1663405200,2022-09-17 09:00:00,GRT/USDT,0.10733,0.10739,0.10705,0.10718,7607.38607823,816.0106899388245
1663401600,2022-09-17 08:00:00,GRT/USDT,0.10716,0.10743,0.10702,0.10718,79363.4770876,8509.6533136378256
1663398000,2022-09-17 07:00:00,GRT/USDT,0.10687,0.10715,0.10661,0.10692,67917.01656525,7246.6600267891896
1663394400,2022-09-17 06:00:00,GRT/USDT,0.10671,0.10696,0.10641,0.1068,34840.5584517,3714.7305535346815
1663390800,2022-09-17 05:00:00,GRT/USDT,0.10736,0.10739,0.10644,0.10648,109520.99857084,11699.0397613152833
1663387200,2022-09-17 04:00:00,GRT/USDT,0.10719,0.10784,0.10717,0.10751,35798.70514666,3850.4772722168714
1663383600,2022-09-17 03:00:00,GRT/USDT,0.10724,0.10741,0.10706,0.10715,18304.33422174,1962.9188913081259
1663380000,2022-09-17 02:00:00,GRT/USDT,0.10716,0.10748,0.10701,0.10712,27492.30805036,2948.4605152483521
1663376400,2022-09-17 01:00:00,GRT/USDT,0.10666,0.10743,0.1066,0.1073,86901.04010221,9295.1673181221046
1663372800,2022-09-17 00:00:00,GRT/USDT,0.10568,0.10772,0.10559,0.10667,122633.17054482,13104.572801808564
1663369200,2022-09-16 23:00:00,GRT/USDT,0.10544,0.10585,0.10507,0.10585,180910.00236544,19083.3564980798181
1663365600,2022-09-16 22:00:00,GRT/USDT,0.10577,0.10583,0.10525,0.10525,80545.73668417,8502.7325342942867
1663362000,2022-09-16 21:00:00,GRT/USDT,0.10601,0.10622,0.10555,0.10575,35061.69665429,3719.6156484653146
1663358400,2022-09-16 20:00:00,GRT/USDT,0.10525,0.10606,0.10518,0.1059,61803.04666507,6526.6516632198509
1663354800,2022-09-16 19:00:00,GRT/USDT,0.10499,0.10559,0.1048,0.10537,6594.52315132,694.0748797843407
1663351200,2022-09-16 18:00:00,GRT/USDT,0.10476,0.1055,0.10408,0.10504,70965.46565084,7455.2517447678172
1663347600,2022-09-16 17:00:00,GRT/USDT,0.10534,0.10556,0.1036,0.1048,141629.02980714,14817.2106885968191
1663344000,2022-09-16 16:00:00,GRT/USDT,0.10748,0.10748,0.10438,0.10524,192648.34506391,20280.2724990207015
1663340400,2022-09-16 15:00:00,GRT/USDT,0.10736,0.10817,0.10699,0.10742,42151.98003494,4526.9637384281157
1663336800,2022-09-16 14:00:00,GRT/USDT,0.10617,0.10833,0.10617,0.10741,71822.68717247,7701.7233811219868
1663333200,2022-09-16 13:00:00,GRT/USDT,0.10761,0.10803,0.10562,0.10632,73530.80525611,7863.6193283953858
1663329600,2022-09-16 12:00:00,GRT/USDT,0.109,0.109,0.10727,0.10754,47518.37855982,5114.0189814129697
1663326000,2022-09-16 11:00:00,GRT/USDT,0.10792,0.109,0.10787,0.10891,24889.24122666,2697.6960430636886
1663322400,2022-09-16 10:00:00,GRT/USDT,0.1074,0.10823,0.10694,0.10793,19474.98768743,2096.3496275459627
1663318800,2022-09-16 09:00:00,GRT/USDT,0.10596,0.10756,0.1059,0.10739,47389.34644993,5056.1794757000306
