https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume HAWK,Volume USDT
1663459200,2022-09-18 00:00:00,HAWK/USDT,0.00442,0.00442,0.0044,0.0044,26044.7928,114.601160718
1663455600,2022-09-17 23:00:00,HAWK/USDT,0.00439,0.00443,0.00436,0.00442,110550.1834,485.787568283
1663452000,2022-09-17 22:00:00,HAWK/USDT,0.00437,0.00439,0.00434,0.00439,43189.6224,188.125411767
1663448400,2022-09-17 21:00:00,HAWK/USDT,0.00434,0.0044,0.00428,0.00438,269724.9277,1169.857629855
1663444800,2022-09-17 20:00:00,HAWK/USDT,0.00434,0.00434,0.00434,0.00434,230.046,0.99839964
1663441200,2022-09-17 19:00:00,HAWK/USDT,0.00434,0.00434,0.0043,0.00434,28607.6846,123.967485163
1663437600,2022-09-17 18:00:00,HAWK/USDT,0.00435,0.00435,0.0043,0.00434,111871.2967,484.763200941
1663434000,2022-09-17 17:00:00,HAWK/USDT,0.00437,0.00437,0.00429,0.00435,162792.839,703.162876368
1663430400,2022-09-17 16:00:00,HAWK/USDT,0.00442,0.00442,0.00433,0.00436,299375.2116,1304.69409393
1663426800,2022-09-17 15:00:00,HAWK/USDT,0.00445,0.00445,0.00443,0.00443,69282.2341,307.102731893
1663423200,2022-09-17 14:00:00,HAWK/USDT,0.00447,0.00449,0.00445,0.00446,35275.8362,157.587057068
1663419600,2022-09-17 13:00:00,HAWK/USDT,0.00448,0.0045,0.00447,0.0045,260347.8417,1169.819354482
1663416000,2022-09-17 12:00:00,HAWK/USDT,0.00445,0.00449,0.00445,0.00449,1199.3668,5.381725692
1663412400,2022-09-17 11:00:00,HAWK/USDT,0.00446,0.00452,0.00446,0.00446,547522.9905,2458.156578718
1663408800,2022-09-17 10:00:00,HAWK/USDT,0.00439,0.00446,0.00439,0.00446,170919.3593,757.016401436
1663405200,2022-09-17 09:00:00,HAWK/USDT,0.00438,0.00438,0.00436,0.00438,23660.9317,103.608825776
1663401600,2022-09-17 08:00:00,HAWK/USDT,0.00438,0.00438,0.00432,0.00436,33716.5337,146.736163818
1663398000,2022-09-17 07:00:00,HAWK/USDT,0.00435,0.00437,0.00435,0.00437,70714.7838,308.402041004
1663394400,2022-09-17 06:00:00,HAWK/USDT,0.00433,0.00433,0.00433,0.00433,4453.9851,19.285755483
1663390800,2022-09-17 05:00:00,HAWK/USDT,0.00436,0.00437,0.00436,0.00437,19987.7179,87.148122692
1663387200,2022-09-17 04:00:00,HAWK/USDT,0.00435,0.00435,0.00432,0.00432,32466.8236,140.85842228
1663383600,2022-09-17 03:00:00,HAWK/USDT,0.00434,0.00436,0.00434,0.00434,28460.2861,123.89147345
1663380000,2022-09-17 02:00:00,HAWK/USDT,0.00436,0.00439,0.00434,0.00434,112058.6944,489.223078268
1663376400,2022-09-17 01:00:00,HAWK/USDT,0.00443,0.00443,0.00436,0.00437,145814.8442,642.329610839
1663372800,2022-09-17 00:00:00,HAWK/USDT,0.00443,0.00443,0.00443,0.00443,0,0
1663369200,2022-09-16 23:00:00,HAWK/USDT,0.00443,0.00443,0.00443,0.00443,0,0
1663365600,2022-09-16 22:00:00,HAWK/USDT,0.00443,0.00443,0.00443,0.00443,0,0
1663362000,2022-09-16 21:00:00,HAWK/USDT,0.00443,0.00443,0.00443,0.00443,0,0
1663358400,2022-09-16 20:00:00,HAWK/USDT,0.00443,0.00443,0.00443,0.00443,0,0
1663354800,2022-09-16 19:00:00,HAWK/USDT,0.00443,0.00443,0.00443,0.00443,0,0
1663351200,2022-09-16 18:00:00,HAWK/USDT,0.00443,0.00443,0.00443,0.00443,23.4113,0.103712059
1663347600,2022-09-16 17:00:00,HAWK/USDT,0.00443,0.00443,0.00443,0.00443,0,0
1663344000,2022-09-16 16:00:00,HAWK/USDT,0.00443,0.00443,0.00443,0.00443,2173.2937,9.627691091
1663340400,2022-09-16 15:00:00,HAWK/USDT,0.00444,0.00446,0.00444,0.00446,21769.9279,96.70194575
1663336800,2022-09-16 14:00:00,HAWK/USDT,0.00445,0.00445,0.00442,0.00442,47848.2655,212.922342178
1663333200,2022-09-16 13:00:00,HAWK/USDT,0.00441,0.00441,0.00441,0.00441,0,0
1663329600,2022-09-16 12:00:00,HAWK/USDT,0.00443,0.00445,0.00441,0.00441,73261.508,324.93944364
1663326000,2022-09-16 11:00:00,HAWK/USDT,0.0044,0.00445,0.0044,0.00445,99305.3035,438.910854136
1663322400,2022-09-16 10:00:00,HAWK/USDT,0.00437,0.0044,0.00437,0.0044,47180.3455,207.5871473
1663318800,2022-09-16 09:00:00,HAWK/USDT,0.00438,0.00438,0.00438,0.00438,32000,140.16
1663315200,2022-09-16 08:00:00,HAWK/USDT,0.00438,0.00438,0.00438,0.00438,26.194,0.11472972
1663311600,2022-09-16 07:00:00,HAWK/USDT,0.00439,0.00441,0.00438,0.00441,253411.1737,1114.22380546
1663308000,2022-09-16 06:00:00,HAWK/USDT,0.0044,0.0044,0.00436,0.00436,340259.8457,1484.037217564
1663304400,2022-09-16 05:00:00,HAWK/USDT,0.0044,0.0044,0.0044,0.0044,2272.7272,9.99999968
1663300800,2022-09-16 04:00:00,HAWK/USDT,0.00438,0.00438,0.00438,0.00438,0,0
1663297200,2022-09-16 03:00:00,HAWK/USDT,0.00439,0.00439,0.00438,0.00438,44785.8607,196.172554349
1663293600,2022-09-16 02:00:00,HAWK/USDT,0.0044,0.0044,0.0044,0.0044,0,0
1663290000,2022-09-16 01:00:00,HAWK/USDT,0.0044,0.0044,0.0044,0.0044,18074.5645,79.5280838
1663286400,2022-09-16 00:00:00,HAWK/USDT,0.00439,0.00439,0.00439,0.00439,0,0
1663282800,2022-09-15 23:00:00,HAWK/USDT,0.00439,0.00439,0.00439,0.00439,0,0
1663279200,2022-09-15 22:00:00,HAWK/USDT,0.00439,0.00439,0.00439,0.00439,9680.4494,42.497172866
1663275600,2022-09-15 21:00:00,HAWK/USDT,0.00439,0.00439,0.00439,0.00439,98.664,0.43313496
1663272000,2022-09-15 20:00:00,HAWK/USDT,0.0044,0.00442,0.00439,0.00442,84811.6193,373.750960772
1663268400,2022-09-15 19:00:00,HAWK/USDT,0.0044,0.0044,0.0044,0.0044,18780.0638,82.63228072
1663264800,2022-09-15 18:00:00,HAWK/USDT,0.00439,0.00439,0.00439,0.00439,257.7739,1.131627421
1663261200,2022-09-15 17:00:00,HAWK/USDT,0.00442,0.00443,0.00436,0.00439,425579.0013,1865.60274027
1663257600,2022-09-15 16:00:00,HAWK/USDT,0.00443,0.00443,0.00443,0.00443,0,0
1663254000,2022-09-15 15:00:00,HAWK/USDT,0.00444,0.00444,0.00443,0.00443,30063.2845,133.371619076
1663250400,2022-09-15 14:00:00,HAWK/USDT,0.00442,0.0045,0.00442,0.00442,166081.2778,743.045767229
1663246800,2022-09-15 13:00:00,HAWK/USDT,0.00442,0.00442,0.00442,0.00442,1942.1689,8.584386538
1663243200,2022-09-15 12:00:00,HAWK/USDT,0.00447,0.00447,0.00442,0.00442,29717.265,132.331201133
1663239600,2022-09-15 11:00:00,HAWK/USDT,0.00446,0.00446,0.00443,0.00443,24309.3225,107.692105356
1663236000,2022-09-15 10:00:00,HAWK/USDT,0.00443,0.00447,0.00443,0.00447,111633.5573,496.862114247
1663232400,2022-09-15 09:00:00,HAWK/USDT,0.00445,0.00445,0.0044,0.0044,65335.1007,288.266193251
1663228800,2022-09-15 08:00:00,HAWK/USDT,0.00443,0.00445,0.00441,0.00445,43862.441,194.34828335
1663225200,2022-09-15 07:00:00,HAWK/USDT,0.00444,0.00444,0.00444,0.00444,104.8251,0.465423444
1663221600,2022-09-15 06:00:00,HAWK/USDT,0.00444,0.00444,0.00444,0.00444,114.9013,0.510161772
