https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume HYVE,Volume USDT
1663459200,2022-09-18 00:00:00,HYVE/USDT,0.03768,0.03929,0.03762,0.03766,21384.3309,822.171022375
1663372800,2022-09-17 00:00:00,HYVE/USDT,0.03706,0.04058,0.0363,0.03781,1657536.9653,63297.638422748
1663286400,2022-09-16 00:00:00,HYVE/USDT,0.03791,0.054,0.035,0.03709,6867628.2416,302473.728061095
1663200000,2022-09-15 00:00:00,HYVE/USDT,0.03635,0.041,0.03482,0.0375,2802469.0305,105080.024862482
1663113600,2022-09-14 00:00:00,HYVE/USDT,0.03583,0.04587,0.034,0.03617,4521103.8263,179134.001738393
1663027200,2022-09-13 00:00:00,HYVE/USDT,0.0389,0.03989,0.03503,0.0358,537330.3879,20006.533195238
1662940800,2022-09-12 00:00:00,HYVE/USDT,0.03862,0.0392,0.0373,0.03893,256615.5031,9845.532217959
1662854400,2022-09-11 00:00:00,HYVE/USDT,0.03983,0.04087,0.0376,0.03836,411787.1708,15958.50040444
1662768000,2022-09-10 00:00:00,HYVE/USDT,0.03937,0.04004,0.03747,0.0399,427434.6866,16534.309618446
1662681600,2022-09-09 00:00:00,HYVE/USDT,0.0382,0.04081,0.0376,0.03896,1520473.2926,59137.226681732
1662595200,2022-09-08 00:00:00,HYVE/USDT,0.03996,0.063,0.03736,0.03865,5543217.3401,262810.615050001
1662508800,2022-09-07 00:00:00,HYVE/USDT,0.03849,0.04172,0.0361,0.03996,445831.5933,17251.896993475
1662422400,2022-09-06 00:00:00,HYVE/USDT,0.0414,0.04266,0.0377,0.03849,435818.6306,17598.788209135
1662336000,2022-09-05 00:00:00,HYVE/USDT,0.04415,0.0445,0.04078,0.04112,379516.371,16255.686158777
1662249600,2022-09-04 00:00:00,HYVE/USDT,0.04409,0.04614,0.04167,0.0445,526463.7461,23173.632092095
1662163200,2022-09-03 00:00:00,HYVE/USDT,0.0452,0.04639,0.0429,0.04449,175548.8777,7773.209322494
1662076800,2022-09-02 00:00:00,HYVE/USDT,0.0472,0.0486,0.04327,0.04476,526177.5754,24397.151791739
