https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume IOI,Volume USDT
1663376400,2022-09-17 01:00:00,IOI/USDT,0.1418,0.1418,0.1406,0.1409,5966.1578,840.0702635
1663372800,2022-09-17 00:00:00,IOI/USDT,0.1408,0.1417,0.1406,0.1409,49488.1858,6966.5008072
1663369200,2022-09-16 23:00:00,IOI/USDT,0.1415,0.1415,0.1405,0.1407,20181.1292,2847.39972176
1663365600,2022-09-16 22:00:00,IOI/USDT,0.1435,0.1439,0.14,0.142,38519.3738,5469.59653586
1663362000,2022-09-16 21:00:00,IOI/USDT,0.1436,0.1494,0.1405,0.1435,61464.6689,8900.43620386
1663358400,2022-09-16 20:00:00,IOI/USDT,0.1359,0.1494,0.1355,0.144,76271.5482,10732.83722912
1663354800,2022-09-16 19:00:00,IOI/USDT,0.136,0.1367,0.1355,0.1355,72792.1434,9883.8431865
1663351200,2022-09-16 18:00:00,IOI/USDT,0.1358,0.137,0.1355,0.1359,39032.7424,5302.14952528
1663347600,2022-09-16 17:00:00,IOI/USDT,0.1364,0.1374,0.1337,0.1369,51597.2295,7053.01605689
1663344000,2022-09-16 16:00:00,IOI/USDT,0.1375,0.1386,0.1352,0.1372,45399.0938,6247.02990006
1663340400,2022-09-16 15:00:00,IOI/USDT,0.1383,0.1389,0.1365,0.1365,42316.5761,5853.35939134
1663336800,2022-09-16 14:00:00,IOI/USDT,0.1374,0.1385,0.1374,0.138,39754.9054,5487.76320548
1663333200,2022-09-16 13:00:00,IOI/USDT,0.1376,0.1386,0.1374,0.1379,40653.8244,5603.24047131
1663329600,2022-09-16 12:00:00,IOI/USDT,0.1382,0.1384,0.1374,0.1376,43853.4848,6048.25238292
1663326000,2022-09-16 11:00:00,IOI/USDT,0.138,0.1394,0.1379,0.1382,51967.5522,7197.0524892
1663322400,2022-09-16 10:00:00,IOI/USDT,0.1405,0.1435,0.1382,0.1393,52183.1005,7305.76602419
1663318800,2022-09-16 09:00:00,IOI/USDT,0.1421,0.1437,0.1399,0.1406,33433.0311,4729.31658473
1663315200,2022-09-16 08:00:00,IOI/USDT,0.1432,0.1439,0.1413,0.1425,55410.2588,7909.93853269
