https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume KAI,Volume USDT
1663462800,2022-09-18 01:00:00,KAI/USDT,0.0083002,0.0083002,0.0083002,0.0083002,11168.2118,92.69839158236
1663459200,2022-09-18 00:00:00,KAI/USDT,0.0083663,0.0084501,0.0083002,0.0083002,55717.5054,466.89583260308
1663455600,2022-09-17 23:00:00,KAI/USDT,0.0083454,0.008459,0.0082971,0.0083663,332060.5466,2789.86651228273
1663452000,2022-09-17 22:00:00,KAI/USDT,0.008337,0.0083453,0.0083149,0.008316,182167.0704,1515.31844287103
1663448400,2022-09-17 21:00:00,KAI/USDT,0.0082671,0.0083369,0.008209,0.0083369,203859.0647,1689.97424390588
1663444800,2022-09-17 20:00:00,KAI/USDT,0.008306,0.0083167,0.008206,0.0083166,95667.5734,790.16133525539
1663441200,2022-09-17 19:00:00,KAI/USDT,0.00832,0.0084,0.00826,0.0083167,38910.9965,324.29622310183
1663437600,2022-09-17 18:00:00,KAI/USDT,0.0083862,0.0083985,0.0083,0.0083201,41332.2792,344.04344389762
1663434000,2022-09-17 17:00:00,KAI/USDT,0.0083977,0.0083977,0.008328,0.008328,5846.8871,49.08329455562
1663430400,2022-09-17 16:00:00,KAI/USDT,0.0083368,0.0084,0.008321,0.0083971,61964.7228,519.99862329143
1663426800,2022-09-17 15:00:00,KAI/USDT,0.00833,0.0083912,0.0082571,0.0083299,54947.4978,455.40102440186
1663423200,2022-09-17 14:00:00,KAI/USDT,0.0083663,0.008397,0.0083299,0.0083299,24375.9811,203.9093573263
1663419600,2022-09-17 13:00:00,KAI/USDT,0.0083386,0.0084082,0.008231,0.0083663,85821.9296,716.44269522831
1663416000,2022-09-17 12:00:00,KAI/USDT,0.0082594,0.008355,0.0082233,0.0083369,75749.3028,629.04488282451
1663412400,2022-09-17 11:00:00,KAI/USDT,0.008238,0.0083569,0.008188,0.0082904,143631.2849,1188.03596342914
1663408800,2022-09-17 10:00:00,KAI/USDT,0.0083028,0.008335,0.008184,0.008188,28239.5992,233.31563797819
1663405200,2022-09-17 09:00:00,KAI/USDT,0.0082672,0.0083167,0.008192,0.0082418,633706.7548,5201.47075070034
1663401600,2022-09-17 08:00:00,KAI/USDT,0.008319,0.0083575,0.0082672,0.0082672,117400.8374,979.58701091762
1663398000,2022-09-17 07:00:00,KAI/USDT,0.00828,0.008319,0.00824,0.008319,32101.9634,266.57660357732
1663394400,2022-09-17 06:00:00,KAI/USDT,0.008281,0.0083144,0.00817,0.00828,142650.9862,1177.13200662779
1663390800,2022-09-17 05:00:00,KAI/USDT,0.0083467,0.008351,0.008281,0.008281,32607.2115,271.66995392934
1663387200,2022-09-17 04:00:00,KAI/USDT,0.008257,0.0083529,0.0082544,0.008352,80716.0395,672.78244438697
1663383600,2022-09-17 03:00:00,KAI/USDT,0.0082562,0.008259,0.0082544,0.0082544,20105.3466,166.00015227836
1663380000,2022-09-17 02:00:00,KAI/USDT,0.0083167,0.008353,0.008256,0.008257,43572.4981,361.98947996551
1663376400,2022-09-17 01:00:00,KAI/USDT,0.0083453,0.0083569,0.0082543,0.0082543,100401.5747,830.01856822608
1663372800,2022-09-17 00:00:00,KAI/USDT,0.0082286,0.00835,0.0082286,0.0082904,210880.4316,1744.1864429948
1663369200,2022-09-16 23:00:00,KAI/USDT,0.0081586,0.0082671,0.0081586,0.0082286,76835.5919,630.94324308519
1663365600,2022-09-16 22:00:00,KAI/USDT,0.00828,0.0083002,0.0081185,0.0081585,134740.9662,1100.68156019269
1663362000,2022-09-16 21:00:00,KAI/USDT,0.008096,0.00836,0.0080711,0.00828,1065717.8895,8780.55643433466
1663358400,2022-09-16 20:00:00,KAI/USDT,0.00812,0.00826,0.0080711,0.008112,289386.2399,2356.06851673828
1663354800,2022-09-16 19:00:00,KAI/USDT,0.0081804,0.0082264,0.00811,0.00816,34319.1623,278.69734950496
1663351200,2022-09-16 18:00:00,KAI/USDT,0.00819,0.0082299,0.008103,0.0081228,22364.6082,182.38564343985
1663347600,2022-09-16 17:00:00,KAI/USDT,0.0082,0.0082999,0.0081,0.0081809,409781.7506,3350.62734662791
1663344000,2022-09-16 16:00:00,KAI/USDT,0.008282,0.0082822,0.008126,0.0082175,80368.9884,659.75472011341
1663340400,2022-09-16 15:00:00,KAI/USDT,0.0082354,0.008283,0.0081684,0.008283,91108.4754,752.33853023415
