https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume KAR,Volume USDT
1663459200,2022-09-18 00:00:00,KAR/USDT,0.3609,0.3609,0.3606,0.3606,8.0927,2.91861093
1663372800,2022-09-17 00:00:00,KAR/USDT,0.3599,0.3646,0.3492,0.3605,33651.4993,12035.78630861
1663286400,2022-09-16 00:00:00,KAR/USDT,0.356,0.3609,0.3401,0.3577,45120.5704,15925.85536884
1663200000,2022-09-15 00:00:00,KAR/USDT,0.3754,0.3789,0.351,0.3565,57141.4816,20728.40855389
1663113600,2022-09-14 00:00:00,KAR/USDT,0.3856,0.3961,0.3601,0.3726,113817.2142,42711.45285895
1663027200,2022-09-13 00:00:00,KAR/USDT,0.4047,0.4175,0.3802,0.3857,62196.90756785,24460.31100914365
1662940800,2022-09-12 00:00:00,KAR/USDT,0.4008,0.4299,0.392,0.4055,123739.2961,50009.81243543
1662854400,2022-09-11 00:00:00,KAR/USDT,0.4154,0.4234,0.3971,0.4008,62495.9943,25624.24770837
1662768000,2022-09-10 00:00:00,KAR/USDT,0.4159,0.42,0.4087,0.4153,65137.8035,27036.7029859
1662681600,2022-09-09 00:00:00,KAR/USDT,0.4076,0.4198,0.3965,0.4164,103441.1208,42645.2056067
1662595200,2022-09-08 00:00:00,KAR/USDT,0.4205,0.4255,0.3985,0.4068,89894.382,36308.54403392
1662508800,2022-09-07 00:00:00,KAR/USDT,0.4116,0.4222,0.4062,0.4204,52759.30900154,21787.41425461526
1662422400,2022-09-06 00:00:00,KAR/USDT,0.4411,0.446,0.4111,0.4116,50841.19612198,21792.921367844116
1662336000,2022-09-05 00:00:00,KAR/USDT,0.4413,0.4445,0.432,0.4402,23134.93369413,10150.460320403573
1662249600,2022-09-04 00:00:00,KAR/USDT,0.4403,0.4482,0.4356,0.4414,35294.632,15625.31539129
1662163200,2022-09-03 00:00:00,KAR/USDT,0.4387,0.4554,0.4359,0.4406,33428.137,14773.76606046
1662076800,2022-09-02 00:00:00,KAR/USDT,0.4456,0.4613,0.4342,0.4387,19965.5132,8898.89880718
1661990400,2022-09-01 00:00:00,KAR/USDT,0.4431,0.4498,0.435,0.4483,20625.9998,9114.01776719
1661904000,2022-08-31 00:00:00,KAR/USDT,0.4624,0.4792,0.4328,0.4424,83068.1698,36997.34129078
1661817600,2022-08-30 00:00:00,KAR/USDT,0.4728,0.4814,0.4486,0.4612,29608.5716,13722.93917403
1661731200,2022-08-29 00:00:00,KAR/USDT,0.4534,0.4938,0.4411,0.4725,44283.2875,20447.73812978
1661644800,2022-08-28 00:00:00,KAR/USDT,0.4581,0.4938,0.4503,0.4535,25721.0568,11936.39710632
