https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume KNC,Volume USDT
1663459200,2022-09-18 00:00:00,KNC/USDT,1.905,1.923,1.9,1.923,1597.6911,3053.6369075
1663372800,2022-09-17 00:00:00,KNC/USDT,1.885,1.992,1.88,1.903,47454.9024,91149.6646044
1663286400,2022-09-16 00:00:00,KNC/USDT,2.002,2.051,1.874,1.887,30516.4519,59022.3450333
1663200000,2022-09-15 00:00:00,KNC/USDT,1.929,2.058,1.88,1.995,58237.5706,115649.5134719
1663113600,2022-09-14 00:00:00,KNC/USDT,1.952,2.017,1.873,1.933,44538.2834,85663.2420706
1663027200,2022-09-13 00:00:00,KNC/USDT,1.905,2.003,1.828,1.956,57065.2227,108529.9077437
1662940800,2022-09-12 00:00:00,KNC/USDT,2.001,2.015,1.894,1.912,17579.9276,34411.9140304
1662854400,2022-09-11 00:00:00,KNC/USDT,2.06,2.09,1.958,2.004,47126.304,95335.1042104
1662768000,2022-09-10 00:00:00,KNC/USDT,1.845,2.082,1.84,2.052,66725.5244,130218.979946
1662681600,2022-09-09 00:00:00,KNC/USDT,1.779,1.886,1.776,1.844,53123.5354,98208.3260427
1662595200,2022-09-08 00:00:00,KNC/USDT,1.744,1.801,1.726,1.769,77369.6675,136043.7630389
1662508800,2022-09-07 00:00:00,KNC/USDT,1.681,1.75,1.67,1.749,22306.1443,37962.4904107
1662422400,2022-09-06 00:00:00,KNC/USDT,1.671,1.732,1.65,1.68,38934.5328,65201.0121158
1662336000,2022-09-05 00:00:00,KNC/USDT,1.687,1.695,1.637,1.671,12460.0036,20563.5473971
1662249600,2022-09-04 00:00:00,KNC/USDT,1.703,1.712,1.667,1.688,4159.7054,7021.3443603
1662163200,2022-09-03 00:00:00,KNC/USDT,1.78,1.78,1.698,1.698,8875.6308,15363.6533854
1662076800,2022-09-02 00:00:00,KNC/USDT,1.78,1.934,1.742,1.792,24518.6424,43612.1095498
1661990400,2022-09-01 00:00:00,KNC/USDT,1.729,1.789,1.68,1.782,21455.487,37288.0008418
1661904000,2022-08-31 00:00:00,KNC/USDT,1.73,1.764,1.712,1.728,18002.1402,31229.0339688
1661817600,2022-08-30 00:00:00,KNC/USDT,1.699,1.772,1.653,1.728,33085.7314,56426.1031461
1661731200,2022-08-29 00:00:00,KNC/USDT,1.661,1.713,1.622,1.711,24052.1943,39629.8500391
1661644800,2022-08-28 00:00:00,KNC/USDT,1.782,1.796,1.66,1.662,20461.8097,35093.2721089
1661558400,2022-08-27 00:00:00,KNC/USDT,1.712,1.822,1.685,1.78,25769.9218,45599.9643007
1661472000,2022-08-26 00:00:00,KNC/USDT,1.807,1.807,1.7,1.723,30663.828,53417.0881758
1661385600,2022-08-25 00:00:00,KNC/USDT,1.853,1.88,1.775,1.81,36172.4248,65840.9782011
1661299200,2022-08-24 00:00:00,KNC/USDT,1.913,1.972,1.834,1.848,56154.5827,105686.5462756
1661212800,2022-08-23 00:00:00,KNC/USDT,1.926,1.949,1.823,1.917,51767.5565,96667.5605743
1661126400,2022-08-22 00:00:00,KNC/USDT,1.791,1.933,1.773,1.928,62361.8583,115504.7232084
1661040000,2022-08-21 00:00:00,KNC/USDT,1.79,1.819,1.719,1.791,50067.2739,88926.3228144
1660953600,2022-08-20 00:00:00,KNC/USDT,1.781,1.815,1.711,1.79,79919.8236,140472.3198083
1660867200,2022-08-19 00:00:00,KNC/USDT,1.74,1.851,1.672,1.78,153745.19,271664.6242781
