https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LOKA,Volume USDT
1663459200,2022-09-18 00:00:00,LOKA/USDT,0.5835,0.5835,0.5787,0.5787,741.7189,430.90023623
1663372800,2022-09-17 00:00:00,LOKA/USDT,0.5651,0.6027,0.5651,0.5835,33108.3817,19301.19674987
1663286400,2022-09-16 00:00:00,LOKA/USDT,0.581,0.612,0.5513,0.5624,55068.511,32207.9501276
1663200000,2022-09-15 00:00:00,LOKA/USDT,0.5744,0.6376,0.5613,0.5847,114869.4091,68335.80758558
1663113600,2022-09-14 00:00:00,LOKA/USDT,0.584,0.5861,0.562,0.575,43669.0822,24915.60095028
1663027200,2022-09-13 00:00:00,LOKA/USDT,0.6174,0.6281,0.5759,0.5844,62110.5142,37148.32085326
1662940800,2022-09-12 00:00:00,LOKA/USDT,0.6268,0.6402,0.6046,0.6128,57325.2972,35784.91451113
1662854400,2022-09-11 00:00:00,LOKA/USDT,0.6275,0.6564,0.6136,0.6258,41839.9682,26652.38124512
1662768000,2022-09-10 00:00:00,LOKA/USDT,0.6412,0.6903,0.6184,0.6264,46007.6821,29665.58698452
1662681600,2022-09-09 00:00:00,LOKA/USDT,0.5628,0.7803,0.5625,0.6414,406237.01592723,269596.155966502689
1662595200,2022-09-08 00:00:00,LOKA/USDT,0.5919,0.5919,0.5615,0.5631,70220.5937,40146.45455655
1662508800,2022-09-07 00:00:00,LOKA/USDT,0.5598,0.5932,0.5004,0.5907,186374.943,102859.15239577
1662422400,2022-09-06 00:00:00,LOKA/USDT,0.5826,0.616,0.5475,0.5572,109575.2215,64142.20457999
1662336000,2022-09-05 00:00:00,LOKA/USDT,0.5745,0.6747,0.5652,0.5824,163046.0201,100770.90278087
1662249600,2022-09-04 00:00:00,LOKA/USDT,0.5683,0.5815,0.5515,0.5716,26612.1679,14991.00085831
1662163200,2022-09-03 00:00:00,LOKA/USDT,0.5622,0.5794,0.5533,0.5692,46314.2744,26264.25132378
1662076800,2022-09-02 00:00:00,LOKA/USDT,0.553,0.6383,0.5443,0.5622,144923.2265,86188.39296882
1661990400,2022-09-01 00:00:00,LOKA/USDT,0.5409,0.568,0.5238,0.5526,49441.7337,26861.37576963
1661904000,2022-08-31 00:00:00,LOKA/USDT,0.5744,0.5932,0.5363,0.5408,61181.6007,34230.84850645
1661817600,2022-08-30 00:00:00,LOKA/USDT,0.648,0.7,0.5636,0.5749,204012.5763,125665.08908931
1661731200,2022-08-29 00:00:00,LOKA/USDT,0.4952,0.7446,0.4908,0.648,825027.98749922,539630.89510950197
1661644800,2022-08-28 00:00:00,LOKA/USDT,0.517,0.5299,0.4918,0.4926,30514.3231,15743.90996592
1661558400,2022-08-27 00:00:00,LOKA/USDT,0.5245,0.5284,0.49,0.5181,71976.4564,36549.61660278
