https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LTC,Volume USDT
1663462800,2022-09-18 01:00:00,LTC/USDT,57.079,57.141,57.071,57.141,18.24337343,1041.36939345523
1663459200,2022-09-18 00:00:00,LTC/USDT,57.86,57.866,56.98,57.067,972.61816526,55737.93456691009
1663455600,2022-09-17 23:00:00,LTC/USDT,57.559,57.865,57.412,57.831,1469.0919652,84755.16033068402
1663452000,2022-09-17 22:00:00,LTC/USDT,57.703,57.82,57.413,57.558,1078.19085522,62112.68885887935
1663448400,2022-09-17 21:00:00,LTC/USDT,58.257,58.274,57.668,57.682,1243.54476819,72100.46129106167
1663444800,2022-09-17 20:00:00,LTC/USDT,58.185,58.268,58.068,58.259,716.94001392,41706.10192898705
1663441200,2022-09-17 19:00:00,LTC/USDT,58.169,58.199,57.899,58.157,988.44287691,57370.93556473423
1663437600,2022-09-17 18:00:00,LTC/USDT,58.051,58.428,58.025,58.168,1462.85336163,85174.37231404865
1663434000,2022-09-17 17:00:00,LTC/USDT,57.996,58.192,57.849,58.051,732.06181037,42465.50548175648
1663430400,2022-09-17 16:00:00,LTC/USDT,57.641,57.996,57.641,57.996,1362.85132206,78776.62859437283
1663426800,2022-09-17 15:00:00,LTC/USDT,57.594,57.727,57.296,57.639,1453.65734962,83534.14308097283
1663423200,2022-09-17 14:00:00,LTC/USDT,57.13,57.701,57.129,57.591,2439.7518304,140287.30214548227
1663419600,2022-09-17 13:00:00,LTC/USDT,57.208,57.41,56.891,57.13,1552.909792,88794.31307963929
1663416000,2022-09-17 12:00:00,LTC/USDT,56.744,57.258,56.56,57.224,982.72657249,55899.31721798823
1663412400,2022-09-17 11:00:00,LTC/USDT,56.422,56.928,56.414,56.746,1614.74799035,91607.75038697289
1663408800,2022-09-17 10:00:00,LTC/USDT,56.562,56.647,56.256,56.442,2485.42712962,140230.23980795569
1663405200,2022-09-17 09:00:00,LTC/USDT,56.501,56.72,56.376,56.562,1581.88214156,89412.34378239102
1663401600,2022-09-17 08:00:00,LTC/USDT,56.129,56.564,56.129,56.501,1244.24684145,70074.06160536432
1663398000,2022-09-17 07:00:00,LTC/USDT,56.104,56.245,56.054,56.137,543.04929139,30499.40359270872
1663394400,2022-09-17 06:00:00,LTC/USDT,56.294,56.366,55.966,56.107,477.92443846,26844.75385799403
1663390800,2022-09-17 05:00:00,LTC/USDT,56.361,56.394,56.086,56.283,620.68071144,34882.56569264813
1663387200,2022-09-17 04:00:00,LTC/USDT,56.327,56.481,56.169,56.378,602.62815226,33937.75914139219
1663383600,2022-09-17 03:00:00,LTC/USDT,56.14,56.376,56.112,56.321,447.99113618,25178.69856502445
1663380000,2022-09-17 02:00:00,LTC/USDT,56.541,56.668,56.138,56.173,1744.5022297,98505.23445278446
1663376400,2022-09-17 01:00:00,LTC/USDT,56.154,56.572,56.051,56.566,790.18583579,44435.75438553193
1663372800,2022-09-17 00:00:00,LTC/USDT,55.955,56.482,55.837,56.162,1296.48191381,72800.52416146987
1663369200,2022-09-16 23:00:00,LTC/USDT,55.607,55.956,55.476,55.956,758.50672961,42234.69574088707
1663365600,2022-09-16 22:00:00,LTC/USDT,55.657,55.775,55.52,55.589,887.03012989,49377.45689964167
1663362000,2022-09-16 21:00:00,LTC/USDT,55.959,55.959,55.597,55.642,902.72622945,50400.33284092534
1663358400,2022-09-16 20:00:00,LTC/USDT,55.61,55.972,55.61,55.935,857.10780773,47818.10744077053
1663354800,2022-09-16 19:00:00,LTC/USDT,55.195,55.71,55.174,55.631,2042.87961984,113357.06510742323
1663351200,2022-09-16 18:00:00,LTC/USDT,55.043,55.459,54.777,55.202,1596.61019152,88062.63786032293
1663347600,2022-09-16 17:00:00,LTC/USDT,55.289,55.358,54.589,55.044,6071.70720134,333033.27910287633
1663344000,2022-09-16 16:00:00,LTC/USDT,55.761,55.764,54.764,55.289,3128.10112906,172628.60047974387
1663340400,2022-09-16 15:00:00,LTC/USDT,55.896,55.999,55.477,55.753,2427.26266463,135369.37352413445
1663336800,2022-09-16 14:00:00,LTC/USDT,55.036,56.184,54.959,55.928,2228.44419406,124187.40009167629
1663333200,2022-09-16 13:00:00,LTC/USDT,55.606,55.809,54.84,55.034,1967.83542953,109000.3978480991
1663329600,2022-09-16 12:00:00,LTC/USDT,56.151,56.175,55.55,55.569,2305.62302081,128694.30980739856
1663326000,2022-09-16 11:00:00,LTC/USDT,55.868,56.24,55.769,56.163,905.07283134,50607.48400626166
