https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LTO,Volume USDT
1663462800,2022-09-18 01:00:00,LTO/USDT,0.08348,0.08363,0.08348,0.0835,3532.4982,295.27217752
1663459200,2022-09-18 00:00:00,LTO/USDT,0.08386,0.08388,0.08348,0.08357,65719.19259303,5498.0622057883564
1663455600,2022-09-17 23:00:00,LTO/USDT,0.08399,0.08399,0.08373,0.08386,46580.3172973,3906.0005027344182
1663452000,2022-09-17 22:00:00,LTO/USDT,0.08341,0.08399,0.08341,0.08385,62163.52271435,5203.349514640923
1663448400,2022-09-17 21:00:00,LTO/USDT,0.08364,0.08366,0.08324,0.08341,63284.476,5286.900116733
1663444800,2022-09-17 20:00:00,LTO/USDT,0.08348,0.08368,0.08325,0.08367,56685.878,4732.81431727
1663441200,2022-09-17 19:00:00,LTO/USDT,0.08307,0.08369,0.08295,0.08345,60794.53188606,5073.5554943147838
1663437600,2022-09-17 18:00:00,LTO/USDT,0.08284,0.08311,0.08277,0.08309,68387.48370992,5675.7166726497111
1663434000,2022-09-17 17:00:00,LTO/USDT,0.08304,0.08317,0.08279,0.08284,61777.08252724,5124.7265999752692
1663430400,2022-09-17 16:00:00,LTO/USDT,0.08306,0.08331,0.08281,0.08292,70022.03821312,5814.78207059922
1663426800,2022-09-17 15:00:00,LTO/USDT,0.0831,0.08312,0.0827,0.08302,53608.12570842,4445.03260395881
1663423200,2022-09-17 14:00:00,LTO/USDT,0.0831,0.08331,0.08301,0.08307,46803.95006129,3893.3062081254385
1663419600,2022-09-17 13:00:00,LTO/USDT,0.08241,0.08336,0.08238,0.08321,112489.13736878,9326.8272968738038
1663416000,2022-09-17 12:00:00,LTO/USDT,0.08214,0.08261,0.08211,0.08248,60749.64891277,5006.9444189764189
1663412400,2022-09-17 11:00:00,LTO/USDT,0.08208,0.08234,0.08189,0.08219,57104.2198,4690.217255151
1663408800,2022-09-17 10:00:00,LTO/USDT,0.08228,0.08228,0.08183,0.08206,58661.66484463,4811.8048052042471
1663405200,2022-09-17 09:00:00,LTO/USDT,0.0821,0.08257,0.08201,0.08226,90182.55388723,7413.8132386395811
1663401600,2022-09-17 08:00:00,LTO/USDT,0.08203,0.08222,0.082,0.08214,62966.8036,5172.187803193
1663398000,2022-09-17 07:00:00,LTO/USDT,0.08181,0.08206,0.08175,0.082,59084.18052044,4838.4500847817398
1663394400,2022-09-17 06:00:00,LTO/USDT,0.08218,0.08222,0.0812,0.08172,72929.43553137,5956.4370703641101
1663390800,2022-09-17 05:00:00,LTO/USDT,0.08255,0.08255,0.08192,0.08218,82059.50626075,6752.4058060479125
1663387200,2022-09-17 04:00:00,LTO/USDT,0.08232,0.08276,0.08229,0.08257,56236.74771503,4641.7326164452792
1663383600,2022-09-17 03:00:00,LTO/USDT,0.08243,0.0825,0.08222,0.08234,60408.57922602,4975.2947230786928
1663380000,2022-09-17 02:00:00,LTO/USDT,0.08233,0.08245,0.08231,0.08237,59985.115,4941.555077484
1663376400,2022-09-17 01:00:00,LTO/USDT,0.08218,0.08237,0.082,0.0823,48130.0404,3958.983937525
1663372800,2022-09-17 00:00:00,LTO/USDT,0.08182,0.08248,0.08179,0.08224,48654.28065202,4000.3851620754574
1663369200,2022-09-16 23:00:00,LTO/USDT,0.0821,0.08223,0.08189,0.08192,51886.10617887,4258.2732341264383
1663365600,2022-09-16 22:00:00,LTO/USDT,0.0822,0.08244,0.08201,0.08217,57777.7508,4756.798230377
1663362000,2022-09-16 21:00:00,LTO/USDT,0.08194,0.08262,0.08193,0.08246,71221.84745024,5849.9863246219296
1663358400,2022-09-16 20:00:00,LTO/USDT,0.08153,0.08206,0.08146,0.08193,67597.58261288,5521.0949797704275
1663354800,2022-09-16 19:00:00,LTO/USDT,0.08131,0.0817,0.08125,0.08163,58172.73370341,4736.9477832514231
1663351200,2022-09-16 18:00:00,LTO/USDT,0.08109,0.08141,0.08076,0.08131,56485.45955178,4579.6597263015378
1663347600,2022-09-16 17:00:00,LTO/USDT,0.08198,0.08206,0.0808,0.08116,101158.16840422,8239.0558973107139
