https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MATIC3L,Volume USDT
1663459200,2022-09-18 00:00:00,MATIC3L/USDT,0.00941,0.009411,0.009178,0.009178,897335.3478,8337.1722662595
1663372800,2022-09-17 00:00:00,MATIC3L/USDT,0.008684,0.0095,0.008684,0.0094,14222099.1392,129765.453591715
1663286400,2022-09-16 00:00:00,MATIC3L/USDT,0.009347,0.009724,0.008202,0.008725,25533467.2986,226780.4693128633
1663200000,2022-09-15 00:00:00,MATIC3L/USDT,0.01086,0.01125,0.009277,0.009297,39802280.76720523,404869.66095280446194
1663113600,2022-09-14 00:00:00,MATIC3L/USDT,0.010295,0.011087,0.009784,0.010919,33956081.1355773,356761.7732226687279
1663027200,2022-09-13 00:00:00,MATIC3L/USDT,0.013994,0.014517,0.010229,0.010229,64950015.35452444,795626.45670641288664
1662940800,2022-09-12 00:00:00,MATIC3L/USDT,0.012466,0.014357,0.01165,0.013982,54064138.6881,716839.9323696997
1662854400,2022-09-11 00:00:00,MATIC3L/USDT,0.013124,0.013468,0.011805,0.012489,21642669.3319,272045.5993350729
1662768000,2022-09-10 00:00:00,MATIC3L/USDT,0.012442,0.013319,0.011992,0.013119,30039915.558,375555.6435552773
1662681600,2022-09-09 00:00:00,MATIC3L/USDT,0.010707,0.012772,0.010633,0.01242,48817039.8195,581835.0996601298
1662595200,2022-09-08 00:00:00,MATIC3L/USDT,0.010638,0.010942,0.009667,0.010706,38062354.1463,397361.9307224291
1662508800,2022-09-07 00:00:00,MATIC3L/USDT,0.0098,0.011212,0.009,0.010639,49999271.4165,494525.3717742436
1662422400,2022-09-06 00:00:00,MATIC3L/USDT,0.012565,0.0142,0.009729,0.009729,70362725.49340457,845415.16462076583808
1662336000,2022-09-05 00:00:00,MATIC3L/USDT,0.013121,0.013349,0.011815,0.012552,24708684.6042,306856.6453565642
1662249600,2022-09-04 00:00:00,MATIC3L/USDT,0.012861,0.013228,0.012243,0.013122,29386469.9314761,375046.9836183825843
1662163200,2022-09-03 00:00:00,MATIC3L/USDT,0.01215,0.012906,0.012007,0.012852,18353318.72130167,228058.86885898287193
1662076800,2022-09-02 00:00:00,MATIC3L/USDT,0.012729,0.0139,0.011807,0.012209,53975524.51925938,691611.41980947486973
1661990400,2022-09-01 00:00:00,MATIC3L/USDT,0.010763,0.013202,0.010409,0.012729,63749585.62874272,738960.90962626015712
1661904000,2022-08-31 00:00:00,MATIC3L/USDT,0.01009,0.011153,0.01009,0.01075,25580599.36048237,274102.33472320990748
1661817600,2022-08-30 00:00:00,MATIC3L/USDT,0.010166,0.011083,0.009,0.01009,57389312.69134695,581931.61101756015064
1661731200,2022-08-29 00:00:00,MATIC3L/USDT,0.009,0.01035,0.00832,0.01019,48103485.30219988,454035.96643092692196
1661644800,2022-08-28 00:00:00,MATIC3L/USDT,0.009801,0.010867,0.00887,0.008999,46635098.92866587,471735.62482201592556
1661558400,2022-08-27 00:00:00,MATIC3L/USDT,0.008428,0.010028,0.008226,0.009807,57536466.96813909,538676.17161744820527
1661472000,2022-08-26 00:00:00,MATIC3L/USDT,0.010597,0.011413,0.008003,0.008447,67896402.48439236,666588.90365079406076
1661385600,2022-08-25 00:00:00,MATIC3L/USDT,0.010358,0.011024,0.010074,0.010599,33559288.27997978,353394.32466004768137
1661299200,2022-08-24 00:00:00,MATIC3L/USDT,0.011103,0.011423,0.009949,0.010316,34947964.26510781,373546.16754952613189
1661212800,2022-08-23 00:00:00,MATIC3L/USDT,0.010272,0.011288,0.00963,0.011116,31956188.60235516,336951.95493862931222
1661126400,2022-08-22 00:00:00,MATIC3L/USDT,0.010718,0.01078,0.008719,0.010306,38195019.63269749,367703.74919360576717
1661040000,2022-08-21 00:00:00,MATIC3L/USDT,0.009527,0.01109,0.009225,0.010704,42546478.69129126,434577.66544269100826
1660953600,2022-08-20 00:00:00,MATIC3L/USDT,0.008951,0.0106,0.008528,0.009522,54567355.96888244,523961.04014034895852
1660867200,2022-08-19 00:00:00,MATIC3L/USDT,0.012932,0.013053,0.0087,0.008919,84608325.48135291,865139.76235957039725
1660780800,2022-08-18 00:00:00,MATIC3L/USDT,0.014193,0.015415,0.012934,0.012934,32266903.61463509,468287.12319735563179
1660694400,2022-08-17 00:00:00,MATIC3L/USDT,0.016996,0.018659,0.014066,0.014179,45621745.64810639,736641.53288401783453
1660608000,2022-08-16 00:00:00,MATIC3L/USDT,0.018096,0.018971,0.016633,0.017009,33549590.83895521,594231.57038651502382
1660521600,2022-08-15 00:00:00,MATIC3L/USDT,0.021042,0.023109,0.0175,0.01815,50135011.6444041,978300.16803471580549
1660435200,2022-08-14 00:00:00,MATIC3L/USDT,0.022606,0.024465,0.020329,0.021042,32583933.96845564,727106.80281658711577
1660348800,2022-08-13 00:00:00,MATIC3L/USDT,0.017575,0.023072,0.017368,0.022623,49974250.45514785,1046081.29985344543801
1660262400,2022-08-12 00:00:00,MATIC3L/USDT,0.017001,0.017632,0.01624,0.017571,28386956.99428198,482406.40606987584849
1660176000,2022-08-11 00:00:00,MATIC3L/USDT,0.018094,0.018776,0.016775,0.017043,35730549.70434119,639346.08357670932642
1660089600,2022-08-10 00:00:00,MATIC3L/USDT,0.015582,0.018159,0.014806,0.018019,44937809.97256764,761752.67478212194022
1660003200,2022-08-09 00:00:00,MATIC3L/USDT,0.017399,0.017893,0.014951,0.015626,32996640.69939277,537143.68769189454708
1659916800,2022-08-08 00:00:00,MATIC3L/USDT,0.016646,0.019157,0.01657,0.017444,43395227.80843214,775153.4071743622683
1659830400,2022-08-07 00:00:00,MATIC3L/USDT,0.016697,0.01765,0.015967,0.016626,27255955.89679269,460472.10909674353509
1659744000,2022-08-06 00:00:00,MATIC3L/USDT,0.01778,0.018508,0.016447,0.016747,29312816.07935682,515400.81015157069199
1659657600,2022-08-05 00:00:00,MATIC3L/USDT,0.01615,0.0184,0.01596,0.017839,48816023.92490326,841721.3618032888523
1659571200,2022-08-04 00:00:00,MATIC3L/USDT,0.01602,0.017248,0.015506,0.016087,48648387.94483234,792388.19631696688584
1659484800,2022-08-03 00:00:00,MATIC3L/USDT,0.015247,0.017975,0.01435,0.016019,74562147.16477997,1228501.85314603547381
1659398400,2022-08-02 00:00:00,MATIC3L/USDT,0.016336,0.017064,0.013818,0.015341,105098967.55264959,1612517.83589070391386
1659312000,2022-08-01 00:00:00,MATIC3L/USDT,0.018618,0.019455,0.01567,0.016305,118940668.09732191,2073020.01523106314287
1659225600,2022-07-31 00:00:00,MATIC3L/USDT,0.018622,0.023662,0.017318,0.018626,130644493.13756046,2640082.78281291618232
1659139200,2022-07-30 00:00:00,MATIC3L/USDT,0.019719,0.021848,0.017777,0.018613,119245185.35864994,2339987.46315092976507
1659052800,2022-07-29 00:00:00,MATIC3L/USDT,0.018944,0.022631,0.017235,0.019758,157307360.25981444,3126687.99550229918304
1658966400,2022-07-28 00:00:00,MATIC3L/USDT,0.017039,0.021356,0.014701,0.018895,179922833.84297969,3179657.71869277304578
1658880000,2022-07-27 00:00:00,MATIC3L/USDT,0.011922,0.017098,0.010904,0.017035,193442091.57875709,2646101.67918522008891
1658793600,2022-07-26 00:00:00,MATIC3L/USDT,0.01155,0.01199,0.00905,0.011889,143311774.43930799,1531735.90730006986563
1658707200,2022-07-25 00:00:00,MATIC3L/USDT,0.017664,0.018035,0.011548,0.01155,141026221.16722079,2048609.04675404203094
1658620800,2022-07-24 00:00:00,MATIC3L/USDT,0.017189,0.019424,0.015493,0.017589,110852565.82310015,1932535.7607089892123
1658534400,2022-07-23 00:00:00,MATIC3L/USDT,0.015923,0.018064,0.014066,0.017175,96455815.3237767,1542728.21029060449116
1658448000,2022-07-22 00:00:00,MATIC3L/USDT,0.019514,0.021128,0.015558,0.015914,111703116.66975417,2026492.81903763691817
1658361600,2022-07-21 00:00:00,MATIC3L/USDT,0.015365,0.020868,0.013908,0.019539,129782166.70934954,2276404.38295541251477
1658275200,2022-07-20 00:00:00,MATIC3L/USDT,0.021944,0.023964,0.014,0.01548,130887475.0667706,2495329.32044996002181
1658188800,2022-07-19 00:00:00,MATIC3L/USDT,0.024645,0.025799,0.018773,0.021914,132500450.79938962,2886863.66930575788131
1658102400,2022-07-18 00:00:00,MATIC3L/USDT,0.013353,0.02594,0.013025,0.024542,197096791.52668282,4107058.79669078320454
1658016000,2022-07-17 00:00:00,MATIC3L/USDT,0.012375,0.015196,0.01172,0.013316,144333613.9848575,1982744.61583561795333
1657929600,2022-07-16 00:00:00,MATIC3L/USDT,0.01106,0.013,0.010016,0.012338,134614424.47927776,1546302.22828215755743
1657843200,2022-07-15 00:00:00,MATIC3L/USDT,0.011379,0.013186,0.009732,0.011093,123868712.74815432,1368763.48280730211041
1657756800,2022-07-14 00:00:00,MATIC3L/USDT,0.008444,0.012395,0.007497,0.011347,183915606.62012217,1698400.43012887039762
1657670400,2022-07-13 00:00:00,MATIC3L/USDT,0.005329,0.008726,0.005073,0.00843,206731825.03986357,1277991.11240913808617
1657584000,2022-07-12 00:00:00,MATIC3L/USDT,0.006175,0.007177,0.005292,0.005354,176904046.28450105,1138650.05242452549831
1657497600,2022-07-11 00:00:00,MATIC3L/USDT,0.006458,0.007343,0.005389,0.006176,154123748.8837295,967067.06189044629701
1657411200,2022-07-10 00:00:00,MATIC3L/USDT,0.007085,0.007101,0.005813,0.006454,110349532.60051467,717380.98654582777955
1657324800,2022-07-09 00:00:00,MATIC3L/USDT,0.007784,0.007917,0.006841,0.007063,112867428.05229837,822403.96498903881183
1657238400,2022-07-08 00:00:00,MATIC3L/USDT,0.006323,0.008262,0.006087,0.007778,150630957.02275575,1069215.03043573647603
1657152000,2022-07-07 00:00:00,MATIC3L/USDT,0.005276,0.006654,0.00481,0.006288,142053529.88903168,810856.5620375124089
1657065600,2022-07-06 00:00:00,MATIC3L/USDT,0.004884,0.005399,0.004323,0.005273,157513039.05794098,775662.77025946730707
1656979200,2022-07-05 00:00:00,MATIC3L/USDT,0.004333,0.005454,0.004187,0.004886,214224028.84909904,1036380.50198839473143
1656892800,2022-07-04 00:00:00,MATIC3L/USDT,0.003629,0.004391,0.003373,0.00429,147726672.85291373,562364.487304643061
1656806400,2022-07-03 00:00:00,MATIC3L/USDT,0.004435,0.00446,0.003362,0.003629,157429678.03982194,590487.74634765950604
1656720000,2022-07-02 00:00:00,MATIC3L/USDT,0.003705,0.004524,0.003366,0.004435,107272908.60771439,416575.28926576821544
1656633600,2022-07-01 00:00:00,MATIC3L/USDT,0.004174,0.004556,0.003392,0.003704,186918255.14587529,738702.92643381569856
1656547200,2022-06-30 00:00:00,MATIC3L/USDT,0.005173,0.005186,0.002761,0.004193,226573799.73915245,799457.55219043700208
1656460800,2022-06-29 00:00:00,MATIC3L/USDT,0.005656,0.006765,0.004736,0.005151,109890204.26879357,618759.80441285172665
1656374400,2022-06-28 00:00:00,MATIC3L/USDT,0.00634,0.007919,0.0055,0.005612,89766412.27351397,574805.4355654332109
1656288000,2022-06-27 00:00:00,MATIC3L/USDT,0.007376,0.009036,0.005918,0.006293,64781677.30000156,461898.87280443438261
1656201600,2022-06-26 00:00:00,MATIC3L/USDT,0.009299,0.010463,0.007374,0.007419,50370208.12433405,448401.63199210983831
1656115200,2022-06-25 00:00:00,MATIC3L/USDT,0.009624,0.010483,0.007644,0.00928,56425507.82713039,513660.43456100568413
1656028800,2022-06-24 00:00:00,MATIC3L/USDT,0.00766,0.01056,0.00766,0.009573,104704935.94831571,960943.44869459997609
1655942400,2022-06-23 00:00:00,MATIC3L/USDT,0.004563,0.0082,0.004544,0.00762,150388122.05418588,905841.15041815366897
