https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MLN,Volume USDT
1663459200,2022-09-18 00:00:00,MLN/USDT,22.516,22.516,22.32,22.32,5.4239,121.7018317
1663455600,2022-09-17 23:00:00,MLN/USDT,22.477,22.477,22.477,22.477,0,0
1663452000,2022-09-17 22:00:00,MLN/USDT,22.477,22.477,22.477,22.477,0,0
1663448400,2022-09-17 21:00:00,MLN/USDT,22.44,22.56,22.44,22.477,53.0574,1192.9522323
1663444800,2022-09-17 20:00:00,MLN/USDT,22.374,22.374,22.374,22.374,0,0
1663441200,2022-09-17 19:00:00,MLN/USDT,22.44,22.44,22.374,22.374,3.6132,80.9157703
1663437600,2022-09-17 18:00:00,MLN/USDT,22.451,22.451,22.451,22.451,0,0
1663434000,2022-09-17 17:00:00,MLN/USDT,22.613,22.613,22.451,22.451,4.3957,99.0339804
1663430400,2022-09-17 16:00:00,MLN/USDT,22.744,22.758,22.56,22.56,14.169,320.3881007
1663426800,2022-09-17 15:00:00,MLN/USDT,22.56,22.704,22.56,22.704,4.4053,99.8422179
1663423200,2022-09-17 14:00:00,MLN/USDT,22.502,22.526,22.502,22.526,0.9511,21.4202056
1663419600,2022-09-17 13:00:00,MLN/USDT,22.502,22.502,22.502,22.502,0.011,0.247522
1663416000,2022-09-17 12:00:00,MLN/USDT,22.44,22.475,22.421,22.475,12.9821,291.555324
1663412400,2022-09-17 11:00:00,MLN/USDT,22.417,22.417,22.417,22.417,0.2143,4.8039631
1663408800,2022-09-17 10:00:00,MLN/USDT,22.308,22.359,22.231,22.231,15.082,335.899269
1663405200,2022-09-17 09:00:00,MLN/USDT,22.199,22.252,22.173,22.186,4.8925,108.5285741
1663401600,2022-09-17 08:00:00,MLN/USDT,22.199,22.308,22.199,22.308,16.2003,360.175531
1663398000,2022-09-17 07:00:00,MLN/USDT,22.195,22.202,22.195,22.202,2.6363,58.5140666
1663394400,2022-09-17 06:00:00,MLN/USDT,22.2,22.219,22.172,22.184,30.1689,669.5850348
1663390800,2022-09-17 05:00:00,MLN/USDT,22.308,22.308,22.211,22.211,0.5557,12.3648258
1663387200,2022-09-17 04:00:00,MLN/USDT,22.417,22.417,22.32,22.32,1.9022,42.5054173
1663383600,2022-09-17 03:00:00,MLN/USDT,22.447,22.447,22.447,22.447,0,0
1663380000,2022-09-17 02:00:00,MLN/USDT,22.447,22.447,22.447,22.447,0.0603,1.3535541
1663376400,2022-09-17 01:00:00,MLN/USDT,22.527,22.527,22.527,22.527,0,0
1663372800,2022-09-17 00:00:00,MLN/USDT,22.44,22.527,22.44,22.527,2.5188,56.7233459
1663369200,2022-09-16 23:00:00,MLN/USDT,22.438,22.44,22.438,22.44,2.5296,56.7608494
1663365600,2022-09-16 22:00:00,MLN/USDT,22.413,22.42,22.392,22.42,9.1659,205.3749919
1663362000,2022-09-16 21:00:00,MLN/USDT,22.284,22.284,22.284,22.284,0,0
1663358400,2022-09-16 20:00:00,MLN/USDT,22.376,22.378,22.282,22.284,2.3481,52.3985974
1663354800,2022-09-16 19:00:00,MLN/USDT,22.393,22.393,22.271,22.271,155.1026,3463.765414
1663351200,2022-09-16 18:00:00,MLN/USDT,22.243,22.41,22.243,22.363,3.2437,72.454331
1663347600,2022-09-16 17:00:00,MLN/USDT,22.297,22.297,22.264,22.264,0.046,1.025464
1663344000,2022-09-16 16:00:00,MLN/USDT,22.308,22.308,22.208,22.233,8.975,199.800194
1663340400,2022-09-16 15:00:00,MLN/USDT,22.395,22.395,22.308,22.308,0.4564,10.2125085
1663336800,2022-09-16 14:00:00,MLN/USDT,22.308,22.417,22.308,22.375,2.2286,49.7942592
1663333200,2022-09-16 13:00:00,MLN/USDT,22.237,22.245,22.175,22.175,41.5985,925.0995894
1663329600,2022-09-16 12:00:00,MLN/USDT,22.209,22.209,22.209,22.209,0.1422,3.1581198
1663326000,2022-09-16 11:00:00,MLN/USDT,22.192,22.23,22.192,22.23,2.2518,50.0269982
1663322400,2022-09-16 10:00:00,MLN/USDT,22.197,22.28,22.197,22.28,6.9347,153.9356083
1663318800,2022-09-16 09:00:00,MLN/USDT,22.035,22.035,22.035,22.035,0,0
1663315200,2022-09-16 08:00:00,MLN/USDT,22.201,22.201,22.035,22.035,3.9022,86.372958
1663311600,2022-09-16 07:00:00,MLN/USDT,22.2,22.244,22.193,22.23,1.1673,25.9483894
1663308000,2022-09-16 06:00:00,MLN/USDT,22.187,22.2,22.182,22.2,4.4272,98.2360362
1663304400,2022-09-16 05:00:00,MLN/USDT,22.197,22.197,22.197,22.197,0.0181,0.4017657
1663300800,2022-09-16 04:00:00,MLN/USDT,22.197,22.197,22.197,22.197,0.016,0.355152
1663297200,2022-09-16 03:00:00,MLN/USDT,22.068,22.068,22.068,22.068,0,0
1663293600,2022-09-16 02:00:00,MLN/USDT,22.062,22.068,22.062,22.068,0.7651,16.8831162
1663290000,2022-09-16 01:00:00,MLN/USDT,22.09,22.09,22.09,22.09,0.2143,4.733887
1663286400,2022-09-16 00:00:00,MLN/USDT,21.863,22.08,21.863,22.08,11.6045,255.3700696
1663282800,2022-09-15 23:00:00,MLN/USDT,21.84,21.84,21.84,21.84,0.9821,21.449064
1663279200,2022-09-15 22:00:00,MLN/USDT,21.881,21.892,21.872,21.872,33.5965,735.4632236
1663275600,2022-09-15 21:00:00,MLN/USDT,21.898,21.898,21.898,21.898,0,0
1663272000,2022-09-15 20:00:00,MLN/USDT,22.007,22.007,21.898,21.898,0.0751,1.6520608
1663268400,2022-09-15 19:00:00,MLN/USDT,21.895,21.896,21.895,21.896,1.171,25.6400984
1663264800,2022-09-15 18:00:00,MLN/USDT,21.96,21.989,21.892,21.976,1.4934,32.7949956
1663261200,2022-09-15 17:00:00,MLN/USDT,21.84,21.873,21.84,21.873,1.9022,41.574197
1663257600,2022-09-15 16:00:00,MLN/USDT,21.812,21.812,21.775,21.775,1.1853,25.8167636
1663254000,2022-09-15 15:00:00,MLN/USDT,21.737,21.831,21.654,21.831,9.3212,202.0600059
1663250400,2022-09-15 14:00:00,MLN/USDT,22.09,22.09,21.763,21.763,14.4107,314.2625334
1663246800,2022-09-15 13:00:00,MLN/USDT,22.08,22.081,22.08,22.081,2.5444,56.1819143
1663243200,2022-09-15 12:00:00,MLN/USDT,22.004,22.004,22.004,22.004,0.062,1.364248
1663239600,2022-09-15 11:00:00,MLN/USDT,22.047,22.047,22.047,22.047,0,0
1663236000,2022-09-15 10:00:00,MLN/USDT,21.963,22.047,21.963,22.047,5.287,116.2937682
1663232400,2022-09-15 09:00:00,MLN/USDT,21.927,21.927,21.927,21.927,1.8769,41.1547863
1663228800,2022-09-15 08:00:00,MLN/USDT,22.09,22.09,21.96,21.96,3.141,69.1807359
1663225200,2022-09-15 07:00:00,MLN/USDT,22.08,22.244,22.08,22.11,3.3447,74.0912181
1663221600,2022-09-15 06:00:00,MLN/USDT,22.035,22.035,21.873,21.873,5.8476,128.5926297
1663218000,2022-09-15 05:00:00,MLN/USDT,21.991,21.991,21.991,21.991,2.4248,53.3237768
1663214400,2022-09-15 04:00:00,MLN/USDT,21.981,21.981,21.981,21.981,0,0
1663210800,2022-09-15 03:00:00,MLN/USDT,21.981,21.981,21.863,21.981,11.2041,245.4554613
1663207200,2022-09-15 02:00:00,MLN/USDT,22.13,22.13,21.995,21.995,1.4838,32.680527
1663203600,2022-09-15 01:00:00,MLN/USDT,22.09,22.09,22.08,22.08,1.1963,26.416447
1663200000,2022-09-15 00:00:00,MLN/USDT,22.244,22.244,22.244,22.244,0.0067,0.1490348
1663196400,2022-09-14 23:00:00,MLN/USDT,22.197,22.243,22.197,22.243,7.6514,170.1059639
1663192800,2022-09-14 22:00:00,MLN/USDT,22.08,22.192,22.057,22.192,1.3685,30.2259507
1663189200,2022-09-14 21:00:00,MLN/USDT,22.001,22.001,21.893,21.991,0.701,15.407829
1663185600,2022-09-14 20:00:00,MLN/USDT,21.981,22.059,21.981,22.059,12.5483,276.7652933
1663182000,2022-09-14 19:00:00,MLN/USDT,21.931,21.96,21.931,21.96,6.7778,148.7012794
1663178400,2022-09-14 18:00:00,MLN/USDT,22.09,22.09,21.72,21.872,12.6264,276.0354046
1663174800,2022-09-14 17:00:00,MLN/USDT,21.992,22.32,21.992,22.186,50.6752,1122.2022898
