https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MTL,Volume BTC
1663459200,2022-09-18 00:00:00,MTL/BTC,0.00005884,0.00005888,0.00005876,0.00005876,2.0336,0.000119668372
1663455600,2022-09-17 23:00:00,MTL/BTC,0.00005857,0.00005862,0.00005857,0.00005862,0.6133,0.000035930416
1663452000,2022-09-17 22:00:00,MTL/BTC,0.00005843,0.00005862,0.00005843,0.00005862,8.1901,0.000479258687
1663448400,2022-09-17 21:00:00,MTL/BTC,0.00005876,0.00005876,0.00005876,0.00005876,3.735,0.0002194686
1663444800,2022-09-17 20:00:00,MTL/BTC,0.00005868,0.00005868,0.00005845,0.00005845,1.6844,0.000098657696
1663441200,2022-09-17 19:00:00,MTL/BTC,0.00005869,0.00005873,0.00005869,0.00005873,4.1198,0.000241852342
1663437600,2022-09-17 18:00:00,MTL/BTC,0.00005859,0.00005864,0.00005859,0.00005864,0.4227,0.000024780948
1663434000,2022-09-17 17:00:00,MTL/BTC,0.00005845,0.00005846,0.00005845,0.00005846,0.6934,0.000040533599
1663430400,2022-09-17 16:00:00,MTL/BTC,0.00005829,0.00005845,0.00005823,0.00005845,3.1464,0.00018346584
1663426800,2022-09-17 15:00:00,MTL/BTC,0.00005859,0.00005859,0.00005845,0.00005845,1.868,0.000109431616
1663423200,2022-09-17 14:00:00,MTL/BTC,0.00005877,0.00005883,0.00005877,0.00005883,2.2053,0.000129612141
1663419600,2022-09-17 13:00:00,MTL/BTC,0.00005849,0.00005849,0.00005838,0.00005838,2.0841,0.000121768901
1663416000,2022-09-17 12:00:00,MTL/BTC,0.00005869,0.00005881,0.00005869,0.00005881,2.7248,0.000159934952
1663412400,2022-09-17 11:00:00,MTL/BTC,0.00005844,0.00005844,0.00005844,0.00005844,0.222,0.00001297368
1663408800,2022-09-17 10:00:00,MTL/BTC,0.00005825,0.00005825,0.00005825,0.00005825,0.9172,0.0000534269
1663405200,2022-09-17 09:00:00,MTL/BTC,0.00005843,0.00005843,0.00005843,0.00005843,1.3353,0.000078021579
1663401600,2022-09-17 08:00:00,MTL/BTC,0.00005827,0.00005867,0.00005827,0.00005832,9.0845,0.000530610535
1663398000,2022-09-17 07:00:00,MTL/BTC,0.00005859,0.00005859,0.00005829,0.00005838,12.1902,0.000711937482
1663394400,2022-09-17 06:00:00,MTL/BTC,0.00005897,0.00005902,0.0000586,0.00005864,3.85,0.000227113858
1663390800,2022-09-17 05:00:00,MTL/BTC,0.0000586,0.00005883,0.0000586,0.00005883,6.9442,0.00040695818
1663387200,2022-09-17 04:00:00,MTL/BTC,0.00005871,0.00005892,0.00005871,0.00005892,7.9606,0.000468992373
1663383600,2022-09-17 03:00:00,MTL/BTC,0.00005859,0.00005872,0.00005859,0.00005872,1.087,0.000063715189
1663380000,2022-09-17 02:00:00,MTL/BTC,0.00005907,0.00005907,0.00005897,0.00005897,1.8447,0.000108855459
1663376400,2022-09-17 01:00:00,MTL/BTC,0.00005862,0.00005862,0.00005862,0.00005862,0.8931,0.000052353522
1663372800,2022-09-17 00:00:00,MTL/BTC,0.00005898,0.00005898,0.0000586,0.0000586,7.3814,0.000433584253
1663369200,2022-09-16 23:00:00,MTL/BTC,0.00005919,0.00005919,0.00005908,0.00005908,5.1468,0.000304072955
1663365600,2022-09-16 22:00:00,MTL/BTC,0.00005919,0.00005919,0.00005919,0.00005919,0,0
1663362000,2022-09-16 21:00:00,MTL/BTC,0.00005923,0.00005923,0.00005919,0.00005919,2.6698,0.000158030322
1663358400,2022-09-16 20:00:00,MTL/BTC,0.00005926,0.00005926,0.00005924,0.00005924,1.2038,0.000071324962
1663354800,2022-09-16 19:00:00,MTL/BTC,0.00005956,0.00005956,0.00005956,0.00005956,0.2,0.000011912
1663351200,2022-09-16 18:00:00,MTL/BTC,0.0000596,0.00005979,0.0000594,0.0000594,11.0052,0.000656133159
1663347600,2022-09-16 17:00:00,MTL/BTC,0.00005919,0.00005959,0.00005919,0.00005954,11.1139,0.00066081618
1663344000,2022-09-16 16:00:00,MTL/BTC,0.00005923,0.00005923,0.00005878,0.00005881,5.6255,0.000331437224
1663340400,2022-09-16 15:00:00,MTL/BTC,0.0000593,0.0000597,0.0000593,0.0000597,5.0543,0.000301585353
1663336800,2022-09-16 14:00:00,MTL/BTC,0.00005938,0.00005959,0.00005919,0.00005959,5.285,0.000313103872
1663333200,2022-09-16 13:00:00,MTL/BTC,0.00005979,0.0000599,0.00005929,0.00005938,14.3894,0.000857733157
1663329600,2022-09-16 12:00:00,MTL/BTC,0.00005898,0.00005979,0.00005873,0.00005964,15.4572,0.000916642631
1663326000,2022-09-16 11:00:00,MTL/BTC,0.00005734,0.00006088,0.00005734,0.00005908,5022.9153,0.296170771846
1663322400,2022-09-16 10:00:00,MTL/BTC,0.00005713,0.00005713,0.00005713,0.00005713,0.2401,0.000013716913
1663318800,2022-09-16 09:00:00,MTL/BTC,0.0000571,0.00005712,0.0000571,0.00005712,0.4469,0.000025524928
1663315200,2022-09-16 08:00:00,MTL/BTC,0.00005723,0.00005723,0.00005684,0.00005684,7.1011,0.000404875421
1663311600,2022-09-16 07:00:00,MTL/BTC,0.00005733,0.00005733,0.00005733,0.00005733,2.2086,0.000126619038
1663308000,2022-09-16 06:00:00,MTL/BTC,0.00005732,0.00005744,0.00005732,0.00005744,2.6508,0.000152192076
1663304400,2022-09-16 05:00:00,MTL/BTC,0.00005761,0.00005767,0.00005727,0.00005732,132.2665,0.00759136415
1663300800,2022-09-16 04:00:00,MTL/BTC,0.00005723,0.00005758,0.00005723,0.00005741,78.2635,0.004501526161
1663297200,2022-09-16 03:00:00,MTL/BTC,0.00005715,0.00005723,0.00005715,0.00005723,4.0947,0.000234153889
1663293600,2022-09-16 02:00:00,MTL/BTC,0.00005673,0.00005723,0.00005673,0.00005723,2.995,0.000170944061
1663290000,2022-09-16 01:00:00,MTL/BTC,0.00005706,0.00005706,0.00005706,0.00005706,0.4673,0.000026664138
1663286400,2022-09-16 00:00:00,MTL/BTC,0.00005684,0.00005691,0.00005673,0.00005691,4.033,0.00022916182
1663282800,2022-09-15 23:00:00,MTL/BTC,0.00005692,0.00005692,0.00005692,0.00005692,0,0
1663279200,2022-09-15 22:00:00,MTL/BTC,0.00005692,0.00005692,0.00005692,0.00005692,0.1325,0.0000075419
1663275600,2022-09-15 21:00:00,MTL/BTC,0.00005691,0.00005691,0.00005691,0.00005691,0.2731,0.000015542121
1663272000,2022-09-15 20:00:00,MTL/BTC,0.00005699,0.00005699,0.00005689,0.0000569,0.5832,0.000033194447
1663268400,2022-09-15 19:00:00,MTL/BTC,0.00005713,0.00005713,0.00005706,0.00005706,0.8127,0.000046422551
1663264800,2022-09-15 18:00:00,MTL/BTC,0.00005701,0.00005701,0.00005701,0.00005701,2.8337,0.000161549237
1663261200,2022-09-15 17:00:00,MTL/BTC,0.00005678,0.00005738,0.00005675,0.00005738,12.1729,0.000692270796
1663257600,2022-09-15 16:00:00,MTL/BTC,0.0000571,0.00005712,0.00005701,0.00005701,1.8756,0.000107094523
1663254000,2022-09-15 15:00:00,MTL/BTC,0.00005674,0.00005676,0.00005674,0.00005674,0.877,0.000049764272
1663250400,2022-09-15 14:00:00,MTL/BTC,0.00005673,0.00005694,0.00005647,0.00005694,227.4401,0.01284759531
1663246800,2022-09-15 13:00:00,MTL/BTC,0.000057,0.000057,0.000057,0.000057,1.5777,0.0000899289
1663243200,2022-09-15 12:00:00,MTL/BTC,0.00005694,0.00005694,0.00005691,0.00005691,3.1194,0.000177605076
1663239600,2022-09-15 11:00:00,MTL/BTC,0.0000566,0.00005667,0.0000566,0.00005667,2.6411,0.000149519671
1663236000,2022-09-15 10:00:00,MTL/BTC,0.00005685,0.00005685,0.00005655,0.00005655,7.0651,0.000400668758
1663232400,2022-09-15 09:00:00,MTL/BTC,0.0000573,0.0000573,0.00005684,0.00005684,9.1066,0.000520155327
