https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MV,Volume USDT
1663459200,2022-09-18 00:00:00,MV/USDT,0.21581,0.21667,0.2155,0.2155,1446.7545,311.984711118
1663372800,2022-09-17 00:00:00,MV/USDT,0.22,0.22163,0.21556,0.21583,742187.6762,162478.143482188
1663286400,2022-09-16 00:00:00,MV/USDT,0.2137,0.22198,0.2137,0.21994,1255590.8658,273528.591339984
1663200000,2022-09-15 00:00:00,MV/USDT,0.214,0.21528,0.21295,0.21378,1213853.0257,260012.220702896
1663113600,2022-09-14 00:00:00,MV/USDT,0.2167,0.21682,0.21349,0.21386,1153420.7174,249008.768165955
1663027200,2022-09-13 00:00:00,MV/USDT,0.22229,0.22668,0.2167,0.2167,1506495.7499,335315.69948091
1662940800,2022-09-12 00:00:00,MV/USDT,0.23035,0.2315,0.21796,0.22229,1463869.2789,332049.275931471
1662854400,2022-09-11 00:00:00,MV/USDT,0.2281,0.23007,0.22694,0.22947,1414669.587,323249.373606752
1662768000,2022-09-10 00:00:00,MV/USDT,0.22622,0.23009,0.22579,0.22814,1228473.2975,278488.9329523
1662681600,2022-09-09 00:00:00,MV/USDT,0.21775,0.22712,0.2169,0.22599,1537959.9484,340439.942732175
1662595200,2022-09-08 00:00:00,MV/USDT,0.21809,0.22401,0.21658,0.21787,1232164.3726,271462.101805711
1662508800,2022-09-07 00:00:00,MV/USDT,0.22111,0.22112,0.21134,0.22005,1360838.3064,292371.896645818
1662422400,2022-09-06 00:00:00,MV/USDT,0.22467,0.22539,0.22111,0.22125,1346485.6515,302356.6710343
1662336000,2022-09-05 00:00:00,MV/USDT,0.21906,0.2257,0.21876,0.22484,1537249.5249,339499.435135823
1662249600,2022-09-04 00:00:00,MV/USDT,0.22568,0.2257,0.21575,0.21922,1248921.2426,273309.490496935
1662163200,2022-09-03 00:00:00,MV/USDT,0.20986,0.22568,0.20917,0.22568,1791607.4089,388143.062814906
1662076800,2022-09-02 00:00:00,MV/USDT,0.20413,0.20988,0.20413,0.20979,1535071.6545,318957.688390624
1661990400,2022-09-01 00:00:00,MV/USDT,0.19604,0.20625,0.19604,0.20545,959108.2522,191290.065608944
1661904000,2022-08-31 00:00:00,MV/USDT,0.19451,0.19612,0.1937,0.19607,1524827.7443,296385.880723481
1661817600,2022-08-30 00:00:00,MV/USDT,0.20195,0.20382,0.19161,0.1937,1577434.3295,316750.298607903
1661731200,2022-08-29 00:00:00,MV/USDT,0.20286,0.20499,0.20207,0.20325,1899531.8823,387097.774380641
1661644800,2022-08-28 00:00:00,MV/USDT,0.19699,0.20369,0.19698,0.20274,1885925.7239,377134.271177167
1661558400,2022-08-27 00:00:00,MV/USDT,0.19968,0.19968,0.19163,0.19699,1458228.9959,287128.508011386
