https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume NFTB,Volume USDT
1663372800,2022-09-17 00:00:00,NFTB/USDT,0.01799,0.01919,0.01796,0.01858,327428.6175,6115.457771647
1663286400,2022-09-16 00:00:00,NFTB/USDT,0.01772,0.0184,0.01765,0.01792,427783.5052,7748.628106085
1663200000,2022-09-15 00:00:00,NFTB/USDT,0.01753,0.01781,0.0174,0.01759,395327.8025,6929.34955986
1663113600,2022-09-14 00:00:00,NFTB/USDT,0.01758,0.01798,0.0174,0.0174,734083.2823,12847.878098713
1663027200,2022-09-13 00:00:00,NFTB/USDT,0.01872,0.01939,0.01752,0.0176,641574.3451,11953.12129098
1662940800,2022-09-12 00:00:00,NFTB/USDT,0.0189,0.01948,0.0186,0.01863,1041525.0886,19831.475134908
1662854400,2022-09-11 00:00:00,NFTB/USDT,0.01886,0.01916,0.01858,0.01901,256507.7107,4837.478194158
1662768000,2022-09-10 00:00:00,NFTB/USDT,0.01933,0.01947,0.0185,0.0189,399196.6024,7608.050542298
1662681600,2022-09-09 00:00:00,NFTB/USDT,0.01819,0.01955,0.01817,0.01943,991276.0196,18659.089730535
1662595200,2022-09-08 00:00:00,NFTB/USDT,0.01793,0.01848,0.01741,0.01822,777769.2137,13948.135135951
1662508800,2022-09-07 00:00:00,NFTB/USDT,0.01881,0.01928,0.01742,0.01785,3380041.9381,61927.85901894
1662422400,2022-09-06 00:00:00,NFTB/USDT,0.01989,0.02068,0.01867,0.01881,1221945.7534,23820.105467619
1662336000,2022-09-05 00:00:00,NFTB/USDT,0.02,0.0206,0.01931,0.01989,685874.1014,13663.438045483
1662249600,2022-09-04 00:00:00,NFTB/USDT,0.01965,0.02044,0.01957,0.0201,357406.9491,7144.837041263
1662163200,2022-09-03 00:00:00,NFTB/USDT,0.0201,0.0202,0.0195,0.0198,285340.6572,5660.841191467
1662076800,2022-09-02 00:00:00,NFTB/USDT,0.02045,0.02106,0.02,0.02,534797.2592,10968.472672692
1661990400,2022-09-01 00:00:00,NFTB/USDT,0.02062,0.0213,0.0203,0.02032,476481.4554,9752.996656374
1661904000,2022-08-31 00:00:00,NFTB/USDT,0.02068,0.02139,0.0204,0.02068,630635.0971,13201.990600818
1661817600,2022-08-30 00:00:00,NFTB/USDT,0.02125,0.0216,0.0203,0.02056,384789.9376,8066.016521161
1661731200,2022-08-29 00:00:00,NFTB/USDT,0.0214,0.0215,0.02058,0.02114,555351.3028,11667.53669743
1661644800,2022-08-28 00:00:00,NFTB/USDT,0.02185,0.02185,0.0214,0.0214,189878.0685,4085.938625964
1661558400,2022-08-27 00:00:00,NFTB/USDT,0.022,0.02242,0.0215,0.02182,437409.7371,9533.616372799
1661472000,2022-08-26 00:00:00,NFTB/USDT,0.0242,0.0243,0.022,0.022,952166.2964,22151.117927644
1661385600,2022-08-25 00:00:00,NFTB/USDT,0.0228,0.0249,0.0228,0.02431,1107900.9853,26464.871464385
1661299200,2022-08-24 00:00:00,NFTB/USDT,0.0254,0.0257,0.0217,0.0227,2395354.5568,57641.287219774
1661212800,2022-08-23 00:00:00,NFTB/USDT,0.0194,0.03216,0.01932,0.0253,11014143.14332127,274429.8984910291537
1661126400,2022-08-22 00:00:00,NFTB/USDT,0.02018,0.0204,0.01921,0.01939,738441.8323,14489.315203868
1661040000,2022-08-21 00:00:00,NFTB/USDT,0.01925,0.02047,0.019,0.0202,947972.7555,18996.099578252
1660953600,2022-08-20 00:00:00,NFTB/USDT,0.01896,0.01952,0.0188,0.01913,432584.5241,8283.173847669
1660867200,2022-08-19 00:00:00,NFTB/USDT,0.02,0.02003,0.01864,0.019,1084500.1402,20832.232596691
1660780800,2022-08-18 00:00:00,NFTB/USDT,0.02076,0.02079,0.02,0.02,616904.693,12572.235118383
1660694400,2022-08-17 00:00:00,NFTB/USDT,0.02158,0.02198,0.02055,0.0208,949427.5923,20318.211146563
1660608000,2022-08-16 00:00:00,NFTB/USDT,0.0218,0.02227,0.0214,0.02152,447016.3336,9716.037687192
1660521600,2022-08-15 00:00:00,NFTB/USDT,0.02223,0.02246,0.02145,0.0218,527181.8653,11564.149823768
1660435200,2022-08-14 00:00:00,NFTB/USDT,0.02242,0.02323,0.0221,0.0223,958466.0109,21668.444531054
1660348800,2022-08-13 00:00:00,NFTB/USDT,0.02279,0.02299,0.0223,0.0224,500004.7855,11261.330944553
1660262400,2022-08-12 00:00:00,NFTB/USDT,0.02253,0.02299,0.0223,0.02277,782327.5,17674.281442534
1660176000,2022-08-11 00:00:00,NFTB/USDT,0.02276,0.023,0.0224,0.0224,544792.1306,12311.699011443
1660089600,2022-08-10 00:00:00,NFTB/USDT,0.02262,0.0231,0.022,0.02277,690369.4816,15587.946705664
1660003200,2022-08-09 00:00:00,NFTB/USDT,0.0227,0.02341,0.0222,0.0227,730375.0697,16620.179201525
1659916800,2022-08-08 00:00:00,NFTB/USDT,0.02272,0.02335,0.02221,0.0228,515351.0027,11791.487057219
