https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume PDEX,Volume USDT
1663462800,2022-09-18 01:00:00,PDEX/USDT,1.4123,1.4123,1.4123,1.4123,20,28.246
1663459200,2022-09-18 00:00:00,PDEX/USDT,1.4197,1.4197,1.4123,1.4197,401.9409,570.61074847
1663455600,2022-09-17 23:00:00,PDEX/USDT,1.4202,1.4202,1.4202,1.4202,0.7024,0.99754848
1663452000,2022-09-17 22:00:00,PDEX/USDT,1.4123,1.4202,1.4123,1.4202,108.5648,154.0903797
1663448400,2022-09-17 21:00:00,PDEX/USDT,1.4175,1.4194,1.4175,1.4194,248.7414,352.6859345
1663444800,2022-09-17 20:00:00,PDEX/USDT,1.412,1.4166,1.412,1.4166,86.2901,122.20638412
1663441200,2022-09-17 19:00:00,PDEX/USDT,1.4105,1.4186,1.4105,1.412,1363.2133,1932.19389687
1663437600,2022-09-17 18:00:00,PDEX/USDT,1.4061,1.4101,1.4061,1.4101,309.5284,436.29192977
1663434000,2022-09-17 17:00:00,PDEX/USDT,1.3928,1.4057,1.3921,1.3994,1728.9204,2421.96396223
1663430400,2022-09-17 16:00:00,PDEX/USDT,1.3897,1.3927,1.3897,1.3927,109.8177,152.87341901
1663426800,2022-09-17 15:00:00,PDEX/USDT,1.3862,1.3896,1.3794,1.3896,328.3783,453.07897773
1663423200,2022-09-17 14:00:00,PDEX/USDT,1.3812,1.3828,1.3748,1.3749,67.0836,92.52521971
1663419600,2022-09-17 13:00:00,PDEX/USDT,1.3705,1.3811,1.3705,1.381,115.0759,157.80650549
1663416000,2022-09-17 12:00:00,PDEX/USDT,1.3769,1.3773,1.3769,1.3772,774.9775,1067.25804499
1663412400,2022-09-17 11:00:00,PDEX/USDT,1.3682,1.3733,1.3682,1.3733,516.4419,706.91945859
1663408800,2022-09-17 10:00:00,PDEX/USDT,1.3663,1.3663,1.3613,1.3613,157.0168,214.53064884
1663405200,2022-09-17 09:00:00,PDEX/USDT,1.3604,1.3626,1.36,1.3604,1463.2648,1990.92430973
1663401600,2022-09-17 08:00:00,PDEX/USDT,1.3604,1.3604,1.3604,1.3604,110.6902,150.58294808
1663398000,2022-09-17 07:00:00,PDEX/USDT,1.3697,1.3697,1.3612,1.3677,4.2136,5.74798834
1663394400,2022-09-17 06:00:00,PDEX/USDT,1.3696,1.3696,1.3696,1.3696,5.4,7.39584
1663390800,2022-09-17 05:00:00,PDEX/USDT,1.3678,1.3708,1.3629,1.3629,433.852,594.09298863
1663387200,2022-09-17 04:00:00,PDEX/USDT,1.3845,1.3845,1.3677,1.368,2046.1133,2814.6135966
1663383600,2022-09-17 03:00:00,PDEX/USDT,1.3893,1.3895,1.3893,1.3895,72.4716,100.68483832
1663380000,2022-09-17 02:00:00,PDEX/USDT,1.3827,1.392,1.3827,1.3878,322.6224,446.95281193
1663376400,2022-09-17 01:00:00,PDEX/USDT,1.3686,1.38,1.3686,1.3769,610.6113,837.57723928
1663372800,2022-09-17 00:00:00,PDEX/USDT,1.3686,1.3686,1.3686,1.3686,14.8623,20.34054378
1663369200,2022-09-16 23:00:00,PDEX/USDT,1.3601,1.3673,1.3601,1.3602,4.9899,6.79229453
1663365600,2022-09-16 22:00:00,PDEX/USDT,1.3602,1.3602,1.36,1.36,2000,2720.14288957
1663362000,2022-09-16 21:00:00,PDEX/USDT,1.3601,1.3658,1.3601,1.3658,16.7457,22.85001921
1663358400,2022-09-16 20:00:00,PDEX/USDT,1.3628,1.3644,1.3601,1.3644,154.4698,210.61859076
1663354800,2022-09-16 19:00:00,PDEX/USDT,1.3622,1.3622,1.3601,1.3622,25.1812,34.29799058
1663351200,2022-09-16 18:00:00,PDEX/USDT,1.3615,1.3615,1.3601,1.3601,48.4194,65.887437
1663347600,2022-09-16 17:00:00,PDEX/USDT,1.3691,1.3691,1.3601,1.3615,1086.0042,1477.25659853
1663344000,2022-09-16 16:00:00,PDEX/USDT,1.3783,1.3937,1.3698,1.3698,1851.625,2567.37859215
1663340400,2022-09-16 15:00:00,PDEX/USDT,1.3607,1.374,1.359,1.3694,1801.4398,2464.77210809
1663336800,2022-09-16 14:00:00,PDEX/USDT,1.3742,1.3762,1.3542,1.3549,2517.9384,3433.76810291
1663333200,2022-09-16 13:00:00,PDEX/USDT,1.3683,1.3801,1.3672,1.3742,395.9541,543.75273264
1663329600,2022-09-16 12:00:00,PDEX/USDT,1.3611,1.3655,1.3531,1.3655,382.0718,520.93690293
1663326000,2022-09-16 11:00:00,PDEX/USDT,1.3602,1.3608,1.3529,1.353,100.9254,136.86505662
1663322400,2022-09-16 10:00:00,PDEX/USDT,1.3503,1.36,1.3503,1.36,76.548,104.05704346
1663318800,2022-09-16 09:00:00,PDEX/USDT,1.3604,1.3604,1.3501,1.3597,490.2426,664.64720952
1663315200,2022-09-16 08:00:00,PDEX/USDT,1.3758,1.3758,1.3604,1.3605,57.7402,79.00852786
1663311600,2022-09-16 07:00:00,PDEX/USDT,1.4046,1.4057,1.3783,1.3783,1613.657,2256.76066568
1663308000,2022-09-16 06:00:00,PDEX/USDT,1.3862,1.4045,1.3862,1.4045,206.8943,289.80243569
1663304400,2022-09-16 05:00:00,PDEX/USDT,1.3691,1.3846,1.3691,1.3846,1142.6815,1573.21292399
1663300800,2022-09-16 04:00:00,PDEX/USDT,1.3649,1.3655,1.3649,1.3655,217.7638,297.35347991
1663297200,2022-09-16 03:00:00,PDEX/USDT,1.365,1.365,1.3612,1.3612,1.7476,2.37986482
