https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume PKF,Volume USDT
1663462800,2022-09-18 01:00:00,PKF/USDT,0.1341,0.1341,0.1341,0.1341,911.8848,122.28375168
1663459200,2022-09-18 00:00:00,PKF/USDT,0.1345,0.1358,0.1345,0.1358,1514.9593,204.77847198
1663455600,2022-09-17 23:00:00,PKF/USDT,0.1328,0.1328,0.1328,0.1328,0,0
1663452000,2022-09-17 22:00:00,PKF/USDT,0.1337,0.1341,0.1328,0.1328,5440.6443,726.57824553
1663448400,2022-09-17 21:00:00,PKF/USDT,0.132,0.132,0.132,0.132,602.0137,79.4658084
1663444800,2022-09-17 20:00:00,PKF/USDT,0.1318,0.1318,0.1318,0.1318,1.0145,0.1337111
1663441200,2022-09-17 19:00:00,PKF/USDT,0.1321,0.1336,0.1318,0.1318,304.6238,40.62832427
1663437600,2022-09-17 18:00:00,PKF/USDT,0.1309,0.1318,0.1309,0.1318,228.8771,30.07581974
1663434000,2022-09-17 17:00:00,PKF/USDT,0.131,0.131,0.131,0.131,0,0
1663430400,2022-09-17 16:00:00,PKF/USDT,0.1301,0.131,0.1301,0.131,750.1109,97.90142259
1663426800,2022-09-17 15:00:00,PKF/USDT,0.1289,0.1305,0.1289,0.1305,2332.075,304.10091612
1663423200,2022-09-17 14:00:00,PKF/USDT,0.1304,0.1304,0.1272,0.1272,1674.8315,214.59152894
1663419600,2022-09-17 13:00:00,PKF/USDT,0.1271,0.1316,0.1243,0.1316,10585.907,1347.75694864
1663416000,2022-09-17 12:00:00,PKF/USDT,0.1288,0.1288,0.127,0.127,70.0124,8.95458596
1663412400,2022-09-17 11:00:00,PKF/USDT,0.1277,0.1284,0.1277,0.1284,689.667,88.48042783
1663408800,2022-09-17 10:00:00,PKF/USDT,0.1277,0.128,0.1277,0.128,31.6429,4.04227017
1663405200,2022-09-17 09:00:00,PKF/USDT,0.1316,0.1383,0.1258,0.1271,40071.5567,5245.82553611
1663401600,2022-09-17 08:00:00,PKF/USDT,0.1305,0.1311,0.1305,0.1311,40.1511,5.25010855
1663398000,2022-09-17 07:00:00,PKF/USDT,0.1288,0.1288,0.1288,0.1288,5.7823,0.74476024
1663394400,2022-09-17 06:00:00,PKF/USDT,0.1305,0.1305,0.1289,0.1295,109.7041,14.29194819
1663390800,2022-09-17 05:00:00,PKF/USDT,0.1369,0.1397,0.1257,0.1288,19891.8966,2589.72813409
1663387200,2022-09-17 04:00:00,PKF/USDT,0.133,0.1368,0.133,0.1364,5738.3366,767.32591139
1663383600,2022-09-17 03:00:00,PKF/USDT,0.131,0.131,0.131,0.131,0,0
1663380000,2022-09-17 02:00:00,PKF/USDT,0.131,0.131,0.131,0.131,0,0
1663376400,2022-09-17 01:00:00,PKF/USDT,0.131,0.131,0.131,0.131,2.3759,0.3112429
1663372800,2022-09-17 00:00:00,PKF/USDT,0.1301,0.1332,0.1301,0.1332,5435.2367,723.70084198
1663369200,2022-09-16 23:00:00,PKF/USDT,0.1299,0.1299,0.1299,0.1299,0,0
1663365600,2022-09-16 22:00:00,PKF/USDT,0.1299,0.1299,0.1299,0.1299,0,0
1663362000,2022-09-16 21:00:00,PKF/USDT,0.1289,0.1299,0.1289,0.1299,7578.9473,983.99823471
1663358400,2022-09-16 20:00:00,PKF/USDT,0.1289,0.1289,0.1289,0.1289,3.0078,0.38770542
1663354800,2022-09-16 19:00:00,PKF/USDT,0.1273,0.1289,0.127,0.1289,130.393,16.56801761
1663351200,2022-09-16 18:00:00,PKF/USDT,0.1304,0.1304,0.1279,0.1279,1360.482,176.61661893
1663347600,2022-09-16 17:00:00,PKF/USDT,0.1305,0.1305,0.1304,0.1304,219.4222,28.61395159
1663344000,2022-09-16 16:00:00,PKF/USDT,0.1313,0.1321,0.1303,0.1321,10537.0485,1380.58751203
1663340400,2022-09-16 15:00:00,PKF/USDT,0.1311,0.1311,0.1311,0.1311,0,0
1663336800,2022-09-16 14:00:00,PKF/USDT,0.1323,0.1323,0.1311,0.1311,7324.2432,965.65424323
1663333200,2022-09-16 13:00:00,PKF/USDT,0.1338,0.134,0.1322,0.134,1095.4361,144.90137468
1663329600,2022-09-16 12:00:00,PKF/USDT,0.1332,0.1366,0.1332,0.1355,655.8206,87.77332538
1663326000,2022-09-16 11:00:00,PKF/USDT,0.1333,0.1333,0.1315,0.1315,71.906,9.49095721
1663322400,2022-09-16 10:00:00,PKF/USDT,0.1333,0.1333,0.1333,0.1333,18.5531,2.47312823
1663318800,2022-09-16 09:00:00,PKF/USDT,0.1314,0.1314,0.1314,0.1314,0,0
1663315200,2022-09-16 08:00:00,PKF/USDT,0.1325,0.1325,0.1313,0.1314,685.678,90.10078637
1663311600,2022-09-16 07:00:00,PKF/USDT,0.1334,0.1334,0.1334,0.1334,69.1194,9.22052796
1663308000,2022-09-16 06:00:00,PKF/USDT,0.1335,0.1335,0.1325,0.1325,5.8305,0.77606895
1663304400,2022-09-16 05:00:00,PKF/USDT,0.1311,0.1352,0.1311,0.1335,1814.5169,244.67932868
1663300800,2022-09-16 04:00:00,PKF/USDT,0.1335,0.1335,0.1335,0.1335,0,0
1663297200,2022-09-16 03:00:00,PKF/USDT,0.1335,0.1335,0.1335,0.1335,0,0
