https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume PROM,Volume BTC
1663462800,2022-09-18 01:00:00,PROM/BTC,0.0003064,0.0003064,0.0003064,0.0003064,0.0107,0.00000327848
1663459200,2022-09-18 00:00:00,PROM/BTC,0.0003079,0.0003079,0.0003076,0.0003076,0.4561,0.00014038444
1663455600,2022-09-17 23:00:00,PROM/BTC,0.0003089,0.000309,0.0003082,0.0003086,0.321,0.00009903919
1663452000,2022-09-17 22:00:00,PROM/BTC,0.0003063,0.0003088,0.0003063,0.0003088,0.1092,0.00003368349
1663448400,2022-09-17 21:00:00,PROM/BTC,0.0003107,0.0003107,0.0003088,0.0003101,19.8228,0.00614709509
1663444800,2022-09-17 20:00:00,PROM/BTC,0.0003096,0.0003118,0.0003091,0.0003091,7.7226,0.00240732416
1663441200,2022-09-17 19:00:00,PROM/BTC,0.0003064,0.0003107,0.000306,0.0003107,29.8405,0.00923696223
1663437600,2022-09-17 18:00:00,PROM/BTC,0.0003081,0.0003086,0.0003081,0.0003086,0.2893,0.00008915698
1663434000,2022-09-17 17:00:00,PROM/BTC,0.000309,0.0003105,0.000308,0.0003105,1.8001,0.00055818827
1663430400,2022-09-17 16:00:00,PROM/BTC,0.0003093,0.0003112,0.0003092,0.0003093,52.1671,0.01614487893
1663426800,2022-09-17 15:00:00,PROM/BTC,0.0003117,0.0003121,0.0003112,0.0003121,0.3213,0.00010005039
1663423200,2022-09-17 14:00:00,PROM/BTC,0.0003109,0.000312,0.0003109,0.000312,0.3209,0.00009997142
1663419600,2022-09-17 13:00:00,PROM/BTC,0.0003112,0.0003114,0.0003088,0.0003088,59.3276,0.01842117178
1663416000,2022-09-17 12:00:00,PROM/BTC,0.0003143,0.0003187,0.000312,0.000315,34.5525,0.0109295355
1663412400,2022-09-17 11:00:00,PROM/BTC,0.000308,0.0003168,0.0003056,0.0003141,62.5244,0.01954917198
1663408800,2022-09-17 10:00:00,PROM/BTC,0.0003086,0.0003094,0.000307,0.0003092,12.3494,0.0037957138
1663405200,2022-09-17 09:00:00,PROM/BTC,0.0003061,0.000311,0.0003047,0.000311,66.9061,0.02074397933
1663401600,2022-09-17 08:00:00,PROM/BTC,0.000307,0.0003103,0.0003068,0.0003068,38.0021,0.01178124063
1663398000,2022-09-17 07:00:00,PROM/BTC,0.0003058,0.000312,0.0003058,0.0003078,524.128,0.16289637453
1663394400,2022-09-17 06:00:00,PROM/BTC,0.0002979,0.0003057,0.0002979,0.0003056,38.7739,0.01173231861
1663390800,2022-09-17 05:00:00,PROM/BTC,0.0002992,0.0003001,0.000297,0.000297,0.9351,0.00027996241
1663387200,2022-09-17 04:00:00,PROM/BTC,0.0002977,0.0002992,0.0002977,0.0002992,1.2965,0.0003870782
1663383600,2022-09-17 03:00:00,PROM/BTC,0.0002979,0.0003004,0.0002979,0.0002996,14.9861,0.0044711192
1663380000,2022-09-17 02:00:00,PROM/BTC,0.0002983,0.0002998,0.0002977,0.0002977,3.7792,0.00112742008
1663376400,2022-09-17 01:00:00,PROM/BTC,0.0002976,0.0002976,0.0002969,0.000297,8.2937,0.00246675056
1663372800,2022-09-17 00:00:00,PROM/BTC,0.0003001,0.0003009,0.0002979,0.0002999,3.543,0.00106297246
1663369200,2022-09-16 23:00:00,PROM/BTC,0.0003005,0.0003029,0.0003005,0.0003029,1.4269,0.0004300766
1663365600,2022-09-16 22:00:00,PROM/BTC,0.0003016,0.0003016,0.000301,0.000301,0.7946,0.00023931086
1663362000,2022-09-16 21:00:00,PROM/BTC,0.0003007,0.0003007,0.000299,0.0002995,2.4337,0.00072925194
1663358400,2022-09-16 20:00:00,PROM/BTC,0.0002983,0.0003,0.0002956,0.0003,31.6521,0.00948757512
1663354800,2022-09-16 19:00:00,PROM/BTC,0.0002988,0.0002988,0.0002983,0.0002983,2.7756,0.00082856464
1663351200,2022-09-16 18:00:00,PROM/BTC,0.0003005,0.0003005,0.0002992,0.0002992,1.7196,0.00051609525
1663347600,2022-09-16 17:00:00,PROM/BTC,0.0003023,0.0003023,0.0002978,0.0002991,78.7184,0.02350795532
1663344000,2022-09-16 16:00:00,PROM/BTC,0.0002986,0.0003007,0.0002986,0.0002991,12.0064,0.00358626345
1663340400,2022-09-16 15:00:00,PROM/BTC,0.0003,0.0003013,0.0003,0.0003013,1.8754,0.00056445769
1663336800,2022-09-16 14:00:00,PROM/BTC,0.0002979,0.0002979,0.0002966,0.0002978,0.5832,0.00017335489
1663333200,2022-09-16 13:00:00,PROM/BTC,0.0002985,0.0002985,0.0002964,0.0002964,88.9065,0.02644575456
1663329600,2022-09-16 12:00:00,PROM/BTC,0.0002995,0.0003003,0.0002985,0.0002992,10.1604,0.00304101456
1663326000,2022-09-16 11:00:00,PROM/BTC,0.0002994,0.0003009,0.0002986,0.0002986,11.1528,0.00333126117
1663322400,2022-09-16 10:00:00,PROM/BTC,0.000295,0.000301,0.000295,0.0003001,110.5055,0.03314801319
1663318800,2022-09-16 09:00:00,PROM/BTC,0.0002956,0.0002971,0.0002956,0.0002971,51.1227,0.01511403821
1663315200,2022-09-16 08:00:00,PROM/BTC,0.0002956,0.0002981,0.0002946,0.0002956,222.0294,0.06578112806
1663311600,2022-09-16 07:00:00,PROM/BTC,0.000295,0.0002956,0.0002938,0.0002938,13.0255,0.00383488698
1663308000,2022-09-16 06:00:00,PROM/BTC,0.0002964,0.0002974,0.0002955,0.0002955,308.2818,0.09137430467
1663304400,2022-09-16 05:00:00,PROM/BTC,0.0002958,0.0002978,0.0002957,0.0002969,49.3165,0.01462099819
1663300800,2022-09-16 04:00:00,PROM/BTC,0.0002974,0.0002999,0.0002959,0.0002959,27.5253,0.00816270543
1663297200,2022-09-16 03:00:00,PROM/BTC,0.0002999,0.0003004,0.0002998,0.0002998,24.4419,0.0073299621
1663293600,2022-09-16 02:00:00,PROM/BTC,0.0003033,0.0003033,0.0003033,0.0003033,0.1271,0.00003854943
1663290000,2022-09-16 01:00:00,PROM/BTC,0.0003062,0.0003065,0.0003062,0.0003065,0.5004,0.00015335613
1663286400,2022-09-16 00:00:00,PROM/BTC,0.0003063,0.0003073,0.0003041,0.0003041,145.9517,0.04449115323
1663282800,2022-09-15 23:00:00,PROM/BTC,0.0003059,0.0003088,0.0003059,0.0003072,18.0991,0.0055597096
1663279200,2022-09-15 22:00:00,PROM/BTC,0.0003079,0.0003079,0.0003055,0.0003055,0.7159,0.00021999292
1663275600,2022-09-15 21:00:00,PROM/BTC,0.0003085,0.0003088,0.0003058,0.0003081,92.9346,0.02869052045
1663272000,2022-09-15 20:00:00,PROM/BTC,0.0003061,0.0003079,0.0003061,0.0003074,1.096,0.00033725589
1663268400,2022-09-15 19:00:00,PROM/BTC,0.0003083,0.0003083,0.0003069,0.0003069,2.2508,0.00069326238
1663264800,2022-09-15 18:00:00,PROM/BTC,0.0003115,0.0003121,0.0003109,0.0003117,3.2655,0.00101767691
1663261200,2022-09-15 17:00:00,PROM/BTC,0.0003116,0.0003118,0.0003103,0.0003103,14.5967,0.00453422979
1663257600,2022-09-15 16:00:00,PROM/BTC,0.0003137,0.0003148,0.0003133,0.0003133,2.7336,0.00085672781
1663254000,2022-09-15 15:00:00,PROM/BTC,0.0003026,0.0003083,0.0003026,0.0003058,102.7318,0.03128614708
1663250400,2022-09-15 14:00:00,PROM/BTC,0.0003097,0.0003201,0.0003054,0.0003054,504.8543,0.15927436123
1663246800,2022-09-15 13:00:00,PROM/BTC,0.0003105,0.0003119,0.0003105,0.0003119,38.7114,0.0120511517
1663243200,2022-09-15 12:00:00,PROM/BTC,0.0003091,0.0003096,0.000308,0.0003093,42.2443,0.01305703318
1663239600,2022-09-15 11:00:00,PROM/BTC,0.0003063,0.0003093,0.0003044,0.0003093,35.2034,0.01076940229
1663236000,2022-09-15 10:00:00,PROM/BTC,0.000311,0.0003129,0.0003078,0.0003096,153.7596,0.0478641328
1663232400,2022-09-15 09:00:00,PROM/BTC,0.0003071,0.0003124,0.000305,0.0003089,113.0053,0.03489484387
1663228800,2022-09-15 08:00:00,PROM/BTC,0.0002978,0.0003147,0.0002978,0.00031,144.4977,0.044800005
1663225200,2022-09-15 07:00:00,PROM/BTC,0.0002955,0.0002978,0.0002942,0.0002966,19.1166,0.00567031299
1663221600,2022-09-15 06:00:00,PROM/BTC,0.0002916,0.0002948,0.0002916,0.0002948,2.5476,0.00074811716
1663218000,2022-09-15 05:00:00,PROM/BTC,0.0002932,0.0002937,0.0002932,0.0002933,0.2856,0.00008376693
1663214400,2022-09-15 04:00:00,PROM/BTC,0.0002951,0.0002958,0.0002945,0.0002958,3.536,0.00104226776
