https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume PUSH,Volume USDT
1663462800,2022-09-18 01:00:00,PUSH/USDT,0.2865,0.2875,0.2865,0.2871,11089.5198,3180.51975498
1663459200,2022-09-18 00:00:00,PUSH/USDT,0.2916,0.2928,0.2807,0.2871,45251.154,13032.91698922
1663455600,2022-09-17 23:00:00,PUSH/USDT,0.29,0.2927,0.2899,0.2922,44508.3986,12983.769486
1663452000,2022-09-17 22:00:00,PUSH/USDT,0.2999,0.3005,0.289,0.2905,45505.502,13252.4298384
1663448400,2022-09-17 21:00:00,PUSH/USDT,0.2963,0.2999,0.2929,0.2999,17362.997,5123.8691692
1663444800,2022-09-17 20:00:00,PUSH/USDT,0.2968,0.2976,0.2951,0.2966,45697.1911,13557.6585865
1663441200,2022-09-17 19:00:00,PUSH/USDT,0.2969,0.2978,0.2961,0.2971,26589.7645,7892.32759969
1663437600,2022-09-17 18:00:00,PUSH/USDT,0.2927,0.2975,0.2904,0.2975,16666.6711,4895.15379336
1663434000,2022-09-17 17:00:00,PUSH/USDT,0.2907,0.294,0.2901,0.2926,19822.1287,5795.21804143
1663430400,2022-09-17 16:00:00,PUSH/USDT,0.2886,0.2911,0.2883,0.2911,5000.5823,1447.32545821
1663426800,2022-09-17 15:00:00,PUSH/USDT,0.2877,0.2895,0.2874,0.2892,66572.53,19212.00598062
1663423200,2022-09-17 14:00:00,PUSH/USDT,0.284,0.2895,0.2835,0.2883,36628.9919,10502.32336857
1663419600,2022-09-17 13:00:00,PUSH/USDT,0.2842,0.2862,0.2834,0.2838,36989.3663,10539.08632301
1663416000,2022-09-17 12:00:00,PUSH/USDT,0.2841,0.2848,0.2836,0.2848,19948.5961,5675.15443898
1663412400,2022-09-17 11:00:00,PUSH/USDT,0.2835,0.2858,0.2833,0.2848,74489.6272,21149.00093458
1663408800,2022-09-17 10:00:00,PUSH/USDT,0.2807,0.285,0.2805,0.2841,38819.0323,11001.72256441
1663405200,2022-09-17 09:00:00,PUSH/USDT,0.2811,0.2818,0.2801,0.2817,58620.9205,16457.85857958
1663401600,2022-09-17 08:00:00,PUSH/USDT,0.2804,0.2816,0.2804,0.2811,38271.6024,10752.6084823
1663398000,2022-09-17 07:00:00,PUSH/USDT,0.2801,0.2816,0.2798,0.2806,27548.3893,7739.53540682
1663394400,2022-09-17 06:00:00,PUSH/USDT,0.2795,0.2816,0.2793,0.2804,31790.0875,8901.57443529
1663390800,2022-09-17 05:00:00,PUSH/USDT,0.281,0.2816,0.279,0.28,45277.0726,12689.85364991
1663387200,2022-09-17 04:00:00,PUSH/USDT,0.2791,0.2816,0.2777,0.2813,34685.6007,9676.21069227
1663383600,2022-09-17 03:00:00,PUSH/USDT,0.2793,0.2801,0.2788,0.2796,41963.7287,11718.4441129
1663380000,2022-09-17 02:00:00,PUSH/USDT,0.2754,0.2797,0.2754,0.2796,16369.1984,4559.89857249
1663376400,2022-09-17 01:00:00,PUSH/USDT,0.2756,0.2773,0.2751,0.2759,19876.2924,5483.23854624
1663372800,2022-09-17 00:00:00,PUSH/USDT,0.2759,0.2765,0.2754,0.2761,10999.5044,3035.57168104
1663369200,2022-09-16 23:00:00,PUSH/USDT,0.2765,0.2766,0.2753,0.2764,57282.5234,15822.64737391
1663365600,2022-09-16 22:00:00,PUSH/USDT,0.276,0.2769,0.2755,0.276,66546.2945,18369.41374217
1663362000,2022-09-16 21:00:00,PUSH/USDT,0.2734,0.2774,0.2734,0.2755,64064.1563,17611.64306485
1663358400,2022-09-16 20:00:00,PUSH/USDT,0.2739,0.2748,0.273,0.2739,60328.9005,16546.50011805
1663354800,2022-09-16 19:00:00,PUSH/USDT,0.2737,0.2747,0.2735,0.2744,15019.3267,4117.64401263
1663351200,2022-09-16 18:00:00,PUSH/USDT,0.2745,0.2749,0.2731,0.274,33353.007,9146.54072917
1663347600,2022-09-16 17:00:00,PUSH/USDT,0.2743,0.2749,0.2727,0.2746,58990.301,16182.28970085
1663344000,2022-09-16 16:00:00,PUSH/USDT,0.277,0.2783,0.2739,0.2748,25790.1121,7119.67257633
1663340400,2022-09-16 15:00:00,PUSH/USDT,0.2753,0.2777,0.2744,0.2773,13795.0544,3806.50842094
1663336800,2022-09-16 14:00:00,PUSH/USDT,0.2783,0.2783,0.2746,0.2755,44065.0813,12191.3880392
1663333200,2022-09-16 13:00:00,PUSH/USDT,0.2815,0.2821,0.2767,0.2778,32734.6306,9121.51985813
1663329600,2022-09-16 12:00:00,PUSH/USDT,0.2823,0.2826,0.2814,0.282,45528.6071,12840.58336286
1663326000,2022-09-16 11:00:00,PUSH/USDT,0.2781,0.2833,0.2753,0.2824,32334.3751,9047.0488575
1663322400,2022-09-16 10:00:00,PUSH/USDT,0.2783,0.2792,0.278,0.2787,49782.0333,13867.52585419
1663318800,2022-09-16 09:00:00,PUSH/USDT,0.2795,0.2809,0.2768,0.2789,39038.9021,10909.56962659
1663315200,2022-09-16 08:00:00,PUSH/USDT,0.2824,0.2825,0.2794,0.2801,12643.6396,3546.20501789
1663311600,2022-09-16 07:00:00,PUSH/USDT,0.281,0.2863,0.2808,0.2818,6872.7929,1948.82714793
1663308000,2022-09-16 06:00:00,PUSH/USDT,0.2796,0.2819,0.279,0.2818,16835.0684,4712.83743367
1663304400,2022-09-16 05:00:00,PUSH/USDT,0.2782,0.2812,0.277,0.2802,50635.6709,14105.07000398
1663300800,2022-09-16 04:00:00,PUSH/USDT,0.2779,0.2793,0.2776,0.2785,47907.4454,13324.23249946
1663297200,2022-09-16 03:00:00,PUSH/USDT,0.2784,0.279,0.2776,0.2788,35090.9102,9772.63027745
1663293600,2022-09-16 02:00:00,PUSH/USDT,0.279,0.2799,0.2783,0.279,84606.0908,23623.94650239
1663290000,2022-09-16 01:00:00,PUSH/USDT,0.2815,0.2837,0.2792,0.2792,19352.0344,5458.94825195
1663286400,2022-09-16 00:00:00,PUSH/USDT,0.2845,0.2848,0.2812,0.2822,28747.582,8103.97635757
1663282800,2022-09-15 23:00:00,PUSH/USDT,0.2852,0.286,0.2837,0.2845,7567.3698,2157.28462291
1663279200,2022-09-15 22:00:00,PUSH/USDT,0.2852,0.2858,0.2834,0.2855,66014.5232,18826.63259606
1663275600,2022-09-15 21:00:00,PUSH/USDT,0.2865,0.2869,0.2849,0.2858,54731.5416,15649.90159736
1663272000,2022-09-15 20:00:00,PUSH/USDT,0.2857,0.2869,0.285,0.2859,96557.3541,27618.83700182
1663268400,2022-09-15 19:00:00,PUSH/USDT,0.2859,0.2874,0.285,0.2863,57128.2896,16355.95513622
1663264800,2022-09-15 18:00:00,PUSH/USDT,0.2822,0.2886,0.2815,0.2865,36059.5935,10243.69364921
1663261200,2022-09-15 17:00:00,PUSH/USDT,0.2809,0.2832,0.2807,0.2831,19871.2847,5591.89490652
1663257600,2022-09-15 16:00:00,PUSH/USDT,0.2775,0.2815,0.2775,0.2815,14719.9,4107.43350226
1663254000,2022-09-15 15:00:00,PUSH/USDT,0.2809,0.2809,0.2727,0.2784,32285.7472,9001.76149402
1663250400,2022-09-15 14:00:00,PUSH/USDT,0.2959,0.2965,0.28,0.2803,25045.8632,7302.55811345
1663246800,2022-09-15 13:00:00,PUSH/USDT,0.2967,0.2976,0.2951,0.2966,42467.251,12588.26529166
1663243200,2022-09-15 12:00:00,PUSH/USDT,0.2977,0.2991,0.2969,0.2974,54429.809,16213.4284093
1663239600,2022-09-15 11:00:00,PUSH/USDT,0.2997,0.3007,0.2963,0.2983,23821.9549,7122.53762719
1663236000,2022-09-15 10:00:00,PUSH/USDT,0.3004,0.3006,0.2995,0.3002,22511.6157,6751.91066766
1663232400,2022-09-15 09:00:00,PUSH/USDT,0.3014,0.3021,0.3,0.3003,36602.6262,11041.39264899
1663228800,2022-09-15 08:00:00,PUSH/USDT,0.3061,0.3083,0.2998,0.302,26677.9714,8123.04161461
1663225200,2022-09-15 07:00:00,PUSH/USDT,0.3009,0.3107,0.3003,0.3068,25507.5535,7743.65305417
1663221600,2022-09-15 06:00:00,PUSH/USDT,0.3032,0.3032,0.2972,0.3014,4255.4266,1277.94902999
1663218000,2022-09-15 05:00:00,PUSH/USDT,0.296,0.3042,0.2951,0.3031,27242.4638,8126.76724575
1663214400,2022-09-15 04:00:00,PUSH/USDT,0.2988,0.2989,0.295,0.2954,66613.8914,19702.29969313
1663210800,2022-09-15 03:00:00,PUSH/USDT,0.2995,0.3009,0.2967,0.2983,76376.8807,22767.92806738
1663207200,2022-09-15 02:00:00,PUSH/USDT,0.3011,0.3019,0.2992,0.3002,34015.4311,10239.10988287
1663203600,2022-09-15 01:00:00,PUSH/USDT,0.3009,0.3018,0.2988,0.3013,29218.2436,8784.80743462
1663200000,2022-09-15 00:00:00,PUSH/USDT,0.3005,0.3024,0.3001,0.301,42825.7292,12883.54552389
1663196400,2022-09-14 23:00:00,PUSH/USDT,0.2969,0.3017,0.2957,0.3011,27843.0649,8362.0421773
1663192800,2022-09-14 22:00:00,PUSH/USDT,0.2937,0.2972,0.2936,0.2969,4175.2343,1230.72917056
1663189200,2022-09-14 21:00:00,PUSH/USDT,0.2967,0.299,0.291,0.2945,27687.7784,8193.68240092
1663185600,2022-09-14 20:00:00,PUSH/USDT,0.2928,0.2975,0.292,0.2964,43854.8813,12868.96992681
1663182000,2022-09-14 19:00:00,PUSH/USDT,0.293,0.2943,0.291,0.2922,29419.9431,8598.75515039
1663178400,2022-09-14 18:00:00,PUSH/USDT,0.2974,0.2987,0.2904,0.2936,46020.2451,13561.61647831
1663174800,2022-09-14 17:00:00,PUSH/USDT,0.2941,0.3004,0.2921,0.2968,71286.923,21155.24946571
1663171200,2022-09-14 16:00:00,PUSH/USDT,0.3,0.3008,0.2922,0.2951,37613.3537,11144.05746742
1663167600,2022-09-14 15:00:00,PUSH/USDT,0.2998,0.3015,0.2989,0.3006,41755.0013,12519.60200435
1663164000,2022-09-14 14:00:00,PUSH/USDT,0.2994,0.301,0.2987,0.2994,29309.408,8779.48914086
1663160400,2022-09-14 13:00:00,PUSH/USDT,0.3004,0.3011,0.2968,0.3,62194.3969,18567.28143864
1663156800,2022-09-14 12:00:00,PUSH/USDT,0.3005,0.3023,0.2996,0.3004,25296.0232,7604.51253381
1663153200,2022-09-14 11:00:00,PUSH/USDT,0.3011,0.3017,0.2997,0.301,29051.807,8732.66120233
1663149600,2022-09-14 10:00:00,PUSH/USDT,0.2986,0.3018,0.2986,0.3017,23863.4203,7145.98361059
1663146000,2022-09-14 09:00:00,PUSH/USDT,0.2992,0.3007,0.2983,0.2992,39602.1935,11852.10093511
1663142400,2022-09-14 08:00:00,PUSH/USDT,0.3006,0.3012,0.2985,0.3,37899.5437,11360.15182917
1663138800,2022-09-14 07:00:00,PUSH/USDT,0.2988,0.3029,0.2984,0.3012,35821.3198,10735.48484925
1663135200,2022-09-14 06:00:00,PUSH/USDT,0.3002,0.3028,0.2982,0.2994,21220.1406,6384.41496176
1663131600,2022-09-14 05:00:00,PUSH/USDT,0.2998,0.3027,0.2997,0.3008,26611.6176,7999.64280008
1663128000,2022-09-14 04:00:00,PUSH/USDT,0.3009,0.3015,0.2997,0.3004,29569.361,8885.0314237
1663124400,2022-09-14 03:00:00,PUSH/USDT,0.3013,0.3017,0.3001,0.3015,12386.9429,3729.72168915
1663120800,2022-09-14 02:00:00,PUSH/USDT,0.3008,0.3014,0.2995,0.3014,62068.7215,18654.27252076
1663117200,2022-09-14 01:00:00,PUSH/USDT,0.2981,0.3031,0.2976,0.3014,83443.3455,25062.85502871
1663113600,2022-09-14 00:00:00,PUSH/USDT,0.2987,0.3007,0.2977,0.299,45827.6634,13690.18312928
1663110000,2022-09-13 23:00:00,PUSH/USDT,0.3006,0.3012,0.2981,0.2993,44475.0847,13335.82237674
1663106400,2022-09-13 22:00:00,PUSH/USDT,0.2993,0.3027,0.2984,0.3012,34413.0769,10329.05384106
1663102800,2022-09-13 21:00:00,PUSH/USDT,0.3031,0.3049,0.2992,0.2999,34394.598,10405.91261801
1663099200,2022-09-13 20:00:00,PUSH/USDT,0.3007,0.3047,0.2998,0.3028,21680.299,6529.05548685
1663095600,2022-09-13 19:00:00,PUSH/USDT,0.3001,0.3015,0.2991,0.3013,33735.3968,10133.50211332
1663092000,2022-09-13 18:00:00,PUSH/USDT,0.3029,0.3037,0.2997,0.2997,21407.6062,6472.87380541
1663088400,2022-09-13 17:00:00,PUSH/USDT,0.2998,0.3036,0.2993,0.3023,30941.7875,9296.9111523
1663084800,2022-09-13 16:00:00,PUSH/USDT,0.3001,0.3007,0.299,0.2995,13007.2252,3902.00920622
1663081200,2022-09-13 15:00:00,PUSH/USDT,0.2964,0.3014,0.296,0.3007,26731.718,7992.62371501
1663077600,2022-09-13 14:00:00,PUSH/USDT,0.2975,0.2999,0.2939,0.2966,31598.8163,9387.73297598
1663074000,2022-09-13 13:00:00,PUSH/USDT,0.3017,0.3047,0.2969,0.298,34168.7639,10290.64340356
1663070400,2022-09-13 12:00:00,PUSH/USDT,0.3135,0.318,0.3001,0.302,45966.0221,14246.74242348
1663066800,2022-09-13 11:00:00,PUSH/USDT,0.3152,0.3152,0.312,0.314,23010.3637,7220.10266266
1663063200,2022-09-13 10:00:00,PUSH/USDT,0.3159,0.3168,0.3148,0.3154,15830.4019,4998.01682014
1663059600,2022-09-13 09:00:00,PUSH/USDT,0.3151,0.3167,0.3143,0.3152,33892.6585,10696.81350008
1663056000,2022-09-13 08:00:00,PUSH/USDT,0.3167,0.3172,0.3144,0.3154,50304.1527,15913.48984734
1663052400,2022-09-13 07:00:00,PUSH/USDT,0.3148,0.3173,0.3144,0.3164,27035.1922,8529.23429674
1663048800,2022-09-13 06:00:00,PUSH/USDT,0.3156,0.3161,0.3144,0.3154,35882.937,11310.45507184
1663045200,2022-09-13 05:00:00,PUSH/USDT,0.3135,0.3165,0.3134,0.3159,16871.1091,5309.90546741
1663041600,2022-09-13 04:00:00,PUSH/USDT,0.3139,0.3157,0.311,0.3146,63880.3796,20089.15591168
1663038000,2022-09-13 03:00:00,PUSH/USDT,0.3133,0.3149,0.313,0.3145,18481.4508,5799.81537559
1663034400,2022-09-13 02:00:00,PUSH/USDT,0.3131,0.3146,0.312,0.3136,41003.485,12844.32898774
1663030800,2022-09-13 01:00:00,PUSH/USDT,0.3135,0.3151,0.311,0.3139,38513.0538,12064.014079
1663027200,2022-09-13 00:00:00,PUSH/USDT,0.3189,0.3201,0.3135,0.3135,42574.948,13548.13735332
1663023600,2022-09-12 23:00:00,PUSH/USDT,0.318,0.3199,0.3175,0.3192,32426.9528,10325.44284989
1663020000,2022-09-12 22:00:00,PUSH/USDT,0.3194,0.3199,0.3179,0.3186,61338.3714,19573.79871071
1663016400,2022-09-12 21:00:00,PUSH/USDT,0.3204,0.3225,0.3178,0.3191,49003.534,15626.26841588
1663012800,2022-09-12 20:00:00,PUSH/USDT,0.3207,0.3207,0.319,0.3201,21825.4932,6979.95326515
1663009200,2022-09-12 19:00:00,PUSH/USDT,0.3163,0.3207,0.3159,0.3206,7423.8722,2362.80357967
1663005600,2022-09-12 18:00:00,PUSH/USDT,0.314,0.3203,0.3138,0.3169,30919.355,9755.14617523
