https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ROAR,Volume USDT
1663462800,2022-09-18 01:00:00,ROAR/USDT,0.01368,0.01377,0.01357,0.01377,84536.8822,1155.375408525
1663459200,2022-09-18 00:00:00,ROAR/USDT,0.01322,0.01388,0.01251,0.01364,2230917.0337,29477.521269733
1663455600,2022-09-17 23:00:00,ROAR/USDT,0.01342,0.01475,0.01306,0.01307,2548823.293,35235.631826577
1663452000,2022-09-17 22:00:00,ROAR/USDT,0.01246,0.01678,0.01236,0.01341,10850204.162,158326.522077963
1663448400,2022-09-17 21:00:00,ROAR/USDT,0.012,0.01255,0.012,0.01242,511057.3366,6334.651908567
1663444800,2022-09-17 20:00:00,ROAR/USDT,0.0118,0.01199,0.01179,0.01199,160133.5069,1898.796803998
1663441200,2022-09-17 19:00:00,ROAR/USDT,0.01181,0.01181,0.01175,0.0118,128351.581,1512.561409313
1663437600,2022-09-17 18:00:00,ROAR/USDT,0.0119,0.01203,0.01178,0.01181,151324.4588,1795.888866073
1663434000,2022-09-17 17:00:00,ROAR/USDT,0.01161,0.0121,0.0116,0.0119,392368.632,4641.604663114
1663430400,2022-09-17 16:00:00,ROAR/USDT,0.0116,0.01163,0.0116,0.01161,114496.5577,1329.301526437
1663426800,2022-09-17 15:00:00,ROAR/USDT,0.01165,0.01169,0.01156,0.01161,236145.7252,2750.549089714
1663423200,2022-09-17 14:00:00,ROAR/USDT,0.01184,0.01184,0.01165,0.01165,285851.3597,3352.503711658
1663419600,2022-09-17 13:00:00,ROAR/USDT,0.01185,0.01188,0.01143,0.01182,544543.7278,6394.041453099
1663416000,2022-09-17 12:00:00,ROAR/USDT,0.01183,0.01189,0.0118,0.01185,279489.1007,3319.821543881
1663412400,2022-09-17 11:00:00,ROAR/USDT,0.01178,0.01183,0.01175,0.01183,191653.2475,2259.305273598
1663408800,2022-09-17 10:00:00,ROAR/USDT,0.01158,0.0118,0.01156,0.01177,273298.6778,3189.98069408
1663405200,2022-09-17 09:00:00,ROAR/USDT,0.01176,0.01176,0.01158,0.01159,214117.3346,2498.623485526
1663401600,2022-09-17 08:00:00,ROAR/USDT,0.01172,0.0118,0.0117,0.01176,414498.6199,4870.711653553
1663398000,2022-09-17 07:00:00,ROAR/USDT,0.01159,0.01176,0.01144,0.01174,402405.7504,4660.17613137
1663394400,2022-09-17 06:00:00,ROAR/USDT,0.01171,0.01171,0.01158,0.01158,143168.8982,1662.812099762
1663390800,2022-09-17 05:00:00,ROAR/USDT,0.01161,0.01174,0.01161,0.01173,329869.0935,3847.869628917
1663387200,2022-09-17 04:00:00,ROAR/USDT,0.01159,0.01169,0.01159,0.01162,61072.8106,710.020693579
1663383600,2022-09-17 03:00:00,ROAR/USDT,0.01171,0.01171,0.01158,0.01159,169399.8798,1973.279070142
1663380000,2022-09-17 02:00:00,ROAR/USDT,0.01161,0.01175,0.0116,0.01172,271896.9678,3178.189951022
1663376400,2022-09-17 01:00:00,ROAR/USDT,0.01185,0.01185,0.01161,0.01161,378479.0734,4457.769422129
1663372800,2022-09-17 00:00:00,ROAR/USDT,0.01183,0.01188,0.01175,0.01179,318550.4283,3772.106486537
1663369200,2022-09-16 23:00:00,ROAR/USDT,0.01169,0.01184,0.01157,0.01183,197808.3343,2313.537380834
1663365600,2022-09-16 22:00:00,ROAR/USDT,0.01159,0.01169,0.01157,0.01169,305476.6209,3549.483848422
1663362000,2022-09-16 21:00:00,ROAR/USDT,0.01154,0.01188,0.01154,0.01159,478597.6133,5565.995457432
1663358400,2022-09-16 20:00:00,ROAR/USDT,0.01165,0.01186,0.0115,0.01154,224963.033,2626.994374918
1663354800,2022-09-16 19:00:00,ROAR/USDT,0.01156,0.01165,0.01137,0.01165,550441.0524,6348.631198016
1663351200,2022-09-16 18:00:00,ROAR/USDT,0.01132,0.0116,0.01131,0.01156,968318.5206,11027.658899869
1663347600,2022-09-16 17:00:00,ROAR/USDT,0.01193,0.01198,0.01109,0.01131,1561442.8387,17806.524888401
1663344000,2022-09-16 16:00:00,ROAR/USDT,0.01228,0.01228,0.01192,0.01192,182621.7145,2203.219136661
1663340400,2022-09-16 15:00:00,ROAR/USDT,0.01235,0.01236,0.01228,0.01229,254283.9697,3128.84060733
1663336800,2022-09-16 14:00:00,ROAR/USDT,0.01247,0.0126,0.01235,0.01237,196459.5548,2437.357783639
1663333200,2022-09-16 13:00:00,ROAR/USDT,0.01244,0.01249,0.01243,0.01249,266465.3183,3319.838154038
1663329600,2022-09-16 12:00:00,ROAR/USDT,0.01299,0.01308,0.01222,0.01251,1899239.8486,23686.727901803
1663326000,2022-09-16 11:00:00,ROAR/USDT,0.01285,0.01307,0.01285,0.01299,116837.8044,1509.750804532
1663322400,2022-09-16 10:00:00,ROAR/USDT,0.01277,0.01284,0.01277,0.01284,176784.25,2265.355596023
1663318800,2022-09-16 09:00:00,ROAR/USDT,0.01281,0.01282,0.01242,0.0127,367003.4042,4630.864578081
1663315200,2022-09-16 08:00:00,ROAR/USDT,0.01243,0.01292,0.01224,0.01282,578418.8315,7212.670908582
1663311600,2022-09-16 07:00:00,ROAR/USDT,0.01253,0.01253,0.01245,0.01246,211821.7309,2643.993388308
1663308000,2022-09-16 06:00:00,ROAR/USDT,0.01267,0.01267,0.01253,0.01253,235599.7303,2969.957668856
1663304400,2022-09-16 05:00:00,ROAR/USDT,0.01269,0.01284,0.0126,0.01267,235531.5258,2987.439253563
1663300800,2022-09-16 04:00:00,ROAR/USDT,0.01249,0.01285,0.01247,0.01258,254106.5011,3206.613851136
1663297200,2022-09-16 03:00:00,ROAR/USDT,0.01228,0.01258,0.01228,0.01249,125484.3623,1557.35764235
1663293600,2022-09-16 02:00:00,ROAR/USDT,0.01268,0.01274,0.01227,0.0123,148075.4315,1854.820740215
1663290000,2022-09-16 01:00:00,ROAR/USDT,0.01265,0.01273,0.01243,0.01268,362127.3701,4553.98105073
1663286400,2022-09-16 00:00:00,ROAR/USDT,0.01329,0.01334,0.01231,0.01265,1023053.3154,12972.188434324
1663282800,2022-09-15 23:00:00,ROAR/USDT,0.01334,0.01335,0.01328,0.01329,16550.9742,220.123127301
1663279200,2022-09-15 22:00:00,ROAR/USDT,0.01349,0.01349,0.01335,0.01335,203487.9194,2735.576655505
1663275600,2022-09-15 21:00:00,ROAR/USDT,0.0133,0.01354,0.0133,0.01344,196712.9918,2646.381705649
