https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume RSR,Volume USDT
1663459200,2022-09-18 00:00:00,RSR/USDT,0.005941,0.005951,0.00591,0.005924,2247366.65812403,13332.63273497168261
1663372800,2022-09-17 00:00:00,RSR/USDT,0.005823,0.005969,0.005815,0.005941,33481437.20814761,197377.13897187097355
1663286400,2022-09-16 00:00:00,RSR/USDT,0.005742,0.005929,0.005668,0.005832,51268040.75334838,297031.97207751163979
1663200000,2022-09-15 00:00:00,RSR/USDT,0.005899,0.005937,0.005665,0.005749,59813670.49820519,345336.04470662280849
1663113600,2022-09-14 00:00:00,RSR/USDT,0.005791,0.005971,0.005709,0.005897,65731193.90867955,385908.11276793018311
1663027200,2022-09-13 00:00:00,RSR/USDT,0.006399,0.006439,0.00573,0.005793,127416556.91034306,772480.46323758362155
1662940800,2022-09-12 00:00:00,RSR/USDT,0.0062,0.006619,0.006097,0.006394,167607149.37814141,1071232.81287782460941
1662854400,2022-09-11 00:00:00,RSR/USDT,0.006308,0.006532,0.0061,0.006209,86060270.3128743,542678.79880388173687
1662768000,2022-09-10 00:00:00,RSR/USDT,0.006269,0.00646,0.00618,0.00628,73004620.56544822,459862.8573949975825
1662681600,2022-09-09 00:00:00,RSR/USDT,0.006084,0.006429,0.006056,0.006268,133660340.46511967,833440.46062156118625
1662595200,2022-09-08 00:00:00,RSR/USDT,0.00596,0.006165,0.005843,0.006081,106178778.98242213,636544.11224075378058
1662508800,2022-09-07 00:00:00,RSR/USDT,0.005763,0.00605,0.005697,0.005958,63524214.23512775,374473.22862459413727
1662422400,2022-09-06 00:00:00,RSR/USDT,0.006434,0.00656,0.005764,0.005773,120840364.29412544,738701.42521190593813
1662336000,2022-09-05 00:00:00,RSR/USDT,0.006318,0.006453,0.0062,0.006417,56436504.16710473,357035.75266348676623
1662249600,2022-09-04 00:00:00,RSR/USDT,0.006228,0.006333,0.006125,0.006318,40046562.95846293,250278.57929441371256
1662163200,2022-09-03 00:00:00,RSR/USDT,0.006171,0.00627,0.00609,0.006216,48857982.25265638,302724.88838122783603
1662076800,2022-09-02 00:00:00,RSR/USDT,0.006389,0.006547,0.006026,0.006172,131769090.3913047,826411.01873014530011
1661990400,2022-09-01 00:00:00,RSR/USDT,0.006215,0.006451,0.006047,0.006374,101270848.75163534,632397.84768054909077
1661904000,2022-08-31 00:00:00,RSR/USDT,0.006449,0.006614,0.006188,0.006204,183659820.32747065,1177741.09309313297974
1661817600,2022-08-30 00:00:00,RSR/USDT,0.006256,0.006615,0.005975,0.006448,305380701.2204809,1927639.77622614724335
1661731200,2022-08-29 00:00:00,RSR/USDT,0.005667,0.006264,0.005574,0.006255,155236981.16672325,925000.53409510377577
1661644800,2022-08-28 00:00:00,RSR/USDT,0.005755,0.005916,0.005624,0.005669,85394714.64565849,496456.31547941331361
1661558400,2022-08-27 00:00:00,RSR/USDT,0.005656,0.005853,0.00556,0.005757,136813900.13146515,782392.62888101908318
1661472000,2022-08-26 00:00:00,RSR/USDT,0.006262,0.0063,0.005578,0.005669,176750781.24306215,1052027.01646358983147
1661385600,2022-08-25 00:00:00,RSR/USDT,0.006088,0.006359,0.006066,0.006264,152913516.79045332,951773.74849304511134
1661299200,2022-08-24 00:00:00,RSR/USDT,0.006118,0.006306,0.005962,0.006093,164275340.81927263,1006520.87548286322735
1661212800,2022-08-23 00:00:00,RSR/USDT,0.00593,0.006709,0.005764,0.006118,273982182.08762682,1679625.72236234828806
1661126400,2022-08-22 00:00:00,RSR/USDT,0.006122,0.006123,0.00569,0.005921,195737430.01357018,1143997.86491835671245
1661040000,2022-08-21 00:00:00,RSR/USDT,0.005954,0.006738,0.005913,0.006115,125443647.95542968,764692.49716286084955
1660953600,2022-08-20 00:00:00,RSR/USDT,0.006172,0.006412,0.005744,0.005946,178275183.98558674,1080751.36149119857086
1660867200,2022-08-19 00:00:00,RSR/USDT,0.006391,0.006418,0.00585,0.006146,285553044.35905994,1746220.84403612500009
1660780800,2022-08-18 00:00:00,RSR/USDT,0.00676,0.006971,0.006226,0.006401,124097752.72193389,828967.54780595034147
1660694400,2022-08-17 00:00:00,RSR/USDT,0.007266,0.007788,0.006617,0.006749,258151729.40176532,1853103.56399953401247
1660608000,2022-08-16 00:00:00,RSR/USDT,0.007295,0.007456,0.007106,0.007263,179515110.78762071,1308695.57663717339406
1660521600,2022-08-15 00:00:00,RSR/USDT,0.007403,0.00774,0.007134,0.007295,213758503.92387709,1600713.55869817796234
1660435200,2022-08-14 00:00:00,RSR/USDT,0.007902,0.008146,0.007322,0.007383,170494367.47022955,1304613.55078511434909
1660348800,2022-08-13 00:00:00,RSR/USDT,0.008052,0.008221,0.007852,0.007899,87123517.54728528,700262.86673653007217
1660262400,2022-08-12 00:00:00,RSR/USDT,0.007942,0.008088,0.007761,0.008051,150155793.9790838,1193884.45778248564861
1660176000,2022-08-11 00:00:00,RSR/USDT,0.008487,0.00867,0.007876,0.007945,247343821.59252403,2058774.95740561360516
1660089600,2022-08-10 00:00:00,RSR/USDT,0.008493,0.008845,0.007639,0.008486,380673803.8577955,3120444.57712001644827
1660003200,2022-08-09 00:00:00,RSR/USDT,0.007749,0.00854,0.007631,0.008499,351505200.30797948,2848023.91835617071784
1659916800,2022-08-08 00:00:00,RSR/USDT,0.007084,0.0084,0.007062,0.007742,418991091.10930394,3283485.68127430618881
1659830400,2022-08-07 00:00:00,RSR/USDT,0.00713,0.00724,0.006977,0.007087,76505263.10364328,542751.40612664835602
1659744000,2022-08-06 00:00:00,RSR/USDT,0.007197,0.007359,0.007022,0.007136,74486446.12018957,537969.73719442057839
1659657600,2022-08-05 00:00:00,RSR/USDT,0.007085,0.007452,0.006908,0.007192,222279415.32789827,1594309.24042492788259
1659571200,2022-08-04 00:00:00,RSR/USDT,0.006548,0.007477,0.006356,0.007071,349545193.03814253,2395002.27947160231226
1659484800,2022-08-03 00:00:00,RSR/USDT,0.006624,0.006857,0.00634,0.006544,118268177.13453693,792560.06280942245156
1659398400,2022-08-02 00:00:00,RSR/USDT,0.007047,0.00728,0.006377,0.006624,247617526.13189478,1641488.91215158794374
1659312000,2022-08-01 00:00:00,RSR/USDT,0.006561,0.007255,0.006543,0.007028,293772948.68607417,2028489.4903359921058
1659225600,2022-07-31 00:00:00,RSR/USDT,0.006886,0.007128,0.006452,0.00657,229553013.52600976,1564892.07589755832456
